Feature_Set,Imbalance_Method,Model,Accuracy,F1_Macro,F1_Weighted
means_only,none,Random Baseline,0.06777645659928656,0.06277334972222494,0.06808075424530025
means_only,none,Logistic Regression,0.2544589774078478,0.2095715650572994,0.23437218356971515
means_only,none,Random Forest,0.2853745541022592,0.2565221500733304,0.2748623857962246
means_only,none,Gradient Boosting,0.26516052318668254,0.2392096335150355,0.2573660463165266
means_only,none,SVM,0.26516052318668254,0.22171082671064643,0.24552521973319238
means_only,none,KNN,0.22711058263971462,0.19524877439028118,0.21298280560678173
means_only,class_weights,Random Baseline,0.06777645659928656,0.06277334972222494,0.06808075424530025
means_only,class_weights,Logistic Regression,0.24613555291319858,0.2235482852140569,0.23727526217112455
means_only,class_weights,Random Forest,0.2794292508917955,0.2522431904308783,0.26982007030951743
means_only,class_weights,Gradient Boosting,0.26516052318668254,0.2392096335150355,0.2573660463165266
means_only,class_weights,SVM,0.2556480380499406,0.23054415112151302,0.24812449960069183
means_only,class_weights,KNN,0.22711058263971462,0.19524877439028118,0.21298280560678173
means_only,smote,Logistic Regression,0.2473246135552913,0.22730077841444066,0.2414686329333372
means_only,smote,Random Forest,0.27586206896551724,0.2544316844952773,0.271047627600381
means_only,smote,Gradient Boosting,0.23543400713436385,0.22083522285665913,0.23509108417863006
means_only,smote,SVM,0.25326991676575505,0.23619352036308322,0.24802635096817688
means_only,smote,KNN,0.19143876337693222,0.1810586674387174,0.19076963919532425
means_only,smote_tomek,Logistic Regression,0.2116527942925089,0.1986451197551297,0.20786991778457486
means_only,smote_tomek,Random Forest,0.25089179548156954,0.23106145110232393,0.2463260416862606
means_only,smote_tomek,Gradient Boosting,0.23662306777645659,0.22408733160802424,0.23636671921357072
means_only,smote_tomek,SVM,0.23543400713436385,0.22657114274912124,0.23790033903849328
means_only,smote_tomek,KNN,0.18549346016646848,0.17827806345204653,0.18569769528530794
means_stds,none,Random Baseline,0.06777645659928656,0.06277334972222494,0.06808075424530025
means_stds,none,Logistic Regression,0.267538644470868,0.22147726418428026,0.24654709814442693
means_stds,none,Random Forest,0.2984542211652794,0.25944985318296326,0.2839012438098184
means_stds,none,Gradient Boosting,0.26040428061831156,0.2332124334961054,0.25351187392001784
means_stds,none,SVM,0.29369797859690844,0.24953800120267317,0.2766272837076827
means_stds,none,KNN,0.21284185493460167,0.18100644853823133,0.20000768481468065
means_stds,class_weights,Random Baseline,0.06777645659928656,0.06277334972222494,0.06808075424530025
means_stds,class_weights,Logistic Regression,0.25326991676575505,0.22912463174780587,0.24129295499586373
means_stds,class_weights,Random Forest,0.30083234244946494,0.2691916416001424,0.28778423037659273
means_stds,class_weights,Gradient Boosting,0.26040428061831156,0.2332124334961054,0.25351187392001784
means_stds,class_weights,SVM,0.2853745541022592,0.26720916894815605,0.28185341404853625
means_stds,class_weights,KNN,0.21284185493460167,0.18100644853823133,0.20000768481468065
means_stds,smote,Logistic Regression,0.2497027348394768,0.22966955226969615,0.24264775840522632
means_stds,smote,Random Forest,0.2901307966706302,0.2702610695099096,0.28544650427828017
means_stds,smote,Gradient Boosting,0.25089179548156954,0.23645305634388086,0.25027749294952634
means_stds,smote,SVM,0.28894173602853745,0.27186230792932164,0.28616718984327244
means_stds,smote,KNN,0.19500594530321047,0.18491002846555427,0.1981750169898129
means_stds,smote_tomek,Logistic Regression,0.24494649227110582,0.23043715407693455,0.24220997536838043
means_stds,smote_tomek,Random Forest,0.28894173602853745,0.2712889865933873,0.2858180801127854
means_stds,smote_tomek,Gradient Boosting,0.27110582639714625,0.2597670585265913,0.27149284727296674
means_stds,smote_tomek,SVM,0.25802615933412604,0.24737029541235556,0.25968544554569345
means_stds,smote_tomek,KNN,0.1985731272294887,0.18841717109387507,0.19986495233006227
all_features,none,Random Baseline,0.06777645659928656,0.06277334972222494,0.06808075424530025
all_features,none,Logistic Regression,0.29964328180737215,0.26948776927319584,0.2903511208774175
all_features,none,Random Forest,0.32936979785969084,0.28564393121120324,0.3125122428560344
all_features,none,Gradient Boosting,0.3162901307966706,0.2955021196502157,0.31225170490095083
all_features,none,SVM,0.31985731272294887,0.27571675405593316,0.3055269714296008
all_features,none,KNN,0.2473246135552913,0.21895265459424312,0.23825903976814714
all_features,class_weights,Random Baseline,0.06777645659928656,0.06277334972222494,0.06808075424530025
all_features,class_weights,Logistic Regression,0.30202140309155767,0.2855926482090071,0.2998080571701422
all_features,class_weights,Random Forest,0.3151010701545779,0.28042614651968323,0.3023810489001451
all_features,class_weights,Gradient Boosting,0.3162901307966706,0.2955021196502157,0.31225170490095083
all_features,class_weights,SVM,0.3151010701545779,0.2968081071296063,0.3128742900655245
all_features,class_weights,KNN,0.2473246135552913,0.21895265459424312,0.23825903976814714
all_features,smote,Logistic Regression,0.29607609988109396,0.2825914759357926,0.29845044934155085
all_features,smote,Random Forest,0.3341260404280618,0.3156876735076307,0.32587985920406104
all_features,smote,Gradient Boosting,0.29369797859690844,0.27992499288590617,0.29140846881253496
all_features,smote,SVM,0.31391200951248516,0.29555493473971745,0.311824943451448
all_features,smote,KNN,0.20927467300832342,0.2068491401988505,0.21693651478159895
all_features,smote_tomek,Logistic Regression,0.291319857312723,0.2752521443924416,0.2919839569821868
all_features,smote_tomek,Random Forest,0.33650416171224734,0.31703737468099286,0.33047475844062835
all_features,smote_tomek,Gradient Boosting,0.2734839476813318,0.2586862234135105,0.27156508904279153
all_features,smote_tomek,SVM,0.3091557669441142,0.2915323058531268,0.3091263394421486
all_features,smote_tomek,KNN,0.20214030915576695,0.20312428643710506,0.212747811586465
