,precision,recall,f1-score,support
ENFJ,0.21951219512195122,0.15,0.1782178217821782,60.0
ENFP,0.29577464788732394,0.3442622950819672,0.3181818181818182,61.0
ENTJ,0.34210526315789475,0.4262295081967213,0.3795620437956204,61.0
ENTP,0.4318181818181818,0.3114754098360656,0.3619047619047619,61.0
ESFJ,0.15789473684210525,0.13043478260869565,0.14285714285714285,23.0
ESFP,0.2765957446808511,0.2826086956521739,0.27956989247311825,46.0
ESTJ,0.16666666666666666,0.041666666666666664,0.06666666666666667,24.0
ESTP,0.27906976744186046,0.39344262295081966,0.32653061224489793,61.0
INFJ,0.3064516129032258,0.3114754098360656,0.3089430894308943,61.0
INFP,0.1774193548387097,0.1864406779661017,0.18181818181818182,59.0
INTJ,0.3269230769230769,0.27419354838709675,0.2982456140350877,62.0
INTP,0.32653061224489793,0.5333333333333333,0.4050632911392405,60.0
ISFJ,0.22641509433962265,0.2727272727272727,0.24742268041237114,44.0
ISFP,0.27450980392156865,0.23728813559322035,0.2545454545454545,59.0
ISTJ,0.09090909090909091,0.05128205128205128,0.06557377049180328,39.0
ISTP,0.21568627450980393,0.18333333333333332,0.1981981981981982,60.0
accuracy,0.27824019024970276,0.27824019024970276,0.27824019024970276,0.27824019024970276
macro avg,0.2571426327629269,0.25813710896572406,0.2508313149985898,841.0
weighted avg,0.2704731103608675,0.27824019024970276,0.2683921610804363,841.0
