,precision,recall,f1-score,support
ENFJ,0.38461538461538464,0.16666666666666666,0.23255813953488372,60.0
ENFP,0.375,0.39344262295081966,0.384,61.0
ENTJ,0.4166666666666667,0.5737704918032787,0.4827586206896552,61.0
ENTP,0.54,0.4426229508196721,0.4864864864864865,61.0
ESFJ,0.15,0.13043478260869565,0.13953488372093023,23.0
ESFP,0.32,0.34782608695652173,0.3333333333333333,46.0
ESTJ,0.2916666666666667,0.2916666666666667,0.2916666666666667,24.0
ESTP,0.3,0.39344262295081966,0.3404255319148936,61.0
INFJ,0.3225806451612903,0.32786885245901637,0.3252032520325203,61.0
INFP,0.3541666666666667,0.288135593220339,0.3177570093457944,59.0
INTJ,0.2711864406779661,0.25806451612903225,0.2644628099173554,62.0
INTP,0.3855421686746988,0.5333333333333333,0.44755244755244755,60.0
ISFJ,0.2571428571428571,0.4090909090909091,0.3157894736842105,44.0
ISFP,0.4722222222222222,0.288135593220339,0.35789473684210527,59.0
ISTJ,0.15151515151515152,0.1282051282051282,0.1388888888888889,39.0
ISTP,0.23076923076923078,0.2,0.21428571428571427,60.0
accuracy,0.33650416171224734,0.33650416171224734,0.33650416171224734,0.33650416171224734
macro avg,0.32644213129867505,0.3232941760675774,0.31703737468099286,841.0
weighted avg,0.3415321919796899,0.33650416171224734,0.33047475844062835,841.0
