playlist_id,mbti,song_index,song_name,artist,track_id
ENFJ_sub_0001,ENFJ,1,มีเธอทุกวันก็โอนิ,"THE TOYS,DJ ONO,Pimtha",3seGmbdxubyOV7rAnUYAWh
ENFJ_sub_0001,ENFJ,2,คนละชั้น,Jaonaay,6AC93VejkDjaKIWjGEMew7
ENFJ_sub_0001,ENFJ,3,เหตุผลของการมีชีวิตอยู่ คือการได้พบกับเธอ,No One Else,54LxQgugCAhs7ob7tXcefp
ENFJ_sub_0001,ENFJ,4,รักเอ๋ย - เพลงจากละคร  พนมนาคา ,Bird Thongchai,27mx9rW179Rypbfx8xB4I3
ENFJ_sub_0001,ENFJ,5,Lady,25 hours,4c6qgwNYjQQlgQ5Sf0Vaia
ENFJ_sub_0001,ENFJ,6,เป็นทุกอย่าง,Room 39,0GXpsT6ln357KkxsD7SzqM
ENFJ_sub_0001,ENFJ,7,ไม่บอกเธอ,Bedroom Audio,2DUx3XDBqeXZEVXx0iGhyk
ENFJ_sub_0001,ENFJ,8,Someone Someday,PROXIE,4JyFr68xMlVi47AwEdLr38
ENFJ_sub_0001,ENFJ,9,ยันจุดสิ้นสุดเวลา,Arert,7crpPxW7A7lqsDujBCt6Qq
ENFJ_sub_0001,ENFJ,10,ไดโนเสาร์ไข่ดาวปาจังกี้,THEMOONWILLALWAYSBEWITHME,3noUTLgBLOUVS2hxF0sDX5
ENFJ_sub_0002,ENFJ,1,Do It For Her (feat. Zach Callison & Grace Rolek),"Steven Universe,Grace Rolek,Zach Callison",54bTrcQ1rMQn9qvP3UgyIF
ENFJ_sub_0002,ENFJ,2,"Sex, Drugs, Etc.",Beach Weather,7MlDNspYwfqnHxORufupwq
ENFJ_sub_0002,ENFJ,3,vampire,Olivia Rodrigo,1kuGVB7EU95pJObxwvfwKS
ENFJ_sub_0002,ENFJ,4,Cupid - Twin Ver.,FIFTY FIFTY,3Kw7zkALCVxY4wmlnh2IWC
ENFJ_sub_0002,ENFJ,5,I Will,Mitski,2yYP6zjOBqGKqI6s2lZyer
ENFJ_sub_0002,ENFJ,6,Hero Rider Jeans (Dun Dun Dun),lil hero,4ixCsiPHaHaWLAGY7GB75n
ENFJ_sub_0002,ENFJ,7,Adore You,Harry Styles,3jjujdWJ72nww5eGnfs2E7
ENFJ_sub_0002,ENFJ,8,the boy is mine,Ariana Grande,0Lmbke3KNVFXtoH2mMSHCw
ENFJ_sub_0002,ENFJ,9,Cigarette Daydreams,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0
ENFJ_sub_0002,ENFJ,10,Mr. Loverman,Ricky Montgomery,2IVsRhKrx8hlQBOWy4qebo
ENFJ_sub_0003,ENFJ,1,Built for This,Dark Matter Beats,57mUkyuP4JQLYEWnTCgdY2
ENFJ_sub_0003,ENFJ,2,LONELY NIGHTS,tofubeats,40It4gOs70ssV0IFMRuul1
ENFJ_sub_0003,ENFJ,3,ocean eyes,Billie Eilish,5l3Hml8g8IxVkl7UOAlT2k
ENFJ_sub_0003,ENFJ,4,The Lazy Song,Bruno Mars,386RUes7n1uM1yfzgeUuwp
ENFJ_sub_0003,ENFJ,5,Super Bass,Nicki Minaj,3hlksXnvbKogFdPbpO9vel
ENFJ_sub_0003,ENFJ,6,Tattoo,CREAM,0tiE3GaeqfcbwTmxAgZR9g
ENFJ_sub_0003,ENFJ,7,Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,6WY4wvlmgccWapnIg14Vy0
ENFJ_sub_0003,ENFJ,8,愛の人,Miliyah,1UYzN5ID4uIAX9R0lgJQxC
