#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,appearance_count,mbti_type
50,Therefore I Am,Billie Eilish,94,10A,34,2022-04-12,02:54,70,,Therefore I Am,2020-11-12,89,22,13,72,0,0,-8,B Minor,4,54bFM56PmE4YLRnqpW6Tha,USUM72021500,18,ISTP
13,Heathens,Twenty One Pilots,90,9A,40,2022-04-12,03:15,84,,Heathens,2016-06-16,73,8,0,55,0,10,-9,E Minor,4,6i0V12jOa3mr6uu4WYhUBr,USAT21601930,18,ISTP
10,You Get Me So High,The Neighbourhood,88,6A,88,2022-04-12,02:33,82,,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131,16,ISTP
51,Save Your Tears,The Weeknd,118,8B,83,2022-04-12,03:35,87,,After Hours,2020-03-20,68,2,0,64,0,50,-5,C Major,4,5QO79kh1waicV47BqGRL3g,USUG12000658,16,ISTP
22,She's My Collar (feat. Kali Uchis),"Gorillaz,Kali Uchis",140,1B,82,2022-04-12,03:29,80,,Humanz (Deluxe),2017-04-28,73,1,8,46,0,10,-6,B Major,4,3lIxtCaROdRDuTnNBDm3n2,GBAYE1700176,16,ISTP
20,Black Out Days,Phantogram,92,9A,80,2022-04-12,03:47,75,,Voices,2014-02-18,54,1,2,43,0,0,-4,E Minor,4,2IWtloZYQDcP8Ashwx8QEF,USUM71312035,16,ISTP
57,You Right,"Doja Cat,The Weeknd",129,4B,62,2022-04-12,03:06,82,,Planet Her,2021-06-25,83,2,0,44,0,0,-6,G#/A♭ Major,4,0k4d5YPDr1r7FX77VdqWez,USRC12100544,14,ISTP
11,Sippy Cup,Melanie Martinez,135,7B,65,2022-04-12,03:15,74,,Cry Baby (Deluxe Edition),2015-08-14,72,49,0,73,10,20,-9,F Major,4,2e4jB31WcGsxKL1ByqdZCq,USAT21501779,14,ISTP
1,First Love/Late Spring,Mitski,100,8B,54,2022-04-12,04:38,77,,Bury Me At Makeout Creek,2014-11-11,45,0,1,10,0,20,-8,C Major,4,3sslYZcFKtUvIEWN9lADgr,USA2B1511604,14,ISTP
2,bad guy,Billie Eilish,135,9B,43,2022-04-12,03:14,83,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,70,33,13,56,30,10,-11,G Major,4,2Fxmhks0bxGSBdJ92vM42m,USUM71900764,14,ISTP
