#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,song_frequency
9,End Game,"Taylor Swift,Ed Sheeran,Future",159,10B,59,2022-03-27,04:04,74,"soft pop, rap",reputation,2017-11-10,65,1,0,15,0,10,-6,D Major,4,2x0WlnmfG39ZuDmstl9xfX,USCJY1750004,1
14,My Body's Made of Crushed Little Stars,Mitski,82,9B,75,2022-03-27,01:56,60,,Puberty 2,2016-06-17,20,0,0,33,0,40,-8,G Major,4,00ZprREYIexO3pgJlPgPau,USJ5G1612307,2
15,It's Everyday Bro,"Jake Paul,Team 10",150,12A,71,2022-03-27,03:37,45,,It's Everyday Bro,2017-05-30,79,0,0,56,20,10,-8,C♯/D♭ Minor,5,4l62h4tiuUwn7eD6hxMlVQ,USUYG1143894,1
18,Regular - Korean Version,NCT 127,134,8A,80,2022-03-27,03:37,48,"k-pop, noise music",NCT #127 Regular-Irregular - The 1st Album,2018-10-12,73,24,0,88,0,20,-5,A Minor,4,2lAxhE5s3x7OS9sfhsgT1F,KRA301800424,2
21,Boy in Luv,BTS,166,8B,95,2022-03-27,03:50,73,k-pop,Skool Luv Affair,2014-02-12,49,0,0,47,30,30,-2,C Major,4,3FnDv33WrrMtuEr7hNR3ev,KRA341404052,3
25,Two Trucks,Lemon Demon,114,8A,39,2022-03-27,04:07,46,,Nature Tapes,2014-11-02,76,5,0,90,0,10,-13,A Minor,4,1s5A0u1dnAeVNur5nPkCpD,TCACB1427915,4
27,Touch You,"遠野高志,加島優,矢口恭介,ジミー,百合絢斗,田村唯,明美圭一,糸目幸士郎,鹿谷樹",135,1A,96,2022-03-27,03:26,69,anime,アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」,2018-08-15,60,1,0,80,0,10,-3,G#/A♭ Minor,4,6qWEpnyU43Bcrx3vfbGuVm,JPV431800250,3
28,Burning Up (Fire),BTS,100,3A,71,2022-03-27,03:23,76,k-pop,The Most Beautiful Moment in Life: Young Forever,2016-05-02,63,0,0,53,0,10,-3,A#/B♭ Minor,4,0aE3V0zgSD2YwkEHW42gxG,KRA381600800,2
29,Animal,AURORA,128,2A,62,2022-03-27,03:35,48,"norwegian pop, art pop",A Different Kind Of Human – Step 2,2019-06-07,63,8,0,26,0,20,-6,D#/E♭ Minor,4,0iBeCjWB1PuItkjfrE1Ch1,GBUM71807807,1
31,HOT,TWICE,120,12A,57,2022-03-27,02:57,45,k-pop,FANCY YOU,2019-04-22,76,1,0,77,0,0,-7,C♯/D♭ Minor,4,5Tfp6aW5UTGvul246N5aS0,US5TA1900045,1
32,Body Electric,Lana Del Rey,168,12A,49,2022-03-27,03:53,30,,Born To Die - The Paradise Edition,2012-11-12,25,47,0,10,0,0,-9,C♯/D♭ Minor,3,03cCUxiLIcZj1brSJzqmPE,GBUM71205882,1
36,Moves Like Jagger,"Maroon 5,Christina Aguilera",128,10A,75,2022-03-27,03:22,72,"pop, ",Singles,2015-09-25,72,1,0,60,0,30,-4,B Minor,4,1r299qCKBLgUS9XJ9m1kEx,USUM71109132,4
38,Dionysus,BTS,176,9B,91,2022-03-27,04:09,69,k-pop,MAP OF THE SOUL : PERSONA,2019-04-12,50,4,0,59,10,30,-3,G Major,4,2Wkm4JBcIV2uSuu4qlbqFN,QM6MZ1917913,1
39,MIROH,Stray Kids,126,11B,98,2022-03-27,03:27,66,"k-pop, noise music",Clé 1 : MIROH,2019-03-25,56,1,0,51,10,20,-3,A Major,4,2sFWzfV3kqAwXEWM9BjzwH,US5TA1900035,2
42,Turn the Lights Off,Tally Hall,189,2B,70,2022-03-27,02:56,63,,Good & Evil,2011-06-21,39,14,0,77,0,10,-7,F#/G♭ Major,4,3xpdefOloYCBXd3UR6MVyM,TCAAX1184873,1
45,Hollywood,MARINA,123,8B,83,2022-03-27,03:50,52,,The Family Jewels,2009-07-15,58,0,0,73,0,30,-5,C Major,4,4tpBNDfGcKSOBZWYP4Flbv,GBFFS0900126,1
47,Bitch Lasagna,"pewdiepie,Party in Backyard",150,10B,79,2022-03-27,02:14,51,,Bitch Lasagna,2018-11-06,80,1,0,54,20,10,-5,D Major,4,1AKGJQIHP3dIPuhOjdxD6a,SEYOK1860691,2
52,LALISA,LISA,150,4B,65,2022-03-27,03:20,70,k-pop,LALISA,2021-09-10,81,3,0,85,0,10,-6,G#/A♭ Major,4,7uQZVznj0uQOGC9KhV2Mg6,KRA402100098,3
54,So What,LOONA,125,1B,94,2022-03-27,03:18,47,k-pop,[#],2020-02-05,61,10,0,53,20,20,-3,B Major,4,1ry2mTVmAJHbNLzl5qww5v,KRA382000125,2
58,Easy,Stray Kids,144,11A,81,2022-03-27,03:03,62,"k-pop, noise music",GO LIVE,2020-06-17,70,0,0,39,0,40,-5,F#/G♭ Minor,4,4s9diT9GXpI7QiysMkoANG,US5TA2000038,2
59,"1, 3, 2 (JEONGYEON, MINA, TZUYU)",TWICE,89,5A,88,2022-03-27,03:18,50,k-pop,Formula of Love: O+T=<3,2021-11-12,66,8,0,71,0,20,-3,C Minor,4,6bS9w12VuyaqkbNKnw5zZE,US5TA2100110,2
62,Kick It,NCT 127,167,9B,85,2022-03-27,03:53,0,"k-pop, noise music",NCT #127 Neo Zone - The 2nd Album,2020-03-06,68,3,0,51,0,0,-2,G Major,4,1ayaOin9hxCtyhg4UsBTpg,KRA302000069,2
64,E-GIRLS ARE RUINING MY LIFE!,"CORPSE,Savage Ga$p",85,3B,94,2022-03-27,01:45,63,trap metal,E-GIRLS ARE RUINING MY LIFE!,2020-09-25,61,0,0,39,10,10,-7,C♯/D♭ Major,4,7bCfHiRcfUjG0YVVNUL7Ve,QZK6M2028073,2
65,LAST WALTZ,TWICE,142,6A,77,2022-03-27,02:50,53,k-pop,Formula of Love: O+T=<3,2021-11-12,80,21,0,61,10,0,-3,G Minor,4,39kH6C2twlYjyssIW02sbr,US5TA2100104,1
66,DUN DUN,EVERGLOW,103,10A,88,2022-03-27,03:12,63,"k-pop, noise music",reminiscence,2020-02-03,69,5,0,43,0,10,-3,B Minor,4,3ejAkJLWQSEJDqDXxK3efB,KRMIM2001491,3
67,MOONLIGHT,TWICE,116,4A,70,2022-03-27,03:39,56,k-pop,Formula of Love: O+T=<3,2021-11-12,81,2,0,96,0,0,-5,F Minor,4,14k4ALBLN2FjtELYDcQUoi,US5TA2100099,1
69,Make A Wish (Birthday Song),NCT U,101,4B,80,2022-03-27,03:49,60,"k-pop, noise music",NCT RESONANCE Pt. 1 - The 2nd Album,2020-10-12,73,6,0,69,10,0,-2,G#/A♭ Major,4,1Q5SpQeocfNXefx76svqkl,KRA302000484,2
70,Strawberry Moon,TWICE,107,12A,87,2022-03-27,03:23,46,k-pop,Kura Kura,2021-05-12,69,19,0,60,0,0,-3,C♯/D♭ Minor,4,23VWZ6sTNXZaa3zXkwJm7g,JPWP02170304,1
71,Scandal,TWICE,119,7A,87,2022-03-27,02:43,47,k-pop,Taste of Love,2021-06-11,90,4,0,66,0,0,-3,D Minor,4,2fluM1mE0tKQ6rvM77Vr11,US5TA2100024,1
72,Savage,Megan Thee Stallion,169,1B,74,2022-03-27,02:35,67,,Suga,2020-03-06,84,3,0,68,30,10,-6,B Major,4,55CHeLEfn5iJ0IIkgaa4si,QMCE32000097,2
73,Never Be Me,Miley Cyrus,165,12A,56,2022-03-27,03:35,58,,Plastic Hearts,2020-11-27,48,6,0,15,0,30,-8,C♯/D♭ Minor,4,1M7qLcfozANPcMKfgMEHOt,USRC12003760,2
74,Face Off,"Tech N9ne,Joey Cool,King Iso,Dwayne Johnson",81,4B,94,2022-03-27,03:39,63,"horrorcore, ",ASIN9NE,2021-10-08,69,18,0,39,20,10,-4,G#/A♭ Major,4,6M47gaKejso9772SKTa3yH,USZHR2100088,1
75,REWIND,TWICE,82,7B,73,2022-03-27,03:00,58,k-pop,Formula of Love: O+T=<3,2021-11-12,67,77,0,44,10,30,-5,F Major,4,4BBnKqIS2pj2hX0zm0CZZx,US5TA2100106,1
76,F.I.L.A (Fall In Love Again),TWICE,118,10A,89,2022-03-27,03:11,50,k-pop,Formula of Love: O+T=<3,2021-11-12,76,9,0,65,0,20,-3,B Minor,4,4O1WbQwMV0W6Y2dUCvwoBx,US5TA2100103,1
78,Miss The Rage (feat. Playboi Carti),"Trippie Redd,Playboi Carti",77,4B,86,2022-03-27,03:56,4,"melodic rap, rage rap",Miss The Rage (feat. Playboi Carti),2021-05-07,58,1,0,37,10,80,-6,G#/A♭ Major,4,2BITQ360Knh6qNAOqR7Dyq,QZJ842000983,1
80,iD,ITZY,120,10A,85,2022-03-27,03:26,38,k-pop,Not Shy,2020-08-17,94,18,1,80,10,30,-3,B Minor,4,6jfwYW9fmEAbbRxx42F5Kw,US5TA2000077,1
82,CACTUS,TWICE,170,1B,62,2022-03-27,03:37,50,k-pop,Formula of Love: O+T=<3,2021-11-12,51,12,0,22,0,10,-4,B Major,4,5TYy2SgTQUv6YGWHbryUV8,US5TA2100107,1
83,B[OO]M-BOXX,ITZY,125,8A,93,2022-03-27,03:13,40,k-pop,CRAZY IN LOVE,2021-09-24,86,7,0,74,0,0,-2,A Minor,4,2RMQFfyDZEyF6Bm8lCdEYu,US5TA2100055,1
84,Flicker,ENHYPEN,85,3A,76,2022-03-27,02:24,61,k-pop,BORDER : DAY ONE,2020-11-30,66,1,0,55,0,10,-5,A#/B♭ Minor,4,3TgPwLFXV6GEIsDZANHktY,USA2P2041801,1
85,"We Go (Bang Chan, Changbin, HAN)",Stray Kids,174,4A,94,2022-03-27,02:37,56,"k-pop, noise music",IN LIFE,2020-09-14,65,7,0,29,0,0,-4,F Minor,4,5GhuFbB6NjKzehvws0GGUP,US5TA2000101,1
87,KIDDING ME,ITZY,138,4B,77,2022-03-27,03:33,43,k-pop,GUESS WHO,2021-04-30,76,22,0,42,0,10,-4,G#/A♭ Major,4,74WtkDIkOXTtEVO4TatDMX,US5TA2100005,3
88,Coin,IU,118,3B,88,2022-03-27,03:13,50,"k-pop, k-ballad",IU 5th Album 'LILAC',2021-03-25,73,1,0,71,10,30,-3,C♯/D♭ Major,4,7CZRguMolNqIobnXxpV735,KRA382102079,1
89,Bad Alive,WayV,142,2A,91,2022-03-27,03:49,41,"k-pop, c-pop, noise music",Awaken The World - The 1st Album,2020-06-09,66,4,0,53,0,20,-3,D#/E♭ Minor,4,5xfGmBYIy5EfWvqlT9vkRB,KRA302000311,1
90,TA,Stray Kids,126,9B,96,2022-03-27,03:28,56,"k-pop, noise music",GO LIVE,2020-06-17,64,0,0,49,20,30,-3,G Major,4,1DOBBWtkabIjo955KkMLuQ,US5TA2000044,1
92,Sexting,Bo Burnham,120,9B,61,2022-03-27,03:21,0,comedy,Inside (The Songs),2021-06-10,76,28,0,53,0,10,-6,G Major,4,2JpoMxTbzx4xbGT81AnPQI,USA2P2122063,1
93,ПОСОСИ,MORGENSHTERN,129,9A,76,2022-03-27,02:10,48,,ПОСОСИ,2020-06-06,95,9,0,68,30,30,-4,E Minor,4,4dgkXOOCKsEKgBgZbAankr,RUA582103967,1
94,Punch,NCT 127,91,3B,92,2022-03-27,03:24,0,"k-pop, noise music",NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64,4,0,51,10,10,-3,C♯/D♭ Major,4,0O22hXRIdbyrnMQk7VldC9,KRA302000222,1
95,Still Be Friends (feat. Tory Lanez & Tyga),"G-Eazy,Tory Lanez,Tyga",104,6A,76,2022-03-27,03:33,61,,Still Be Friends (feat. Tory Lanez & Tyga),2020-02-07,80,1,0,28,0,0,-5,G Minor,4,0JjM9bKm4wrwohMslcm892,USRC12000525,2
96,TANK,NMIXX,180,8B,93,2022-03-27,02:48,0,k-pop,AD MARE,2022-02-22,64,3,0,50,20,40,-5,C Major,4,3ucx0k0IosRjrsmQc34zUW,US5TA2100137,1
98,Flux,Poppy,128,4A,97,2022-03-27,05:00,0,,Flux,2021-07-30,56,0,53,39,20,30,-6,F Minor,4,59yzTH5FEyyaDXs5Qo5aq7,USYFZ2149501,1
6,Hey Daddy (Daddy's Home),USHER,96,1B,70,2026-03-11,03:44,83,r&b,Raymond v Raymond (Expanded Edition),2010-03-30,59,0,0,35,0,10,-4,B Major,4,030OCtLMrljNhp8OWHBWW3,USLF21000011,2
24,Perfect,One Direction,100,10A,82,2026-03-11,03:50,83,,Made In The A.M. (Deluxe Edition),2015-11-13,65,6,0,40,0,10,-5,B Minor,4,3NLnwwAQbbFKcEcV8hDItk,GBHMU1500104,1
25,Lean On (feat. MØ & DJ Snake),"Major Lazer,MØ,DJ Snake",98,6A,81,2026-03-11,02:56,65,"moombahton, ",Peace Is The Mission (Extended),2019-03-05,72,0,0,27,0,50,-3,G Minor,4,3qTT9L5f68FWVkaYqHjKpq,QMUY41500008,1
26,Moves Like Jagger,"Maroon 5,Christina Aguilera",128,10A,75,2026-03-11,03:22,72,"pop, ",Singles,2015-09-25,72,1,0,60,0,30,-4,B Minor,4,1r299qCKBLgUS9XJ9m1kEx,USUM71109132,4
27,Die Young,Kesha,128,12A,70,2026-03-11,03:31,82,,Warrior (Expanded Edition),2012-11-30,71,0,0,80,0,20,-5,C♯/D♭ Minor,4,7EQGXaVSyEDsCWKmUcfpLk,USRC11201008,5
30,MIROH,Stray Kids,126,11B,98,2026-03-11,03:27,66,"k-pop, noise music",Clé 1 : MIROH,2019-03-25,56,1,0,51,10,20,-3,A Major,4,2sFWzfV3kqAwXEWM9BjzwH,US5TA1900035,2
32,You Can't Hide,"Ck9c,Elizabeth Ann",87,3A,55,2026-03-11,04:28,65,,You Can't Hide,2017-03-18,74,15,0,71,0,10,-8,A#/B♭ Minor,4,32filOsmivxaFHKLX6Ixth,QM4DW1761421,1
