artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Incubus,Under My Umbrella,5ZP7OYa80kO6rBq9Dr9Cqh,41,2001,alt-rock,0.5,0.832,1,-6.063,1,0.0509,0.00135,0.0389,0.169,0.705,158.957,208293,4
Placebo,Special K,0W6QtgkxPNJ7simo1UcBIr,56,2000,alt-rock,0.397,0.942,1,-2.53,1,0.0869,0.000227,0.24,0.14,0.356,158.993,232307,4
You Me At Six,Beautiful Way,3SevJWsbqUOpfPOpRZGrP9,51,2021,alt-rock,0.384,0.921,5,-3.609,0,0.0489,0.0125,0.108,0.152,0.446,171.036,225787,4
Wolfmother,Dimension,14Ji7WloVh381cYKGNtpJA,43,2015,alt-rock,0.47,0.764,9,-3.711,1,0.0356,0.0274,0.0152,0.436,0.519,142.191,261827,4
Bandalos Chinos,Demasiado,5k316otFvydSrNVcygfYs5,58,2018,alt-rock,0.771,0.429,11,-9.699,0,0.0332,0.26,0.0443,0.129,0.427,133.477,225707,4
The Revivalists,Navigate Below,1uuZcR45svmbxL8M9d46mW,32,2012,alt-rock,0.557,0.844,6,-6.148,1,0.0478,0.0193,0.0193,0.0852,0.691,144.953,237251,4
Jeremy Camp,Overcome,1xBIgVOzLS8zbi4vcFSqMK,46,2010,alt-rock,0.224,0.493,9,-7.499,1,0.0318,0.528,0.0,0.0782,0.0739,142.918,483560,3
Self Deception,Legends,1rjcOYf08yRbrsX3ALRldh,45,2022,alt-rock,0.367,0.912,2,-4.598,0,0.0659,0.00524,0.0,0.138,0.371,168.045,188571,4
HUNNY,Colder Parts,7w7gpF43Nx8LvtBODYX4Az,34,2016,alt-rock,0.547,0.84,2,-5.651,1,0.0485,0.00126,0.0,0.108,0.466,127.027,176430,4
Matt Redman,It Is Well With My Soul - Live,3xRyvAjJ3jI3XuS7urBomO,47,2015,alt-rock,0.37,0.817,4,-5.276,1,0.0419,0.0703,0.0,0.937,0.191,159.981,357213,4
311,Sick Tight,7065M7GFGUGrfIs9fKICAM,30,2001,alt-rock,0.632,0.94,1,-6.383,1,0.0579,0.000476,0.0,0.0864,0.582,113.015,164560,4
Placebo,Follow the Cops Back Home,4xQ5JVqDgp3vfo5csRicvF,44,2006,alt-rock,0.504,0.464,8,-7.843,1,0.0285,0.195,0.000331,0.105,0.232,113.84,279560,4
Puddle Of Mudd,Bleed - Non-LP Version,0n8h9mt1i94fy98MRGGtHV,25,2004,alt-rock,0.492,0.907,10,-3.419,1,0.101,0.000269,0.000882,0.11,0.525,75.3,215133,4
Matt Maher,Adoration (Live),5PfnaRjEsPfNOd7AdJmd2N,30,2013,alt-rock,0.363,0.21,1,-11.078,1,0.0275,0.518,2.82e-06,0.103,0.131,84.829,359973,4
The Smashing Pumpkins,Pennies,0Tt3eymSRnzNF5WS7UzlXN,27,2013,alt-rock,0.65,0.715,9,-8.689,1,0.0263,0.00204,0.709,0.242,0.578,119.201,148013,4
Blues Saraceno,The River,1kmbMgdH81XirPnEuGQ2by,53,2019,alt-rock,0.554,0.437,11,-8.187,0,0.0388,0.0526,0.00241,0.241,0.37,73.994,215699,4
The Hives,B is for Brutus,1abWUqaOmJJFAlk7hCtDKM,45,2004,alt-rock,0.472,0.989,6,-3.37,0,0.135,0.048,3.43e-05,0.292,0.438,145.397,156347,4
The Drones,Shark Fin Blues,2WX7FhAVxG7zgq0lQ2P7kD,36,2005,alt-rock,0.237,0.862,2,-4.33,1,0.0417,0.0285,0.0762,0.311,0.271,147.031,343280,4
Natalie Grant,Hurricane,5bfefdE1Y2hobZqQ39qWwY,32,2013,alt-rock,0.632,0.806,7,-3.711,1,0.0294,0.00185,1.78e-05,0.173,0.475,105.032,209147,4
Boston Manor,England's Dreaming,3Ej8frxLOam0qx1HvCcipW,37,2018,alt-rock,0.174,0.871,8,-3.946,0,0.0563,0.000151,0.000162,0.307,0.231,73.196,217373,4
Blaze Foley,Tree House Lullaby,75Deee0IZV3MRiFMfzyCO8,34,2010,alt-rock,0.454,0.193,7,-14.593,1,0.0347,0.935,0.0592,0.113,0.358,161.84,132040,3
Angel Olsen,Shut Up Kiss Me,3EEr6l5PYelwkrvvKX7N0X,55,2016,alt-rock,0.375,0.63,7,-5.131,1,0.0453,0.0552,0.0,0.107,0.349,115.728,202200,4
