artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Jean-Michel Blais,Casa,5hGVo71nibluKwOa4s7TOE,19,2016,ambient,0.438,0.19,8,-15.06,0,0.0439,0.929,0.894,0.332,0.0391,136.144,467000,4
Husky Rescue,Diamonds in the Sky,3TdAnX7QcMggX3Tx62fSgQ,9,2006,ambient,0.679,0.599,4,-6.74,0,0.0248,0.483,0.0424,0.165,0.308,109.98,288827,3
Air,Sex Born Poison,2NVHxR89RDACrAPpckPfkN,26,2001,ambient,0.551,0.385,4,-7.658,1,0.028,0.0836,0.268,0.275,0.0593,134.713,378760,4
Dirk Maassen,In Another Life (from Home),25EYx0SwlNPmL22uFO2cKc,45,2021,ambient,0.386,0.0141,10,-27.554,0,0.0578,0.995,0.953,0.113,0.21,87.047,125747,1
Steve Roach,Within the Mystic,5bawMHSYFvcUZTWzgp3OGB,7,2003,ambient,0.0655,0.106,7,-22.959,0,0.0434,0.84,0.939,0.108,0.033,71.39,952000,4
Ulrich Schnauss,Intervention Stjerner,6OokP8qAgCnns1iQ8SBAsX,21,2017,ambient,0.532,0.57,2,-9.675,0,0.0587,0.403,0.965,0.107,0.841,95.001,166737,4
Jon Hopkins,Dawn,2bKFwZ2yYlbtadXQqPiF22,16,2010,ambient,0.125,0.211,0,-17.038,0,0.0326,0.63,0.953,0.134,0.0389,66.8,118147,3
Alexis Ffrench,The Singing Planet,29UAiowaozW2gJngwpHq1Y,12,2009,ambient,0.381,0.0401,7,-26.959,1,0.0485,0.994,0.875,0.0645,0.124,129.701,193802,4
Nico Muhly,Etude No. 3: Etude 3,2LhRrWfxTV6ZW1XAOb2OGa,17,2013,ambient,0.422,0.289,0,-13.669,0,0.0469,0.47,0.839,0.0782,0.0392,113.961,303388,3
Harold Budd,Her Face,26kTOG6rURy2pPjvlFR6vh,10,2003,ambient,0.264,0.00438,1,-33.734,0,0.0485,0.992,0.949,0.107,0.181,70.002,209040,3
Fennesz,Shisheido,4HMHfiCo9rYRVOaxKWlGpf,31,2001,ambient,0.599,0.322,9,-11.877,1,0.0332,0.807,0.792,0.0947,0.206,119.963,177732,4
Robert Scott Thompson,Manifold Section N,67QpOAkMR6FeFWJAAd5yh2,0,2001,ambient,0.139,0.237,7,-26.968,1,0.0637,0.959,0.928,0.0946,0.039,79.29,643836,3
Keaton Henson,Milk Teeth,0rhU2mHnhgDMikMEpT1DOQ,23,2013,ambient,0.401,0.244,1,-13.359,0,0.0319,0.878,0.00287,0.13,0.0752,120.303,231707,3
Marika Hackman,Tongues,4Ak3RfZPi5A8OnhKnF10pA,30,2014,ambient,0.183,0.118,2,-16.309,0,0.0392,0.974,8.08e-05,0.265,0.0431,139.54,136685,1
Simon Wester,Before Your Throne,4eQfRbtHwC3HIgDuYWteYB,19,2016,ambient,0.399,0.152,0,-19.153,1,0.0346,0.795,0.948,0.0628,0.0823,119.989,350343,4
Alphaxone,Particle Storm,0wOcpPyQCirtTSWiLw8C7o,25,2019,ambient,0.0694,0.0564,10,-28.602,0,0.0437,0.956,0.906,0.108,0.0346,78.287,388574,3
Abel Korzeniowski,Stillness Of The Mind,3lMr9JuHGm6QDqufdxerDJ,21,2010,ambient,0.241,0.336,7,-12.022,0,0.0383,0.903,0.811,0.105,0.0913,74.481,234800,3
The Saxophones,Picture,0Ne0I8T1wkh6cLXjEdIMqV,23,2018,ambient,0.688,0.121,9,-17.843,1,0.0317,0.831,0.518,0.16,0.344,110.009,184366,4
Jeff Greinke,Before the Storm,1kCIWyKvLbdDAVmFtRAAcv,10,2009,ambient,0.0671,0.153,11,-23.32,1,0.0407,0.877,0.933,0.099,0.0483,73.077,297533,1
Max Richter,Aria 2 - Pt. 2,0aQIyhLOakHOzMmq0vpvKm,32,2015,ambient,0.138,0.0433,7,-29.582,0,0.0386,0.926,0.88,0.112,0.119,142.127,86582,5
Sora,행복하세요(MR),4rtwUP3BwF6BJ6D7Dakqti,0,2002,ambient,0.69,0.526,9,-11.105,0,0.0246,0.00431,0.798,0.11,0.674,112.688,190267,4
Biosphere,A La Volonté Du Ciel,6FEwJRNTDwSE9NU0hhNxMa,1,2004,ambient,0.223,0.189,0,-26.756,1,0.0832,0.212,0.521,0.0484,0.232,136.392,361413,4
Erik Wøllo,Expedition,1OGu5Qe2jyhZlQNtNUvRMy,1,2003,ambient,0.419,0.409,0,-12.804,0,0.0296,0.0574,0.924,0.168,0.323,94.97,270333,4
Bethel Music,Standing In Miracles - Live,6r0ZHBrnN30QZiO2r5vc5i,40,2021,ambient,0.332,0.499,5,-10.858,1,0.044,0.777,0.0,0.109,0.0972,113.471,251934,4
