artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Gaerea,Endless Lapse - Bonus Track,5g6VWIOYn3tMxeStHStNBR,11,2016,black-metal,0.416,0.971,2,-10.259,0,0.179,2.5e-06,0.0767,0.195,0.0563,140.09,329038,4
Behemoth,"Decade Ov Therion - Live In Krakow, 2001",0qFomYSMZ9bzG5E28GW3jW,13,2007,black-metal,0.24,0.975,6,-6.201,1,0.0896,0.00101,1.11e-05,0.431,0.0448,135.748,177240,4
Immolation,The Struggle Of Hope And Horror,3y3dtT0jWpTEMu6fQz5oYN,3,2007,black-metal,0.0905,0.853,7,-5.524,1,0.0615,3.51e-06,0.883,0.16,0.199,165.185,441000,3
Mist of Misery,Into the Embrace of Winter,5bgKkQIHLpstGyse6e5wnw,14,2022,black-metal,0.251,0.728,7,-8.561,0,0.0577,0.0264,0.39,0.093,0.0719,180.04,459042,4
Drudkh,Cursed Sons I,5gj4AuWU8OCWCG2hrfGJ2W,11,2015,black-metal,0.369,0.967,2,-7.04,0,0.0905,1.05e-06,0.237,0.141,0.0561,144.99,560013,4
Ihsahn,Austere,2rKBa6SApF3dQtEARrUaQT,12,2010,black-metal,0.478,0.794,7,-6.976,1,0.0318,0.00218,0.809,0.117,0.225,138.049,378667,4
Theatres Des Vampires,Illusion,68nILfozMu0k8Ktl9ApACy,10,2011,black-metal,0.571,0.888,4,-4.576,0,0.0335,0.102,4.33e-05,0.248,0.684,104.996,301373,4
Kvaen,Damnations Jaw,5p6R8NZvwi1Hh4A5lMqclG,15,2022,black-metal,0.205,0.89,11,-13.05,1,0.106,7.88e-06,3.49e-05,0.176,0.0376,174.985,300249,4
Hermóðr,Follow the Water,5lsNGRntextWGoVAlcjc4j,10,2019,black-metal,0.16,0.454,9,-12.005,1,0.0457,0.187,0.919,0.51,0.334,109.396,178069,3
Maniac Butcher,Šílený Řezník... - Maniac Butcher... - Live In Bitterfeld 2001,5ZAkmnFl8rUd4kjZxm9SAj,0,2003,black-metal,0.124,0.927,4,-5.162,0,0.0794,0.0094,0.922,0.366,0.0322,97.529,207960,4
Angelmaker,Leech,5XaueS6W32nmVOFqYsmoCr,51,2015,black-metal,0.254,0.98,0,-4.348,1,0.138,0.00014,0.0659,0.306,0.0399,125.023,285160,4
Dyster,Life Is Not Worth to Be Lived,2KZxvbwFG0DNYa0WZaTydV,12,2013,black-metal,0.149,0.822,11,-10.837,0,0.0663,0.538,0.122,0.121,0.0315,76.773,478293,3
Thantifaxath,Where I End and the Hemlock Begins,5oFbuitcETjO1zXYF0MCwF,11,2015,black-metal,0.124,0.939,8,-5.087,1,0.18,1.01e-05,0.721,0.895,0.0361,151.937,452307,4
Khold,Oyne I Arv,4Uuqan8mggA6niLOOu3Gri,2,2001,black-metal,0.459,0.897,5,-6.413,1,0.0486,3.98e-05,0.646,0.256,0.461,118.069,221373,4
Drudkh,The Nocturnal One,3Wltu29Plq6L07O1Gzo3i3,13,2022,black-metal,0.402,0.975,10,-6.437,1,0.0771,3.69e-06,0.411,0.364,0.0553,144.952,360987,4
Shining,Förtvivlan Min Arvedel,0pooy4TBkcbOtkX1qWbUoe,21,2011,black-metal,0.506,0.953,7,-6.029,1,0.0808,8.53e-05,0.0034,0.365,0.104,119.973,389133,4
Funeral Mist,Cockatrice,25wGJ3aZo1EzSBW4pg3z86,17,2018,black-metal,0.373,0.983,7,-7.835,0,0.298,0.000239,0.729,0.206,0.0321,115.137,447347,4
Mirrorthrone,So Frail,4INWcICis1PBVUaIxvdJOv,20,2008,black-metal,0.251,0.854,0,-3.597,1,0.053,0.00135,0.00632,0.118,0.0365,160.045,400933,4
Nachtmystium,Borrowed Hope And Broken Dreams,5TrYqp251oqI6Jp7iv0jLs,8,2012,black-metal,0.406,0.988,3,-5.447,1,0.0569,3.41e-05,0.483,0.141,0.161,144.968,309493,4
Nattefrost,The Gate of Nanna,6XbtJ8q2so2kW2uJe0AP97,14,2004,black-metal,0.146,0.829,11,-3.376,1,0.0512,6.16e-06,0.658,0.288,0.225,138.231,285853,4
Behemoth,Modern Iconoclasts,4Nhh5nDvepatua8lNQUQwP,14,2002,black-metal,0.299,0.979,6,-5.708,1,0.223,0.000752,0.000156,0.181,0.145,126.069,264600,4
Teitanblood,Cadaver Synod,7xtsv28b7jID5FhcBkHjvV,7,2014,black-metal,0.0836,0.961,5,-8.592,1,0.302,0.000305,0.924,0.112,0.0183,85.661,680187,4
Midnight,More Torment,1PJVtHXprUOAJ7VWSmCdSo,17,2022,black-metal,0.319,0.957,10,-6.181,1,0.0712,3.34e-05,0.0653,0.0922,0.0659,112.817,239827,4
Negură Bunget,III,29Miaq0J8Pfe8ot9LvNVij,3,2003,black-metal,0.325,0.906,9,-5.2,0,0.118,0.00197,0.938,0.112,0.0331,121.975,912893,4
Marduk,Throne of Rats - remastered,71m7jY91kk3jXujksAWDG1,25,2004,black-metal,0.0858,0.935,7,-4.063,1,0.0802,2.12e-06,0.886,0.0915,0.0665,86.348,162987,4
The Chasm,Conjuring The New Apocalypse,6BQZci1BxGAkAziJvqefEI,4,2004,black-metal,0.265,0.991,1,-4.817,1,0.135,4.96e-05,0.505,0.312,0.153,108.702,351440,4
Negură Bunget,Bruiestru,0UFFSk14xHodNUoGfHk9LR,1,2000,black-metal,0.228,0.845,3,-7.49,1,0.0787,0.000281,0.922,0.0866,0.0397,111.925,640480,4
Sadistik Exekution,Rigormortik Resurrektion,5MrnAXNgy5gOGrvPWMOe8O,8,2002,black-metal,0.329,0.746,2,-6.372,1,0.351,0.0104,0.0288,0.279,0.0441,125.508,101773,3
Jute Gyte,A Wind Sways the Pines,5Se5BH8OulQtM1A4GIn9LO,0,2011,black-metal,0.099,0.894,0,-3.558,1,0.126,5.36e-05,0.938,0.12,0.0392,159.93,627150,3
Skyforger,Latvian Rifleman,3K8n3cPhQBX6rYxSgVw7hb,13,2000,black-metal,0.249,0.909,9,-5.448,1,0.0996,0.01,0.00376,0.0921,0.0377,91.122,363333,4
Ihsahn,Disassembled,21aK0Tb4BYfqpY8HdH3DfV,21,2016,black-metal,0.299,0.97,0,-6.121,0,0.249,0.000223,0.016,0.0823,0.0978,134.001,302727,4
Bethlehem,Kandierte Verlosung zu Ross,7cQUBChoPStsj8rxHdB93I,2,2010,black-metal,0.0872,0.485,2,-2.585,0,0.0575,0.000234,0.914,0.647,0.366,87.198,251400,5
Akercocke,Prince Of The North,42wvCFxX9eshRghX8LPf8a,15,2003,black-metal,0.319,0.259,6,-22.607,1,0.037,0.092,0.831,0.248,0.0385,151.6,124267,3
Les Discrets,Virée nocturne,6dtLcYdcThOQXgWe70KfU9,32,2017,black-metal,0.503,0.573,8,-5.876,0,0.0264,0.0918,0.837,0.221,0.108,74.929,236427,4
DØDSENGEL,FRELSERENS ORD,2f2A706FdhQgtccuSHFEh2,1,2007,black-metal,0.149,0.931,4,-3.546,0,0.0902,0.000101,0.814,0.0935,0.031,87.181,216216,4
Thundra,Blood Of Your Soul,1P0W9m047ckxROTGP2RBH7,0,2000,black-metal,0.218,0.912,4,-5.911,1,0.103,5.17e-05,0.00193,0.1,0.156,75.331,508707,4
Tsjuder,Morbid Lust - (Live in Sandnes),7lenFso1ShwnNj6NSMDAlj,1,2006,black-metal,0.117,0.778,4,-2.558,1,0.214,0.000134,0.745,0.815,0.0322,96.289,701597,4
My Useless Life,As I Fade Away,0ciYpsZB4hPUrN1SpanfO5,26,2014,black-metal,0.417,0.98,4,-6.353,0,0.0824,8.61e-06,0.756,0.117,0.0499,120.003,484951,4
Reverorum ib Malacht,.letipaX .81,1oxoifRt5O2fjONKR7Zmny,2,2023,black-metal,0.172,0.0179,1,-25.916,1,0.0435,0.0521,0.834,0.11,0.0219,123.749,375882,4
Bethlehem,Kinski's Cordycepsgemach,1ihghMsQiafW0WhNUmUrvO,2,2014,black-metal,0.468,0.515,6,-10.762,0,0.0283,0.00493,0.791,0.101,0.134,139.903,400920,4
Celestial Bloodshed,"Truth Is Truth, Beyond the God",01VzPS8FCa9CB2rjU5MCF1,3,2008,black-metal,0.186,0.994,11,-5.272,0,0.113,1.53e-06,0.946,0.473,0.0243,158.241,263867,4
Carpathian Forest,I Am Possessed,6XpmREpDjBVHPL47MwgD69,27,2007,black-metal,0.218,0.963,8,-9.747,0,0.298,8.67e-05,0.0152,0.342,0.0369,113.064,262227,4
Krieg,Sickening Voices Without Speech,57E99SPpbabkTKK17GVE9H,3,2008,black-metal,0.195,0.969,6,-3.056,0,0.0647,6.48e-05,0.0828,0.348,0.221,154.746,165280,4
Inter Arma,Love Absolute,5RApixPJ0SD67cCV7Sb2mo,5,2013,black-metal,0.387,0.419,11,-14.259,0,0.0296,0.525,0.98,0.0794,0.166,131.335,242702,3
Tsjuder,Mouth of Madness,2IblFrdeqld8de1yHA2HvI,3,2013,black-metal,0.214,0.936,11,-5.472,1,0.126,1.86e-06,0.27,0.0645,0.153,106.744,480467,4
Thy Primordial,Deprived of Everlasting Bliss,6pFxKP82nEsdoKbGu2Fxiu,0,2004,black-metal,0.162,0.97,8,-4.317,1,0.0894,1.06e-06,0.804,0.146,0.197,131.987,327040,4
Joy,Along the Edge,16DtqzWELHhXOUkKIWvG80,5,2018,black-metal,0.334,0.965,5,-4.424,0,0.0885,1.2e-05,0.659,0.176,0.188,177.973,240067,4
Nidingr,Come Away,6Stq5GtHBNZJQ2m5Zb4jD2,2,2005,black-metal,0.414,0.972,8,-4.226,1,0.0933,0.000124,0.836,0.279,0.305,130.006,191147,4
Sólstafir,Her Fall from Grace,6ymGIUj2xvV0cygyBHmGtr,25,2020,black-metal,0.538,0.488,8,-9.565,1,0.0243,0.0651,0.607,0.106,0.04,90.008,395615,4
Slugathor,Decilacies of the Cadaver,4QQmVC0lXo4VceF4V7QP6J,7,2008,black-metal,0.223,0.968,1,-7.048,1,0.128,4.28e-05,0.948,0.365,0.222,90.571,196907,4
Azaghal,Samaelin Kuiskaus,6XimvGtjS1kFYrRkntGf8o,2,2009,black-metal,0.317,0.983,5,-5.782,1,0.0677,0.0122,0.0295,0.32,0.0337,97.469,207120,4
Downfall Of Gaia,Unredeemable,1XcHSd98jcuOHUXBuqorrq,24,2023,black-metal,0.0907,0.983,10,-5.807,1,0.173,6.84e-06,0.9,0.0263,0.0379,164.866,359132,4
Iperyt,No state of grace,0JNfjFRpeV1VzZrMXnBxzp,7,2011,black-metal,0.377,0.979,7,-6.498,1,0.119,0.000114,0.000266,0.106,0.0353,99.879,228533,4
Lifelover,Doften av tomhet,4ZtKGBRtZ4avHTqUZLq0FH,18,2011,black-metal,0.473,0.902,7,-4.881,1,0.0492,0.00326,0.0796,0.245,0.169,84.992,303387,4
Watain,The Wild Hunt,5WXuLmPCYqf1rvilmoR5tV,27,2013,black-metal,0.41,0.673,2,-6.313,0,0.0366,0.000116,0.111,0.0869,0.155,118.01,380827,4
Mayhem,I Am Thy Labyrinth / From the Dark Past - Live,2EYO49ea7UXqXKuMrJjo8S,4,2001,black-metal,0.166,0.785,8,-18.753,1,0.0765,8.71e-06,0.321,0.201,0.0639,106.004,505773,3
Melechesh,The Arrival Ritual,3Y6qLPWqz6Dz4m627jkQkk,7,2003,black-metal,0.273,0.351,0,-18.233,0,0.0435,0.877,0.882,0.205,0.132,124.437,348640,1
Ellende,Intro,61xWxhs7HCUav7Qm15F1Bq,21,2019,black-metal,0.168,0.0358,0,-12.078,1,0.0372,0.852,0.947,0.488,0.131,101.492,116827,1
Ildjarn,Whispering Breeze,0ymAY18klPD9d3rRT3SC6j,11,2013,black-metal,0.264,0.296,0,-4.255,0,0.185,0.169,0.962,0.893,0.00293,125.594,153693,4
SEDIMENTUM,Momifié dans la vase,6vhIuDNUYOQAtHXi4IkZNT,19,2019,black-metal,0.0803,0.992,4,-2.936,1,0.115,0.00253,0.712,0.115,0.0329,82.433,219221,4
Hermóðr,It Stays the Same,5ulThVo2AMMHcPD9iIu27A,12,2023,black-metal,0.356,0.81,1,-5.304,0,0.0513,0.152,0.94,0.14,0.22,134.933,289106,3
Division Speed,Black Wolves,4FUsfb6LZBJY4qvO9n6dtp,11,2015,black-metal,0.167,0.877,2,-6.647,1,0.0796,0.000612,0.926,0.061,0.0615,114.369,230560,4
Mutiilation,To the Memory of the Dark Countess,2L95aG2mHZShWUKT3KDyhQ,13,2014,black-metal,0.207,0.999,0,-6.843,0,0.125,0.00205,0.212,0.0869,0.0242,124.125,395267,4
Mugwart,The Prostitute,2r1I2TOOwm1F1ssiwDxBhL,5,2009,black-metal,0.214,0.826,0,-6.109,1,0.042,4.25e-05,0.803,0.132,0.234,139.351,241840,4
Carnifex,Intro,5K0oXdtd3W1M3OjgaaWBk1,20,2007,black-metal,0.244,0.962,10,-4.368,1,0.153,2.4e-06,0.843,0.255,0.0893,127.615,41453,5
Profanatica,Fuck the Blood of the Lamb,4l9eeEQW628hl85X5mKIhi,4,2010,black-metal,0.196,0.893,6,-6.121,1,0.0526,1.2e-06,0.803,0.353,0.217,113.409,297280,4
Alastis,Ghastly Fancies,2sqmqcTuBrPEAifFMfSX9j,0,2001,black-metal,0.482,0.712,4,-7.913,0,0.0313,0.0149,0.808,0.367,0.194,109.983,255040,4
Source Of Tide,The Retaliation Of A Misanthrophe,08m5RbCRIiIMilYxC9h3Ja,0,2002,black-metal,0.0949,0.926,2,-2.556,1,0.0731,0.000201,1.84e-06,0.263,0.215,85.01,334187,4
Bethlehem,Wahn schmiedet Sarg,6Mm8PGUOd0Nh5qDn79rrJH,30,2016,black-metal,0.493,0.887,5,-6.921,1,0.0654,0.000165,0.087,0.432,0.0598,113.199,334307,4
Revenge,Nihilist Militant (Total Rejection),3SBA8olFYCIJWqGPssSaHW,10,2015,black-metal,0.115,0.972,9,-5.286,1,0.184,2.24e-06,0.894,0.0714,0.0706,59.503,373560,4
Midnight,Cursed Possessions,3pDKgSMV03N5ImIXQt6Gdo,13,2020,black-metal,0.265,0.94,5,-5.659,0,0.0599,4.29e-05,0.0758,0.206,0.446,121.414,143507,4
Anaal Nathrakh,Feeding The Beast,6MDn6t4CdUjVaqv7XB1sd4,12,2012,black-metal,0.281,0.774,6,-1.572,1,0.109,5.3e-06,0.953,0.348,0.151,125.022,299107,4
Melechesh,Ghouls of Nineveh,3aXsfvslYHf84LoGu2BSYd,19,2010,black-metal,0.291,0.966,7,-4.782,1,0.0637,1.02e-05,0.842,0.119,0.349,155.991,406107,4
Ascension,Garmonbozia,5ANIXZfITKtS47uzSpXcfd,14,2018,black-metal,0.281,0.236,1,-15.233,1,0.0352,0.423,0.793,0.114,0.0392,82.564,69267,3
Azarath,From Beyond the Coldest Star,0z5dtdvuLOFME6jH2Ldobb,4,2009,black-metal,0.33,0.916,9,-4.662,1,0.0779,1.31e-06,0.845,0.0624,0.0701,134.988,152893,4
Dimmu Borgir,The Demiurge Molecule,6AhMoKa1ETLhBT9VP9aRjF,24,2010,black-metal,0.184,0.938,2,-4.807,1,0.0657,6.5e-05,0.00631,0.206,0.198,76.855,329493,4
Kvelertak,Evig Vandrar,6QpkvheHWzzgYqYrUEhFiN,25,2013,black-metal,0.384,0.945,2,-5.365,1,0.0672,3.84e-05,0.877,0.0626,0.291,86.276,168840,4
Mork,I Hornenes Bilde,3T42HH8xsemO57TcfbJKZ5,8,2017,black-metal,0.371,0.994,8,-4.615,0,0.0859,7.31e-06,0.00666,0.361,0.056,77.509,323040,4
Sargeist,From the Black Coffin Lair,5tEDudMiJAXEUDcu43HQTt,24,2010,black-metal,0.2,0.981,7,-6.663,0,0.0595,4.01e-06,0.81,0.252,0.239,141.103,280467,4
Nachtmystium,Fireheart,7MRoKkwofknta2RlGBQ8Sw,10,2014,black-metal,0.414,0.949,10,-4.3,1,0.0536,0.000128,0.0382,0.186,0.251,77.985,315482,4
Thulcandra,Devouring Darkness,76eXdS84Oq9gSB28zx1aZb,12,2021,black-metal,0.427,0.946,7,-7.864,0,0.0737,1.54e-05,0.693,0.104,0.0619,110.02,366951,3
...And Oceans,Postfuturistika,6WZlGTxksdpiM3YsyVMY0F,6,2001,black-metal,0.188,0.874,9,-6.121,1,0.0606,1.32e-05,0.0997,0.178,0.0775,119.739,341093,3
Sólstafir,Pale Rider,4P69I8VirDAR7T5nWnyjAk,18,2009,black-metal,0.118,0.811,7,-4.381,1,0.146,8.61e-06,0.0525,0.0602,0.039,149.339,484973,4
Dornenreich,Von Kraft und Wunsch und jungen Federn,5iYNetfLPK8a7yLly0kgX5,1,2014,black-metal,0.289,0.283,2,-12.831,1,0.0325,0.0827,0.0782,0.2,0.318,86.331,348760,3
Ulcerate,There Are No Saviours,6qpY1wZpcgBINPJierUgEH,13,2016,black-metal,0.238,0.942,2,-4.646,0,0.188,5.75e-05,0.746,0.122,0.0394,116.253,484604,4
Sodom,Shoot Today - Kill Tomorrow,0cV1vXUSQOUI47ziVn9pXG,11,2013,black-metal,0.545,0.982,7,-3.353,1,0.151,7.75e-05,0.00158,0.318,0.212,105.075,240907,4
Susperia,Blood on My Hands,2p7oMACWX4TWx50jZpfNp9,3,2001,black-metal,0.378,0.807,2,-5.686,0,0.0494,3.22e-05,0.000172,0.0987,0.425,148.046,314893,4
Dark Funeral,A Beast to Praise,4PFwLkTRUiF8bIDF24FQEH,21,2022,black-metal,0.384,0.947,9,-5.479,1,0.0634,1.16e-06,0.622,0.253,0.0393,110.032,289246,4
Enslaved,Sigmundskavadet,6oz80ePGMQKTYM4bJiyfhj,9,2001,black-metal,0.383,0.41,1,-11.039,1,0.0366,0.298,0.88,0.121,0.0334,114.812,417573,4
Silencer,Sterile Nails and Thunderbowels,2FRLdiDsbePEX3AIzImfXd,35,2001,black-metal,0.254,0.838,7,-8.53,0,0.11,0.000214,0.103,0.197,0.152,142.119,375733,4
Sivyj Yar,Distant Haze Was Arising,6dVuC1VBEqzALeGM3OhbeC,20,2014,black-metal,0.45,0.966,2,-6.281,0,0.161,0.000181,0.535,0.0935,0.0943,100.054,531937,4
Cradle Of Filth,Cruelty Brought Thee Orchids - Remixed and Remastered,0OiONu7Cgk6ezrdDNxEJp6,26,2019,black-metal,0.277,0.969,0,-7.553,0,0.0959,0.000215,0.0517,0.206,0.268,123.756,438361,4
Olhava,Ageless River III,3MCbplASnZu5vGt8Gk5H1c,9,2020,black-metal,0.125,0.878,1,-10.023,1,0.0809,0.464,0.799,0.468,0.0211,98.8,230456,3
Astronoid,Obsolete,3PJLJVGxQ1lbLiJgI2ivo0,15,2016,black-metal,0.418,0.935,2,-8.481,0,0.0933,0.000144,0.159,0.384,0.233,160.019,371987,3
Ashenspire,Restless Giants,2T4F2U00m3FjpHL4yZFAIk,11,2017,black-metal,0.209,0.9,4,-7.695,0,0.129,0.000279,0.345,0.357,0.311,93.35,561038,3
Belphegor,Angel of Retribution,65N7bYuuuGckngDHif3q2r,15,2006,black-metal,0.408,0.907,0,-3.127,1,0.0662,4.26e-05,0.667,0.109,0.0719,106.004,331964,4
Hellripper,Hellkvlt Warfare Kommando,6TtqHTm0yae9ZV2RsfjIPT,26,2018,black-metal,0.325,0.981,6,-7.183,1,0.129,1.07e-05,0.63,0.0554,0.0633,96.028,126133,4
Deafheaven,Vertigo - Live,2erMxG6EPdxEBxVrvfIDrA,16,2020,black-metal,0.101,0.865,8,-6.47,1,0.079,1.18e-05,0.855,0.073,0.135,179.779,845601,4
Vader,Where Angels Weep,26yeSO44Ge1HlGRrNDFsBa,22,2014,black-metal,0.46,0.974,1,-4.402,1,0.204,6.86e-06,0.184,0.366,0.186,130.019,138907,4
Ludicra,Hollow Promise,42dmJKhwkoAjJcIguywM00,4,2002,black-metal,0.256,0.924,7,-6.549,1,0.0705,1.32e-05,0.828,0.129,0.307,145.942,366000,4
