artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Ekin Cheng,新歌,5zEQBUgnfJvVLxSlwymoPz,16,2009,cantopop,0.476,0.546,1,-5.374,1,0.0267,0.229,0.0,0.105,0.402,153.893,196573,4
Alex To,黃金比例,5H7Acf2J6jOtiqaFqIeVTr,6,2004,cantopop,0.733,0.587,7,-6.354,1,0.0285,0.546,0.0,0.0991,0.655,97.999,229933,4
Edison Chen,别走,2629toNv9Q1qO0v3wJTsKK,1,2018,cantopop,0.728,0.891,11,-3.873,0,0.0827,0.0498,0.0,0.335,0.943,138.022,293103,4
my little airport,今宵多珍重,7hM5duVObouIsRhz1Y2OcH,29,2019,cantopop,0.661,0.632,2,-10.482,1,0.0674,0.21,0.00123,0.579,0.667,92.966,161989,4
張栢芝,亂了感覺,3gGKxm5okG6qW0WHSoqjcb,0,2000,cantopop,0.586,0.329,7,-11.378,1,0.0294,0.374,7.57e-06,0.094,0.265,103.073,250573,4
Stephanie Cheng,死不了的,268geNtxE5qLzqg9JPmJAR,8,2017,cantopop,0.585,0.834,1,-7.467,0,0.0356,0.01,0.0,0.142,0.641,112.001,218430,4
Cally Kwong,與龍共舞 - 電影[與龍共舞]歌曲 (第11屆香港電影金像獎提名),3Lz15j52poftwgcLHN1ptD,19,2022,cantopop,0.593,0.366,1,-9.225,1,0.0289,0.791,0.12,0.113,0.167,79.062,268933,4
Hacken Lee,當我知道你們相愛 (國),6e7F8cViIj5GHzV98T4esI,10,2017,cantopop,0.542,0.325,0,-9.495,1,0.0761,0.429,0.0,0.0867,0.156,123.938,244820,4
青山,酒醒夢已殘,4Kc2AFsPISNS4qn6ZFhzPv,3,2007,cantopop,0.408,0.264,3,-14.758,1,0.0333,0.622,0.0,0.0483,0.456,71.826,221773,3
Beyond,堅持信念,5ZWXConpsVQ7nMeegUpfgf,0,2012,cantopop,0.606,0.439,9,-13.095,0,0.0415,0.544,0.0,0.324,0.751,74.029,224600,4
Miriam Yeung,白天鵝,1NPS7KgqgIBahkiGVlzNc1,7,2012,cantopop,0.613,0.507,6,-11.007,0,0.254,0.452,0.000105,0.107,0.583,169.067,218733,4
Edmond Leung,終身贊助,4Lrd2ldgR4Bn1o269MUDDU,5,2017,cantopop,0.436,0.529,7,-6.343,1,0.0298,0.706,0.0,0.123,0.365,146.366,256829,4
Tracy Huang,I Only Want To Be With You,1RavxQiB1yrqqftTnPKYDj,0,2019,cantopop,0.616,0.855,5,-5.562,1,0.0316,0.154,3.52e-06,0.109,0.926,140.598,154333,4
Anthony Wong,人在旅途灑淚時,0Gg9yW4ELCLYz6ue0HCkwx,4,2016,cantopop,0.428,0.675,3,-6.748,0,0.0384,0.0385,0.0119,0.709,0.468,169.988,246480,4
Ellen Loo,小霧,4RXCETKsuYbPAOvhzMCBfU,7,2012,cantopop,0.538,0.318,4,-9.804,1,0.0261,0.757,0.0,0.0845,0.221,92.742,241000,4
Andy Hui,愛情沒理由,0t2UACDIEIsJG5DB8ILuW5,1,2000,cantopop,0.564,0.585,0,-5.112,1,0.0276,0.378,0.000281,0.162,0.322,141.019,261413,4
翁倩玉,風兒多可愛,4rkMnpzezdEqPD96cojFcZ,4,2006,cantopop,0.613,0.324,10,-12.004,1,0.0314,0.389,0.0,0.131,0.708,124.512,137520,4
Linda Chung,"不顧一切 - (電視劇 ""武則天"" 插曲)",6N77gep8TKeZ0eWOUCgLOi,24,2016,cantopop,0.596,0.537,10,-6.49,0,0.0333,0.557,0.0,0.103,0.32,135.87,249533,4
青山,煙雨斜陽,73K6zKsm4kC1Vt8JjJrTbU,3,2007,cantopop,0.289,0.21,3,-16.034,1,0.0324,0.932,0.0227,0.0787,0.36,79.015,187823,4
Chilam,片片楓葉情,1Iu4XbZg1oexnAcyBPrMFu,20,2007,cantopop,0.575,0.363,8,-15.581,1,0.0288,0.541,0.0,0.314,0.598,97.901,284133,4
Hubert Wu,"為愛冒險 - 劇集 ""救妻同學會"" 主題曲",1tSzV8oQbfYwLGbQbnFHr2,20,2018,cantopop,0.66,0.617,9,-8.707,0,0.0381,0.0929,0.0,0.0855,0.745,148.015,199354,4
Miriam Yeung,只談風月不談戀愛,3d5qiArKQdQ8nvZZZbnhH2,12,2007,cantopop,0.676,0.44,1,-8.111,1,0.035,0.722,0.0,0.0884,0.304,129.986,247480,4
Grasshopper,兒童不宜,73TFDF8NG2chiKR2nXXd2v,4,2005,cantopop,0.736,0.871,10,-11.46,0,0.201,0.036,0.0,0.976,0.678,150.46,243226,4
Hins Cheung,老了十歲 (Hins Live in Passion 張敬軒演唱會 2014),2BOZzoizgTTlN2IhBdMdH3,22,2014,cantopop,0.422,0.244,1,-15.554,1,0.0505,0.848,0.0,0.821,0.196,100.032,245194,3
Andy Lau,真愛是苦味,3T6Ygg3OuO2HgSlv95fwG6,16,2002,cantopop,0.558,0.453,1,-9.988,1,0.0266,0.0761,6.35e-05,0.362,0.326,101.046,217000,4
Hins Cheung,迷失表參道 (Hins Live in Passion 張敬軒演唱會 2014),5sh3CKLLZnV1XZbgMOHByh,17,2014,cantopop,0.498,0.752,5,-10.77,0,0.0726,0.352,0.00197,0.676,0.462,106.937,260897,4
Christopher Wong,流金歲月,2Cj8tetiEJmjnBkDkJLJ6K,9,2004,cantopop,0.44,0.231,2,-14.421,1,0.0313,0.911,0.00607,0.131,0.17,76.963,244880,4
Kelly Chen,都是你的錯,4pcVxvedFvYbJK9dDjhkQE,39,2003,cantopop,0.551,0.833,7,-5.633,1,0.0403,0.0282,0.0,0.3,0.333,137.949,247427,4
Pakho Chau,前言,6tKVP2P8kFxtJ385K7kT1y,16,2015,cantopop,0.43,0.202,0,-15.868,1,0.0783,0.822,0.0,0.0815,0.427,205.97,160256,3
Andy Hui,我們都要幸福,5hBcVCeRmfv2Yk59wHIdCX,0,2000,cantopop,0.24,0.199,0,-12.392,1,0.0445,0.862,2.07e-06,0.122,0.239,64.134,285373,4
Sherman Chung,代你出手,0tL0bKKs3rtayZ5A9OYUdB,7,2012,cantopop,0.765,0.851,2,-2.998,0,0.0422,0.682,0.0,0.0915,0.605,105.959,217160,4
Phil Lam,有人共鳴,62E0LkaqA8aDs1J4oVJfdm,35,2015,cantopop,0.5,0.482,2,-8.872,1,0.0334,0.474,0.0,0.293,0.547,146.076,218138,4
Serrini,樹,2QYGFCVQTALeyYGNvKHn9T,35,2021,cantopop,0.474,0.285,11,-10.192,1,0.0346,0.725,0.0,0.0954,0.217,153.638,235797,4
柳影虹,星星愛月亮,3JohdN3CKfwiwZ2JebKI4v,11,2008,cantopop,0.523,0.775,11,-9.038,0,0.0489,0.104,2.81e-06,0.803,0.655,119.7,306000,4
藍戰士,這旅程,1h8Q8nUS9DtSLXoJGvtQQk,1,2004,cantopop,0.439,0.56,9,-6.64,1,0.042,0.0395,0.0,0.181,0.268,100.06,310467,4
麗莎,啼笑姻緣 - 修復版,0RbgcHjFsNkQ3vWD7QsxhO,17,2015,cantopop,0.393,0.438,10,-2.596,1,0.0255,0.473,0.0,0.205,0.444,146.246,219947,4
HANA,鋼鐵有淚 - 電視劇《鐵探》片尾曲,4hH7FdmHKakJWoXjkqame4,6,2019,cantopop,0.419,0.554,2,-6.566,0,0.051,0.657,0.0,0.335,0.285,204.026,231883,4
Karen Mok,失戀萬歲,72oZQzMgHXEoIFkVHfSOva,8,2002,cantopop,0.766,0.613,1,-5.625,0,0.0352,0.0799,2.51e-06,0.179,0.908,126.006,181350,4
Faye Wong,我和我的祖国 - 同名电影主题曲,1EYoIF4cvLL5MGx7907imf,31,2019,cantopop,0.228,0.467,0,-9.041,1,0.0377,0.491,0.136,0.0927,0.145,164.305,188612,3
Jenny Tseng,心願 - 2022 Remastered,7a7sD9W4hBndvGYkvSUkJI,1,2022,cantopop,0.364,0.31,5,-10.067,0,0.0298,0.954,8.11e-06,0.0691,0.218,88.82,144673,4
Kenny Bee,隨想曲,5AUiUaSACwu8ajQiKz1TJu,2,2018,cantopop,0.325,0.152,11,-15.022,1,0.0351,0.967,0.00143,0.178,0.0811,64.322,250973,3
Karen Mok,境外,6PYaEUSn22VcFCgqOjTJ8c,13,2014,cantopop,0.595,0.406,5,-7.993,1,0.0282,0.336,0.0,0.11,0.223,146.071,283156,4
袁鳳瑛,滾滾紅塵,5TzUETx9tb6ryCBTkCjGlV,17,2017,cantopop,0.384,0.219,4,-16.692,0,0.0338,0.771,0.000821,0.135,0.147,88.944,196886,3
Jia Liang Luo,真說話,6noW4L8v3MkqZkVkc77ri3,2,2007,cantopop,0.439,0.254,0,-13.595,0,0.0341,0.801,2.41e-06,0.0969,0.218,115.117,232533,4
