artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Ron Trent,Blazzin - Original Mix,1WmpIEcJwUjubtVOnAMcQI,6,2017,chicago-house,0.645,0.689,10,-11.916,0,0.0335,0.0148,0.858,0.0943,0.897,123.011,519024,4
"Steve ""Silk"" Hurley",The Word Is Love (feat. Sharon Pass) - Mousse T.'s Kinda Deep Mix,2ijZ3tZNx7esTHhO3GG68M,0,2018,chicago-house,0.764,0.977,10,-2.67,0,0.056,0.000372,0.0233,0.0746,0.802,124.516,404280,4
Jesse Saunders,Sunshine - Demarkus Lewis Remix,1sCRtIy19Gh5srG6Rh9YZo,0,2016,chicago-house,0.804,0.464,7,-6.719,1,0.0508,7.93e-06,0.211,0.0692,0.739,122.996,374627,4
Mike Dunn,Work,4EAs8P5r7EzUhYlbCo8XZu,0,2020,chicago-house,0.802,0.886,11,-6.506,1,0.0431,2.63e-05,0.873,0.0356,0.504,127.512,392237,4
Jesse Saunders,Rock It (Til the Dawn) - Stranger Danger Deep Gruv Remix,0TYyixQbQjQDuitAAFZfwU,0,2022,chicago-house,0.766,0.781,9,-6.404,0,0.0457,0.0012,0.0205,0.153,0.885,124.018,372264,4
Barbara Tucker,One Desire - Quentin Harris Other Mix,3mnabJ7seUHtyaLV9y7hLz,0,2016,chicago-house,0.789,0.522,4,-9.996,1,0.0625,5.25e-05,0.366,0.0626,0.94,124.997,481667,4
Mike Dunn,Can I Turn It Up - Jerome Sydenham Remix feat. RT,5ze1cxVu6SX1k7AfsxjwFL,2,2015,chicago-house,0.806,0.932,4,-7.181,0,0.0586,0.00106,0.858,0.0915,0.104,125.002,399946,4
Armando,Jack' N' 4 Jazz,6b4An8aP9CaNullSWrLZ7s,0,2000,chicago-house,0.929,0.844,1,-12.534,0,0.268,0.0214,0.869,0.0804,0.755,129.669,232413,4
Fast Eddie,Dance 2 The Record,4R3KloDtWyAWTlZlWHzXlj,1,2021,chicago-house,0.791,0.871,6,-6.032,0,0.0451,7.92e-05,0.088,0.071,0.686,125.029,316687,4
Armando,Radikal Bitch,4pMjrQUh9K21TTrvNtHAjm,8,2014,chicago-house,0.795,0.511,6,-10.648,1,0.0638,1.59e-05,0.762,0.0912,0.619,131.911,147840,4
Roy Davis Jr.,About Love - Jon Marsh All About Vocal Mix,2NK1SZttF7NmJDJB4LlKFz,3,2011,chicago-house,0.806,0.953,6,-8.469,0,0.0637,0.00112,0.776,0.0536,0.5,125.005,499362,4
"Steve ""Silk"" Hurley",House Train - Kenzo Remix,58wb4fbKnx2cHXbArJM7iL,0,2021,chicago-house,0.91,0.542,8,-8.61,1,0.208,0.00306,0.056,0.217,0.696,123.991,412387,4
DJ Pierre,Fall - 2017 Remake,3jrRM3VeXShQOTpGWMPyB7,0,2017,chicago-house,0.74,0.498,5,-9.045,0,0.0382,0.000139,0.574,0.15,0.445,125.993,446753,4
Joe Smooth,Power,0LDnKu0g77ejIHRPuMUaHG,0,2002,chicago-house,0.69,0.917,10,-5.659,0,0.0477,0.0292,0.866,0.126,0.652,125.93,297213,4
Cajmere,Midnight '04,73blvrUhCqWmRPiH2IXPna,12,2010,chicago-house,0.802,0.746,0,-7.676,1,0.0578,0.0208,0.482,0.0731,0.603,128.11,284930,4
Mark Farina,Dream Machine - DownTempo Mix,3be3cYFQXmPnR326xkKoDU,45,2005,chicago-house,0.905,0.676,10,-4.349,0,0.0518,0.219,0.0774,0.116,0.776,115.976,325387,4
DJ Sneak,Grubbin Sound - Instrumental,64NikBNZIax3eR14qgYjvz,0,2011,chicago-house,0.809,0.979,10,-10.039,1,0.0526,0.00208,0.92,0.0817,0.666,124.979,493440,4
Mr. Fingers,A Day in Portugal,19JtCsFiKET01hzAmVzsir,29,2018,chicago-house,0.704,0.625,10,-12.823,0,0.0303,0.32,0.798,0.103,0.75,100.984,327407,4
Ron Trent,It's Magic,4dsB1qouKsLiAsyRY3nLN6,1,2009,chicago-house,0.714,0.908,6,-6.685,0,0.0365,0.0663,0.826,0.0729,0.716,123.002,765547,4
Mike Dunn,Can I Turn It Up - Dub Track,1IsBHKYXxyZVoOdUdqks46,0,2014,chicago-house,0.808,0.839,1,-10.198,0,0.0669,0.00364,0.953,0.0664,0.485,125.004,377000,4
Mike Dunn,Natural High - Mike Dunn Extended Black Glitter MixX (Mixed),6oszs1XkWb7BfSv74i2tyG,0,2019,chicago-house,0.838,0.825,0,-7.868,1,0.0407,0.000237,0.655,0.0691,0.67,123.986,309678,4
DJ Pierre,Come Together - Alex Kenji Unreleased Vocal Dub,6yxA2ezhiN5EH9QGWrZoMz,0,2014,chicago-house,0.813,0.738,11,-7.489,0,0.0694,0.000207,0.295,0.0652,0.332,128.012,362183,4
Roy Davis Jr.,Magic - Andrew Emil Dreamdub Remix,5DySFKEpwJZcciWV9RzIjF,0,2020,chicago-house,0.79,0.935,7,-4.901,0,0.0518,0.000464,0.862,0.182,0.796,120.007,488000,4
Jovonn,Back in the Dark - Dub Mix,7L1EyPOoOakTFWjIlAveRP,6,2011,chicago-house,0.948,0.912,1,-11.146,1,0.209,0.00793,0.867,0.103,0.759,122.98,332000,4
DJ Pierre,Genesis Wave,2DOXF3jp8GniEV6Jq3T8dp,0,2021,chicago-house,0.808,0.547,11,-9.615,0,0.0775,0.000816,0.95,0.0869,0.314,126.985,472615,4
