artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Miloš Karadaglić,"Here, There & Everywhere",67GeuLG1MeWAME19zf5aUy,20,2016,classical,0.399,0.135,4,-20.19,1,0.0401,0.987,0.942,0.1,0.438,97.639,168116,1
Annelie,Oh Gloria,3NuBDQAPmxUbcbjY9lDggG,27,2018,classical,0.444,0.0337,3,-25.403,0,0.0464,0.994,0.947,0.115,0.136,116.073,173128,3
Wolfgang Amadeus Mozart,"Le nozze di Figaro, K. 492, Act III: No. 20b, Dove sono i bei momenti",2xHCae77PJT65bDKSGntsc,0,2023,classical,0.347,0.0536,0,-22.996,1,0.044,0.972,0.00258,0.121,0.202,112.486,243867,4
Edward Elgar,Elgar: Salut d'amour,7oHpViuraso4OFQmhJNaip,27,2018,classical,0.209,0.0559,4,-26.47,1,0.0569,0.904,0.00413,0.0831,0.11,144.499,162392,5
George Frideric Handel,"Dixit Dominus, HWV 232: Judicabit in nationibus",0bpbt6rX5XMURRiip6SRMX,16,2001,classical,0.347,0.371,4,-16.641,1,0.0364,0.973,0.0126,0.618,0.579,99.748,149307,4
Yasunori Mitsuda,At the End of Time,2sgAHZmmEjGr0E9MMmWv3h,20,2016,classical,0.491,0.146,0,-17.583,1,0.0758,0.984,0.904,0.0989,0.0819,78.157,224171,4
Robert Levin,"Requiem in D Minor, K. 626 (completed by R. Levin): Sequence No. 6: Lacrimosa dies illa (Chorus)",3Ux6OBRPK5XOVuBfxbH2LV,24,2000,classical,0.158,0.0492,2,-21.468,0,0.0406,0.985,0.367,0.248,0.0398,143.622,146907,3
Henrik Måwe,"Préludes for Piano, L 117: La fille aux cheveux de lin (The Girl with the Flaxen Hair)",36ZHvAITv8ViqosV8gZtre,27,2012,classical,0.319,0.0539,6,-22.512,1,0.052,0.993,0.896,0.0862,0.113,70.611,139761,4
Oskar Merikanto,"Kesaillan idylli (Summer Night's Idyll), Op. 16, No. 2 (arr. J. Panula)",5FPfFCdI9x81ZLt8w5Jxw9,36,2000,classical,0.167,0.0138,5,-34.11,1,0.0461,0.904,0.837,0.0968,0.0649,96.617,78067,4
Rebecca Dale,Can't Sleep,6mus9lF8bgipBehHDZ9Top,28,2021,classical,0.482,0.175,10,-22.991,0,0.047,0.992,0.929,0.252,0.039,103.304,428453,3
Edward Elgar,3 Bavarian Dances: No. 1,5JNJkUkaOS2ossbY1pKaqW,23,2006,classical,0.19,0.147,7,-16.834,1,0.0437,0.963,0.941,0.109,0.249,180.691,220920,4
Morton Gould,American Salute,66d2aUVV6dMNswd5xKQEEh,16,2012,classical,0.422,0.335,7,-14.963,0,0.0701,0.927,0.855,0.274,0.309,138.717,262320,4
Wolfgang Amadeus Mozart,"Mozart: Die Zauberflöte, K. 620, Act 2 Scene 8: No. 14, Arie, ""Der Hölle Rache kocht in meinem Herzen"" (Königin)",13HIMo0iMwAkUjBApGZ6E2,17,2005,classical,0.461,0.287,5,-16.138,1,0.0946,0.942,0.000407,0.0617,0.152,75.693,181093,4
Joseph Haydn,"Haydn: Keyboard Concerto in D Major, Hob. XVIII:11: II. Un poco adagio",1UbtH0ZGcDFFt0GqDEkebe,20,2014,classical,0.235,0.0671,4,-24.117,1,0.0444,0.982,0.899,0.154,0.0396,83.558,445933,4
Richard Strauss,"Vier Lieder, Op. 36, TrV 186: 1. Das Rosenband",5X7SFzitrr2WK0E6ccpyCo,0,2023,classical,0.218,0.0792,9,-22.443,1,0.0411,0.974,0.186,0.311,0.0399,82.829,202661,4
Ludwig van Beethoven,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise"": Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise"" - Live",5eXuYIItrgzdWRWzhMD9kP,24,2012,classical,0.232,0.023,9,-36.103,0,0.05,0.993,0.85,0.0636,0.316,126.17,196173,3
Wolfgang Amadeus Mozart,"Violin Concerto in D Major, K. 271a (Attrib. Doubtful): I. Allegro maestoso",7sj08xosBt3X88dYVrDKhr,1,2023,classical,0.388,0.103,9,-20.099,1,0.055,0.943,0.541,0.0934,0.294,76.881,670276,4
Johann Sebastian Bach,"Triple Concerto in A Minor, BWV 1044: II. Adagio ma non tanto e dolce",2ssjeBTCkhch0DybjnNfaV,11,2023,classical,0.311,0.031,11,-28.155,1,0.0429,0.956,0.00479,0.0979,0.203,68.586,360842,3
Joe Hisaishi,Nahoko (I Miss You),7FxSSLDMPRDx8ZDLVpdur9,28,2013,classical,0.225,0.182,1,-16.623,0,0.0389,0.986,0.866,0.0806,0.0572,91.806,185867,3
Freedom Call,High Up,4Dk0i74x8dmSHAQwswAI23,32,2016,classical,0.469,0.98,5,-2.75,0,0.107,4.23e-05,0.00221,0.352,0.567,135.024,181974,4
Sinergy,Passage to the Fourth World,1oDlXNtINoHB2KBPmocPHJ,18,2002,classical,0.478,0.956,8,-3.769,1,0.0642,4.95e-05,0.00593,0.332,0.605,96.113,218667,4
Johann Sebastian Bach,パルティータ 第2番 ハ短調 BWV826 シンフォニア,2EwlSECWFdO21QT0XbGcyl,17,2023,classical,0.334,0.216,5,-22.428,0,0.0564,0.992,0.898,0.0691,0.409,119.333,278027,3
Improline,Last Dance,22VAJayPUvAxYHPH78HjKS,30,2022,classical,0.478,0.00527,8,-30.78,1,0.0865,0.995,0.967,0.093,0.429,68.771,161151,1
Edvard Grieg,"Peer Gynt-Suite Nr. 1, Op. 46: II. Death of Aase",0W873wS6cRdOeghdZdK3gb,19,2007,classical,0.144,0.0182,7,-25.186,1,0.0427,0.932,0.738,0.0976,0.0326,139.327,249293,1
Wolfgang Amadeus Mozart,"Così fan tutte ossia La scuola degli amanti, K.588 - (L. da Ponte) - Act 1: ""Soave sia il vento""",4bUEsFV1VCS28PShYRby4l,26,2000,classical,0.113,0.162,4,-18.606,1,0.0427,0.994,0.327,0.218,0.0383,74.137,189200,5
Hector Ayala,Serie Americana: Takirari,4I8Wm3dq8IGhM7Q6qfchSy,22,2002,classical,0.379,0.0272,7,-29.681,1,0.0449,0.993,0.939,0.143,0.418,147.569,111107,4
Daniel Barenboim,"Bach, JS : Well-Tempered Clavier Book 2 : Prelude No.11 in F major BWV880",0Ia2B1Fp0SnTLQ9OJp0tJH,13,2004,classical,0.297,0.0284,2,-32.243,0,0.0503,0.995,0.897,0.0948,0.18,115.028,247373,4
Kristoffer Wallin,Quietly,5jX0AoPoIAEKgJXOqa92CB,25,2021,classical,0.346,0.0416,7,-26.708,0,0.0418,0.994,0.958,0.106,0.248,169.612,138000,3
Wolfgang Amadeus Mozart,"Mozart: Piano Concerto No. 21 in C Major, K. 467: 2. Andante",1pHgB58K3y7aXkDHz5kryW,47,2020,classical,0.146,0.0451,5,-22.971,1,0.0352,0.962,0.962,0.0934,0.0855,179.753,171520,3
Howard Shore,The Pass of Caradhras,0pcBzqJOUJWxpEHO7aVB0d,38,2001,classical,0.06,0.118,9,-20.184,0,0.0373,0.863,0.915,0.109,0.0352,65.794,304013,3
Orden Ogan,The Face of Silence,2Gh43JNCRxUjo5jTUnCpxZ,26,2017,classical,0.44,0.975,2,-3.906,1,0.0596,0.000211,0.00819,0.277,0.0737,96.039,374227,4
Wolfgang Amadeus Mozart,"Sonata for Piano and Violin in E Minor, K. 304: I. Allegro",2aE1VNdRij18FhWWRNKsxY,0,2023,classical,0.384,0.16,4,-20.184,0,0.0401,0.973,0.533,0.196,0.434,86.611,423027,4
Henry Smith,No One - Piano Version,4Io6bISowwt8uFvnlBk1qC,49,2022,classical,0.365,0.00584,4,-27.329,1,0.0527,0.996,0.935,0.0696,0.232,167.259,187375,4
Improline,In This Moment,794Ns2yEYlZuWTygrP3gpF,29,2022,classical,0.312,0.00757,3,-27.113,0,0.0473,0.989,0.953,0.103,0.228,71.538,161455,4
Arnold Schoenberg,"Violin Concerto, Op. 36: II. Andante grazioso",1Yei1vnZmqT1wcP5VPej3k,14,2008,classical,0.241,0.0989,2,-22.861,0,0.0433,0.942,0.345,0.303,0.0457,103.047,449773,4
Carl Philipp Emanuel Bach,"Notebook for Anna Magdalena Bach (1725) [Excerpts]: No. 17, Polonaise in G Minor, H. 1 No. 2 [Attrib. J.S. Bach's BWV Anh. 123]",3rfXh4LVoirBmsmdDKfd3u,43,2021,classical,0.535,0.122,7,-22.273,0,0.0491,0.995,0.882,0.145,0.664,96.846,66853,3
Ludwig van Beethoven,"Beethoven: Symphony No. 8 in F Major, Op. 93: IV. Allegro vivace",6R1X9beRwuuhdT4ERX9P0F,23,2003,classical,0.388,0.225,5,-19.127,1,0.041,0.95,0.716,0.0967,0.246,139.532,462093,4
