artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
HDMIRROR,BILLY,4YOxJ0rjhm4ztYGzPhnFCm,0,2017,club,0.213,0.686,6,-5.116,1,0.0586,0.011,0.33,0.41,0.0628,88.568,91552,3
The Brilliant Corners,How Embarrassing to Dance Like That,4P379Bosmc1MKzj9N9Xd4K,0,2013,club,0.492,0.611,11,-11.17,0,0.0284,0.0229,0.147,0.0864,0.699,113.597,263920,3
The Hit Parade,Come And Get Me Girl,0yf3vwyXeMdyTLCfN2CuIP,6,2008,club,0.702,0.691,1,-13.105,1,0.0498,0.0743,2.38e-06,0.377,0.849,131.766,199200,4
Absolute Valentine,Resurrect,16SrSNtAk6g8ichGzBAdo5,18,2019,club,0.527,0.946,9,-5.623,0,0.0492,0.0527,0.974,0.0673,0.165,124.949,255360,4
Occams Laser,Midnight Escape (Citizen Kannot remix),1SRVv1ywBO9Xyr962jvmQv,1,2015,club,0.523,0.853,11,-6.296,1,0.0566,0.00742,0.35,0.0825,0.141,121.989,267541,4
Glee Cast,I've Gotta Be Me,3byzeyXfDTrwJkIkMMbroI,28,2012,club,0.423,0.558,1,-6.513,1,0.037,0.115,0.0,0.204,0.802,97.76,165760,4
Melodie Group,Goodbye,198sKNfvW5ID4VFiKy9QrS,0,2000,club,0.672,0.206,2,-20.606,1,0.054,0.0493,0.0968,0.0832,0.29,132.017,152133,4
Tarik Bouisfi,Lost Spirit,2eTmOAAlQd17DGnuAW9sVl,31,2022,club,0.532,0.978,2,-4.966,1,0.0474,0.145,0.895,0.45,0.311,120.013,232571,4
Fire-Toolz,"Subconscious Pilsen Relics, Pt. 2 [CODENAME_AIRPLANE MODE]",6jnJhv4A6u4KAiFcnzl2cz,2,2017,club,0.482,0.801,0,-7.827,1,0.0919,0.0972,0.00295,0.0613,0.413,180.045,151560,4
BABii,LiiTE_13-37,0ga9WbOcwXBd3tcoSTGsxI,26,2022,club,0.636,0.788,7,-10.007,1,0.051,0.0637,0.847,0.739,0.355,136.001,172027,4
The Mosquitoes,Chocolata (Remix),24vQcPAIZ5K8xWpOxTd9ru,0,2013,club,0.813,0.701,7,-4.832,0,0.0402,0.434,2.27e-06,0.124,0.797,108.019,213787,4
Orange Cake Mix,It Won't Be Long Until I See You Again,3tu8FHVlDArn0kMZc7f0AV,0,2008,club,0.114,0.463,1,-8.041,1,0.0342,0.336,0.0102,0.267,0.0785,172.929,157867,4
Arca,KLK,2ZFu40Ik8VsUE9H87W0MmZ,57,2020,club,0.798,0.873,10,-6.732,0,0.0908,0.064,5.17e-05,0.764,0.846,98.017,227402,4
DJ LILMAN,Jersey Shore (feat. Bro 4),1djLO8jgR0kdxltSC8e84o,1,2016,club,0.601,0.499,11,-11.634,0,0.219,0.105,1.82e-06,0.0946,0.195,149.822,192105,4
James Ferraro,Adventures in Green Foot Printing,5kmCOjS1qFzdCvJcxwf1dG,29,2011,club,0.658,0.877,1,-1.491,1,0.0281,0.682,0.194,0.181,0.966,126.931,208000,4
Unholy,El Cucuy,73hmdumtADI7U9GxlupB5o,17,2021,club,0.389,0.598,8,-8.951,1,0.0445,0.167,0.739,0.223,0.0352,97.942,244930,4
Kyle Edwards,Danny Phantom Anthem (Jersey Club),0duDw3zj2WTZRFbk45xnz7,2,2017,club,0.88,0.68,0,-6.857,1,0.0769,0.000267,0.487,0.119,0.579,140.039,123429,4
despite others,Cobra,1C9ue7VT6p52dxLRlbPAEK,17,2021,club,0.781,0.872,2,-10.451,1,0.0514,0.00882,0.825,0.879,0.0362,130.009,369255,4
Mathlete,Year: 1985,7LsJ2kzWvBbBCANoh3d1PT,0,2000,club,0.244,0.641,7,-5.402,1,0.0498,0.229,0.248,0.313,0.18,104.645,123350,4
Visionist,The Call,7pBXVeUEwJwiymIbAjYUss,3,2013,club,0.588,0.487,2,-12.835,1,0.0305,0.781,0.904,0.198,0.24,119.933,164444,4
