artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Doug Benson,Bane Gumb,2TcjCjjadh8dYfpsJ4dnNR,5,2015,comedy,0.498,0.585,2,-15.253,0,0.946,0.895,0.0,0.936,0.207,93.402,333323,3
Jeff Dunham,An American Christmas (José),4bWoyGzUrzcxOjByTemRfC,6,2019,comedy,0.658,0.579,0,-7.475,1,0.0382,0.574,0.000165,0.146,0.934,140.052,205360,4
Ali Siddiq,Half a Blunt,7l6EHG9f6dohSzb22gPqwk,14,2019,comedy,0.662,0.688,10,-11.811,1,0.933,0.802,0.0,0.891,0.288,49.28,186932,4
Robert G. Lee,Coddling Children,6Dd8vz4xH2sZKmAEWdYfVx,10,2012,comedy,0.744,0.829,4,-8.69,0,0.945,0.845,0.0,0.719,0.254,96.047,38933,4
Pink Guy,Be Inspired,717FZ6lz3U0dCNQJCcXyyv,30,2017,comedy,0.564,0.623,10,-3.906,1,0.103,0.926,1.38e-05,0.076,0.669,177.928,65411,4
TK Kirkland,Weak Ass Niggas' Pt. 2,0vsAS1o2mMqEN7spVG8Eq6,12,2008,comedy,0.694,0.243,9,-23.361,1,0.96,0.796,0.0,0.322,0.58,64.657,140400,4
TK Kirkland,Stank Pussy,69Rwm4BpkSdE1ex35Y7wg3,7,2019,comedy,0.45,0.511,10,-23.795,0,0.862,0.832,0.0,0.706,0.234,120.551,86238,3
Orny Adams,Phone Sex,681jBmqXjq5SoIDgXKjIxT,10,2006,comedy,0.515,0.767,8,-15.339,0,0.778,0.694,6.64e-05,0.956,0.26,121.108,129200,4
Nore Davis,WWWIII,5LP4pGxKIANVPttj9GBUr6,2,2022,comedy,0.659,0.759,4,-8.098,1,0.891,0.86,0.0,0.963,0.575,35.411,139633,4
Steve Sabo,I Like to Be on Time,3PqQrT2QNvi4pWRODOot38,0,2015,comedy,0.685,0.501,2,-11.803,1,0.893,0.95,0.0,0.359,0.541,117.012,212400,3
Ryan Singer,Blue Pills & $50 Bills,4DDqoQwq2W1SFDissE8Oc2,12,2012,comedy,0.633,0.671,5,-8.333,1,0.916,0.821,0.0,0.736,0.783,72.103,138900,4
Ophira Eisenberg,Marathon,4emLuOTxpdIjzCzeJkWZ4O,10,2014,comedy,0.699,0.454,9,-10.512,0,0.942,0.92,0.0,0.795,0.421,133.674,83773,3
Hampton Yount,Godzilla VS Nietzschezilla,3WeG1DRtV7s2KUmSb05fvR,10,2019,comedy,0.718,0.462,7,-11.609,1,0.951,0.846,0.0,0.66,0.67,66.552,165000,4
