artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Danielle Bradbery,Sway,6EUDUDQP5ynE3g5SWCA8sc,54,2017,country,0.7,0.706,3,-5.479,1,0.0265,0.39,0.0,0.366,0.648,97.028,212280,4
Cole Swindell,You've Got My Number,4dNpIi8icxNRhODWcY4KfF,31,2016,country,0.519,0.885,9,-2.386,1,0.0421,0.00723,0.0,0.132,0.481,115.094,206867,4
Mark Collie,In Time,5XnXpQM5FR8ZQyvDY8RKQS,42,2004,country,0.463,0.449,9,-9.5,0,0.0426,0.475,0.00318,0.121,0.172,113.432,165133,4
Jason Allen,John Boat Blues,4ayS6Hq6H6UonrkP6maCov,17,2007,country,0.418,0.577,9,-7.513,1,0.0398,0.196,2.3e-05,0.528,0.463,99.776,241893,4
Tim McGraw,Love You Goodbye,01dQg66x927tDuYOpJzwls,18,2009,country,0.615,0.406,4,-9.578,1,0.0265,0.703,0.00067,0.11,0.249,105.987,279440,4
Jon Pardi,Paycheck,29sWgHMSsdOLklULi9HpKE,42,2016,country,0.589,0.885,7,-3.032,1,0.0427,0.0642,0.0,0.424,0.542,96.036,187133,4
Jamey Johnson,Thankful For The Rain,6vRw7ZaTYiloPjwHqyqicr,28,2010,country,0.733,0.237,4,-14.287,1,0.0351,0.656,0.583,0.114,0.194,127.989,179613,4
Struggle Jennings,Troubadour of Troubled Souls,5lWgy8bMcPcwUsbmV6sDuy,39,2021,country,0.666,0.712,3,-6.067,0,0.0413,0.149,0.0,0.115,0.145,116.894,247179,4
Kruger Brothers,Up 18 North,7EDGRYnkrkbxQmZPHdZ6Lr,37,2002,country,0.455,0.253,0,-16.713,1,0.0368,0.822,0.945,0.184,0.342,129.904,218293,4
Logan Mize,Who Didn't,38LOcxSJdAPuOx0s3eGON9,39,2021,country,0.551,0.879,10,-3.998,1,0.0426,0.318,0.0,0.134,0.834,147.911,177408,4
Redneck Souljers,River,61Ev9NcCZVVDgnrERXNJkv,38,2018,country,0.417,0.506,2,-12.808,1,0.2,0.173,2.86e-06,0.151,0.401,78.615,241465,4
Eagles,Peaceful Easy Feeling - 2013 Remaster,6x8e93J9VoSTnSI1PlE3UJ,21,2000,country,0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,257963,4
Eric Church,Country Music Jesus - Live,1P969d8kv5ULUbDutM13HQ,22,2013,country,0.439,0.906,5,-3.588,1,0.0498,0.00335,0.19,0.958,0.419,116.67,229333,4
Jelly Roll,Checkmate,7imVqijNe1Wgz0uG6hgsgV,31,2018,country,0.802,0.506,11,-8.231,0,0.249,0.0497,0.0,0.129,0.398,126.006,171398,4
k.d. lang,The Consequences of Falling,6biCFLhnZa5qNExBmGINac,24,2000,country,0.545,0.677,9,-7.265,0,0.0298,0.003,0.0,0.249,0.446,98.043,232613,4
Gary Allan,Waste Of A Whiskey Drink,7wruXOjVoOBFjqzCb8dz33,35,2020,country,0.667,0.657,9,-4.804,1,0.0324,0.021,0.0,0.18,0.607,104.923,205627,4
