artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Yemi Alade,CIA (Criminal In Agbada),4TUZ5Ffd2nyeqiakpLlKCp,25,2019,dancehall,0.624,0.588,6,-4.63,0,0.0815,0.202,0.0,0.176,0.689,80.048,244500,4
Wiley,If I Could (feat. Ed Sheeran),40O3L7yc9yLhQS3bHouLNP,16,2011,dancehall,0.563,0.685,9,-10.64,1,0.22,0.0712,0.0,0.105,0.713,99.076,187800,4
U-Roy,Swell Head Skank,0vGvJoMVOnZCQEuxiwSkL2,12,2017,dancehall,0.858,0.484,11,-15.172,0,0.117,0.0283,4.21e-05,0.153,0.921,139.94,203064,4
Capleton,AGRESSOR,1GZWxKSce74WU5ArzZGDCc,4,2005,dancehall,0.492,0.577,5,-7.003,0,0.275,0.125,0.0,0.0715,0.633,154.002,239587,4
Spice,Woi,40z6qemLBL5kGmBr8tfVY4,11,2018,dancehall,0.885,0.914,11,-2.694,0,0.118,0.271,0.0,0.241,0.889,100.027,179817,4
Norris Man,All Ways,6gsDYEU4Kxg7vczLrVxiPg,3,2012,dancehall,0.691,0.734,1,-4.11,1,0.0952,0.159,0.0,0.157,0.748,133.577,276925,4
Echo Minott,Lazy Body,5cJ7yT8euOz4d4v3DCq7k5,15,2019,dancehall,0.773,0.531,8,-6.715,1,0.0807,0.00529,0.0,0.0866,0.632,75.579,225525,4
Masicka,Love Story,4PmBm2HiuFQFMNK8zD0LtB,35,2021,dancehall,0.767,0.762,0,-5.67,1,0.219,0.501,0.0,0.119,0.395,97.967,181317,4
Chronic Law,Friendship,3I3Z3L95LZj5y9zA4FgtHa,12,2019,dancehall,0.606,0.573,8,-7.568,0,0.3,0.694,0.0,0.113,0.509,136.484,160841,5
Queen Ifrica,Dem Neva See De Sign,2nGECwL5V14YTi2kNCeVtm,11,2013,dancehall,0.698,0.701,9,-4.96,0,0.33,0.0558,0.0,0.137,0.88,145.908,239907,4
Bounty Killer,Dem Dead,1L7z2grnK4rRAQV4YogxOi,0,2004,dancehall,0.833,0.748,10,-6.906,0,0.394,0.153,0.0,0.149,0.436,114.531,170733,4
The Itals,In A Dis Ya Time,621st1sgboBHcwy0jq9SBy,30,2012,dancehall,0.746,0.226,0,-17.106,1,0.372,0.0782,0.0,0.0893,0.748,74.699,178200,4
Chronic Law,COLD WORLD,3iRAoULKeeLRvgO12OQuLi,20,2021,dancehall,0.484,0.672,11,-6.359,1,0.367,0.548,5.92e-06,0.129,0.303,86.821,172803,4
Capleton,Love Is Coming at You,5dnTr9JvvBzwQ82fktxanG,2,2000,dancehall,0.684,0.632,4,-6.23,0,0.26,0.0896,0.0,0.24,0.776,83.81,219267,4
Maleke,Low Waist,5ymeBn5pV4W5hpEHKiZdrk,15,2010,dancehall,0.856,0.965,8,-3.546,0,0.21,0.0822,0.0,0.0391,0.904,99.992,299960,4
Lt. Stitchie,Protective Custody,2Vu5qn8lzdvnZc9VRZSrUe,4,2007,dancehall,0.799,0.709,0,-6.148,1,0.042,0.0459,1.13e-05,0.335,0.916,135.589,240600,4
Sean Paul,Baby Girl,7iLJC5fw8VbDkojtVVIcTA,26,2022,dancehall,0.654,0.74,9,-4.427,1,0.317,0.0715,0.0,0.172,0.546,184.569,218360,4
Shabba Ranks,Just Be Good to Me (feat. Cocoa Tea & Rebel Princess),02bLGcFdUpCbJT54dnSHHZ,11,2005,dancehall,0.8,0.418,7,-15.619,1,0.174,0.0026,7.17e-06,0.047,0.598,88.919,354427,4
Harry Toddler,Nuh Mek Dem Hold You Down,5KYwiCcL8eFB6nJKTcc5O0,0,2008,dancehall,0.9,0.717,8,-6.14,1,0.313,0.223,0.0,0.188,0.829,121.012,129963,5
Ward 21,Gangsta Life,2wmGm5H0WmrNeQ3dWYpSRv,3,2010,dancehall,0.832,0.905,0,-2.796,1,0.346,0.537,0.0,0.421,0.911,99.927,217200,4
Sheyman,My Pain Allstars Tribute to Dagrin Produced By Sheyman,71sumrrYGSeY2909kfjUIC,14,2010,dancehall,0.451,0.793,11,-4.427,0,0.217,0.345,0.0,0.141,0.764,163.954,415610,4
6t6,Seh Yuh Bad,4HvfYvRJ7br4wJhZmoIW12,33,2022,dancehall,0.675,0.416,7,-15.682,1,0.835,0.0607,0.0,0.11,0.643,120.874,169352,5
Christopher Martin,Leave People Business,6zNdcJaIVwlJBw4icZQf2E,32,2017,dancehall,0.717,0.623,9,-4.035,1,0.212,0.0939,0.0,0.323,0.801,80.41,263851,4
Spice,Black Hypocrisy,2FR9XfQyywm7fVe2y9yHcZ,26,2018,dancehall,0.834,0.63,7,-7.74,1,0.356,0.0122,0.0,0.0759,0.684,77.955,180140,4
Chronic Law,Count My Blessings,03PzOCunGdfvoFMdRR6jPm,32,2020,dancehall,0.523,0.506,8,-8.624,1,0.304,0.28,1.59e-06,0.174,0.214,102.976,195788,4
Dennis Brown,It's Too Late,5tzYiVz6Az4IRFy3jeN5hz,6,2007,dancehall,0.779,0.652,7,-5.94,1,0.0466,0.0299,0.00985,0.157,0.659,90.531,214573,4
Dexta Daps,Meadowrest Alive,5cdCsFuSovMfXrmeY63nEt,6,2011,dancehall,0.534,0.64,0,-6.151,1,0.192,0.195,0.0,0.607,0.765,82.59,186270,4
Anthony B,Praise Jah,0NahPGWDOe9uv4LLcjyq40,17,2005,dancehall,0.517,0.821,9,-4.79,0,0.364,0.0448,0.0,0.28,0.676,158.046,210293,4
Teni,SugarMummy,6TAp5yCzS0haUvPN7mQ3jD,21,2019,dancehall,0.855,0.868,1,-3.666,1,0.108,0.0156,1.15e-05,0.0853,0.552,123.046,204957,4
Bounty Killer,Ghetto Dictionary,0ptzBu2ErXLaw8JgUTlQTb,4,2006,dancehall,0.59,0.83,11,-4.899,1,0.415,0.588,0.0,0.193,0.812,81.535,206480,4
Gyptian,Drive Me Crazy,72BVfL1leSz5m2VWlfGHkl,14,2010,dancehall,0.632,0.645,10,-5.83,0,0.0519,0.101,0.0,0.1,0.471,82.043,181853,4
Vybz Kartel,My Girl,1DwGn1oI27Ek2NSNFMs08V,10,2016,dancehall,0.729,0.712,4,-5.953,0,0.311,0.174,1.38e-05,0.0401,0.874,79.996,190635,4
Garnett Silk,Blessed Be The Almighty,4GoCtAdwthw6lQS7w2QVLR,9,2005,dancehall,0.799,0.81,7,-4.916,1,0.114,0.00259,0.071,0.0753,0.876,170.612,216400,4
Capleton,Unnu No Hear,6gf7bYjDmFvLpG80ZHJdxG,1,2001,dancehall,0.655,0.838,7,-7.565,1,0.481,0.105,0.0,0.0595,0.775,95.16,228800,4
Mayorkun,Alarm,273uUYBv3zZoqSR8VOk6vV,48,2022,dancehall,0.757,0.602,4,-6.533,0,0.37,0.479,0.000941,0.104,0.777,190.015,142000,4
Vybz Kartel,All Out (Clean),76t3BVz35eFYoUjrjUDU3S,5,2011,dancehall,0.673,0.709,10,-6.221,0,0.319,0.4,0.0,0.103,0.836,62.664,211775,4
Etana,August Town,7uSfVI6mpcv8E4l0nPj0WT,10,2011,dancehall,0.75,0.592,9,-4.682,0,0.0773,0.0204,9.33e-05,0.111,0.474,72.594,232067,4
Naeto C,Ten over Ten,7mGSri44ldHXey5Y0gnNKo,34,2011,dancehall,0.662,0.979,5,-3.401,1,0.134,0.0179,0.000573,0.374,0.879,117.984,218667,4
Patrice Roberts,Pieces,0VAwGcupIwQGbjwIB06mzh,33,2023,dancehall,0.628,0.98,8,-3.905,1,0.0498,0.00384,0.0349,0.259,0.41,160.059,159915,4
Agent Sasco (Assassin),So Blessed,4RhZ4cLxeuYHP7oyBPzYHJ,15,2018,dancehall,0.522,0.645,6,-7.605,0,0.235,0.262,0.00131,0.352,0.488,179.982,227893,4
Courtney Melody,Bad Boy - Benny Page Remix,1ykuc9zg37QWet9LXKSgDl,26,2023,dancehall,0.611,0.914,6,-2.066,1,0.0571,0.00158,0.000173,0.324,0.346,173.996,226552,4
Duane Stephenson,Play That Song - Remix,3dtorAf4DptgiNaspVkBMC,33,2019,dancehall,0.61,0.778,1,-3.934,1,0.297,0.311,0.0,0.21,0.815,174.346,235609,4
Ginjah,Troubles Away,1GI63G0sPg5vA6IfT4LFYF,11,2017,dancehall,0.632,0.595,6,-6.61,0,0.151,0.118,0.0,0.298,0.556,171.266,265347,4
Gyptian,Wine Slow - Sticky Radio Mix,1rniZsN8MLGfuuKJXKYrj5,23,2014,dancehall,0.82,0.651,8,-7.934,1,0.0666,0.0455,0.0,0.0572,0.642,118.022,159427,4
Harry Toddler,We Nuh Matter Them,2jaIuWfor7Oi2jpI7bDGsx,17,2021,dancehall,0.731,0.762,6,-6.084,1,0.362,0.0416,0.0,0.356,0.852,79.93,170169,4
Israel Vibration|Cocoa Tea,Jah Is the Way,1UVuaMulHYTXYIKXpAegKA,12,2012,dancehall,0.826,0.445,1,-10.164,0,0.113,0.146,0.00646,0.0652,0.495,129.89,220427,4
Byron Messia,Hall Of Fame,5DRjRIDgw56npGGwUpkDRm,26,2023,dancehall,0.488,0.544,8,-10.184,0,0.492,0.0178,0.0,0.0938,0.367,62.134,196832,5
Fireboy DML,New York City Girl,07NkPabk1cXEb6sAwDTp2I,44,2020,dancehall,0.71,0.542,5,-8.572,1,0.0545,0.267,0.0,0.0894,0.537,98.071,140971,4
Capleton,The People,3WmPiUBMrLh8SxSjsaQlwD,1,2011,dancehall,0.741,0.795,10,-3.238,1,0.0924,0.194,0.0,0.249,0.729,137.625,237493,4
