artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Alex Arnout,Vanishing Point - Original Mix,3kcL4jp1hpbnEUCyApKDgs,17,2011,deep-house,0.8,0.652,10,-7.882,0,0.0542,0.00342,0.867,0.0894,0.817,124.995,404000,4
Deepend,Hold This Memory,21VnSlwtvNKUFFHHKqt7fI,60,2022,deep-house,0.702,0.71,9,-7.118,1,0.0397,0.082,1.52e-05,0.155,0.578,119.951,160072,4
Daniel Glaven,Sweet Melody,1EBn3SxM1HC0VNJl8zyLPr,28,2021,deep-house,0.681,0.723,9,-5.729,0,0.166,0.138,0.0,0.33,0.672,123.866,150484,4
July Child,Leave Me Out,4lQ6gDZgrOB8qnl4QfUzCT,10,2014,deep-house,0.692,0.511,2,-9.314,0,0.0254,0.182,0.0814,0.0878,0.209,107.963,332361,4
Miguel Migs,Let Me Be,6GBiPtL6BkhSAFUxL6WKz3,6,2007,deep-house,0.908,0.832,1,-3.092,1,0.106,0.00561,0.022,0.0708,0.857,122.019,287600,4
Sons Of Maria,Need You - Original Mix,13lyZfdEci3gG6lg6EKo9V,27,2014,deep-house,0.815,0.717,4,-6.282,1,0.0431,0.00768,0.68,0.0777,0.628,118.998,435756,4
Sonny Fodera,You (feat. Sam Tompkins),3o5fU9C7YwIG1EsgTr1yN2,35,2021,deep-house,0.668,0.836,8,-6.434,0,0.0369,0.197,0.00269,0.0715,0.616,123.989,205266,4
Gianni Blu,Secret Lover,51C82JYlbB2n6tcMcX0fM5,29,2018,deep-house,0.692,0.717,4,-6.043,0,0.0574,0.422,1.22e-05,0.141,0.645,122.933,178049,4
Dirty Cover,King Without Crown,6nhJcmo1e2Ro1GG6rkQlJP,0,2007,deep-house,0.741,0.895,5,-6.83,0,0.153,4.42e-05,0.66,0.057,0.685,130.012,482011,4
Quentin Harris,My Joy,6BAy2YYShXOT8JZomHOGJn,38,2008,deep-house,0.723,0.735,5,-7.063,0,0.0515,0.0188,0.449,0.0653,0.789,125.004,401280,4
Ilias Katelanos,Septembar - Ilias Katelanos Remix,2dMAeaihgkKC9DFdW5q5lJ,20,2013,deep-house,0.825,0.646,8,-9.95,1,0.0482,0.00495,0.855,0.214,0.383,120.007,430000,4
