artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Omar S,Messier Sixty Eight,2ChJB7au0ZWAAG470dsFjf,11,2017,detroit-techno,0.832,0.806,6,-9.652,0,0.138,0.0336,0.57,0.315,0.612,120.022,209879,4
Moodymann,Pitch Black City Reunion,5ME2hsWdQihJ9NwBEbDVho,24,2018,detroit-techno,0.54,0.56,8,-12.758,1,0.0423,0.466,0.785,0.106,0.313,115.955,521745,4
Orlando Voorn,Deep City,0HX3pldVAnjqy8gBBLCpo0,5,2008,detroit-techno,0.62,0.841,3,-10.203,0,0.0424,0.157,0.358,0.126,0.356,139.651,409467,4
DJ 3000,Penny for your Thoughts,1jVL5yJVneL2RfDCBSAeRp,0,2009,detroit-techno,0.836,0.56,2,-12.234,1,0.0719,0.0207,0.718,0.359,0.901,114.993,251920,4
Ryan Elliott,The Introduction,0SiUjUQzkapWwjCVRIlMBX,1,2019,detroit-techno,0.747,0.53,7,-14.713,1,0.0948,0.649,0.88,0.107,0.32,133.008,341484,4
Orlando Voorn,I Love You,04RzflKW3OUF52hcBGRsJR,0,2021,detroit-techno,0.792,0.482,1,-8.707,1,0.046,0.292,0.403,0.0845,0.692,99.498,232225,4
Robert Hood,Minimal Minded,6gVWSIyTy4EUdYpCp8UOOS,1,2014,detroit-techno,0.807,0.731,0,-11.58,0,0.0905,0.00307,0.805,0.0889,0.0383,129.06,467453,4
Ataxia,Island Earth,2S5oHajpPOvTE6T1cTy6VX,0,2019,detroit-techno,0.79,0.77,8,-8.793,0,0.0417,0.000203,0.913,0.0941,0.231,126.001,403000,4
DJ 3000,Coat of Arms - Orlando Voorn Remix,07ySO0lfPnkJ6Sl0PL72FL,0,2010,detroit-techno,0.706,0.927,7,-11.072,1,0.0627,0.00405,0.752,0.197,0.714,126.024,397240,3
Inner City,Big Fun - Original 12'' Mix,75reTe08CZWoH2xvo4nAUS,3,2022,detroit-techno,0.738,0.808,10,-9.772,0,0.0522,0.0493,0.741,0.036,0.832,120.248,461560,4
DJ 3000,Bounce,70hZkckYUvSY7jWXPVAjvq,0,2013,detroit-techno,0.738,0.932,7,-7.421,1,0.0464,0.000373,0.891,0.164,0.737,123.995,381067,4
Eric Cloutier,Heuristic,3CYPs6dtNVeSaTKSTYvL1d,7,2018,detroit-techno,0.711,0.703,4,-14.913,1,0.0488,0.00921,0.882,0.0973,0.148,129.011,360501,4
Drexciya,Soul of the Sea,1FjRFW06sFavpmXi7nQI5n,11,2002,detroit-techno,0.724,0.575,7,-14.686,1,0.0508,0.0935,0.851,0.42,0.192,129.175,271747,4
Dantiez,Let Me Breathe,1jVTVpUiZa6BImFKMWjjVD,0,2021,detroit-techno,0.826,0.834,1,-9.806,1,0.125,0.000872,0.866,0.0897,0.379,128.03,334285,4
Orlando Voorn,Esaps X,0Z2b5Hjdvo7GJYyVQlHgF4,0,2021,detroit-techno,0.589,0.641,1,-12.115,1,0.0321,0.0368,0.736,0.107,0.526,137.012,346000,5
Jay Denham,Jack Lite,4HwRTbjqXcrBqC0hFQFUbs,0,2020,detroit-techno,0.532,0.9,9,-7.969,1,0.042,0.000215,0.672,0.174,0.174,131.964,415912,4
Inner City,Believe - Kevin & Dantiez RAW Club Mix,2hHIr8TUWvRimWjwx3Cv9R,0,2019,detroit-techno,0.729,0.932,0,-7.137,1,0.0516,0.000674,0.0789,0.0667,0.537,125.002,323948,4
Robert Hood,Protein Valve 1 - Re-Plant,6Ssl7duUCxBjuDTtxY2wR2,0,2014,detroit-techno,0.79,0.823,7,-10.675,1,0.0891,0.178,0.797,0.0717,0.0397,131.076,351726,4
Robert Hood,Drive (The Age Of Automation),7a3QDVbXBM8zKgP0LvgGc9,11,2012,detroit-techno,0.801,0.726,11,-10.827,0,0.0596,0.000195,0.933,0.105,0.248,128.004,354993,4
FIT Siegel,Cycle Blue,5vGbOzl2zhFCH09f77xBAC,5,2019,detroit-techno,0.744,0.744,1,-10.566,1,0.0466,0.000639,0.88,0.0841,0.236,120.008,454280,4
Orlando Voorn,Secret Sociey - Steve Lorenz Remix,63SXOuvNmQMu1dfRn1nyyl,0,2018,detroit-techno,0.888,0.412,8,-20.568,1,0.189,0.41,0.9,0.118,0.482,127.913,455925,4
Orlando Voorn,Positive Vibes,58Y169ghQ6IpubqS1SMSP7,3,2019,detroit-techno,0.71,0.878,6,-6.608,0,0.039,0.00012,0.866,0.0549,0.809,131.014,426870,4
Orlando Voorn,Ruggedness,3Pl9iigLWRXXNbbSZx2Jao,0,2019,detroit-techno,0.605,0.975,8,-3.854,1,0.11,0.023,0.658,0.172,0.479,93.508,360351,4
D'Marc Cantu,Mozaic,7EEu3VzinCMidco8SmrB25,0,2017,detroit-techno,0.666,0.765,11,-12.036,0,0.0382,0.00204,0.845,0.126,0.209,112.984,373805,4
Omar S,Bread Over Bed,1oQ3ZeVziQn3302diECtk4,8,2020,detroit-techno,0.811,0.899,7,-8.484,0,0.0662,0.00328,0.914,0.0975,0.491,122.961,361492,4
DJ 3000,Indigo,3MKOjykXJ2ARNMqDVU4ZLE,0,2013,detroit-techno,0.681,0.871,5,-7.414,0,0.0392,0.101,0.867,0.324,0.421,123.994,483639,4
Terrence Parker,Nothing Can Separate Me from the Love of God,6M6ipBqpNE8EERzCYOrWBp,1,2017,detroit-techno,0.849,0.766,7,-5.96,1,0.132,0.0334,0.0114,0.0613,0.898,120.028,540000,4
Eddie Fowlkes,Blow,6aTC6pKPQBNCu1A1YyqYjA,5,2023,detroit-techno,0.788,0.988,1,-4.645,1,0.0374,2.93e-06,0.846,0.0997,0.435,130.021,216020,4
Robert Hood,In Basements - Original Mix,2t6IVJMkgzAh81r5Bgbgd5,0,2009,detroit-techno,0.669,0.809,8,-10.861,1,0.0839,0.000185,0.867,0.0656,0.184,135.376,440455,4
DJ 3000,Tolerance Is Freedom,6CzE7Dgm2yPtpYq4u3UhO1,0,2007,detroit-techno,0.802,0.42,7,-14.41,1,0.0493,0.509,0.106,0.0943,0.685,102.018,166480,4
Robert Hood,Resurrection,6i6sFpnV2bCRfWmRy1qlV7,1,2009,detroit-techno,0.787,0.961,7,-9.582,1,0.044,0.492,0.958,0.0963,0.3,135.874,424770,4
Fabrice Lig,Another Trip,66RQjnmAEl0AwqHnSGW26L,0,2021,detroit-techno,0.681,0.967,6,-7.613,0,0.135,4.85e-06,0.926,0.0693,0.475,139.844,332903,4
Seth Troxler,Satisfy,5r59TWGNIi9nMnu2p9VYJB,2,2005,detroit-techno,0.787,0.561,11,-12.921,1,0.0759,0.000345,0.895,0.0984,0.415,126.009,322023,4
Derrick May,Another Kaos Beyond Kaos,3frnCVXTeupKdUUJtniIzt,9,2013,detroit-techno,0.796,0.526,1,-13.176,1,0.0857,0.0182,0.687,0.0974,0.473,130.159,49947,4
Orlando Voorn,Hiding In The Deep - Paul Donton Deeper Mix,15yVBPLbROQRPVzDCG7GPw,0,2020,detroit-techno,0.81,0.438,11,-13.156,0,0.054,0.00158,0.929,0.101,0.199,122.0,412500,4
Robert Hood,Nothing Stops Detroit,5nNJEUFkgZB0olDGybR59S,32,2020,detroit-techno,0.702,0.867,10,-8.143,0,0.0568,4.7e-05,0.925,0.179,0.262,129.94,393439,4
Robert Hood,The Core,3aUkuFy16mw0icxn8AD2fa,0,2011,detroit-techno,0.753,0.66,5,-18.083,0,0.11,0.187,0.951,0.0983,0.349,147.898,234160,4
Kevin Saunderson,Behold - Extended Mix,58cPeXW3sPyYrGQBPOPjHH,0,2017,detroit-techno,0.696,0.96,10,-7.413,0,0.0388,0.000674,0.908,0.0687,0.121,123.997,435506,4
Orlando Voorn,Internal Destinations - Infinite Mix,1Ga8LsdcXEpGaQRgDLRdmv,0,2019,detroit-techno,0.579,0.437,0,-14.37,0,0.0357,0.463,0.926,0.146,0.195,125.04,412572,4
Sean Deason,Ode to Detroit,05LZ9oIZXovhfqymN8vwEh,0,2013,detroit-techno,0.5,0.414,1,-17.286,0,0.0459,0.151,0.95,0.104,0.459,119.888,430000,4
Dantiez,Get Up - Vangelis Kostoxenakis Remix,1NuYGK3xxnpPEqmgIDVo01,0,2016,detroit-techno,0.798,0.957,1,-6.653,1,0.1,0.00099,0.909,0.0643,0.491,122.0,442131,4
Fabrice Lig,Meet U In Brooklyn,53bmZ7HdLcEDtINnhUH4aa,0,2011,detroit-techno,0.905,0.454,11,-9.705,0,0.154,0.0523,0.718,0.0836,0.726,120.026,474587,4
