artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Turno,Third Eye,4R3pyS0ncztm1jeeXTinw2,16,2017,drum-and-bass,0.576,0.902,9,-1.696,1,0.36,0.0137,0.000104,0.128,0.13,175.026,318171,4
Icicle,Drawn In,72cnnwls3hp3ow7oRWVldj,7,2022,drum-and-bass,0.517,0.737,4,-5.189,1,0.0447,0.0241,0.862,0.204,0.108,139.171,224866,4
Danny Byrd,Get On It,72Wl4bqXYmYwj0lwY5dJkH,25,2013,drum-and-bass,0.401,0.941,1,-2.12,0,0.0999,0.000387,0.000196,0.818,0.428,173.987,244742,4
Digital,B.U.R.N.Y.,1BfmTEf8fxb8rv0YJId9XV,0,2008,drum-and-bass,0.494,0.985,1,-5.487,0,0.106,0.00162,0.912,0.635,0.331,176.038,462000,4
Break,Is This What You Want?,62kBKt7G1yxNlAL7DPSuS9,9,2008,drum-and-bass,0.627,0.988,9,-3.531,0,0.134,0.000384,0.866,0.73,0.672,174.018,223653,4
Camo & Krooked,Loving You Is Easy,4TaNA90m8e91sVNnEnUOQP,35,2013,drum-and-bass,0.895,0.44,10,-7.297,1,0.0554,0.092,0.0376,0.588,0.447,127.982,232512,4
London Elektricity,Build A Better World - Hugh Hardie Remix,5d2l6cS2z9VFH4i19iPceM,22,2021,drum-and-bass,0.568,0.81,0,-3.177,1,0.0498,0.00161,0.0672,0.106,0.205,173.999,292824,4
DJ Zinc,Magic,7kIfRHedBJNy0EdY5TqUP9,14,2016,drum-and-bass,0.835,0.852,1,-6.437,1,0.0881,0.00364,0.000173,0.298,0.367,124.969,300625,4
Random Movement,Twilight at the Height,66izCbCtLdIA6vZ8zh6wok,0,2014,drum-and-bass,0.459,0.934,9,-4.873,1,0.0455,0.000259,0.591,0.043,0.586,174.978,337017,4
Ulterior Motive,Timekeeper - Calyx & TeeBee Remix,7raVKj35ZcYUzpomGX6hAa,2,2013,drum-and-bass,0.659,0.89,11,-5.132,1,0.252,0.0202,0.763,0.135,0.147,172.039,317175,4
Random Movement,Dropping The Chips - Technimatic Remix,2qUwPmhmQJztYE2p7vMTCl,2,2013,drum-and-bass,0.534,0.981,7,-7.82,1,0.076,4.89e-05,0.894,0.111,0.597,174.028,325517,4
Zero T,Stop Start,3H1fRO46nY6k5CUNuejlnn,14,2022,drum-and-bass,0.465,0.912,6,-3.542,1,0.0626,0.00261,0.397,0.0933,0.0397,106.999,253080,5
Dom & Roland,Bump in the Night - Audio Remix,3Jmma3Arb7EeVmnbDcuFX4,1,2014,drum-and-bass,0.507,0.985,8,-3.491,0,0.195,1.57e-05,0.686,0.0807,0.226,173.998,311213,4
Futurebound,Dangerous,4G11VmvMkwcsvClqPjEOrc,33,2020,drum-and-bass,0.55,0.932,5,-1.56,0,0.0555,0.000188,0.781,0.0723,0.217,174.009,297957,4
Hybrid Minds,Better Now,6sHEMuTKHJYwSJ8OK2pfpB,46,2022,drum-and-bass,0.456,0.921,11,-2.983,0,0.0517,0.0404,0.0013,0.129,0.0739,86.949,231836,4
Chase & Status,Embrace,786qSKhoirWJt4kr8dZAx4,0,2012,drum-and-bass,0.534,0.764,10,-4.961,1,0.029,0.0137,0.0,0.288,0.117,139.926,298560,4
Shapeshifter,Crystal Eyes - Need For Mirrors Remix,5kqu9YfPAlZDUVFDtKHFYc,6,2022,drum-and-bass,0.527,0.763,7,-5.356,1,0.047,0.000113,0.213,0.319,0.145,86.964,315423,4
Logistics,Spotlight,7iyx0nXnYz3q07TZBTbAQ2,1,2007,drum-and-bass,0.602,0.913,2,-5.175,1,0.0574,5.91e-05,0.78,0.276,0.632,174.014,338999,4
Aries,Ain't No Sunshine,7zZREz6HG3eS0jWnqnYoK5,33,2021,drum-and-bass,0.458,0.947,4,-1.82,0,0.0582,0.000185,0.315,0.114,0.191,175.065,274286,4
Shapeshifter,Voyager,1Cg6M7EMwtn9IYtFR7YHox,12,2009,drum-and-bass,0.183,0.693,2,-7.519,1,0.0421,0.006,0.239,0.182,0.0976,170.015,339453,4
Enei,No Man,38m03Qe21pXt6QgtVSc1Wg,24,2022,drum-and-bass,0.711,0.936,8,-2.262,1,0.154,0.00994,0.903,0.688,0.686,172.061,295814,4
Sigma,Something Special,0QzUWprO5LbzOOrhC1QFbO,6,2008,drum-and-bass,0.56,0.848,7,-4.329,1,0.041,0.00308,0.00431,0.0737,0.328,87.51,366867,3
Benny Page,Gangsta,6KD2eEviKvIHDOlEK3RQAJ,22,2017,drum-and-bass,0.608,0.985,7,-0.066,1,0.0473,0.0172,1.15e-05,0.499,0.352,89.007,222472,4
Friction,Kingpin,6txuhzUgxhL2lvhtT1oncb,13,2013,drum-and-bass,0.569,0.972,1,-1.256,1,0.253,0.119,0.0,0.0851,0.19,171.944,231964,4
The Qemists,No Respect - Instrumental,1XVYhGP3lN3w0M15sSMz19,2,2016,drum-and-bass,0.362,0.955,9,-2.942,0,0.0522,8.2e-05,0.805,0.0883,0.176,174.133,284638,4
1991,Feels,77TeWpTVoU66DDYy6u0LgP,46,2022,drum-and-bass,0.465,0.9,5,-4.042,1,0.0348,0.000196,0.000304,0.197,0.0978,173.896,175517,4
DC Breaks,Underground,6jaOjGwlT3w3DKKhoBwHJG,11,2017,drum-and-bass,0.754,0.958,5,-1.146,1,0.312,0.00262,0.433,0.181,0.494,174.034,231920,4
Total Science,Soul Play,0N8sy5nyHXhIKKq3rNcqBm,1,2007,drum-and-bass,0.58,0.972,1,-12.781,1,0.0626,0.00691,0.884,0.382,0.354,172.093,390547,4
BOP,Escape From U,2K1CGkibeDWxAnvs5T5CUn,13,2020,drum-and-bass,0.532,0.656,8,-5.077,1,0.0496,0.0142,0.711,0.085,0.165,84.95,288100,4
LTJ Bukem,Bookworm,4IJTYxgFudqZLLnvttv48N,14,2002,drum-and-bass,0.431,0.988,7,-9.008,1,0.106,0.00188,0.145,0.0944,0.201,154.0,373500,4
Top Cat,Friend in Need - Serial Killaz Remix,42z4vb1D1vq1PlVSnozbll,28,2022,drum-and-bass,0.724,0.955,1,0.11,0,0.232,0.0133,5.33e-05,0.114,0.539,174.99,293486,4
DC Breaks,Take That (Magnetude Remix),6mUJc7S1BErb28ImdnG6nH,16,2021,drum-and-bass,0.508,0.977,2,-3.551,1,0.465,0.000139,0.0433,0.152,0.064,174.052,313114,4
Metrik,Western Jam,4Z27RFzLE1Zzjd8OwIM8tc,16,2016,drum-and-bass,0.359,0.857,9,-6.566,0,0.0555,0.000121,0.61,0.128,0.126,173.978,215968,4
Landslide,Dreams And Visions (Compound One Remix),3L7wBcLgOfSvQa1GVdifUM,0,2008,drum-and-bass,0.77,0.893,11,-7.899,0,0.0556,0.000277,0.81,0.0478,0.587,140.01,303429,4
Tantrum Desire,Zealous,2cQCawaPQ1ssxOe2gr8SU6,24,2019,drum-and-bass,0.629,0.989,11,-1.456,0,0.0904,0.00275,0.852,0.27,0.423,174.023,243045,4
Ram Trilogy,Screamer,3UApbU9uoSfn0BOGvSnJZ2,18,2003,drum-and-bass,0.406,0.958,0,-4.204,1,0.064,0.00466,0.686,0.0543,0.088,175.93,367333,4
Ram Trilogy,Electric Melody,7Fs1ATgjCS9ylIoVTYUTM7,1,2002,drum-and-bass,0.541,0.968,6,-9.032,1,0.0753,7.32e-06,0.904,0.116,0.64,183.04,271493,4
Spor,Ultimate Technology,445w7ESyhjLcmWEUbrytJx,0,2008,drum-and-bass,0.577,0.988,1,-5.915,1,0.0843,0.000525,0.826,0.0505,0.577,173.054,339600,4
Hybrid Minds,Not Alone,590bkJ03KhVwsSlCZi7oUj,45,2022,drum-and-bass,0.413,0.768,8,-3.619,1,0.0415,0.31,0.764,0.119,0.055,86.985,253793,4
High Contrast,In-A-Gadda-Da-Vida - Remastered,17MLBDKA68CpMD9mHBdN2B,0,2011,drum-and-bass,0.597,0.906,4,-3.473,0,0.0516,0.00159,0.444,0.131,0.541,173.014,338587,4
Aries,Herbsmoke - Benny Page Remix,4kqb357LShDFxCz6zxM32v,34,2019,drum-and-bass,0.782,0.97,7,0.228,1,0.172,0.0773,0.701,0.415,0.668,174.97,250971,4
Spor,Beam Cannon,0l8nKYGMh4MsyoXTSHJxKe,20,2020,drum-and-bass,0.464,0.98,1,-3.025,0,0.0879,0.000609,0.766,0.0945,0.159,171.983,305075,4
Marcus Intalex,Sell Your Soul,2e5ULI4jIizzr5A2rb7ObW,3,2012,drum-and-bass,0.608,0.72,0,-6.362,0,0.03,0.000619,0.0122,0.365,0.214,86.508,351229,4
Moving Fusion,Now’s the Time,5ywV5FHBxfX2z2PNwy00u9,4,2004,drum-and-bass,0.485,0.855,11,-6.787,0,0.074,0.000182,0.342,0.316,0.496,175.056,325067,4
Atlantic Connection,Cycles,3o2SGhVlaDtsE5C3IPvOvf,19,2018,drum-and-bass,0.569,0.966,11,-5.135,0,0.0694,0.0278,0.834,0.0937,0.613,174.007,234550,4
Blame,On My Own - Drum & Bass Edit,1zsiDw4FL3VTH8lEKcjYsU,2,2010,drum-and-bass,0.477,0.921,0,-3.379,0,0.0651,7.23e-05,0.852,0.262,0.327,175.102,180887,4
Drumsound & Bassline Smith,Can You Feel It - VIP,7tfS1RdKs6YK2WlM53zIpo,2,2014,drum-and-bass,0.466,0.987,1,-2.508,1,0.0898,0.01,0.59,0.0947,0.411,174.036,275862,4
Loxy,End of Days,7644rmDkpr6sFUOykyO59R,0,2000,drum-and-bass,0.493,0.95,4,-5.754,1,0.0944,1.84e-05,0.647,0.359,0.173,172.703,455553,4
Potential Badboy,Dem Talkin,7FP170Ns4HNISM014r7B9f,1,2004,drum-and-bass,0.462,0.75,10,-12.485,0,0.094,0.00109,0.0117,0.6,0.494,175.993,350405,4
Artificial Intelligence,Switch On,1dbLhOCDLC80ajQVG6FRXY,7,2004,drum-and-bass,0.618,0.877,8,-5.473,0,0.0432,0.00871,0.69,0.112,0.818,87.476,379791,4
London Elektricity,Yikes! - 10Y Rework,0eFztMGNzpMZPjd4LKZkGa,7,2021,drum-and-bass,0.451,0.978,11,-5.148,0,0.0867,0.00054,0.763,0.144,0.28,173.013,413410,4
Muffler,24 Bronze Horse,2hmx59TgpUUss7f5RjvMbQ,0,2007,drum-and-bass,0.483,0.979,8,-6.604,1,0.0666,9.82e-05,0.667,0.382,0.588,174.948,289427,4
Need For Mirrors,Chapel,4kNOR3BlgfwnSAv0Yq4cb1,5,2018,drum-and-bass,0.651,0.758,7,-4.444,0,0.062,0.00134,0.539,0.111,0.488,169.983,296426,4
Wilkinson,Breathe (feat. Shannon Saunders),6m96i1yaPOlDTwgLSAclf2,9,2015,drum-and-bass,0.528,0.859,0,-3.349,0,0.0438,0.014,0.0,0.13,0.254,174.107,236181,4
Annix,I Like To,3IZ8Wn6mJEt7dTcnsgBKE7,33,2020,drum-and-bass,0.602,0.908,1,-2.287,1,0.164,0.00156,0.0065,0.341,0.157,175.051,264686,4
