artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Zenzile,Funky Berlin,7pwBIzmn74icMQ7q0kM8qm,1,2004,dub,0.66,0.542,7,-9.451,1,0.033,0.0254,0.816,0.102,0.329,100.065,284640,4
Venemy,Rescue Me,6ewhpZACIpBuC4pEkoyMU3,19,2015,dub,0.604,0.891,7,-4.951,0,0.123,0.141,0.00466,0.339,0.196,128.073,292500,4
Burning Spear,Children of Today,4JBDwdgL1oW7wZSouajl1J,10,2009,dub,0.74,0.416,1,-15.478,1,0.158,0.00322,0.519,0.13,0.375,117.723,289173,4
Subtronics,Spasm - VIP,37NQD5gevAba9fe4Hxb1eV,12,2016,dub,0.575,0.985,1,-2.973,0,0.423,0.00409,0.000574,0.309,0.234,145.073,218483,4
Ricky Mears,Strada (feat. Deja Elyze),5XA9LsAMN8Lsk5sKZy0mao,20,2015,dub,0.454,0.614,5,-6.717,0,0.0486,0.0476,0.00646,0.142,0.255,145.103,299297,3
10 Ft. Ganja Plant,Hypocrites In Town,2EqyVnOIeUu3AT2RqSjjva,23,2013,dub,0.742,0.491,6,-8.544,0,0.0735,0.0363,0.0,0.0679,0.609,150.17,235693,4
K-NINE,BLOCK,32f2uFt0uqdrdtZC3jGejk,45,2019,dub,0.685,0.892,2,-1.43,1,0.0395,0.0018,0.684,0.107,0.0702,144.988,153931,4
Dodge & Fuski,Flat Line,2JmbEZudT2eA3kUp5nXGZf,42,2017,dub,0.699,0.945,1,-0.942,1,0.306,0.0289,0.0,0.362,0.861,149.95,144000,4
Jack Sparrow,Shoal,0WNXzzrmEU0T6z9lIH7Iyf,5,2010,dub,0.482,0.349,7,-9.75,1,0.111,0.0685,0.924,0.362,0.198,100.042,307787,3
Kai Wachi,Cadaverous - Original Mix,1xeBWVkbQL7jWkSR2WX92g,31,2014,dub,0.59,0.779,2,-8.445,1,0.0551,0.046,0.675,0.168,0.143,180.034,243332,4
Tupelo,Firefly,1CCVNCyD1h3fChJkpcqBrI,7,2011,dub,0.441,0.63,0,-4.595,1,0.0474,0.75,0.0,0.108,0.802,184.203,174760,4
Fytch,Raindrops (feat. Carmen Forbes) - Full Vocal Mix,3unsYB6RvtXYBhxL6c5G5S,27,2012,dub,0.416,0.782,7,-4.529,0,0.0781,0.127,0.000206,0.114,0.414,140.034,211074,4
FuntCase,Without - GLD Remix,1FzFn04mu0hQ5EKYFuSbpc,29,2019,dub,0.571,0.641,7,-7.153,0,0.0445,0.0389,0.0828,0.101,0.25,146.832,249796,4
ATLiens,Witch Doctor,65ih39wYj3H18RV6y8pjgk,24,2018,dub,0.781,0.911,8,-3.269,1,0.348,0.329,4.82e-06,0.0949,0.235,130.066,204923,4
"Lee ""Scratch"" Perry",Set Them Free,1YeHr55Qex6ujDJR8e0pMG,2,2005,dub,0.791,0.408,10,-8.53,1,0.138,0.549,1.61e-05,0.181,0.63,83.457,147867,4
Ranking Joe,Natty Dread A Trademan,6J8bSffdFKI3jtufPapFuI,6,2004,dub,0.753,0.75,6,-5.221,0,0.0521,0.113,0.0,0.336,0.897,137.443,183867,4
HE$H,DOPE STOVE,5T5iQM5RLBV8fnmmDW5vn4,25,2022,dub,0.71,0.584,8,-5.592,1,0.181,0.0446,0.0521,0.101,0.0882,74.872,217600,4
The Heptones,Hypocrite,6GynJf0UQNVQf8eMXnIRFf,19,2009,dub,0.651,0.529,9,-6.518,1,0.0367,0.738,0.0362,0.195,0.909,95.251,184560,4
KDrew,Sometimes,6YQKDQPqKDDAHm9v0O2GgI,40,2019,dub,0.671,0.648,6,-6.779,0,0.108,0.176,0.0,0.0982,0.462,142.917,180044,4
Hakase-sun,Peek-A-Boo,2lgPqgJOeyC0tcqfBske4X,0,2002,dub,0.783,0.671,0,-6.308,1,0.0337,0.0783,0.857,0.0764,0.968,128.199,320333,4
Joe Gibbs & The Professionals,Long Distance Affair,7u1Ctlq0ZXEWlG4dKv3eey,4,2009,dub,0.803,0.5,4,-10.466,0,0.182,0.0375,0.924,0.15,0.576,86.995,218560,4
The Bush Chemists,Health Strength and Power,1JeBExfne72USuK13GGxjt,2,2007,dub,0.78,0.377,1,-10.415,1,0.106,0.0426,0.00109,0.0518,0.782,145.381,281787,4
Jessica Audiffred,Cold Case - VIP,0l5fWjOl1LaY8LdGpMVAaa,33,2022,dub,0.524,0.998,8,1.143,0,0.465,0.0206,0.0,0.235,0.259,150.149,128000,4
James Ruskin,The Chase,0P8hAZTWS2ASVChAdYeNX5,2,2001,dub,0.749,0.725,11,-13.57,0,0.0713,1.2e-05,0.953,0.113,0.87,136.008,272907,4
Sublab,Vidura,7l0IZ567ZuO7u2u6tmOyDe,27,2019,dub,0.626,0.805,2,-6.669,1,0.0397,0.0441,0.869,0.328,0.0612,140.022,240000,4
Karma Fields,Edge of the World,1y4FAce3GTnAtf48m0bdiQ,37,2016,dub,0.298,0.544,10,-7.227,0,0.0455,0.061,0.749,0.112,0.0903,127.984,313147,3
Borgore,Someone Elses (feat. Adi Ulmansky),1fnMHbW7zURKdRtfXsLOCf,20,2011,dub,0.651,0.906,5,-5.103,1,0.111,6.91e-05,3.34e-06,0.156,0.358,139.974,217033,4
Errol Dunkley,The Scorcher,5yMzInrTOCHoW8bNkRjpop,9,2009,dub,0.761,0.286,5,-10.441,1,0.213,0.522,0.386,0.0917,0.343,166.534,159600,4
Culture,World Peace,27NnRkWQmuFCFgS41Lq1nF,13,2003,dub,0.858,0.568,2,-8.043,0,0.0695,0.074,0.000159,0.194,0.965,148.222,257493,4
Gregory Isaacs,Tumblin' Tears,60lsLUobAMncCKe4aDTMrx,6,2006,dub,0.861,0.588,0,-9.286,1,0.0356,0.0002,0.00139,0.0525,0.962,138.985,206293,4
Subhumans,Waste Of Breath,3EGYxUjDotVtSgiDBJp6Aa,4,2007,dub,0.351,0.942,4,-4.842,0,0.0789,0.0081,0.0,0.944,0.666,148.755,124040,4
Seven Lions,Cusp - Original Mix,6WcfVdqRlr0G0X6DRVjaox,28,2015,dub,0.556,0.829,5,-7.445,0,0.0409,0.0353,0.91,0.137,0.539,140.013,280747,4
Trashbat,Honey,31QgBsRgORJHwPnmpVtQq7,0,2005,dub,0.658,0.646,8,-3.408,0,0.0267,0.00107,0.261,0.19,0.271,140.016,360000,4
Steel Pulse,Make Us A Nation,0SXqG2FqwEGM6wW8pVaSNt,13,2009,dub,0.737,0.856,8,-6.98,0,0.104,0.0617,0.0,0.1,0.894,164.472,256973,4
10 Ft. Ganja Plant,100 Lb. Weight,4JGONOylWr9r7lZBhDnYl3,36,2003,dub,0.842,0.483,11,-7.895,0,0.0594,0.0644,0.885,0.0385,0.644,139.728,205000,4
Sonic Boom Six,September to May,308WJhtqIjuwgATIzH3ilI,8,2007,dub,0.48,0.956,4,-3.348,1,0.12,0.00289,0.0,0.189,0.653,185.058,200000,4
Virus Syndicate,Karma,0U9nFYvrQQ2RiIHit3zr6w,0,2006,dub,0.517,0.763,0,-6.312,1,0.381,0.24,0.0,0.527,0.622,134.583,320053,4
ILLENIUM,Blood (with Foy Vance) [Drezo Remix],1bmEHqh6PnlUGDo3yu5Ru1,29,2020,dub,0.764,0.636,4,-2.847,0,0.143,0.0264,0.000394,0.35,0.119,128.008,292500,4
Truth,Shire Dub,1LJ60TSojCcbnHCaRSVVZm,15,2023,dub,0.435,0.556,2,-10.633,1,0.0386,0.0251,0.845,0.306,0.125,139.839,365536,4
Zeds Dead,get what you need,4gnpUBWrn0NV6UF2zOVTwT,29,2021,dub,0.672,0.836,7,-5.867,1,0.0346,0.00455,0.874,0.367,0.551,137.983,165217,4
Dubblestandart,Airbus Dub,0ZuMcFeyhB6kDSInyLcdv4,1,2002,dub,0.617,0.745,0,-6.282,1,0.0316,0.00779,0.964,0.241,0.677,98.838,296573,4
Oski,Wippit - Aweminus Remix,1lhdGn0etjCM8amhhEDeV3,28,2019,dub,0.644,0.988,11,-1.97,0,0.203,0.00154,0.189,0.975,0.122,150.014,206638,4
Vexaic,Last Goodbye,7fcQGN2CU9F6GEE2YjRIhG,20,2017,dub,0.406,0.429,0,-9.237,1,0.0304,0.00636,0.0588,0.0759,0.0697,130.117,314032,4
Dennis Bovell,Ah Fi Wi Dis,5pVWplqYbSrT50HvBK0sJ1,3,2003,dub,0.809,0.662,11,-10.361,0,0.0825,0.000644,0.767,0.0856,0.738,78.708,170027,4
Tristam,Black Beauty,6WeCNrVIIGnmWH9LX5NpeH,31,2021,dub,0.492,0.342,3,-9.919,0,0.0411,0.933,0.00109,0.113,0.208,149.456,227353,4
Barrington Levy,Prison Oval Rock,3mXN72MskmNytuMBngA9U3,15,2012,dub,0.872,0.64,1,-3.396,0,0.113,0.0335,3.69e-05,0.129,0.747,79.301,188907,4
Man Cub,Don't Forget (Tritonia 416),3jjbBDq5KOdRiXPDSLJxMS,25,2023,dub,0.506,0.76,9,-6.538,1,0.064,0.0133,2.45e-06,0.28,0.187,125.993,182860,4
Aweminus,Glass Planet,5fMn3pVVKzndUfaJSPbHYK,19,2020,dub,0.694,0.992,10,0.761,0,0.18,0.00279,0.000213,0.134,0.118,140.714,319973,4
Weeding Dub,Dub Frontiers (Vibronics Remix),06E8Av8CQYuC41oVtbdfm3,0,2004,dub,0.765,0.345,0,-14.546,1,0.0503,0.00646,0.958,0.0931,0.498,129.981,228600,4
MYRNE,Another Night,720TUY1RVjnyxg0Q7DIqw8,24,2018,dub,0.383,0.823,11,-4.201,0,0.0869,0.005,0.000487,0.0757,0.605,89.831,221500,4
