artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
J:Kenzo,Contagion,3FgpOCAtXYWG5TaAK5KPRT,6,2012,dubstep,0.68,0.559,0,-11.451,1,0.0693,0.00419,0.641,0.158,0.0388,69.985,305160,4
Zomboy,Here to Stay - Astronaut Remix,2OGMFMrrAHRMQR1r145T61,7,2013,dubstep,0.604,0.978,2,-1.142,1,0.253,0.00318,3.84e-06,0.174,0.349,127.942,264375,4
Dj Solovey,Love Is - Dj Adem Light Feeling Mix,6fmNZZqjaTAuFjMysvErBQ,0,2011,dubstep,0.678,0.705,8,-6.34,0,0.0377,0.000186,0.0803,0.0342,0.696,127.992,319000,4
Alien Pimp,Persona Non Grata,6M19KSIQLcsIGeGewbuLZq,0,2009,dubstep,0.766,0.688,10,-11.306,0,0.0767,0.000885,0.894,0.102,0.636,140.049,361933,4
Darren Mase,Yeah! - Filthy Mix,4dzNjuUH40bLBQgKVdL0PS,0,2010,dubstep,0.811,0.64,1,-7.544,1,0.158,0.00427,0.658,0.0741,0.474,126.006,339048,4
Cyrus,I Like the Chocolate Mix,62fq2Sv3SlWsJitlpG65Em,0,2006,dubstep,0.764,0.792,10,-6.277,0,0.0629,0.0163,0.000491,0.111,0.524,99.982,215520,4
Sensproof,Catch Your Smile - Rued Remix,5Edz0e3isurGdRViUKVwJR,0,2011,dubstep,0.86,0.832,10,-4.358,0,0.111,0.00281,0.622,0.291,0.59,128.04,412505,4
Konstantin Yoodza,What Are You Waiting For? - Andrea Roma Remix,6Ns6LyhjpJ0ZuRSlX03qSU,0,2011,dubstep,0.768,0.546,7,-9.197,1,0.112,0.0285,0.88,0.117,0.376,127.994,468760,4
Alien Pimp,The Bounty Healer,1vZGToQZMg1c7GVrR7Ihd6,0,2012,dubstep,0.775,0.765,6,-7.404,0,0.191,0.00844,0.911,0.311,0.565,130.002,354403,4
Dazz,Some Time,26BMudiHbEDHi3Xa9bmxEV,0,2007,dubstep,0.438,0.588,5,-6.431,1,0.0316,0.0904,1.18e-06,0.188,0.464,153.592,141853,4
Ivan Roudyk,Welcome To Moscow Halloween - IR & Red Mix,0iipFOD7kD934vy6e1OQBt,0,2010,dubstep,0.613,0.941,9,-7.531,1,0.0634,0.000294,0.862,0.325,0.171,127.991,528360,4
MineSweepa,Low Key,2ie9xYPtOje7CX2PBQTBIe,14,2018,dubstep,0.808,0.719,1,-5.729,1,0.375,0.0394,0.795,0.101,0.115,123.064,191225,4
Burnkane,You Know,5487Gk3340HN5pYqUa3gnV,0,2009,dubstep,0.583,0.686,6,-6.428,0,0.282,0.167,0.876,0.24,0.543,72.399,250573,4
Kwizma,Cave Drops,1N3sFsr0SzbLjmiXR4lSZg,14,2016,dubstep,0.768,0.606,5,-10.617,0,0.0502,0.0373,0.782,0.0774,0.0383,140.016,390871,4
William Black,Haven - Gammer Remix,4vcAsI9Pao7SRqmwYTE2PH,27,2022,dubstep,0.536,0.786,0,-4.205,0,0.0376,0.0583,0.0,0.104,0.344,149.999,251200,4
Radikal Guru,King Kong,0gDy6MzTBxvjm5kQjsfv0O,11,2011,dubstep,0.683,0.926,1,-8.217,1,0.153,0.00087,0.562,0.907,0.299,146.972,255753,4
Jessica Jean,Dreams (Dubstep Mix),1xrFP8rwFiuTxnP9eXrK8H,2,2012,dubstep,0.576,0.507,5,-9.015,0,0.106,0.613,0.141,0.185,0.647,139.979,256420,4
Rustie,A Glimpse,166n7rIEP2ZpiNRZgFmnx0,7,2014,dubstep,0.264,0.77,8,-9.828,1,0.048,0.000737,0.719,0.377,0.0749,126.26,134680,4
Sclist,Kigelia - Original Mix,7wPgxMsF6nwuAe2ORv9DH3,0,2009,dubstep,0.791,0.69,10,-11.735,0,0.0531,0.00258,0.738,0.107,0.378,134.001,316000,4
Ivan Frost,Cuban Moscow - Criminal Vibes Dub Mix,2ucEBGYx5TnJsAO8X36gpw,0,2010,dubstep,0.774,0.751,0,-4.993,1,0.0661,0.0475,0.903,0.627,0.359,127.968,300314,4
Late,To the Wheels Fall Off (feat. Jai Boo),2mNZAwF02Dy7m5qMLah1O4,0,2008,dubstep,0.862,0.467,9,-7.332,1,0.343,0.0637,0.0,0.0832,0.421,69.99,208600,4
DJ Sveshnikov,Love U More,1HNfd0tzSffySEbh3ZoXDO,0,2007,dubstep,0.808,0.778,5,-7.246,0,0.0715,0.000268,0.827,0.0608,0.904,125.983,450267,4
Arkasia,Infinity - Original Mix,5E6ewtYjM0vDJiCL5FGkK4,6,2015,dubstep,0.563,0.539,10,-5.056,1,0.0528,0.0751,0.00379,0.111,0.0383,140.007,277714,3
Hatcha,Next 2 String,0K7H5HOpR3HBle1QNPVPMF,0,2010,dubstep,0.599,0.803,2,-7.79,1,0.0589,0.0116,0.824,0.0821,0.0331,140.007,414290,4
NITTI,Change Da Game,1J3TdSvYSMGrLSvBa2GWQT,0,2004,dubstep,0.817,0.611,1,-5.331,1,0.38,0.0053,0.0,0.0681,0.777,91.978,232293,4
