artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kyau & Albert,Are You Fine? (Original Mix),24PrhESthZ0ZcIrkV9cZnN,19,2006,edm,0.566,0.93,8,-7.932,0,0.0468,0.000241,0.00272,0.087,0.38,137.995,436814,4
F & M,Dial H for Help,0krGeR87u8j1KQcxHOicN5,0,2007,edm,0.553,0.66,10,-8.153,1,0.027,0.369,0.398,0.0919,0.342,130.012,251773,4
Liquid Stranger,Soundboy Killa,1VAEFkICga6lewTMu7gpDI,8,2009,edm,0.696,0.531,11,-12.059,0,0.0516,0.022,0.00316,0.196,0.562,144.983,326877,4
Stephen Walking,Strong Arm,5fgFSmJGqMwcnpbTfiKbRz,12,2011,edm,0.638,0.926,4,-5.241,0,0.0289,0.00851,0.774,0.0987,0.0328,139.939,253714,4
Fox Stevenson,Glue Gun,0blW8IbR5b6SHojx2wFH1D,40,2018,edm,0.462,0.931,6,-3.287,0,0.0803,0.118,0.243,0.0933,0.331,172.034,269431,4
Calvin Harris,Ready for the Weekend,7sSqDlt9r1chzQEv6FPWKt,48,2009,edm,0.818,0.713,9,-4.813,0,0.0375,0.126,3.2e-05,0.0382,0.937,137.969,217133,4
Excision,Destroid 6 Put It Down,2HVJdIXYOdPmWA6bA0EtjW,31,2013,edm,0.57,0.965,2,-3.33,1,0.0581,0.000257,0.427,0.184,0.428,176.022,207271,4
BEAUZ,Red,2yZDl0edy9OfH2a8W9ynbK,49,2022,edm,0.65,0.893,6,-3.81,0,0.133,0.0377,3.44e-06,0.134,0.11,126.9,206929,4
Flume,Say It (feat. Tove Lo) [SG Lewis Remix],3jMRpKNBPH5vX2e2DIHF3c,31,2016,edm,0.605,0.501,11,-7.49,0,0.0429,0.0318,0.35,0.208,0.103,150.013,297600,4
Yellow Claw,In My Room (feat. Ty Dolla $ign & Tyga),4lqEFIB9YZl8BwR99L5H3b,51,2015,edm,0.745,0.869,6,-4.375,1,0.0444,0.00193,0.0,0.0799,0.814,104.015,168641,4
Joonas Hahmo,Together - Original Mix,1f2ATrxK6Vy2bAyNaVId9Q,8,2007,edm,0.656,0.878,6,-9.185,1,0.0435,0.000354,0.383,0.284,0.389,132.026,370933,4
Tiësto,Magik Journey,5ihmbuaSFBwPpKA11CkNPv,23,2009,edm,0.485,0.814,9,-9.642,0,0.223,0.353,0.933,0.179,0.0593,135.005,665573,4
What So Not,We Can Be Friends,4LZsyQ1VRdqZhEqb8LpPlh,36,2019,edm,0.568,0.639,9,-5.127,1,0.217,0.00125,1.42e-05,0.0668,0.364,139.827,263502,4
Axel Thesleff,Bad Karma,5ZVujHtwnsqFJvLnqRSdch,60,2014,edm,0.7,0.546,5,-7.705,0,0.109,0.0131,0.0305,0.172,0.302,80.004,416000,4
Armin van Buuren,Yet Another Day [ASOT 060] - Rising Star Remix,31mImKUOuYYBlQiQOsVeYW,0,2002,edm,0.496,0.946,1,-10.8,1,0.0633,9.37e-05,0.693,0.193,0.263,138.703,387531,4
Such,Fatalist,0wDtyZGkvRGNEa8u1WS4Yr,0,2003,edm,0.572,0.681,4,-7.263,1,0.0332,0.002,0.0507,0.347,0.18,92.048,362253,4
Liquid Stranger,Djarum Express,0A1QSkzwxIDjSwle2JtJfy,5,2007,edm,0.682,0.673,6,-11.649,0,0.0648,0.0405,0.906,0.205,0.528,94.998,452453,4
Markus Schulz,Perfect - Agnelli & Nelson Remix,3kghDdrkOEUCEK17sBYaxr,10,2008,edm,0.503,0.772,7,-11.372,1,0.0314,0.00272,0.622,0.112,0.341,134.989,529778,4
Cedric Gervais,Let's Keep It Real - Main Mix,5ZEQz5OhubYuRHpZYDvBcp,0,2004,edm,0.788,0.75,5,-14.509,0,0.0755,0.00328,0.631,0.0425,0.044,128.0,432547,4
Kaskade,Feeling The Night,5yWSJO5w7owOBi8OQ9ekLF,27,2013,edm,0.38,0.772,0,-5.862,0,0.0471,0.153,0.00848,0.118,0.054,125.984,254409,3
Sterbinszky,Club Rotation - Zola Remix,40iJ2aoPjfIuXajkCLYdwV,1,2004,edm,0.607,0.871,0,-7.038,1,0.0463,0.000307,0.856,0.0619,0.385,132.004,515867,4
Jonas Blue,Fast Car,2mCF8L0brIs88eH6Kf2h9p,66,2015,edm,0.644,0.57,9,-6.994,1,0.052,0.484,0.0,0.299,0.527,113.945,212424,4
Krmoni,Under the Influence,6nbVuVm0K2Rg4RSkuY63hr,54,2022,edm,0.718,0.815,9,-5.624,0,0.0491,0.0076,3.11e-05,0.0914,0.302,123.06,165854,4
Jai Wolf,Telepathy,6wHU6eEdsYfw8HS5Ybg9DJ,37,2019,edm,0.475,0.872,7,-3.996,1,0.0345,0.00124,0.748,0.286,0.103,89.998,229907,4
Dr. Fresch,Kung Fu,694l2zv6a2jjUgjz5eyX6g,43,2019,edm,0.838,0.866,1,-4.475,0,0.0718,0.216,3.13e-05,0.417,0.703,127.992,179824,4
GRiZ,It's All Good,5oMwpOqhoSHsYHczxcmx5g,27,2015,edm,0.632,0.945,1,-3.352,1,0.0545,0.0015,0.00855,0.138,0.22,99.998,343486,4
Showtek,Electronic Stereo-Phonic,57EtYAOTcgeuNLkGd6y1vF,20,2009,edm,0.503,0.886,11,-7.545,0,0.0545,0.00241,0.00195,0.213,0.304,147.96,252008,4
Diplo,Epistemology Suite 3: You're Enron,6HmHwyTRDcmm1FxgSD8jUh,12,2003,edm,0.72,0.468,11,-5.024,1,0.102,0.119,0.637,0.214,0.514,124.48,197627,4
AREA21,Lovin' Every Minute,1e7gC7NhFSK0lBeoLISvKz,47,2021,edm,0.721,0.56,1,-7.328,0,0.0811,0.158,2.37e-06,0.124,0.647,129.963,162577,4
Armin van Buuren,A State Of Trance [ASOT 086] - Intro,4LRsMr1pIhAzXd47VVvfQf,0,2003,edm,0.372,0.859,4,-8.183,0,0.297,0.00268,0.0,0.752,0.178,134.391,71250,4
Sam Feldt,Show Me Love - EDX Remix,59oaiul2naZ7M9e8lgTjYU,25,2015,edm,0.875,0.727,0,-6.083,1,0.112,0.0543,0.0526,0.0672,0.533,120.991,400785,4
Topic,Breaking Me - RetroVision Remix / Extended Mix,7yI3UnbgWbhfcUKvT5QdaK,0,2023,edm,0.816,0.736,6,-5.175,1,0.252,0.176,1.6e-06,0.127,0.364,125.949,268571,4
Dillon Francis,Without You - The Rebirth,4tP7H1dyJ45Ao2LDUlNQde,19,2013,edm,0.659,0.786,0,-4.392,0,0.0572,0.157,0.000241,0.0977,0.616,127.953,266250,3
Showtek,Breakbeat Junkie,4TsWfIcfACMhRbAPTYsNiN,20,2010,edm,0.65,0.606,1,-7.633,1,0.0683,0.0002,0.00702,0.103,0.377,146.971,464956,4
WRLD,Little Too Close,4FJQhrYrmnUnmbQyKlyHfq,49,2015,edm,0.654,0.749,10,-4.711,1,0.0325,0.0313,0.00181,0.122,0.354,94.989,244889,4
Cosmic Gate,Exploration of Space - New Club 10” Mix,1A97mONw3E6bsIXiFNBqFT,7,2001,edm,0.647,0.783,9,-9.689,0,0.05,0.0077,0.925,0.0717,0.258,138.005,343467,4
Mac DeMarco,Me and Mine,7n2gqUTTaaU9uISE7wMKys,35,2012,edm,0.29,0.822,9,-5.611,1,0.0423,0.0996,0.713,0.32,0.481,99.125,124436,4
Chris Lake,La Tromba Risin' (feat. Tasita D'Mour),7giiXjFsD7G3WBK8BBKwZ1,16,2010,edm,0.691,0.951,0,-4.989,1,0.0879,0.024,0.0412,0.0316,0.61,126.989,381732,4
Armin van Buuren,Burned With Desire - Chill Out Mix,1V7hcu9OaNUttfaAydrkU4,24,2003,edm,0.533,0.588,4,-11.003,0,0.0302,0.359,0.014,0.175,0.115,117.038,152880,4
The Glitch Mob,Fly By Night Only (feat. Yaarrohs),5MhogVeF84CTzQSVRE31dv,30,2014,edm,0.552,0.869,9,-5.32,0,0.0872,6.7e-05,0.148,0.098,0.343,101.998,287253,4
Tiësto,Somewhere Inside - Andy Duguid Remix,5VoCPwyzxdP48QweshNvYo,12,2007,edm,0.802,0.386,0,-10.824,0,0.063,0.0108,0.517,0.0872,0.137,131.996,483800,4
