artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Tommy Guerrero,Sun Rays Like Stilts,4r1IFv0DCJ6CQsfOhQPTES,56,2015,electro,0.57,0.0757,4,-19.502,1,0.0388,0.926,0.893,0.0995,0.0348,138.057,127893,3
Ekali,Drown (feat. Au/Ra),3wDhRYT95uMrYId5wkrDbA,39,2020,electro,0.33,0.796,10,-4.987,0,0.0473,0.007,0.0,0.0609,0.237,78.968,181232,4
Fever Ray,I'm Not Done,4eiMosn8NzqGtQMOoR5DgS,29,2009,electro,0.488,0.818,0,-6.729,1,0.0301,0.115,0.0123,0.144,0.642,161.982,259680,3
The Knife,Pass This On - Live,1rDs6dRDjO96MwsY499Ejz,11,2006,electro,0.527,0.697,7,-11.652,0,0.0319,0.594,0.662,0.523,0.223,125.971,338173,4
Nu,Man O To - Be Svendsen Remix,5Mec3JZZldBlWORup9vhgK,49,2017,electro,0.925,0.42,7,-12.116,1,0.106,0.266,0.531,0.0976,0.668,108.994,228991,4
Apoptygma Berzerk,Cambodia,3BDE7Pb3ds6sotSlJRMhIu,35,2005,electro,0.43,0.897,6,-5.35,0,0.0703,0.000192,0.0744,0.28,0.363,138.038,263320,4
Rouge Rouge,Attention,4NEHfshwoIkXh2KjUp68dn,23,2003,electro,0.984,0.885,1,-5.398,1,0.0957,0.0432,0.714,0.0857,0.65,126.836,232200,4
Wisin & Yandel,¿Como Quieres Que Te Olvide?,6Eu0w6ZNE1Qfk20tYZxn5Y,32,2009,electro,0.636,0.609,9,-7.616,0,0.0361,0.352,0.0,0.3,0.572,89.007,274613,4
Melanie Martinez,Orange Juice,1NekIhcxQF8H8JXOarAUTt,64,2019,electro,0.708,0.665,1,-7.612,0,0.0994,0.537,0.0,0.578,0.637,106.999,217241,4
Wisin & Yandel,Un Beso,1OzxzCYQkJNvj6IHcA2Atc,36,2012,electro,0.823,0.933,0,-5.457,1,0.0837,0.0804,9.02e-05,0.0558,0.407,108.0,278080,4
RJD2,June,622QoX97gHd7yPPo1z6XUe,22,2002,electro,0.693,0.896,1,-4.725,1,0.0681,0.495,0.00101,0.0604,0.439,92.421,363533,4
Cher Lloyd,Behind The Music,6vyWxBHX1Z1MF8LN6HpYcR,24,2012,electro,0.605,0.79,5,-4.163,1,0.114,0.0538,0.0,0.263,0.505,157.931,222920,4
UNKLE,Invasion,3pcUSoFE1Pd0qBdevkaF63,22,2003,electro,0.636,0.727,11,-5.902,0,0.0337,0.00852,0.769,0.191,0.0405,110.021,313867,4
Jeremy Zucker,supercuts,4PyMK7JTcu6l30D8KogokR,59,2020,electro,0.807,0.539,11,-8.193,1,0.124,0.0789,0.0,0.0928,0.755,127.992,206600,4
Gramatik,Don't You Know,2mQ04HYsneD93CxHbs5ZBs,27,2009,electro,0.764,0.58,0,-6.851,1,0.0894,0.0421,0.168,0.361,0.699,81.551,292500,4
The Rapture,Love Is All,3WxMnLWbDdWvkZDskaWdXJ,13,2003,electro,0.369,0.627,10,-4.435,1,0.0341,0.0111,0.184,0.158,0.314,117.991,255480,4
Kate Nash,Shit Song (Interlude) / Shit Song,1ZP0FwoTNYOYZLXpAXJpCW,19,2007,electro,0.832,0.783,0,-6.133,1,0.0895,0.0164,0.0028,0.0658,0.761,114.985,185173,4
Kormac,People Rising,3ZiC0PpmBpbJqCAGnQKXGn,28,2010,electro,0.977,0.501,8,-7.4,1,0.256,0.000859,0.272,0.0625,0.647,122.004,237920,4
Kid Loco,Lucy's talking,4tTV11MEfDfuJSJOeeTrIx,31,2001,electro,0.648,0.679,11,-6.686,1,0.0305,0.0404,0.0729,0.162,0.322,83.011,264533,4
Étienne de Crécy,Fast Track,0WQp9xnUc1Hibjlzu4ksO5,25,2004,electro,0.716,0.842,9,-7.263,0,0.035,0.00109,0.886,0.083,0.629,141.996,460253,4
Janelle Monáe,Come Alive (War of the Roses),4197HGpsH7jGRz5gInEkfC,33,2010,electro,0.409,0.838,8,-8.641,1,0.0727,0.0247,0.364,0.132,0.666,199.88,202027,4
The Herbaliser,It Ain't Nuttin',3t2qNn63zKaCT1pYyMPIoR,53,2002,electro,0.741,0.792,1,-5.542,1,0.329,0.0551,0.0,0.317,0.797,98.52,166693,4
And One,Panzermensch - Live Steffi,0aRGrOx0CTkKkmZAQUw2Qv,40,2009,electro,0.641,0.998,7,-6.818,0,0.087,0.0246,0.000143,0.956,0.565,135.029,284747,4
Chelsea Cutler,Anything for You,75InfKXpfscVBFiVlOqtBu,35,2015,electro,0.466,0.592,2,-11.173,1,0.0941,0.824,2.68e-05,0.13,0.139,125.967,201905,4
St. Vincent,The Apocalypse Song,2N1wX62Scsdba2IscCCk7L,24,2007,electro,0.52,0.624,10,-6.86,0,0.109,0.402,9.11e-05,0.0988,0.279,76.036,227333,4
Kill Hannah,Believer,4b1BAKlzhD5vMDbRc3GQ5x,22,2006,electro,0.374,0.972,11,-3.834,0,0.14,0.000413,9.57e-05,0.359,0.38,149.087,226426,4
Quinn XCII,Werewolf (feat. Yoshi Flower),5foPGlyY3O4uSrFGhfUKGW,43,2019,electro,0.695,0.557,8,-6.686,1,0.396,0.0403,0.0,0.0832,0.684,161.882,191893,4
Wisin & Yandel,Ahora Es,0hdYSzEWKyKHnfhGoVFSGM,49,2013,electro,0.824,0.793,11,-5.516,0,0.112,0.11,0.0,0.448,0.729,96.008,207480,4
