artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Juliana Theory,This Is The End Of Your Life - Music From Another Room Album Version,7x6epzjsUXYZoXmAtSko4C,5,2001,emo,0.335,0.702,2,-5.561,0,0.0335,9.7e-05,0.00764,0.195,0.16,172.169,353840,3
Spitalfield,Secrets In Mirrors,4bG4vNOwRXnJfixOAbJkwg,18,2006,emo,0.594,0.871,7,-4.083,1,0.0315,3.58e-05,0.0572,0.187,0.828,109.988,181240,4
Motion City Soundtrack,It's A Pleasure To Meet You,6eDnWPIGWmo0IjOXoHYCOe,22,2015,emo,0.363,0.815,3,-3.162,1,0.0451,7.85e-05,0.0,0.0919,0.708,111.513,223253,3
Tiny Moving Parts,Sundress,01uhrXb8QsuIs1HizoqxdJ,34,2014,emo,0.344,0.842,8,-5.871,1,0.0602,0.00389,0.0,0.285,0.425,159.732,179733,4
Say Anything,Crush'd,6MBfLzd5JN4YdTCTXEtTpt,29,2009,emo,0.55,0.721,6,-6.428,1,0.114,0.0465,0.0,0.0805,0.647,156.411,265227,4
Basement,White Elephant,4Oq6yOs0L5Dfa7f3pxkQfq,23,2010,emo,0.227,0.907,1,-4.01,1,0.0504,0.000406,0.0,0.124,0.581,97.014,166336,4
McCafferty,Witchcraft,3Q65m5DyRpkPc1V2YMZUEh,34,2021,emo,0.523,0.462,2,-8.86,1,0.0518,0.696,0.0,0.114,0.555,120.572,133812,5
OmenXIII,Shut the Fuck Up,3za3kida4iJNeg146mxB39,38,2017,emo,0.952,0.49,1,-7.312,1,0.206,0.00812,0.0,0.114,0.294,129.02,104260,4
Steven Moses,Leave Me,3sts4HIctIP8P747HeF2pZ,49,2018,emo,0.63,0.589,5,-7.944,1,0.272,0.364,0.0,0.246,0.611,105.175,242827,4
Dead Red Sea,Obscene Calls,6YbxC9HjrG5vzpJMLFKQjb,0,2001,emo,0.369,0.934,2,-5.085,1,0.0339,0.000848,0.0744,0.35,0.488,95.049,318080,4
The Dopamines,June 4th,5hbRZTbC7P30g1OsWcSECC,10,2010,emo,0.441,0.984,9,-3.578,1,0.121,0.0113,0.0,0.38,0.306,92.41,156369,4
Starmarket,You Can't Come,6AxyGpeB3RUt22dpMk67d9,0,2004,emo,0.357,0.738,8,-6.217,0,0.039,0.000228,0.0891,0.0848,0.287,112.185,185400,4
COWPERS,Yagatesokoniitaru,1pJyyWIkDYb8uiFiQD0AIA,9,2000,emo,0.244,0.984,4,-4.811,1,0.0857,1.67e-05,0.0303,0.104,0.697,177.662,335080,3
New Years Day,Hello Darkness,0UU6NaV3nhQa4Gn5fWdkIp,22,2013,emo,0.289,0.936,11,-3.858,0,0.227,0.000598,0.00444,0.0885,0.154,176.118,200827,4
Tigers Jaw,It's About Killing People,29GQ9lPHIgw3okFqxLZUUt,9,2006,emo,0.389,0.886,9,-5.528,0,0.0346,0.139,0.981,0.312,0.844,89.22,99747,4
The Holiday Plan,Projecting Power,5S4fFQBvN1DigjO6XqRM16,1,2004,emo,0.454,0.94,7,-4.531,1,0.0525,0.103,0.0247,0.43,0.539,110.937,210853,4
Burgos,See Me Again,2gwxamnWtsb9Fle1xSKRdn,32,2020,emo,0.637,0.435,5,-9.298,1,0.0765,0.0889,0.0,0.0894,0.197,178.141,183371,5
Lana Avacada,Explorate (Or Explore It),0RFpRHZUeFPao0Ye0GWuxA,12,2009,emo,0.431,0.776,7,-5.386,1,0.0752,0.00335,3.51e-06,0.084,0.301,95.739,178907,4
Spraynard,Back Roads,6xhu6RyOHYS3murOktgfs2,21,2015,emo,0.351,0.921,1,-5.438,1,0.0539,1.56e-05,0.000137,0.105,0.713,182.882,156453,4
The Get Up Kids,The One You Want,5sk64Kv3vbLr7zDTw1QdwG,19,2004,emo,0.502,0.925,2,-4.411,1,0.0504,0.0258,0.00017,0.261,0.714,124.998,195040,4
Cheap Girls,Ft Lauderdale,03GesvSstJGd7B5hOXuUAT,14,2009,emo,0.492,0.915,0,-6.819,1,0.0633,0.0111,0.0,0.284,0.774,144.151,144400,4
Usurp Synapse,This City's A Grid,5tzXChPz0pGbMxgHWAe5VW,3,2003,emo,0.287,0.536,9,-9.082,0,0.0531,0.0482,0.814,0.0792,0.184,84.014,155387,4
Cartel,Honestly,6doBxUbuslAgelILAjXO95,49,2005,emo,0.454,0.916,1,-4.951,1,0.0399,2.42e-05,0.0,0.118,0.586,144.511,207333,4
Motion City Soundtrack,Better Open The Door,1FeF0xpem07pv4ipis6W2v,7,2006,emo,0.451,0.982,4,-2.937,1,0.0753,9.21e-05,0.000748,0.0498,0.757,162.941,180387,4
fredo disco,temporary tattoo,07ze5NHLFiNo2DF0uR5UDe,30,2017,emo,0.427,0.559,2,-8.831,1,0.0458,0.525,0.00067,0.1,0.581,168.783,171648,4
The Wonder Years,Doors I Painted Shut,1ObObvyjmHRZGGqRuXeWa2,47,2022,emo,0.21,0.72,9,-6.244,1,0.0381,0.0023,0.0168,0.352,0.324,82.394,180909,4
American Football,I've Been So Lost for So Long,60O5Zc6GiPKuCksAB4IRbN,26,2016,emo,0.554,0.711,8,-8.309,1,0.028,0.000299,0.000846,0.0939,0.181,119.987,275920,4
Their / They're / There,New Blood,2WxbTn3aMlYI7aTAoQBcy8,23,2013,emo,0.316,0.767,8,-7.079,1,0.0716,0.0376,0.000133,0.207,0.187,105.213,268693,4
Fall Out Boy,"Love, Sex, Death",4KTTq4ioVF3MTu1cp7pH5z,30,2013,emo,0.233,0.942,6,-5.299,0,0.189,8.57e-05,0.182,0.587,0.597,188.035,83200,4
Cursive,Into the Fold,3qkv1HjdewItYLGGCOhqHm,19,2006,emo,0.334,0.581,2,-9.461,0,0.0343,0.00607,0.142,0.305,0.277,118.535,256373,3
guardin,altitude,5mzvGPhsCURCR6fAy099mq,35,2021,emo,0.565,0.667,6,-6.185,0,0.243,0.0488,0.00326,0.204,0.43,151.013,129781,4
salvia palth,like you know i get old,6tuWX9L6LN6C1JODlbAz3j,40,2013,emo,0.463,0.494,3,-9.985,1,0.0291,0.701,0.904,0.112,0.269,119.733,285492,3
Crime In Stereo,I'm On The Guestlist Motherfucker,6ivxrtqU7s1KeDxRHWcysP,19,2006,emo,0.324,0.957,7,-4.895,1,0.177,0.0038,0.0,0.0981,0.443,101.054,88720,4
Banner Pilot,Wide Awake on Lake Street,12GO6ccyifcgnwkykDLlNR,12,2006,emo,0.17,0.988,9,-5.602,1,0.178,3.68e-06,9.63e-05,0.0739,0.286,181.402,88880,4
Time Spent Driving,The Reason I Stay,5M7UZLzdazu2Asfd6VYUhJ,6,2002,emo,0.605,0.607,7,-8.106,0,0.0265,0.139,0.08,0.115,0.162,116.206,256307,4
Fall Out Boy,Chicago Is So Two Years Ago,3P8zrkBArAfdjFJxPtZRUO,52,2003,emo,0.63,0.946,0,-4.22,1,0.106,0.000383,0.0,0.404,0.539,113.839,199840,4
Karate,This Ain't No Picnic,51piY3vkkWxG11BCUdhnbI,10,2005,emo,0.53,0.7,11,-6.307,0,0.0747,0.00435,0.000277,0.0436,0.426,155.345,115000,4
Militarie Gun,Ain’t No Flowers,7IAvGDILpBX9maZWfdkrGw,35,2022,emo,0.337,0.959,4,-3.528,0,0.0639,0.000118,9.15e-05,0.603,0.509,114.879,118150,3
Via Luna,Magic Hour,0w5kIRKUomaxu99WE2ZBfo,25,2015,emo,0.461,0.705,0,-7.908,1,0.0483,0.0302,0.672,0.13,0.522,116.031,393067,4
Joyce Manor,Do You Really Want To Not Get Better?,18kyqtuJdj5Pvwq5nI2FYO,31,2016,emo,0.73,0.265,2,-10.008,1,0.0288,0.857,0.00896,0.104,0.528,89.997,76293,4
ASIAN KUNG-FU GENERATION,振動覚,3iUHFt2vXwOdF7Qm0I0XtH,40,2004,emo,0.438,0.952,9,-4.269,1,0.0497,1.72e-05,0.309,0.0537,0.548,92.506,147200,4
Gleemer,Sunday,0uubjkG2V3bfmwlBpgwiq3,31,2017,emo,0.432,0.38,3,-11.178,1,0.0292,0.347,0.638,0.314,0.3,168.82,82933,4
My Chemical Romance,DESTROYA,08gaUXuT1LXIae7TwBTCB9,55,2010,emo,0.5,0.978,9,-5.128,1,0.103,0.00408,0.593,0.204,0.199,100.038,272907,4
Super American,how big is your brain?,2g6FvhvSzYUq9f6uZeyDip,42,2021,emo,0.408,0.579,6,-4.524,1,0.0299,0.0751,0.0,0.107,0.637,179.969,185604,4
This Providence,Selfish,5oQQtRNbLqoao8GjJFnUZs,9,2009,emo,0.283,0.891,11,-3.882,1,0.182,0.000423,4.17e-06,0.111,0.511,205.362,203080,4
Chinese Football,Goalkeeper,0xmqkQSRbdmHv4ALaGsCTe,34,2015,emo,0.625,0.771,9,-4.339,1,0.027,0.000524,0.121,0.123,0.409,128.068,251855,4
Hit The Lights,One Hundred Times,2JyBlFsC6wj76FcDGnd8yY,21,2006,emo,0.412,0.826,8,-3.85,1,0.0812,0.038,0.0,0.142,0.477,191.981,221107,4
CHRIS RAIN,CENTIPEDE,2x7TLQW4mZ0YHZLniSDJr4,47,2020,emo,0.676,0.443,1,-8.8,0,0.0437,0.141,0.0,0.303,0.251,133.055,139154,4
Dikembe,Apology Not Fucking Accepted,2xWVfEzZOG1bI5R3WTOQAl,25,2012,emo,0.405,0.912,0,-3.491,1,0.052,0.000122,0.607,0.0927,0.404,86.017,198000,4
the cabs,haiku about kdyla,1zU1pm0KVYQu781qeMmvS8,23,2011,emo,0.257,0.697,10,-3.526,0,0.046,1.84e-05,0.105,0.308,0.366,180.589,114107,4
Man Overboard,Lifeline,1O7OpqBszspYUMNl64A52O,25,2020,emo,0.46,0.973,4,-3.369,1,0.153,0.0304,0.0,0.324,0.146,94.043,248200,4
Drex Carter,Nagato,4eglTsBtUA5E2UtDVWLdjv,38,2019,emo,0.705,0.507,1,-7.787,0,0.0423,0.752,0.000744,0.108,0.114,105.002,202742,4
Alkaline Trio,I Can't Believe,0YqdsM9x9NtKUfwqooo6iV,31,2018,emo,0.498,0.951,1,-4.032,0,0.0996,0.000242,0.0,0.113,0.267,132.039,241320,4
PXNDX,La vida en el barandal,3Sz7Q3D89jYaOu7F8MXUxh,35,2012,emo,0.592,0.869,3,-3.832,0,0.0357,0.00626,0.00481,0.107,0.44,138.011,256387,4
Alkaline Trio,Hell Yes,1rVTftjXzLEtF3lxrHnCjB,5,2001,emo,0.423,0.883,9,-7.573,1,0.0406,0.000303,0.0373,0.104,0.932,150.844,228627,4
Can't Swim,met u the day the world ended,3dZyeLLrnpKUD4QNyczWQg,39,2023,emo,0.326,0.953,0,-3.522,1,0.0784,0.00922,0.0,0.772,0.311,173.891,184093,4
Lil Peep,Rockstarz (feat. Gab3),5FxbYc0s1MucUcsRtoAPEB,47,2019,emo,0.603,0.569,1,-7.119,1,0.33,0.0475,0.0,0.0527,0.565,158.029,137707,4
State Champs,Stitches,5rQQaAUU86ulQ4uZIyS1hp,58,2017,emo,0.443,0.876,1,-4.488,1,0.0979,0.000558,3.35e-06,0.227,0.569,157.053,183440,4
Psych,I will keep you warm,5AQg0AdgxnT06XkMro6unu,24,2023,emo,0.463,0.88,8,-4.575,1,0.041,0.00665,0.00559,0.307,0.735,84.113,125346,4
The Anniversary,Follow the Sun,7ApRkvbOsMlXMdKmhWIP9K,4,2001,emo,0.347,0.581,0,-7.439,1,0.0339,3.22e-05,0.00465,0.0726,0.219,129.981,147227,4
XXXTENTACION,Floor 555,6r7ULK6c5CLVvImjTIztl1,69,2018,emo,0.695,0.686,9,-8.147,0,0.0478,0.000424,0.0023,0.365,0.354,105.219,93447,4
Lil Peep,U Said,5365BgI6Fr6agnKQZqPPX1,66,2017,emo,0.265,0.827,7,-4.661,1,0.104,0.0434,0.0,0.117,0.131,82.021,224053,4
s0cliché,2020,4M3FoD9yMynVhQsrk5SIsy,35,2019,emo,0.663,0.512,8,-11.039,1,0.0439,0.0742,2.49e-06,0.266,0.399,109.886,125460,4
Autumn!,Way To Gooo!,21UjYhqlLPbXExCeKQK93z,40,2019,emo,0.311,0.636,1,-9.855,0,0.111,0.00257,0.000151,0.225,0.462,143.028,103053,3
ASIAN KUNG-FU GENERATION,極楽寺ハートブレイク,7l3euKoFO24vfHakyVyso2,24,2008,emo,0.416,0.976,7,-3.574,1,0.0475,0.00064,1.57e-05,0.219,0.453,141.191,141253,4
KIDR,I Just Shoot,3PtjHPoQguCtJcYb5oiwEh,15,2023,emo,0.752,0.586,1,-7.377,1,0.0797,0.122,8.91e-05,0.353,0.353,141.334,138697,4
Taking Back Sunday,You're So Last Summer - Remastered,0cY6CAgB5wShSOTT3lQl2t,57,2002,emo,0.363,0.756,11,-4.687,0,0.0494,0.00775,0.0,0.0794,0.68,155.644,181337,4
A Great Big Pile of Leaves,Alligator Bop,5fUny8andi59Tm6ghEEDvp,30,2010,emo,0.531,0.569,4,-5.333,1,0.0403,0.394,5.81e-06,0.124,0.41,129.97,215272,4
ilyTOMMY,Lonely Nights,0n6Dh4G6Uoq7ZoKeYWu7Rr,58,2017,emo,0.463,0.256,10,-12.236,1,0.0487,0.821,0.613,0.153,0.272,123.954,185901,4
Eastern Youth,踵鳴る,30mrJnQ3b4JbBJNva3bauY,20,2001,emo,0.464,0.924,11,-4.432,1,0.102,0.00183,4.7e-05,0.311,0.287,117.903,344067,4
Can't Swim,My Queen,6K7R3QbTfDpRd7QMRyqTET,40,2018,emo,0.423,0.904,4,-6.07,1,0.062,4.43e-05,0.0,0.282,0.506,76.564,184600,4
Oliver Francis,Nothing Gold Can Stay,3utwyGaFcVdK3vSxtRvpr3,27,2017,emo,0.531,0.494,8,-8.911,0,0.0857,0.382,1.45e-05,0.123,0.196,154.034,171437,4
Hot Water Music,I Was On A Mountain,6loVaOyUGq3tu14hkm5k69,24,2002,emo,0.438,0.986,9,-5.259,0,0.0892,0.00244,0.011,0.324,0.249,102.404,219773,4
Fireworks,The Only Thing That Haunts This House Is Me,496CGykzjDqdIR1QMZn8Da,12,2014,emo,0.251,0.927,3,-5.677,1,0.0571,0.000318,0.152,0.255,0.463,151.867,187347,4
Motion City Soundtrack,Mary Without Sound,6nouOtW9orignqg1CMcq2k,24,2003,emo,0.493,0.959,1,-4.27,1,0.0626,0.0015,1.52e-06,0.178,0.59,122.922,180000,4
Born Against,Eulogy,6PcLix6hnjlv1bd1w0jkEy,11,2003,emo,0.356,0.931,0,-6.569,1,0.0672,0.0222,0.000665,0.147,0.345,147.675,99467,4
Kisschasy,Spray on Pants,2jr4wUnOmjXTe3cKZlVd5S,18,2007,emo,0.562,0.837,3,-3.931,1,0.0315,0.00124,1.19e-06,0.0585,0.77,128.117,227187,4
6 Dogs,Off The Gas (feat. Lil Skies),3IzrrsRBpu23x95jJo7d5S,46,2018,emo,0.669,0.421,10,-12.441,1,0.373,0.577,2.22e-06,0.0998,0.573,159.88,192224,4
Dream State,Monsters,55WJq2EsJoTSvvF15Q4gCy,36,2020,emo,0.47,0.862,6,-5.494,0,0.112,0.00504,0.0,0.059,0.473,162.226,222836,4
CHRIS RAIN,Slowly Obsess,423XyRAuHYfPapUzx2lWeN,38,2020,emo,0.565,0.575,6,-5.097,0,0.0314,0.171,0.0,0.11,0.272,120.003,130154,4
Time Spent Driving,In Waiting,3QvFs0czIpZVUTBjOa7jl2,3,2002,emo,0.661,0.513,0,-7.297,1,0.0285,0.0906,0.676,0.149,0.256,126.609,196520,3
Jeromes Dream,Just Down the Hall from Room 526,1amy9EBfnnHupcsh84VUKk,12,2005,emo,0.0586,0.911,2,-4.581,1,0.0718,6.73e-06,0.846,0.0355,0.48,209.687,52000,5
Starmarket,Mexico Summer,3jnWPVFauXHpxqn1gGagZW,7,2001,emo,0.292,0.713,9,-6.056,1,0.0366,0.0585,0.000593,0.211,0.552,156.356,182267,4
Hidden In Plain View,Hear Me Out,0RiVbWPFhufRwb2qdSzwue,4,2007,emo,0.346,0.912,7,-5.015,1,0.0788,0.00765,0.0,0.0876,0.143,183.904,251840,4
Tigers Jaw,Cannonball,1dWSrF7s0Gx6SZUe8w9Uq9,13,2006,emo,0.427,0.201,5,-19.911,1,0.0313,0.319,0.515,0.145,0.427,138.726,163561,4
Hobo Johnson,Peach Scone,4Pj5nvdDibE3sgflD87J2i,55,2018,emo,0.583,0.408,7,-9.125,1,0.564,0.65,0.0,0.309,0.612,74.738,212800,3
PXNDX,Lunar De Clavícula,0BzXo4hVmCi4Hy49X1BtRs,41,2013,emo,0.491,0.804,8,-5.336,1,0.0553,0.0202,0.000238,0.154,0.714,125.175,224813,4
glass beach,orchids,7cF0ZugIiSAmfXnEVu98xZ,39,2019,emo,0.199,0.516,11,-4.354,1,0.0399,0.233,0.00429,0.212,0.0514,109.969,274000,4
PVRIS,Anyone Else,3Yc3DI66pY5AVHmfgYQtZh,40,2017,emo,0.567,0.853,1,-4.605,0,0.0682,0.122,0.282,0.136,0.27,119.964,275587,4
"Chunk! No, Captain Chunk!",The Progression Of Regression,6FmXn0DH6gLL7y15r3urdH,22,2013,emo,0.405,0.97,9,-3.562,1,0.0719,4.15e-06,0.625,0.597,0.587,154.992,224120,4
sadgods,Just Alone,73DBtG22yE7tHlHuSSvvws,32,2021,emo,0.509,0.666,0,-6.629,1,0.0808,0.0024,1.83e-05,0.17,0.161,79.975,195016,4
There For Tomorrow,Taking Chances,6LKDoYnROPEp60fQpjbSbE,14,2008,emo,0.258,0.916,1,-4.925,0,0.0745,0.0067,0.0,0.0814,0.275,167.646,267933,4
ilyTOMMY,Forever,7uHRKSQ9WIlBBuBY7BHcbq,68,2019,emo,0.613,0.339,5,-14.908,0,0.135,0.678,0.0,0.166,0.292,106.582,108696,5
The Starting Line,Island - Cold Ending,5jgeHvxhOu0JfMnmdNJTy4,11,2007,emo,0.554,0.958,1,-3.353,1,0.0453,0.00531,0.0,0.322,0.719,111.017,204387,4
The Story So Far,Closure,7IA5lo7PqGbbja2xS498GN,38,2011,emo,0.329,0.995,11,-3.0,1,0.124,0.000578,7.73e-05,0.089,0.323,187.035,199907,4
Autumn!,Should Know Me Better!,2m11XsG8CxApJDi1S5Qf3D,38,2022,emo,0.723,0.78,4,-4.874,0,0.19,0.0965,0.0,0.343,0.547,139.071,141431,4
The Wonder Years,Summer Clothes (Extended Cut),5EUM9Ud3HnRcqYumc0xGDm,32,2023,emo,0.523,0.621,9,-5.113,1,0.0243,0.0027,0.000328,0.0889,0.205,106.029,441335,4
Milestones,Paranoid,5odm5HACs257EawVLt6XJe,38,2018,emo,0.375,0.976,11,-2.88,0,0.12,0.000152,0.0,0.128,0.423,166.912,191693,4
Taking Back Sunday,Death Wolf,2D1i89f8JciKL4IOmUwdEy,28,2016,emo,0.375,0.935,11,-5.391,0,0.0968,0.000382,0.00877,0.365,0.0971,150.015,252507,4
Microwave,Part of It,3WMphVGMC5cotOA4C17uuL,31,2019,emo,0.433,0.441,1,-9.373,1,0.0349,0.0234,0.14,0.0787,0.322,150.111,194153,4
Lil Tracy,Rain Rain Go Away,71jykSgnLILgRhjX3aan6x,32,2018,emo,0.64,0.767,11,-5.789,0,0.062,0.123,0.0,0.111,0.425,75.492,166887,4
44phantom,go to hell,10mRuqg9Ois96wi84PMWB4,38,2021,emo,0.594,0.675,11,-5.418,1,0.0257,0.0111,1.39e-06,0.189,0.444,131.907,174280,4
Everyone Everywhere,I Feel Fine,7HhIXtAfvvT3fiDY48qTnd,12,2010,emo,0.317,0.852,7,-5.752,1,0.0379,0.000226,0.173,0.0905,0.51,97.739,226467,4
Corbin,Tell Me,7CNlUOUZbaxcyorkQle8o5,44,2021,emo,0.455,0.396,4,-11.459,0,0.0596,0.17,5.43e-06,0.0912,0.0466,176.164,221062,4
People In The Box,六月の空を照らす,5V5ky89Zlctr4oKBvjJ2U8,13,2007,emo,0.305,0.895,5,-3.301,1,0.0442,0.00247,0.000134,0.185,0.613,177.459,209867,3
