artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Giullian Monte,Bota Bota,69DccXry2Rk2j6Hy2l9HQ3,4,2023,forro,0.843,0.925,4,-2.723,0,0.0373,0.239,0.000127,0.367,0.972,141.966,171413,4
Forró Saborear,Cara de Pau - Ao Vivo,3hV2lEziYzYokmn1fyzzGo,0,2004,forro,0.758,0.93,2,-5.323,1,0.0701,0.432,0.0099,0.351,0.827,107.609,192261,4
Forró dos Plays,Meu Bem Eu Te Amo,49qvJytZz69hVlNzGiWfc7,6,2011,forro,0.503,0.897,2,-7.067,1,0.0523,0.455,3.42e-05,0.42,0.906,187.375,87257,4
Raí Saia Rodada,Doce Desejo - Ao Vivo,3v7K3a959cEiXIUh9QxTwI,0,2004,forro,0.746,0.767,9,-6.87,1,0.0861,0.75,5.94e-06,0.0876,0.935,107.884,213185,4
Pedrinho Pisadinha,Fogo no Fogo,0wmYLJ1hU1WnIGrXstD1JD,8,2021,forro,0.843,0.907,9,-0.24,0,0.0575,0.4,0.000862,0.0323,0.88,156.057,163818,4
Cacau Com Leite,Zé Matuto,2aNtAyu7bbti4NPv01fGxg,0,2012,forro,0.383,0.77,7,-8.373,1,0.105,0.597,9.3e-05,0.216,0.961,189.636,134844,3
Soró Silva,Escondido dos Seus Pais,0Q5bfpmIZptFgLNnoHkCE5,26,2020,forro,0.687,0.727,1,-4.169,1,0.0486,0.0984,0.0,0.0912,0.963,185.981,136787,4
Unha Pintada,Cama Velhinha,1DujEZwx4OeeZJysys7wSc,7,2018,forro,0.874,0.67,0,-4.674,0,0.0492,0.722,0.0,0.121,0.744,136.943,150387,4
Desejo De Menina,A Sua Vista,1G9mvOTt40haWaenixH0Fc,30,2015,forro,0.52,0.769,4,-5.124,1,0.0441,0.508,0.0,0.121,0.791,155.991,171128,4
Frank Aguiar,Depois das Seis,6gpdrAVHs2pa84qYAH6Hka,0,2009,forro,0.523,0.839,6,-4.121,0,0.0691,0.388,0.000311,0.134,0.74,180.043,192052,4
DJ Maluco,Bombadinha,1eY05vULVQxMTIpYPRkVw3,0,2004,forro,0.655,0.795,9,-6.95,1,0.0463,0.211,0.0,0.377,0.96,185.874,192131,4
Banda Calypso,Esperando por Voce,5IBWdC0sux6Lskci5VtBqL,33,2004,forro,0.623,0.893,9,-1.944,0,0.042,0.129,2.27e-06,0.462,0.634,124.151,228533,4
Bonde do Brasil,Cumplicidade,3SYLmSocnkRgFlcyimbxR9,1,2017,forro,0.534,0.92,7,-1.842,1,0.0823,0.667,0.0,0.543,0.812,156.072,173573,4
Desejo De Menina,Primeiro Amor,6AlvtgR7WXwkLoC4zLF9zI,15,2015,forro,0.585,0.757,0,-6.547,1,0.0294,0.511,0.00189,0.47,0.837,160.102,239360,4
Irmão Lázaro,Filho Chora e Mãe Não Vê,3vMYMmAEXI9zZxXYvw7Gzl,32,2017,forro,0.814,0.578,7,-5.757,1,0.0372,0.363,8.01e-06,0.048,0.742,125.988,205760,4
Petrúcio Amorim,Um Baião Chamado Saudade,5WbkTILX2GkjhZiWQVfgql,5,2015,forro,0.422,0.737,0,-6.28,1,0.047,0.479,1.2e-05,0.422,0.833,105.524,200375,4
