artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Georges Brassens,La Cane De Jeanne,43sbTxFRGQRwmKq5zPFarU,10,2001,french,0.577,0.237,9,-11.514,1,0.247,0.913,0.00733,0.108,0.533,204.545,84227,3
Synapson,Yise (feat. Bongeziwe Mabandla),2ZvuhuqP8Vuor9z57ZX91N,31,2020,french,0.657,0.716,9,-8.62,0,0.051,0.151,2.52e-06,0.0838,0.424,100.981,182970,4
Garou,Les filles,6j9X5ien8gqMC2tMUbh509,16,2001,french,0.597,0.404,0,-8.481,1,0.0667,0.843,0.0,0.0949,0.356,159.951,187427,4
Nessbeal,Dans la jungle,0hq7pcPFafdNfol7SATscD,9,2008,french,0.597,0.97,4,-1.684,0,0.38,0.284,0.0,0.151,0.425,164.052,260920,4
Patrick Bruel,Pour la vie,2sefmPyval9oSZEyEPevfi,8,2004,french,0.499,0.699,2,-8.957,1,0.0318,0.321,3.98e-05,0.0957,0.52,97.955,221387,4
Synapson,Toujours (feat. Tim Dup & Lass),2PFqkHzF7R1cBttOp0jUXg,46,2020,french,0.782,0.618,3,-9.434,1,0.068,0.475,6.96e-05,0.117,0.502,130.009,201231,4
Sixième Sens,Citoyens Du Monde,5gztea5dtbvVzmagJfL4Pq,17,2010,french,0.46,0.831,10,-4.001,0,0.217,0.18,0.0,0.0565,0.672,72.954,270759,1
Les Fatals Picards,Le Retour à la terre,715zIQcEj658KTFby8MJYp,43,2011,french,0.75,0.891,5,-5.033,1,0.0633,0.203,0.0,0.363,0.846,102.06,232773,4
Paul Baloche,Angels From the Realms of Glory/Emmanuel,22wO7gBMOEXNamV7iVpbD4,18,2015,french,0.492,0.828,7,-6.423,1,0.0329,0.000417,2.24e-05,0.109,0.153,112.002,245720,4
Jean-Pierre Decerf,Like the Wind You Are,1OGW36mdkgoFzp65Kg7CWY,10,2013,french,0.521,0.778,5,-9.914,0,0.0688,0.043,0.921,0.302,0.647,129.211,174440,4
Green Montana,NEYMAR JR,3ejRaW9IZCWkr15JN2OpQO,57,2022,french,0.767,0.549,0,-7.721,0,0.0635,0.285,0.0,0.268,0.83,142.971,165293,4
Jean Constantin,"École buissonnière - From ""Les 400 coups""",3lrxh0MZGBdAp4MNH5fwCi,19,2013,french,0.585,0.415,9,-15.44,0,0.0312,0.768,0.12,0.271,0.752,125.815,126627,4
Marin Marais,Suite in G Minor: Menuet I - II,6sCXiGYLpN0ciGH9rKJDT4,8,2005,french,0.205,0.196,6,-15.479,0,0.0479,0.849,0.0077,0.0889,0.235,46.15,190533,4
Birdy Nam Nam,Abbesses,0n1aJG9YhECrxHuZh9ltzG,19,2006,french,0.76,0.688,6,-7.354,0,0.0836,0.0316,0.798,0.089,0.824,89.807,387360,4
Vanessa Paradis,Made in Asia,1jLwXyPcFSFGcyah0DMMKl,25,2006,french,0.728,0.316,9,-12.145,1,0.0308,0.553,0.0155,0.216,0.312,108.976,266360,4
Matmatah,La petite cuisine,4cMiwWCMJONZ6qtHgYP7Zm,6,2004,french,0.801,0.625,5,-6.162,1,0.0505,0.214,0.232,0.362,0.535,115.975,193080,4
Uppermost,Angels - Lemaitre Remix,5QT9tSqN3ryB7gsbrHl70U,24,2017,french,0.874,0.445,1,-8.495,1,0.242,0.000795,0.0507,0.0734,0.495,116.023,208795,4
Alexandre Desplat,People's Princess II,2k7Q6XWbns9jI4AcSFFBEa,8,2006,french,0.691,0.0963,3,-22.937,1,0.0373,0.764,0.809,0.101,0.116,119.963,248146,4
Francis Cabrel,La Corrida,3XX50UIL2zVfEHtdwfYwUV,45,2007,french,0.525,0.316,5,-15.226,1,0.0458,0.729,0.00365,0.0774,0.292,98.57,337573,4
Bjarne Hendrik,Inspire,2U6NZdGlnkKhMdZ8BayQNi,58,2022,french,0.781,0.632,6,-11.349,0,0.0386,0.0688,0.749,0.0571,0.0893,120.01,128000,4
Lyricson,Life,1scq145aNy9DHisrJEqFaa,17,2004,french,0.831,0.811,9,-4.49,0,0.254,0.135,0.0,0.114,0.537,94.035,311800,4
Seth Gueko,Patate de forain,2VMzuaMP2YP6F0xIA4hoch,45,2005,french,0.697,0.811,9,-3.523,0,0.343,0.116,0.0,0.0958,0.32,95.652,254320,4
Diam's,Incassables,4iCu2bz00EijdVSIHPywq2,28,2003,french,0.849,0.653,11,-7.518,0,0.0671,0.0471,0.0,0.0701,0.415,97.102,244173,4
Niska,Medellín,3YzRBFsvGVTlTXUvjsSxcf,51,2017,french,0.941,0.454,10,-6.116,1,0.239,0.128,0.0,0.0908,0.133,127.975,199600,4
Alex Keeper,Runaway,30M0yCMeyhyZ4Yp0zQw1Tm,44,2023,french,0.608,0.554,0,-11.263,0,0.0431,0.622,0.12,0.172,0.11,109.982,154364,4
Annie Cordy,Señorita Raspa,7ih7ejBwUszZegisB7bvlo,8,2007,french,0.499,0.974,7,-3.219,1,0.201,0.725,0.000649,0.813,0.863,134.451,162013,4
Fabrice Dayan,My Guitar,1wy4RQTGtLFca9NEiGUSTn,28,2013,french,0.844,0.925,11,-4.774,0,0.0687,0.00707,0.000237,0.0676,0.753,125.045,167347,4
Vanessa Paradis,Les piles,0pCnYZSX8dvClRSvmegCKL,2,2007,french,0.617,0.691,0,-5.536,1,0.0382,0.174,5.88e-05,0.296,0.399,124.448,167187,4
Sinsémilia,Née elle - Live,2c2bbRt1KHJwNSUIjThF9L,2,2002,french,0.632,0.878,6,-4.453,0,0.0315,0.0124,5.84e-06,0.923,0.863,96.087,265680,4
Pigalle,En Bas En Haut - Live,0kaOM4vgoNiMfiG9J71ewl,1,2002,french,0.366,0.937,0,-5.249,1,0.178,0.152,0.000158,0.424,0.267,92.805,213853,4
Raphaël,Tess,19k7cmz6zW8zy5iMPr8bis,6,2008,french,0.58,0.608,0,-6.83,1,0.0247,0.0194,0.0441,0.111,0.473,103.515,217160,3
