artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Biohazard,Killing Me,6XJ33iFIT9qH48pM17Lt4q,18,2012,funk,0.464,0.886,10,-1.642,0,0.0395,0.00032,0.0134,0.53,0.532,75.007,289120,4
Leon Ware,Musical Massage,0t53YkOxJ5MdM6A8GzNRRD,27,2003,funk,0.279,0.422,11,-11.01,1,0.0315,0.85,0.0249,0.146,0.273,178.951,226013,4
The Wood Brothers,Never and Always,4236yFIkzAwrNhwb9hZzqY,30,2015,funk,0.591,0.452,9,-7.648,1,0.0406,0.326,0.0,0.113,0.653,146.019,236253,4
Hubert Laws,Nighttime Daydream,0oSpeVHZZpDnpxvKJH2muR,9,2004,funk,0.677,0.445,5,-9.524,0,0.0332,0.822,0.854,0.148,0.601,74.993,234947,4
Clutch,American Sleep,3Yw0vVTSPchHaPRhX4RM9Y,21,2001,funk,0.314,0.925,5,-6.244,0,0.148,0.00193,0.00108,0.266,0.252,110.796,259653,5
The Cannonball Adderley Quintet,Easy Living,3inDufqMTrupBZKt1Z8Fme,14,2000,funk,0.489,0.192,8,-13.315,1,0.0434,0.774,0.0581,0.0832,0.308,66.089,263133,4
Lettuce,By Any Shmeeans Necessary,3FmmNzaSOSU4pWfucih8uQ,13,2008,funk,0.783,0.96,10,-4.888,0,0.0736,0.0689,0.704,0.0528,0.692,98.022,191507,4
Marcus Miller,Free,6XlAIByDIjucHlPiLrKmCF,20,2008,funk,0.612,0.553,10,-6.05,0,0.0407,0.146,0.0128,0.167,0.486,177.913,300507,4
Raheem DeVaughn,Mo Better,2BE1Gcpz0NU9dMi3kZW4PV,25,2008,funk,0.383,0.358,1,-8.507,1,0.0324,0.584,0.0,0.0766,0.178,119.026,459240,4
Rufus Thomas,Do The Push And Pull,37qSaSyNq8nk2urxU79Mkx,12,2005,funk,0.847,0.675,1,-9.512,1,0.0436,0.0713,0.779,0.188,0.511,106.819,202413,4
P.O.D.,Strength of My Life,331cE2eoGXUJpnlSlJqGg3,26,2006,funk,0.484,0.824,0,-5.194,0,0.0612,0.00833,0.0,0.154,0.688,75.301,217573,4
Maceo Parker,Off the Hook,1QcFi6ZyoIu5VsvZWPLyme,14,2003,funk,0.509,0.937,2,-4.114,1,0.0947,0.0454,0.0102,0.0264,0.855,192.725,228853,4
Rahsaan Roland Kirk,Spirits up Above,1gtEY6ZFxbBnH8poGIRIaH,25,2005,funk,0.327,0.466,10,-9.168,1,0.0315,0.58,0.000138,0.334,0.489,98.161,215773,4
Mc Pikachu,Cade o Beck,2yoiVPbCx6utwAYVjlkZNQ,42,2017,funk,0.866,0.702,11,-2.806,0,0.31,0.629,0.00435,0.0913,0.393,130.043,137718,4
D'Angelo,Africa,6FTBZdL2sXXUSBXMwrQTut,38,2000,funk,0.726,0.33,9,-9.935,1,0.214,0.607,0.125,0.724,0.376,94.755,373600,4
Vulfpeck,New Guru,1iDxNtb7jleE8GqD4m81dA,55,2022,funk,0.79,0.572,6,-9.072,0,0.176,0.02,0.0,0.152,0.745,132.531,204175,4
Gerald Levert,It Was What It Was,331Whogf6BcIpyPWb80z4p,7,2004,funk,0.511,0.748,8,-4.028,1,0.0822,0.0775,0.0,0.29,0.597,122.01,271667,5
Jayo Felony,Trued Up Remix - Real Anthem,4vHVMUGXwbg5XHzhRKHTOV,12,2001,funk,0.724,0.729,10,-6.038,0,0.392,0.0927,0.0,0.136,0.663,92.784,205133,4
Gerald Levert,"What Happened to the Love (feat. Eddie Levert Sr., Trey Songz & the Levert Kids)",4rhlaX9iM1nfT0BU2Y93u9,6,2004,funk,0.775,0.603,11,-7.235,1,0.182,0.138,0.0,0.141,0.583,82.048,221893,4
Willie Mitchell,30-60-90,4ziizyLIRG1V8caZoz70GL,32,2014,funk,0.864,0.537,0,-9.337,0,0.0433,0.258,0.893,0.155,0.935,120.173,146653,4
Pregador Luo,Árvore De Bons Frutos,3cMe3eDsCgXhPWH9PTyDAC,51,2009,funk,0.605,0.851,8,-4.015,1,0.102,0.181,0.0,0.382,0.65,79.996,268013,4
Prince,"Wherever U Go, Whatever U Do",01gzAy7vKRf7NILFGqyIeE,11,2001,funk,0.927,0.292,2,-10.175,1,0.063,0.218,0.0162,0.0817,0.584,99.413,196493,4
Marcus Miller,Redemption,3VZJHM6k4M3wS6Xh98MC3C,17,2012,funk,0.736,0.543,10,-10.69,0,0.0937,0.114,0.34,0.141,0.78,88.047,369547,4
MC MN,Pararam pra Reparar (Set do Retorno),2VQreYA7IQQ3ZAM2yyDFcy,51,2022,funk,0.774,0.778,9,-2.609,1,0.0326,0.029,0.0488,0.108,0.37,130.019,192462,4
Luísa Sonza,melhor sozinha :-)-:,0gpZ8zy9OAE98nNBVIxWvi,56,2021,funk,0.65,0.596,7,-5.887,0,0.0396,0.288,0.0,0.108,0.299,102.935,227216,4
