artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Gentleman,Man a Rise - Live,3hWVGwhJ41l3kVzEnB1qX0,9,2003,german,0.498,0.755,3,-7.964,0,0.344,0.185,0.0,0.406,0.589,82.516,323777,4
Johann Sebastian Bach,"Toccata, Adagio & Fugue in C Major, BWV 564: Fugue",2CGweyhq93Ovw41WMYXDs3,6,2002,german,0.488,0.296,0,-20.905,1,0.0349,0.986,0.87,0.0913,0.601,95.504,295200,3
Daniel Kehlmann,Kapitel 2 - Die Vermessung der Welt,2BTaGVcbLYYdDKaunomc2y,16,2005,german,0.699,0.336,4,-17.89,0,0.949,0.2,1.18e-06,0.15,0.505,108.235,181336,1
Hans Zimmer,Back to MI6,11WbhdAS2KjLpejK3oQNJM,35,2021,german,0.218,0.279,5,-14.159,1,0.0419,0.473,0.791,0.111,0.0643,128.647,90120,4
Hans Zimmer,"Cheldorado - From ""The Road To El Dorado"" Soundtrack",5HxzMJEKrD5ssUTVH9Ov3m,23,2000,german,0.654,0.209,6,-16.145,1,0.111,0.795,0.54,0.17,0.307,124.143,266333,4
Chakuza,Hellboy,5KY7JuNp5hapO7ggq2mgve,14,2010,german,0.335,0.945,0,-5.283,0,0.329,0.0845,0.0,0.11,0.182,84.008,192027,4
Miami Yacine,Fegefeuer - KMN Street EP.2,7rjB7pSba0OdR30oLCz54o,55,2017,german,0.737,0.818,1,-3.823,1,0.364,0.136,0.0,0.0994,0.175,172.069,83392,4
Mr. President,Sweat (A La La La La Long),3qaPqQVK0nt80Tw1sWdIaU,29,2012,german,0.707,0.806,0,-5.733,1,0.127,0.078,0.0,0.311,0.606,173.1,230618,4
Money Boy,Monte Carlo,2uuXKTgNVT6KU6w5aTpW3A,51,2017,german,0.723,0.605,7,-10.789,1,0.149,0.226,0.0,0.457,0.125,91.063,192527,4
Puhdys,Wut will nicht sterben - Extended Mix,53vLp5vzLhN5UXPDSOLTx3,21,2004,german,0.634,0.859,9,-6.106,1,0.0291,0.0711,1.65e-05,0.26,0.431,110.033,264067,4
Rising Insane,Chemicals,2CfcG2JGvkVZCE3q7qBgXv,30,2022,german,0.419,0.919,11,-5.633,0,0.0652,2.19e-05,0.0139,0.212,0.514,178.053,203638,4
Dú Maroc,Das ist Frankfurt,7wO8MVtLgi6hSTOMPU9bVR,15,2013,german,0.528,0.835,1,-6.362,1,0.499,0.34,0.0,0.141,0.467,82.459,176613,4
Klaus Badelt,Main Title,3tJx7M8Q93WWsGC8zhHEQ0,12,2002,german,0.423,0.242,2,-18.333,1,0.0361,0.694,0.865,0.127,0.0362,198.198,143600,4
Mystic Prophecy,Eye to Eye,3ojlZUEkinb7XA4tZuvx3y,29,2019,german,0.457,0.973,11,-4.146,0,0.0709,3.73e-06,3.16e-06,0.311,0.379,105.015,255685,4
Sondaschule,Pommesbude,2jNHL2YC6pGmFKFNC1me6s,9,2002,german,0.505,0.816,7,-5.263,1,0.0899,0.169,0.0,0.438,0.942,195.31,205120,4
Hans Zimmer,The Capponi Library,5btyrGhDmZYN4rNJWDENzt,17,2001,german,0.0953,0.232,10,-24.223,1,0.0601,0.688,0.917,0.663,0.0372,161.778,74747,4
Testosteron,Punx & Skins,3LkDcitrhDLmfijYkXwext,21,2009,german,0.543,0.929,2,-1.802,1,0.0318,0.00818,0.0,0.355,0.811,98.939,167973,4
Hans Zimmer,"Wonders Of The New World - From ""The Road To El Dorado"" Soundtrack",2n3gnyg5dHNoDINgyHIQJP,24,2000,german,0.375,0.662,7,-10.043,1,0.0496,0.2,0.242,0.213,0.386,120.07,355840,4
Ramin Djawadi,When The Sun Rises In The West,7vM9kol3olJ5Iz3hRtSoNL,19,2011,german,0.146,0.043,5,-29.408,0,0.0438,0.644,0.572,0.16,0.0257,80.017,160253,3
Electric Callboy,2 Fat 2 Furious,3yOnj5QrGtRnCQqjMenfUC,42,2015,german,0.481,0.967,4,-2.263,0,0.0811,0.000406,0.000508,0.329,0.344,136.967,226266,4
