artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Hazy Loper,Shattered,5cF8eXb3DoRFDalY55Y1cz,0,2004,goth,0.492,0.229,0,-14.656,0,0.0385,0.893,0.184,0.121,0.332,134.922,172707,4
Psychophobia,Jester's Pride,29sG0PA8x93m6U8AbJzrKo,13,2022,goth,0.488,0.872,10,-8.623,0,0.0422,1.49e-05,0.0,0.211,0.5,139.971,226228,4
Shad Shadows,Bound,3PUYFmToHjMO8IS2Od3hth,8,2020,goth,0.513,0.897,6,-8.561,0,0.0418,7.56e-05,0.814,0.526,0.74,125.006,266880,4
Cello,Just Me and My 9,3SCK2p4GyhnC6NBwBIeRhn,0,2003,goth,0.524,0.693,9,-8.908,0,0.21,0.072,0.0,0.0913,0.149,85.989,210680,4
Anna von Hausswolff,Sun Rise,2hrJzoKob7O47Jh6Te0hlf,11,2012,goth,0.204,0.26,7,-13.733,1,0.0376,0.926,0.861,0.0712,0.0382,128.295,292429,3
Within Temptation,Crazy,6kSFzOyzdu7b9UFU2DnPTt,16,2013,goth,0.518,0.442,3,-11.376,1,0.0292,0.787,0.0,0.121,0.22,104.934,211520,4
Woodbox Gang,Never Kissed A Girl,41wh9iyGwCXiUoVK0HwLTt,15,2003,goth,0.677,0.553,7,-6.094,1,0.0305,0.305,0.0,0.143,0.818,132.864,163627,4
Allyawan,Goolooleh (Kulor),35XNt6h8syFFbvLK1g1Apv,7,2021,goth,0.444,0.595,8,-8.277,1,0.363,0.315,0.0,0.0728,0.757,184.539,213920,4
Alien Sex Fiend,Smells Like...,7t1f7r17ci3fZ61cGOfDTe,4,2001,goth,0.311,0.683,9,-10.1,1,0.053,4.82e-06,0.795,0.0996,0.302,79.277,347360,4
Rosetta Stone,Soon,6DoUfUQkrW9vo70XE8jslF,7,2020,goth,0.401,0.894,7,-5.14,1,0.0292,1.72e-05,0.684,0.117,0.591,150.031,224257,4
Dalriada,Leszek a hold,3XPevcFqOK9fUcnNWsBwv9,12,2011,goth,0.389,0.968,2,-3.4,1,0.138,0.000565,0.0,0.383,0.367,169.951,373160,4
Autumnblaze,Man on a Lighthouse Mountain,2unO9h5aKl8jhJlKWgLZMb,0,2002,goth,0.525,0.53,7,-10.617,1,0.0329,0.0931,0.0371,0.157,0.119,113.886,271907,4
The Crüxshadows,My World,1B0pqPWuzcGB5urjl0thhb,3,2004,goth,0.51,0.976,11,-5.001,0,0.0675,0.00636,0.0152,0.179,0.531,144.821,328707,4
Inner Shrine,Overture in Red,03RMU7UTIB8QkkPAF9xGMA,0,2004,goth,0.232,0.309,11,-17.331,1,0.0433,0.248,0.342,0.262,0.132,114.284,124013,4
Deadbolt,What Can I Do,5VQ87ik4ILnWnGFHJMo03K,8,2019,goth,0.47,0.908,9,-5.67,1,0.224,0.122,0.264,0.309,0.347,164.673,163280,4
The Dead Brothers,There's Always Someone That You Owe,7FGSbb9VKX2wk2dm8aNPAL,16,2014,goth,0.552,0.848,7,-3.828,0,0.039,0.415,0.374,0.115,0.972,117.598,117707,3
Jens Lekman,Some Dandruff On Your Shoulder,4efSiM29EdkOZvmoMq4FhM,10,2012,goth,0.657,0.802,6,-8.699,1,0.0286,0.106,0.0141,0.0784,0.686,108.939,221880,4
