artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Pizza Hi-Five,Where Are You From?,7hHssAmmgdMt7A10XENTaL,11,2009,grindcore,0.272,0.922,4,-7.311,1,0.144,0.0215,0.766,0.206,0.119,62.903,83254,4
Dropdead,What Once Was Life - Live,75cot8fEMlxzVNdszoRcSy,0,2012,grindcore,0.233,0.935,2,-4.025,1,0.0879,1.73e-06,0.967,0.0715,0.0593,118.067,139773,4
Last Days Of Humanity,Piss Fed Fungus,24cV5DAvW9msOibTeVUa5j,2,2004,grindcore,0.448,0.401,6,-7.0,0,0.535,0.0337,0.000109,0.309,0.583,110.915,66933,3
Terrible Sickness,Entrenched in Intestines,1GmNHxpT57Xy4AMzikNlfw,0,2018,grindcore,0.268,0.892,6,-9.226,1,0.0942,0.000935,0.747,0.205,0.0859,120.517,302027,4
Japanische Kampfhörspiele,Gedopte Sklaven,3WFXEbe7IdV30QKcnwyk14,1,2014,grindcore,0.324,0.565,8,-13.837,1,0.276,0.00484,0.435,0.136,0.903,179.999,208973,3
Cattle Decapitation,Thrombosis All-In,4KU5e7KRrJ3HoOBvMZr2Yb,0,2018,grindcore,0.0,0.906,11,-5.65,0,0.0,9.58e-05,0.628,0.225,0.0,0.0,11122,0
Ressonância Mórfica,A Praga Umbŕtica,5QkP6jSthjUpmuJgWj8dUf,0,2015,grindcore,0.516,0.842,7,-4.314,1,0.124,0.000219,0.00077,0.0932,0.319,119.852,145733,4
Cause For Effect,Sausage Background,3wLO4XBzzBrlVu4qeATdMM,0,2002,grindcore,0.465,0.938,7,-4.204,1,0.159,0.0211,0.955,0.207,0.929,76.153,30831,1
Violent Opposition,I Regret the Times I've Groveled More Than the Opportunities Lost by Not,5FP9N6sEXw220I3MhTWsab,0,2019,grindcore,0.307,0.831,7,-6.648,1,0.0407,0.00306,0.568,0.137,0.295,123.386,171520,4
Audio Kollaps,Gier,28UJypBFEp7XSbEX2slF63,0,2008,grindcore,0.392,0.936,3,-6.161,1,0.124,4.73e-06,0.811,0.194,0.24,110.253,196107,4
Document 6,Stumpf auf die Fresse,74Lo626iOs0jJFhZdW9mAq,0,2013,grindcore,0.268,0.997,11,-2.316,0,0.194,0.0224,0.0112,0.225,0.0714,94.332,219768,4
Livet som insats,Utspillt Hopp,0v7IF54ui6SmJYZfGCuaG3,0,2011,grindcore,0.288,0.982,1,-5.328,1,0.275,4.09e-06,0.00262,0.334,0.0945,115.79,53774,4
General Surgery,Exotoxic septicity,2MmbfDQwa6xEsKTlkiJ42H,4,2009,grindcore,0.0708,0.988,6,-3.301,1,0.111,1.98e-05,0.041,0.266,0.0391,199.058,141907,4
Liberteer,Better to Die On Your Feet Than Live On Your Knees,0pO4Pqy4Q3l8PdivhL6VcU,1,2012,grindcore,0.276,0.996,3,-4.031,1,0.276,3.12e-05,0.915,0.083,0.0379,115.541,107573,4
Phobia,Revolutionary's Hell,3jsHb5zG8bAbgv46VvhnXn,2,2004,grindcore,0.321,0.92,6,-6.243,1,0.0805,6.94e-05,0.0215,0.349,0.313,129.134,60773,1
Afgrund,Corporatocracy,5yrRnqjxUUx5AnENcn17dc,2,2019,grindcore,0.303,0.867,0,-5.959,1,0.252,1.22e-05,0.0156,0.317,0.225,114.089,110250,4
Dropdead,Road to Absolution,0fGLMVi77r143ie9cWuwr5,11,2020,grindcore,0.233,0.968,8,-4.139,1,0.104,1.05e-06,0.869,0.38,0.123,110.391,52284,4
Birdflesh,The Rolling Massgrave - Live,6b4bQPJGWgbvAUH3hXSDEI,0,2005,grindcore,0.285,0.959,8,-8.321,1,0.189,0.0195,0.293,0.118,0.111,105.658,130187,4
Milking the Goatmachine,Trappings of Power,4TNsVJjfDR5GNHY5RzdfsH,2,2011,grindcore,0.456,0.993,6,-5.152,1,0.0977,0.00124,0.716,0.393,0.698,95.033,103293,4
Extreme Noise Terror,Rat Hell,5bWsVgUP09wEwYmlVNQCcR,3,2008,grindcore,0.249,0.947,1,-4.96,1,0.124,0.000981,0.13,0.151,0.242,124.119,106840,4
Olivia Neutered John,Pandemonium at the Abortion Clinic,21MLJb8MU8J4LnlcJKaQ3b,2,2022,grindcore,0.502,0.98,2,-4.495,1,0.0711,2.37e-05,0.948,0.375,0.482,105.011,167857,4
Antigama,Undeterminate,08mN6zznHWwYmK0tjROuuf,14,2022,grindcore,0.373,0.994,9,-5.567,1,0.209,1.23e-06,0.681,0.281,0.0992,129.604,105187,4
Violent Opposition,No Dessert Until You Eat Your Veggies,60k8VEO04KQ4ayQwvdKGCA,0,2019,grindcore,0.351,0.892,11,-6.506,0,0.0668,0.00118,0.474,0.242,0.519,135.924,98619,3
Milking the Goatmachine,When I Come Around,2B2hpj3pniVuvOHPDNtquZ,4,2014,grindcore,0.562,0.99,4,-4.529,1,0.0965,0.000686,0.227,0.149,0.364,117.495,183267,4
ROT,What a Joke - Live,1n8GitfCcPO9CRKNwj41Kt,0,2009,grindcore,0.242,0.913,6,-9.044,1,0.0793,0.00172,0.0564,0.677,0.174,120.111,72440,4
Clinging to the Trees of a Forest Fire,Asthmatic,52B5KQdcsKDHnv8Qh1eUEM,0,2011,grindcore,0.206,0.981,8,-4.233,1,0.126,8.07e-06,0.728,0.199,0.065,115.385,328507,3
Beef Conspiracy,Cerebral Minge,0pCWO4IVeSe6NW89LlkzOb,0,2009,grindcore,0.308,0.906,1,-6.128,1,0.236,2.05e-05,0.662,0.74,0.0732,86.799,108027,4
Lack Of Interest,Disciplined,0WH0yM7N9awaTGoH0XrwI8,8,2014,grindcore,0.497,0.674,8,-5.752,0,0.0489,0.000233,0.00048,0.686,0.521,123.943,81384,4
Cloud Rat,Listening Ear,3gEmcHfVBcXTd5FC6UrVX6,18,2022,grindcore,0.35,0.924,2,-8.017,0,0.0945,1.08e-05,0.813,0.281,0.207,92.269,86547,4
disrupt,Sieg Heil No - Rehearsal,3zs2B7oVsPXxROdyN3nQWn,2,2007,grindcore,0.276,0.983,7,-9.695,1,0.158,0.00141,0.933,0.184,0.0567,111.292,127400,4
Couple Skate,Fulci Loves Eye Gouging,6wGUQ5eRRkMwKlpu01kqiz,9,2016,grindcore,0.238,0.948,8,-1.687,1,0.0947,0.0743,0.841,0.335,0.0337,106.705,41430,3
Nasum,Silent - From The NASUM campaign split EP with Warhate,7zQuPCmRXPF2x2XaALw5s5,1,2005,grindcore,0.105,0.913,2,-6.365,1,0.0963,1.03e-06,0.843,0.21,0.104,81.066,67373,4
Regurgitate,You're About to Fuckin' Die,3E8R8jdtuSbCuaqivQye89,0,2000,grindcore,0.204,0.823,7,-7.484,1,0.122,1.58e-06,0.942,0.3,0.0,128.009,21320,4
Milking the Goatmachine,The Day I Lost My Bell,1kk9EQHJrPWWFxFEqGk8lX,3,2013,grindcore,0.52,0.96,0,-4.278,1,0.108,0.00282,0.0011,0.149,0.296,105.778,133067,3
Ghostlimb,Unintended Consequences,47KvVbfVLDQ694O3oqHeVR,0,2012,grindcore,0.322,0.908,0,-15.197,1,0.102,0.00696,0.0,0.404,0.229,109.671,103947,1
Iron Lung,A Grim Possibility for Owen Moses,1Ozd2JtOUS3kq4QX6TxKcw,0,2004,grindcore,0.419,0.99,1,-7.669,1,0.407,0.00171,0.895,0.0965,0.0399,119.424,28107,1
Chronocide,Perfect Slaves,6ZYv1ssEOHqpLPjezNxSh0,0,2015,grindcore,0.111,0.994,0,-3.252,1,0.245,4.67e-06,0.212,0.271,0.0561,160.05,392360,4
Diaroe,Willkommen In Der Desolation,4vQtOYPFTNBYjYIn0OXDxU,1,2021,grindcore,0.459,0.983,9,-5.479,1,0.173,3.31e-05,0.324,0.194,0.159,125.111,275526,4
The Grindful Dead,Faith No Gore!,5eQbk8BWHzgaoozpDAuOoW,0,2017,grindcore,0.445,0.98,8,-5.301,1,0.089,0.00396,0.664,0.488,0.183,120.128,51306,4
Sore Throat,Dance To Your Overlord's Tune,3CUo2BHc5vJ3NKRxElvYCB,0,2022,grindcore,0.137,0.992,9,-6.265,0,0.236,0.000686,0.995,0.367,0.0269,148.625,24002,1
Haemorrhage,Medical Maniacs,4RzZl6dFlPZ0jrcXTOoy5H,9,2017,grindcore,0.199,0.994,6,-3.041,1,0.144,2.61e-06,0.28,0.0969,0.256,180.755,149351,4
