artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Scott Tuma,Your'n,1prGAluxlNSIzMunouCej5,6,2001,guitar,0.299,0.187,4,-14.266,1,0.0322,0.967,0.849,0.22,0.0849,92.3,197467,4
Alfons Enjuanes Trio,And I love her,7BYMu2ABw71k1j9lFxZcUR,3,2005,guitar,0.522,0.103,5,-22.498,1,0.0418,0.961,0.818,0.109,0.266,105.172,308587,4
Jimmy Raney,Autumn in New York,1dcrThd58EdD8xHJdfT4Di,3,2016,guitar,0.396,0.0791,2,-23.34,0,0.0458,0.978,0.923,0.0984,0.181,80.563,621067,4
Michael Angelo Batio,Wherever I May Roam,3t2HKVMJ2xRMDg216rEEOh,10,2005,guitar,0.452,0.915,3,-5.947,1,0.037,8.95e-05,0.547,0.0674,0.273,132.032,331573,4
Biréli Lagrène,Isn't She Lovely,1jUFJrYwguTTpSddNhfmLg,20,2012,guitar,0.595,0.655,7,-7.478,1,0.0568,0.869,0.899,0.127,0.825,98.215,241173,3
Maggie Bjorklund,The Unlucky,6Explhc0oIQFqDbly1l5bN,6,2014,guitar,0.487,0.346,7,-9.93,0,0.0284,0.844,0.937,0.0829,0.0411,106.235,261893,3
Little Symphony,Serenity,0p4aEfjOromW90yjuNUBDH,16,2018,guitar,0.192,0.12,0,-23.555,1,0.0503,0.856,0.875,0.281,0.256,79.013,95238,5
Leo Brouwer,8 Contradanzas (arr. L. Brouwer): No. 7. Recuerdos tristes,1YxKNPIoitKqKiljGQzziH,0,2007,guitar,0.384,0.0341,9,-29.702,1,0.0581,0.994,0.883,0.0844,0.129,125.484,144627,3
Jamie Dupuis,Gypsy Funk,6VuNW2plrvzNBTVws04HaK,2,2016,guitar,0.677,0.336,2,-11.82,0,0.0345,0.177,0.709,0.141,0.516,142.694,173377,4
Antonio Rey,Río De Miel,5hR0BsszlHcsiTewkXyeUP,9,2011,guitar,0.664,0.639,2,-7.093,1,0.0325,0.823,0.383,0.128,0.345,103.004,314747,4
Jesse Rice,Sweet Kinda Summer,2uNzHTy6iLyzZhY1bDuuZ0,18,2012,guitar,0.499,0.784,8,-7.369,1,0.0357,0.382,0.0,0.0937,0.926,199.961,223680,4
Miguel Llobet Solés,13 Catalan Folksongs: La filla del marxant,5i7DKJ46oEsRfM7mS3yP0K,9,2004,guitar,0.414,0.0283,4,-29.876,1,0.0497,0.975,0.921,0.0882,0.113,138.22,178120,4
Jimmy Rosenberg,Rose Room,7LxRULIZEvl7G0muGBnDym,4,2005,guitar,0.576,0.334,10,-13.075,1,0.0419,0.941,0.468,0.17,0.55,130.832,309760,4
Ryohei Shimoyama,Sunlight,1yaOVvtAK7pAJAr6nytjbF,23,2021,guitar,0.505,0.363,3,-13.454,1,0.0342,0.846,0.904,0.13,0.21,99.347,184918,4
Adam Rafferty,Off the Wall,4Yr5wpm005M5i8A4QBEfm4,6,2011,guitar,0.803,0.398,1,-15.615,1,0.0757,0.428,0.253,0.104,0.714,124.191,210827,4
John Pizzarelli,My Valentine,74jFep2YoB26fDpjRcHI5s,14,2015,guitar,0.554,0.3,9,-15.636,0,0.0378,0.822,0.268,0.116,0.335,131.902,219747,4
William Luna,A los Bosques,2nNJn8JYipwZWCI1Ktp0Af,23,2008,guitar,0.621,0.544,9,-5.504,1,0.0416,0.66,0.0208,0.115,0.554,68.483,273427,4
Gerard Cousins,In the Sky and on the Ground,2zdyxYVSj1QxLiZ6Xqd3fm,1,2023,guitar,0.46,0.00329,2,-27.701,1,0.108,0.982,0.824,0.113,0.379,94.601,109812,4
Luiz Bonfá,Preludio,1HP2YTL7TUTIdsg7ewaV4W,46,2006,guitar,0.325,0.194,11,-20.435,0,0.0319,0.96,0.928,0.118,0.455,78.791,102613,4
Guitarras Mágicas,Piel Canela,5jgDyBwJ9MT6r1L8LsJXhJ,36,2013,guitar,0.761,0.589,2,-8.911,1,0.0382,0.832,0.853,0.145,0.964,138.112,197773,4
Agustín Barrios Mangoré,Madrigal,7hQvh0bF4nOpHzYe06OUv6,0,2002,guitar,0.578,0.0797,2,-22.725,1,0.0457,0.988,0.897,0.109,0.33,122.734,233000,4
María Isabel Siewers,Truco Suite: II. Falta envido,1UVgaUl2yrqLbI9HNcBXus,0,2006,guitar,0.434,0.15,2,-16.399,0,0.0561,0.956,0.915,0.0872,0.268,80.089,241267,4
Bill Frisell,Change in the Air,5VnXbsUMZZk0ytQghe1ojP,22,2018,guitar,0.502,0.201,4,-17.42,0,0.0469,0.989,0.889,0.0951,0.362,67.95,141040,4
Göran Söllscher,Girl,2jxtKaBSNwKgZFbjjFu65i,3,2011,guitar,0.443,0.029,10,-25.806,1,0.0414,0.98,0.882,0.0885,0.303,91.363,173480,4
David Torn,"I. lars, changing... / II. they actually touch",2pDQQWPMJNM6g0Nyt1yYiJ,7,2007,guitar,0.197,0.123,0,-20.357,1,0.0313,0.742,0.908,0.107,0.0627,77.969,190640,3
Lloyd Green,Jukebox Charlie,0vu71safs2HJLuws12DsjD,13,2012,guitar,0.7,0.53,10,-8.121,1,0.0279,0.598,0.837,0.0627,0.643,126.175,159040,4
Nathan Anderson,Winding Road,0jCCGoEY9eZ8cEhAQDipzE,0,2002,guitar,0.571,0.637,2,-6.842,1,0.0313,0.45,0.0,0.0932,0.379,87.504,186080,4
Carlo Domeniconi,Gesualdo,7CgIOExXGcsGrcDRNj9h09,0,2012,guitar,0.441,0.0111,5,-23.057,1,0.0968,0.984,0.912,0.106,0.193,78.626,190000,1
Los Tecolines,Esperame en el cielo,2aANoEXDrcDJNmylZOQNYD,11,2002,guitar,0.706,0.326,11,-14.211,0,0.0356,0.919,0.000366,0.0872,0.49,103.961,173587,4
Miguel Llobet Solés,"Variations on a Theme of Sor, Op. 15*: Var. V",1m3jpWuMvdr8IpSfQrI2CW,0,2004,guitar,0.405,0.2,4,-30.562,0,0.0509,0.972,0.865,0.136,0.27,116.468,32493,4
Kurt Rosenwinkel,The Enemies Of Energy,3ciXK14PbqImYrKKQeWFmM,4,2000,guitar,0.486,0.3,9,-14.438,1,0.0342,0.826,0.824,0.0927,0.454,72.628,473467,4
Agustín Barrios Mangoré,Leyenda de Espana,1KQVBTv61uVMPz79zYZ7nB,0,2002,guitar,0.38,0.0507,7,-27.082,1,0.0407,0.98,0.852,0.126,0.218,96.147,376773,4
Nathan Anderson,Stay With Me,7GDwzyajghflRL4G7Th2TS,0,2002,guitar,0.59,0.755,0,-7.426,1,0.0295,0.0156,9.62e-06,0.192,0.196,100.025,288920,4
Masaaki Kishibe,Sunset on the Peak,6pcR0BordJ5tldDzkIp5lB,15,2020,guitar,0.237,0.324,4,-13.842,1,0.0369,0.732,0.895,0.0998,0.272,90.638,167026,3
Luis Salinas,Milonga de Mis Amores,1rqrM9r8MwF8B6rSWQxi2M,15,2007,guitar,0.491,0.266,2,-19.787,1,0.0522,0.794,0.859,0.0959,0.575,115.795,144333,4
John Keawe,Slack Key 101,6Bv6jaKN6ZGOd5NvflERYF,11,2006,guitar,0.557,0.281,7,-15.299,1,0.0416,0.972,0.985,0.116,0.385,141.844,203987,4
John Scofield,Hangover,1Fz13YdlXH2K30WWFMG8de,4,2015,guitar,0.528,0.3,8,-9.567,0,0.0332,0.951,0.000842,0.0936,0.276,133.083,393560,3
María Isabel Siewers,Catamarqueña,78HbF9M1VNwGKgggl2fkdY,0,2008,guitar,0.624,0.0564,5,-23.017,1,0.0566,0.984,0.907,0.11,0.17,88.652,198707,4
Earl Klugh,Canadian Sunset,4pWfjfMxYuncsBsHNnoh3U,17,2008,guitar,0.66,0.249,1,-15.489,0,0.0327,0.576,0.294,0.152,0.265,118.146,334333,4
Steve Petrunak,Handyman,4oq5AaysgYegAc1kDh44JO,6,2012,guitar,0.475,0.435,2,-7.837,1,0.0779,0.673,0.238,0.1,0.331,183.573,195944,3
John Scofield,I Want To Talk About You,1gi18OwLwIT1zIBJa7S81u,9,2011,guitar,0.441,0.255,8,-15.066,1,0.0392,0.942,0.549,0.142,0.399,80.275,476307,4
Raiatea Helm,Kahealani,2noUZ1O5tnTjzBSZe70tYs,7,2004,guitar,0.341,0.15,0,-9.716,1,0.033,0.873,0.0,0.135,0.273,114.198,163853,3
Leo Brouwer,"Hika, ""In Memoriam Toru Takemitsu"": In memoriam Toru Takemitsu, ""HIKA""",4mZqxAEKjrx6RFu58AqoFK,0,2000,guitar,0.309,0.0169,2,-33.012,0,0.059,0.985,0.886,0.0875,0.0368,89.485,400573,3
Leo Brouwer,Five Preludes: I.,1qhdG7RD9Cy2jvtwZunK00,0,2005,guitar,0.391,0.0202,1,-34.807,1,0.0465,0.996,0.927,0.105,0.532,85.836,92827,4
