artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Dinosaur Jr.,Little Fury Things - Live,6TqGJfYaFNm4yPzpWjCBhO,10,2006,hard-rock,0.247,0.937,6,-6.6,0,0.0658,0.000122,0.722,0.903,0.2,132.676,190760,4
Steel Panther,Critter,6F0fN2WaMkoVDDobwhXZPC,24,2011,hard-rock,0.492,0.976,1,-3.171,1,0.0968,1.57e-05,0.0,0.25,0.502,143.049,218267,4
Great White,Stick It - Remastered,3PBGTmyZCFwQTkREB1RGHF,12,2001,hard-rock,0.378,0.967,0,-5.406,1,0.143,0.0357,0.0,0.0652,0.225,121.132,240160,4
Charlie Brown Jr.,Gimme o Anel / Sheik - Ao Vivo - Chegou Quem Faltava,5ZugnvMFjnrILYh1o1Wdox,47,2021,hard-rock,0.5,0.96,1,-5.038,1,0.199,0.0097,0.0154,0.697,0.511,122.252,157690,4
Asia,Gravitas: (i) Lento / (ii) Gravitas,75DO8iHn642CqLpleE8zod,17,2014,hard-rock,0.416,0.699,9,-6.569,0,0.039,0.414,0.00785,0.0806,0.0486,128.006,479840,4
Triumph,Lay It on the Line,4QwcuKjGjtl5fZe7kDdULV,52,2010,hard-rock,0.228,0.872,9,-5.479,0,0.0648,0.00672,0.0,0.242,0.278,91.724,246027,4
Iron Maiden,Run to the Hills - Live at Rock in Rio; 2015 Remastered Version,5zTxCgtzEG6LOlWr7874D5,13,2002,hard-rock,0.106,0.982,0,-6.534,1,0.253,0.0261,0.228,0.778,0.0836,85.725,338373,4
Megadeth,Almost Honest - Remastered 2004 / Remixed,4ebzllydna9GE0yds54XNT,15,2007,hard-rock,0.523,0.94,9,-4.691,1,0.09,0.000515,0.000323,0.325,0.604,134.117,248560,4
Journey,Still They Ride,59Nlc49eg25QbUK32RzTmM,22,2001,hard-rock,0.34,0.561,0,-9.558,1,0.0313,0.335,0.0,0.145,0.255,131.086,229533,4
Stan Bush,Never Surrender (From Kickboxer),3aLuqcqV0rNCb86oXoiGJw,38,2015,hard-rock,0.523,0.956,2,-5.202,1,0.0865,0.00251,7.18e-06,0.313,0.496,130.654,265430,4
