artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Earth Crisis,Raise,6uZDtc2XUvGmxUKXasYSkL,16,2011,hardcore,0.536,0.954,1,-4.022,1,0.103,0.00236,0.0228,0.333,0.347,124.059,85587,4
MSPAINT,Flowers From Concrete,0clc6RjFSTfPaktXrvaxGL,30,2023,hardcore,0.384,0.98,5,-3.943,0,0.0834,0.000642,0.0028,0.158,0.132,142.104,202976,4
Everyone Dies In Utah,Desoto '55,3bN8FZp3jzpgVqDHtP6SyO,24,2012,hardcore,0.353,0.906,4,-5.695,1,0.0753,0.000107,0.000134,0.158,0.0632,158.007,215893,4
Bane,Wrong Planet,6vjisAbMMnWlYtiomAUj7g,17,2014,hardcore,0.578,0.802,2,-4.56,0,0.0362,0.000653,2.76e-06,0.195,0.11,130.038,257394,4
Inclination,A Decision,0eDCLEQnSUbWOAjFRd89Jn,28,2022,hardcore,0.203,0.998,1,-3.086,1,0.264,2.45e-05,0.00238,0.807,0.127,82.686,166176,4
Jadakiss,ME,4xNG3WGhQuxFzwEhboAcUy,27,2019,hardcore,0.601,0.835,1,-5.064,1,0.119,0.00868,2.17e-06,0.397,0.465,91.561,226213,4
A Lot Like Birds,Myth of Lasting Sympathy,36nh0fDWOLoHihVeAWFmx5,17,2013,hardcore,0.287,0.732,4,-7.932,0,0.0981,0.652,0.0,0.432,0.247,128.161,103893,3
Dicks,Dicks Hate the Police,4zrmRcpaqqXd9PgqGVsvjE,27,2012,hardcore,0.239,0.797,2,-7.274,0,0.0435,0.00312,1.37e-06,0.375,0.458,183.126,119467,4
Nas,Bye Baby,3CX4Ygh1Wb7yYO0BQGhNyJ,27,2012,hardcore,0.685,0.711,8,-6.289,1,0.381,0.233,0.0,0.187,0.368,88.827,239053,4
Primitive Blast,Self Deluding,395xhWmtIWklhxkMB6sGqz,21,2019,hardcore,0.237,0.976,8,-4.605,0,0.096,1.61e-06,0.864,0.19,0.375,133.506,78887,4
M.O.P.,Ante Up (Robbin Hoodz Theory),550JPXXPgjr1xqxtKIaX6b,54,2000,hardcore,0.699,0.793,1,-4.856,1,0.268,0.00514,2.75e-06,0.7,0.929,94.138,248693,4
DRAIN,White Coat Syndrome,5MMm45VkuKvBOEJcmNwKsZ,34,2020,hardcore,0.315,0.902,11,-3.049,1,0.165,0.000427,0.000338,0.042,0.701,161.414,130288,4
DJ Clue,Who Shot Ya Freestyle - Explict,0BaeAjmCb2YYKoYUYOiWpE,28,2009,hardcore,0.714,0.575,11,-9.482,1,0.457,0.13,0.0,0.0936,0.806,94.9,75076,4
Origami Button,Penance Permission,3Ns5mtbAqwC1dZRbArlAJB,35,2019,hardcore,0.645,0.692,6,-5.333,1,0.0562,0.145,1.38e-05,0.083,0.616,169.98,233647,5
Young Buck,Buck The World,2tXh09GGiKiz7vhMuM20CN,25,2007,hardcore,0.477,0.696,6,-4.509,0,0.277,0.00621,1.12e-06,0.137,0.33,176.258,226440,4
Misfits,Cold In Hell,0vZYIMh5nT9qwv16Y2ypj9,21,2011,hardcore,0.344,0.988,0,-5.097,0,0.418,0.061,0.0,0.378,0.0387,159.905,170440,4
the GazettE,Toguro,5RBLyYRg8YASOaQNPCINzK,25,2005,hardcore,0.537,0.953,8,-3.314,0,0.099,0.00075,4.06e-05,0.104,0.578,120.075,248360,4
Run–D.M.C.,It's Tricky 2003 (feat. Jacknife Lee) - Radio Edit,4j7mCQNEw4q0tOTwwMNiTh,23,2001,hardcore,0.804,0.851,7,-5.92,1,0.0572,0.00377,1.89e-06,0.128,0.9,129.254,233840,4
The Dear Hunter,Dear Ms. Leading,7jjxlIGC1Qa4pL84OPJumb,25,2007,hardcore,0.459,0.839,4,-9.32,0,0.0445,0.00825,2.71e-05,0.633,0.623,159.981,268147,3
Ghostface Killah,Ghostface X-mas,7mgv7UKlHR6Mv8DWSDivi7,17,2008,hardcore,0.709,0.655,7,-5.481,1,0.27,0.3,0.0,0.16,0.425,95.938,182253,4
Ghostface Killah,Tush,5A4VNPxsRK7yXSi3eE5g6D,22,2004,hardcore,0.774,0.821,10,-4.211,0,0.287,0.144,0.0,0.063,0.582,112.132,204427,4
Terror,Stick Tight,6aNAMsKIWJQyexjfCycIVd,39,2010,hardcore,0.555,0.89,9,-6.838,0,0.0517,6.89e-05,0.504,0.123,0.339,130.068,153733,4
Lloyd Banks,Hands Up - Album Version (Edited),7CdX5UYfMLG4hbkMkkWe8J,14,2006,hardcore,0.807,0.892,1,-1.956,1,0.221,0.0568,0.0,0.495,0.579,94.991,240213,4
