artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
SICK LEGEND,THE BAD TOUCH HARDSTYLE SPED UP,3nslWEfkXZtLia9lHj0Fn2,22,2023,hardstyle,0.621,0.922,1,-4.914,0,0.0711,0.257,0.0,0.215,0.816,194.55,155442,4
Da Tweekaz,Music Is My Drug - Radio Version,5kDBibpP8gaqmz9n6KvPUG,15,2014,hardstyle,0.541,0.974,10,-4.531,0,0.058,0.0443,0.023,0.438,0.386,150.073,235277,4
Euphorizer,Can't You See,5ZbUsIqdzxLqFEgqVuMrxd,13,2017,hardstyle,0.49,0.879,9,-3.789,1,0.0314,0.0155,0.0,0.102,0.245,149.958,241517,4
Da Tweekaz,Whatevah - Original Mix,2N1zmevdtQA2yEY65wPUNn,0,2011,hardstyle,0.647,0.859,0,-9.888,1,0.0749,0.00446,0.473,0.283,0.295,145.972,386306,4
System of Loudness,Burn,15roXjDO215zDFNdyGQECh,14,2020,hardstyle,0.42,0.719,7,-5.388,0,0.0341,0.00873,3.92e-06,0.0802,0.253,150.127,243247,4
Refuzion,Around the World (La la La),1WF4RTvSeDTOQBD9epYwEi,62,2019,hardstyle,0.602,0.948,9,-3.372,0,0.0502,0.0396,1.43e-06,0.186,0.812,149.933,153328,4
Maul,Rise,6GJUoO2813uvHkuKsKVF8k,44,2022,hardstyle,0.327,0.887,8,-6.599,1,0.0543,0.00508,0.154,0.186,0.349,75.563,147540,4
Degos & Re-Done,Connected [Mix Cut] - Original Mix,1TInZVUa1SA9IPsBPKLkay,0,2013,hardstyle,0.376,0.994,10,-6.353,0,0.15,0.189,0.131,0.424,0.0991,156.574,244893,4
Dr Phunk,The Drums,78BvXLmid56vZoab3SBJUr,9,2019,hardstyle,0.601,0.808,0,-5.044,1,0.0719,3.65e-05,0.692,0.119,0.202,150.003,193612,4
Activator,Oxygen Medley With Behind Blue Eyes,0gHselKw6C2A00QuTP3EhX,0,2009,hardstyle,0.38,0.847,2,-7.423,0,0.0928,0.208,0.708,0.0405,0.168,150.028,448003,4
The Pitcher,Let It Rain - Edit,6sfaXqqJqBB2CxMr4AyATS,1,2012,hardstyle,0.486,0.86,9,-8.37,0,0.0372,0.188,2.18e-06,0.0652,0.172,150.004,181396,4
Wav3motion,I Don't Know,1NVHqhJs07B06Yk3D4ltDN,8,2021,hardstyle,0.542,0.996,8,-2.811,0,0.0968,0.0629,0.00451,0.329,0.199,149.963,192490,4
SICK LEGEND,LEVELS HARDSTYLE,5ME88LZa0OgdrZKnE8ZyRi,34,2023,hardstyle,0.529,0.885,5,-4.327,1,0.0798,0.11,0.0804,0.312,0.612,154.633,131826,4
Wildstylez,Numbers,1c7jptVpYR5OVV9mOLSPVy,19,2008,hardstyle,0.67,0.753,1,-8.477,1,0.128,0.0288,0.806,0.0859,0.104,150.012,235973,4
The Machine,Within Each of Us - Original Mix,76uMvHHeBsSNM1qsZabjKE,3,2014,hardstyle,0.505,0.989,7,-3.773,1,0.161,0.0174,0.0,0.0671,0.0776,150.001,308830,4
MAKAVELI MOTIVATION,NEVER SATISFIED,7Lintjugx8D4JZ0FezFMWV,18,2021,hardstyle,0.291,0.454,10,-13.455,1,0.218,0.56,0.109,0.109,0.159,180.382,470738,4
B-Front,R.E.M. Sleep - Edit,6i8DEV59auHouc0WLxMkRI,4,2014,hardstyle,0.483,0.885,6,-4.198,1,0.0468,0.173,0.468,0.348,0.0702,74.965,204011,4
NICKYP,Time With U,2L7y3k515tLZBV36iLKzXj,14,2021,hardstyle,0.5,0.957,9,-2.802,0,0.285,0.000103,0.308,0.0917,0.398,150.007,144433,4
