artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Skanners,Running Back,4pu9yXtSjXebQw0hwqqF36,0,2014,heavy-metal,0.138,0.929,7,-5.321,1,0.072,0.000117,0.104,0.142,0.334,175.874,226907,4
Winterborn,Thje Winter War,6tk104qkIHhNAnCXrL11Io,0,2009,heavy-metal,0.493,0.971,1,-3.818,0,0.134,3.81e-05,0.0739,0.0415,0.313,138.146,328627,4
Skullwinx,Carved In Stone,1dcL8J2iDe7PCxwbLgI8Qo,0,2016,heavy-metal,0.396,0.992,7,-2.405,1,0.0619,0.000432,0.0,0.053,0.284,155.175,271770,4
Carajo,Algo En Que Creer,1R6F9nqsyilNmtus23HRtd,21,2004,heavy-metal,0.328,0.897,2,-4.737,0,0.0558,0.00205,1.68e-06,0.0688,0.319,100.291,272360,4
Mastifal,Cultura brutal,6sB7oNh6eqbHKw9RNZaq2j,5,2015,heavy-metal,0.508,0.992,11,-4.631,0,0.257,0.000622,0.0173,0.23,0.0919,95.035,269920,4
Liar Symphony,Free to Live,6329eurkyBKBXUYD11xPbk,0,2015,heavy-metal,0.154,0.815,11,-6.597,1,0.0649,0.000408,0.057,0.119,0.316,172.091,335779,4
Beast In Black,To the Last Drop of Blood,43buFx217gR6dOU4KcwhhG,43,2021,heavy-metal,0.424,0.961,1,-5.684,0,0.0536,6.94e-05,0.191,0.183,0.847,160.016,235240,4
Alakran,Traidor (En Vivo),4Yy7e9DU0wdENXbtRRAp8J,4,2018,heavy-metal,0.246,0.948,2,-4.568,1,0.0626,0.00115,0.0267,0.908,0.169,108.139,524295,4
Anthenora,Dream Catcher,3Dhq379KZXLtxvEVPWgEnb,0,2006,heavy-metal,0.514,0.98,0,-2.073,0,0.0859,0.00116,0.000297,0.118,0.292,129.992,317600,4
Кипелов,Возьми Моё Сердце,4Z4QFGMfKJa7raNroOO7e1,24,2003,heavy-metal,0.279,0.728,1,-6.986,0,0.0433,0.0521,0.0,0.0188,0.269,72.832,233893,4
Kamara,Siirtokunta,2u1mCthBfVHGeJIMs0bItL,0,2013,heavy-metal,0.525,0.988,1,-9.132,1,0.067,0.00498,4.39e-05,0.106,0.16,95.03,270737,4
Ningen Isu,都会の童話,1QkoBpUTcnOdllOUM0Pffx,1,2016,heavy-metal,0.303,0.813,7,-6.458,1,0.0396,0.000516,0.0252,0.164,0.504,171.742,426760,4
Hermetica,Robo un Auto,4Vv5VSBdOM3bdQZSR6m3k4,12,2002,heavy-metal,0.239,0.957,1,-5.503,1,0.131,1.38e-05,0.00123,0.0566,0.136,147.37,257773,3
Kamara,Kadotettu,5MwaYh5NfsB3r71UeMSjmo,0,2013,heavy-metal,0.572,0.911,6,-8.553,0,0.0405,0.00432,0.000157,0.0983,0.738,129.977,273231,4
Pastore,Empty World,7Hr6eaIf2clrx6HJ7tew6Y,0,2012,heavy-metal,0.406,0.98,8,-4.183,1,0.108,0.000251,4.54e-06,0.187,0.31,154.946,223760,4
Virtuocity,Moonlight Shadows,4sHOz47gvuTZPj0VJcjkhY,0,2004,heavy-metal,0.59,0.921,2,-6.854,0,0.0553,2.97e-05,3.69e-05,0.232,0.558,125.013,234667,4
Театр Теней,Дикий,66xxarRq44prIKmqnNPH7m,10,2022,heavy-metal,0.524,0.947,8,-3.719,1,0.0411,0.000215,0.000157,0.183,0.803,148.013,239392,4
BLINDMAN,The Touch Of Gray,4lqsDEwyGl5XGU29uRSA4q,0,2017,heavy-metal,0.199,0.947,1,-2.901,1,0.0725,0.000289,0.0,0.699,0.198,134.662,306373,4
Orquidea Negra,The Darkness - Live,4UhheJn62DzaWyJ2M0oYcs,0,2003,heavy-metal,0.234,0.848,7,-6.353,1,0.0845,0.0316,0.0135,0.218,0.0719,108.289,240248,4
Dario Mollo's Crossbones,Speed,08HhYE3Z6eceJR5tts98dq,0,2016,heavy-metal,0.471,0.991,3,-2.019,0,0.069,0.000227,0.0321,0.273,0.585,100.046,268156,4
Beto Vazquez Infinity,Shadows Fall - Live,540zIC62gOBjqHGXxC3b1t,0,2022,heavy-metal,0.252,0.973,8,-1.984,1,0.217,0.0509,0.0139,0.829,0.336,93.015,294267,4
JURASSIC JADE,朝5時に戦争が始まる,6Sav30lgwut43lwBa3xS4y,0,2023,heavy-metal,0.588,0.916,10,-5.367,0,0.0702,0.000154,0.0174,0.202,0.114,105.091,242338,4
Tri Mebius,Last Reason,7H6Sg2SXxAISSL793CKmLP,0,2012,heavy-metal,0.497,0.949,9,-4.565,0,0.0621,9.44e-05,0.725,0.134,0.722,91.025,308360,4
Beyond Visions,Survival,5GR0HsDv1FxSxplIC4jJCB,0,2017,heavy-metal,0.566,0.917,9,-5.153,0,0.0389,0.000669,7.52e-06,0.0818,0.447,119.914,232000,4
Tarot,Before the Skies Come Down - Live,18n0GPPIt7v3zSqUFnrZD0,0,2008,heavy-metal,0.395,0.932,2,-3.882,1,0.0817,1.64e-05,0.271,0.697,0.28,119.41,258293,4
Midnight Bullet,Memories Are Gone,3ICaY9qq2VpJhW5CwE44KI,0,2015,heavy-metal,0.245,0.946,11,-6.592,0,0.0531,9.37e-06,0.0363,0.198,0.615,100.6,262973,4
Eternal Fear,Break Down the Wall,5x6lsktl2VtX59jhTzdSX6,0,2017,heavy-metal,0.414,0.843,0,-10.162,1,0.0398,0.000988,0.169,0.125,0.493,127.925,223687,4
Circle Of Pain,Addressee Unknown,1aWpryBK41hIRfMURK8DuP,3,2013,heavy-metal,0.566,0.921,9,-5.407,1,0.0538,0.000352,0.51,0.0791,0.552,127.929,217640,4
Gloryful,Far Beyond Time,1I8INJCihtiVBx5LMMT5IC,0,2013,heavy-metal,0.411,0.931,4,-3.479,0,0.075,0.001,2.68e-06,0.103,0.371,145.047,340187,4
H.E. DEMON KAKKA,(ハートマーク)8,5SBV1kSrXV5Qx0NA2AMpAa,0,2003,heavy-metal,0.318,0.697,3,-2.682,1,0.0963,0.00166,0.0,0.0313,0.675,163.891,248640,4
Hungry Head Hunters,Sosweet - 2022 Mix,5xFl6HR5NAMJsWBF7x6BJx,0,2015,heavy-metal,0.527,0.814,2,-8.857,1,0.0285,0.005,0.000567,0.0422,0.907,127.962,188027,4
Deathless Legacy,Nightfall,4pgyDVgrcwLVztyOjFMFUU,15,2022,heavy-metal,0.509,0.747,9,-7.161,0,0.0376,0.000127,0.00271,0.147,0.294,109.983,261993,4
Seven Keys,Shadows of Another Life,4JZe8PX2aOllUVnfzzEduW,0,2015,heavy-metal,0.533,0.911,8,-3.772,1,0.0394,0.00202,3.81e-05,0.201,0.391,105.024,312453,4
Эпоха,Строитель эпохи (Live),40KcHpGRUtGlEBEvWBuRTi,1,2010,heavy-metal,0.406,0.964,4,-3.153,1,0.215,0.0114,0.0,0.983,0.21,129.76,286227,4
Megaraptor,GTA San Andreas Theme,4Bu6r3ptq1I4USdjwT2ku4,11,2021,heavy-metal,0.337,0.802,7,-10.384,1,0.0369,6.26e-05,0.942,0.101,0.751,196.041,235354,3
ONMYO-ZA,睡,0hXPP75u0X4IADf7BnHVKI,17,2004,heavy-metal,0.407,0.974,2,-2.073,0,0.0504,0.000161,3.31e-05,0.11,0.286,97.424,294560,4
Театр Теней,Южный крест (Rock-поэма Моби Дик) - Live Record,64YKPCoKWN4B6P2XmpszPS,0,2020,heavy-metal,0.481,0.71,4,-5.684,0,0.0309,0.00841,9.91e-05,0.214,0.28,142.068,287747,4
Cult Of The Fox,Upon the Throne of Skulls,0D6Xr6zBnNn6kKJ1EeLXps,0,2013,heavy-metal,0.497,0.962,2,-3.231,1,0.0357,0.000949,4.83e-06,0.147,0.343,87.53,280813,4
Perpetual Dreams,Infinite,3pNsKJ7HCc2aBdszzlEiK7,0,2003,heavy-metal,0.355,0.921,11,-5.237,0,0.0969,0.000466,0.832,0.114,0.0923,127.894,316640,4
H.E. DEMON KAKKA,RAINING IN THE SUNSHINE,5ECRE2FDrYXjhAzkL0DHbC,0,2012,heavy-metal,0.485,0.724,3,-4.373,1,0.0339,0.425,0.0,0.0975,0.191,130.01,277067,4
Rainbows Are Free,Cadillac,2ojjJ2hXONCBukF0AHGaMD,3,2014,heavy-metal,0.468,0.804,6,-7.162,1,0.0596,0.000283,0.0153,0.133,0.516,138.03,319609,4
Ritual Steel,Aggressor,6y3Nujiy0SOqKannyL2mEO,0,2013,heavy-metal,0.384,0.99,8,-5.236,1,0.19,2.57e-05,0.594,0.302,0.0667,79.034,548360,4
Booze Control,Gruesome Twosome,61uoWDry9r7R0ZEXjURr52,0,2015,heavy-metal,0.532,0.887,4,-5.85,0,0.0443,0.00185,2.39e-06,0.482,0.418,100.101,219067,4
Алькасар,Стая,19MY60C9zQ4n6YBdJk60CH,0,2014,heavy-metal,0.508,0.975,2,-2.871,0,0.0595,0.0012,0.868,0.209,0.554,160.02,269358,4
House Of Heavy,Tomorrow May Never Come,0BD5rqPDqEIax0hTADC8y1,0,2009,heavy-metal,0.528,0.851,7,-6.546,1,0.0582,2.01e-05,0.0016,0.343,0.539,99.983,296173,4
Dexter Ward,Metal Rites,14n6YJN2vRbAFpK17PFVV2,0,2011,heavy-metal,0.405,0.982,11,-4.841,0,0.102,5.74e-05,0.513,0.299,0.659,169.855,202800,4
A.N.I.M.A.L.,Gritemos para no olvidar,42J7SdtNdkwGQJsu1SyUCW,21,2001,heavy-metal,0.483,0.989,10,-4.284,1,0.101,0.00194,0.389,0.0752,0.525,158.888,206200,4
Bertoncelli,La Última Carta de Sam,0HcCfNKCNcfbi0La4IiR9p,6,2011,heavy-metal,0.141,0.911,5,-5.013,0,0.0579,5.88e-05,0.000118,0.339,0.47,75.02,263733,4
Ningen Isu,マダム・エドワルダ,6QJn2u39w2qJUmAsGpIptV,3,2016,heavy-metal,0.227,0.869,9,-5.245,0,0.0463,0.00014,0.0312,0.0604,0.394,181.881,469373,4
Megadriver,The Legend of Zelda,0t2zsIkkr2dZeNb0wjAAfS,8,2017,heavy-metal,0.452,0.963,10,-4.852,0,0.218,0.00103,0.703,0.0908,0.267,110.063,148562,4
Marco Hietala,Enkeli Taivaan,1tiPvUbQNfe9EkIANA7Pv3,11,2004,heavy-metal,0.453,0.697,9,-4.297,1,0.029,0.000496,2.24e-05,0.101,0.237,99.981,244200,3
Bloodbound,Giants of Heaven,05ClgmEvT77LXilgdSWdzT,22,2019,heavy-metal,0.492,0.925,11,-5.101,0,0.0487,0.00109,0.0433,0.0623,0.334,92.53,245520,4
Heavy Metal Perse,Tapio,6VGY9z0JI8YnMDVESaRnls,7,2008,heavy-metal,0.267,0.927,6,-3.954,1,0.0668,0.000322,0.0,0.204,0.355,166.461,252840,4
Театр Теней,Ветер,5kcWgdN6ndYuhSffQjFvJ5,1,2018,heavy-metal,0.548,0.987,8,-5.177,1,0.111,5.72e-05,0.059,0.132,0.295,120.013,196147,4
Wolfsinger,Evil Gambler,2qyJOp6NgrqvsGdJuHmSBC,0,2020,heavy-metal,0.589,0.938,9,-6.143,0,0.194,0.00397,0.000188,0.185,0.475,88.884,277523,4
Август,Чёрный ворон,3bttcTvvUaVq3KADsRtHWm,0,2016,heavy-metal,0.467,0.851,7,-5.956,1,0.0355,2.2e-05,4.12e-05,0.241,0.586,82.69,230160,4
Crying Steel,Let It Down,2exyrqcc1nltQvV8zPjoNA,0,2007,heavy-metal,0.479,0.997,2,-2.24,1,0.138,1.69e-05,0.0025,0.323,0.0352,105.967,228933,4
OConnor,Ciencia Satánica,13CKp24hG31A0mkTUBet0o,12,2002,heavy-metal,0.384,0.816,11,-4.342,0,0.032,0.000286,3.8e-06,0.0441,0.186,179.098,275507,5
