artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Chief Keef,Nice,5i2SuSthAorHPP6epfLNjI,34,2013,hip-hop,0.538,0.745,2,-6.282,1,0.0662,0.101,0.0,0.566,0.177,69.905,144262,4
REDZED,Rave in the Grave,3R1bUwe5mTclpush3T5P0a,63,2019,hip-hop,0.734,0.878,1,-2.172,1,0.0396,0.000266,0.0,0.0973,0.297,86.03,145137,4
Jowell & Randy,Un Booty Nuevo,3rxoKSXvMJNnbzBJo17kp2,34,2010,hip-hop,0.857,0.668,8,-7.37,1,0.141,0.068,1.84e-05,0.0788,0.728,81.007,280587,4
Ese 40'z,On Some Barrio Sh!t,3xDi7958FO4IASZ0I3vHCb,37,2011,hip-hop,0.571,0.813,7,-1.78,1,0.243,0.133,0.0,0.876,0.798,81.299,213665,4
Aaron May,Ride,4QEks3yeZVdjNV1zTqxp1F,58,2018,hip-hop,0.677,0.497,10,-8.064,0,0.303,0.365,3.63e-05,0.12,0.46,172.164,190605,4
Rae Sremmurd,Lit Like Bic,5pQR7OLdUPZBvrp7H0Ol8h,45,2015,hip-hop,0.728,0.684,0,-4.971,0,0.0536,0.00645,0.0,0.458,0.139,124.013,274760,4
Zack Fox,sipping my tea,5f4NTBzhDSX8d8eT0HsZEL,53,2022,hip-hop,0.821,0.713,6,-4.412,1,0.128,0.407,0.0,0.315,0.905,134.051,102548,4
Aesop Rock,Shovel,58MnLpHQkOfY6BNMY0HyYW,23,2001,hip-hop,0.666,0.669,11,-4.422,0,0.308,0.0984,0.0,0.0848,0.915,78.012,285640,4
808INK,Suede Jaw,6imaoKkU3JVj5TsJMZiD4G,50,2015,hip-hop,0.934,0.667,6,-5.294,0,0.238,0.0138,0.0091,0.447,0.554,104.249,143926,4
Young Nudy,Portabella,6Bwh3yd8BzeJOzqaOH3XnV,61,2023,hip-hop,0.632,0.601,1,-7.222,1,0.0812,0.063,3.61e-06,0.114,0.188,75.491,216147,4
South Park Mexican,One of Those Nights,25CyXtv9q5ihVE0gmUrI17,39,2001,hip-hop,0.866,0.614,4,-7.374,0,0.127,0.633,0.0,0.12,0.487,89.989,234467,4
Lil Blacky,Super Baller,32JpvlRYhszMER1UWeAVT4,39,2001,hip-hop,0.701,0.427,5,-12.638,1,0.0737,0.00141,0.0,0.369,0.457,87.482,269267,4
ScHoolboy Q,iBETiGOTSUMWEED,3FsR3a2GxUmEwnpCy8kQfj,41,2011,hip-hop,0.703,0.616,1,-7.598,1,0.175,0.524,0.0,0.348,0.485,68.546,295642,4
Lil Baby,Top Priority,3PBBbN8EiB6A6uZ0xSUuJ6,56,2022,hip-hop,0.576,0.52,1,-8.249,1,0.35,0.0509,0.0,0.141,0.199,109.877,187636,5
J Dilla,Light It,2O9oKwcnTJLQ78flwABgvL,43,2006,hip-hop,0.501,0.809,6,-8.547,1,0.331,0.00435,0.0164,0.78,0.832,97.813,35640,4
$uicideboy$,DON'T TRUST ANYONE!,6bMuWTjnruILqKPPCdUIlx,46,2019,hip-hop,0.756,0.761,4,-4.912,1,0.0491,0.0105,0.00179,0.498,0.251,104.986,140000,4
6LACK,Gettin' Old,1S4sxNGmCASkyRI08YhLtT,51,2016,hip-hop,0.743,0.4,11,-12.369,1,0.0625,0.4,0.000311,0.111,0.229,80.01,215000,4
Boosie Badazz,One of Them Days Again,2tCVQ8Ez3MSHMnLjmGlrgQ,50,2020,hip-hop,0.609,0.699,1,-6.902,0,0.438,0.0845,0.0,0.065,0.562,135.785,302405,4
Rick Ross,For Da Low,7qqonljwcAKUKW5vmJw4om,30,2006,hip-hop,0.756,0.559,6,-7.912,0,0.259,0.0912,0.0,0.189,0.504,85.05,260987,4
Nipsey Hussle,If U Were Mine (feat. James Fauntleroy),5dVeOUI43XmZ8Pg0CPifW4,46,2013,hip-hop,0.732,0.699,2,-9.646,1,0.309,0.0351,0.0,0.169,0.481,90.077,194013,4
Isaiah Rashad,True Story (feat. Jay Rock & Jay Worthy),5YZpdsmpazPtBHFbGN8mon,48,2021,hip-hop,0.787,0.616,2,-9.433,0,0.153,0.0142,0.0,0.104,0.313,84.964,226667,4
Eminem,Under The Influence,5H3B1WtZYGmyOYOXgQltKU,66,2000,hip-hop,0.921,0.752,6,-4.32,1,0.27,0.0174,0.0,0.135,0.705,96.985,321667,4
Drake,I'm Goin In,5aooThgj87ID0vgiyvcjPM,63,2009,hip-hop,0.662,0.763,1,-8.455,1,0.377,0.0389,0.0,0.103,0.566,170.031,225307,4
Isaiah Rashad,Brenda,1YnhmaHKpNEroXiGqc3BLT,41,2016,hip-hop,0.592,0.512,10,-8.963,0,0.458,0.0741,2.48e-05,0.262,0.564,85.988,250358,4
Death Grips,Hustle Bones,5PXyH5bb5fbVfO8LjByhBb,50,2012,hip-hop,0.6,0.982,4,-2.996,0,0.201,0.104,0.0,0.343,0.277,110.015,192360,4
