artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Edward Maya,Desert Rain ( Official Remix ) [feat. Vika Jigulina],2qhRDj554NtQMDeWTfsiJR,26,2011,house,0.702,0.762,7,-7.868,0,0.0364,0.00598,0.749,0.0999,0.724,128.015,226000,4
Jerro,Go Back Now (feat. Beacon),3eZmygzZNxqqwOL1yIgBWI,48,2021,house,0.585,0.803,6,-8.263,0,0.03,0.0114,0.935,0.111,0.0713,121.02,295759,4
Ivan Gough,Hear Me (feat. Christine Hoberg) [BYNON Remix],0N3XVuH6rdNqyX6M0tPiLh,23,2014,house,0.577,0.853,3,-4.296,0,0.0715,0.0277,7.22e-05,0.0796,0.388,127.992,326957,4
RuPaul,High Heel Steppin',3aOs6KhZRAOB11pjrFyleP,7,2004,house,0.877,0.784,0,-6.04,0,0.046,9.8e-05,0.0013,0.102,0.917,127.016,186653,4
MSTRKRFT,Paris - Upbeats Remix,5NIUfxqxaqwvsP8LismZD8,7,2008,house,0.397,0.988,7,-4.413,1,0.128,3.98e-05,0.795,0.431,0.407,182.018,211800,4
Jay Robinson,The Anthem - Jay Robinson Remix,3VOFVs0bVXnnxkyfd3lijz,22,2011,house,0.815,0.816,11,-2.741,0,0.0497,0.0023,0.827,0.0193,0.118,132.036,412727,4
Lange,Out Of The Sky [Mix Cut] - Kyau & Albert Remix,384dBoaAnQZnZGPXzagjN7,5,2008,house,0.612,0.833,0,-7.825,0,0.0384,0.000119,0.0605,0.138,0.278,132.997,351587,4
Deborah Cox,It's Over Now - Hex Hector Mixshow,6YPuntfzJnBiWmlcPilwwo,4,2006,house,0.779,0.87,5,-5.004,0,0.0493,0.0174,0.00145,0.0441,0.601,127.998,302947,4
College,Something wrong tonight,1umb5SVMj0GcHJjziOLpwR,11,2008,house,0.561,0.954,10,-6.632,0,0.0546,0.0743,0.779,0.387,0.757,113.027,146093,4
Fc Nond,Arpoador,6PkCCL95eTdQfzSLzg7YnK,0,2000,house,0.81,0.833,0,-9.969,1,0.0458,0.019,0.871,0.178,0.358,130.024,236320,4
FKJ,So Much to Me,3MUr32NXC2wO7v5iFrluiC,48,2013,house,0.782,0.493,5,-8.118,0,0.0476,0.215,5.05e-05,0.096,0.354,108.001,378733,4
Sidewalks and Skeletons,Goth,0uMZbmAAgOhdMrv25iPEH6,68,2015,house,0.558,0.697,1,-9.171,1,0.0325,0.00339,0.576,0.1,0.174,115.024,207120,4
Dannii Minogue,Put the Needle on It - Radio Version,7zrIsHxdJhpLIIIgJANBtV,9,2002,house,0.81,0.618,6,-8.194,0,0.0651,0.0141,0.0358,0.097,0.776,120.021,204000,4
HAYASA G,The Banjo Beat,08y5oWUpZoBgQ6UdUaPQk3,57,2020,house,0.837,0.708,1,-5.606,1,0.0722,0.128,0.761,0.386,0.827,129.944,102000,4
Jessie Ware,Devotion,1hvq121KNtvohsdY0svnDi,19,2012,house,0.559,0.582,6,-10.633,0,0.0457,0.321,0.702,0.0913,0.361,156.071,204467,4
