artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Madurai Somu,Enna Kavi Paadinaalum,4mWP51TJSEG7AHJ65OHtw6,0,2003,indian,0.335,0.733,9,-8.902,1,0.62,0.729,0.0,0.177,0.379,71.738,265221,4
Abhilash,Chandurini Dinam Dinam,2KM5IdNgRwm5cJquKDaHjv,0,2014,indian,0.649,0.772,0,-5.667,1,0.0328,0.0512,0.000658,0.268,0.411,89.948,290900,4
Rajkumar Bharathi,Rama Manthrava,5AWmmOXZSWyVlyjyTY3eI7,0,2002,indian,0.743,0.341,7,-13.028,0,0.0919,0.967,0.462,0.0761,0.753,90.619,400975,4
Burudu,Ghosts,43qvvLtpAcNbJrUP5QCAQK,0,2017,indian,0.529,0.644,9,-8.282,0,0.0373,0.1,0.855,0.0807,0.104,119.019,372520,4
Drayco McCoy,We Ain't Poppin' Xans We Poppin' Bands,7fXGREOdOgk1U90ZrecLXH,4,2018,indian,0.741,0.726,2,-7.923,1,0.133,0.204,0.0,0.771,0.705,144.008,150432,4
Trajik,Maze,4jfN3BPwDeQv0AR7K0AHWo,2,2017,indian,0.463,0.734,5,-7.528,1,0.46,0.297,0.0,0.171,0.705,168.151,205067,3
Freddie Gibbs,Cold In The Blvd.,14kUVItGmgGsSxJsLlJUJ5,20,2021,indian,0.872,0.617,6,-9.697,1,0.323,0.00245,0.00961,0.43,0.956,93.745,79773,4
Aman Anand,Flamingo River - Original Mix,356IiribWw5tZPjDxyZLDb,0,2013,indian,0.812,0.58,1,-12.346,1,0.0455,0.00566,0.863,0.0548,0.326,119.996,456251,4
Bharat Chauhan,Vasl,3ZsxdlObmSUHSXThjFavEC,16,2016,indian,0.619,0.695,7,-6.997,1,0.0239,0.641,0.0535,0.101,0.609,100.973,218368,4
MEMBA,Marinate (ALRT Remix),0naVLzbRl8R2uWfKxeEIN4,14,2021,indian,0.538,0.971,2,-2.565,1,0.21,0.0132,0.00019,0.352,0.386,159.936,168000,4
Kadri Gopalnath,Kripaya Palaya Charukesi - Misrachappu Swathi Thirunai Kadiri,4jxz25N4F21pdXhVoNQoQp,0,2006,indian,0.402,0.587,10,-6.892,0,0.0438,0.928,0.89,0.154,0.309,106.829,843453,4
Tabun Sutradhar,Meri Tarah,3v4kWChUYe03Y935F5VU1v,0,2002,indian,0.607,0.721,4,-7.098,1,0.0306,0.394,0.0958,0.257,0.962,82.904,300000,4
A. K. C. Natarajan,Hari Smarane Mado,7f9FN9YlGqoOk7m9ZaPY1y,0,2006,indian,0.643,0.558,8,-11.605,0,0.0838,0.441,0.895,0.293,0.856,145.931,225573,4
Shahid Parvez,Waterfalls,1ZWY1q095aUoGoDCrBz99E,0,2001,indian,0.44,0.668,0,-11.794,1,0.0385,0.479,0.673,0.223,0.504,122.433,529307,4
Filharmonix,Daddy's Girl,4jBzJV7Ub05qAhq92mHDhJ,0,2011,indian,0.622,0.934,0,-5.696,1,0.042,8.44e-05,0.0585,0.11,0.83,140.006,249505,4
Lalgudi Vijayalakshmi,Nandagopa Baalane,6eBthy4cJ02QsT2a77TvP0,0,2001,indian,0.602,0.301,8,-12.588,1,0.0838,0.749,0.0,0.331,0.657,138.616,224862,3
Pandit Jasraj,Beej Mantra,1gjglQPA8oEi2XGkYN7Kl9,13,2004,indian,0.42,0.265,0,-8.993,1,0.0349,0.947,0.0,0.124,0.0471,99.624,111000,3
Gentleman Caller,Mascara Lines,6l8XV9eXSuoEIsGESBddDR,0,2006,indian,0.655,0.643,7,-8.092,1,0.031,0.47,6.28e-05,0.117,0.444,97.815,221533,4
Swasti Mehul,Kali Kali Zulfon Ke,59PtW8ERjgbuNBmsKvwyfI,38,2022,indian,0.598,0.309,11,-7.214,1,0.0328,0.657,0.0,0.184,0.183,145.795,328767,3
Ganesh & Kumaresh,Utsav,6tMLng6Bapj1n101uDVGj5,3,2003,indian,0.661,0.631,2,-10.375,0,0.0445,0.524,0.193,0.0701,0.777,82.092,421387,4
Aneesh Gera,House Is More Than Just A Feeling - Original Mix,6ftyL8B2tRWFXglv8qg087,0,2012,indian,0.804,0.851,0,-8.514,1,0.0501,0.0883,0.882,0.0713,0.425,121.994,350164,4
Vijay Iyer,Combat Breathing,2oaXpRxldp4SZDBy6lw5s2,19,2021,indian,0.43,0.273,7,-22.018,1,0.0328,0.593,0.931,0.0815,0.361,112.212,470920,4
Amaan Ali Bangash,Raga Malkauns - Composition In Pancham Sawari (15 Beats Time Cycle),69Q0bXIp1jhLbpzJGUrNKA,0,2004,indian,0.442,0.47,4,-12.038,0,0.0365,0.761,0.802,0.704,0.378,97.764,1693027,4
