artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
CASTLEBEAT,80's High School,4NnNGFTcMv5OK1LvIA2Wgw,46,2020,indie-pop,0.541,0.491,5,-8.747,0,0.0263,0.477,0.000816,0.102,0.274,76.99,202922,4
Damien Jurado,December,6gj4rrhclYETkqez4bOsSx,4,2000,indie-pop,0.412,0.286,2,-11.037,1,0.0289,0.567,0.907,0.0967,0.156,85.609,258520,4
Naethan Apollo,Do What I Gotta,1S5pjxA0LUDd0veYg2pHJE,47,2022,indie-pop,0.803,0.793,11,-6.508,0,0.16,0.164,1.39e-06,0.321,0.699,102.001,132519,4
Current Joys,You Broke My Heart,3xfWt6RJrSA6HvwS3SRgXh,56,2013,indie-pop,0.595,0.367,4,-19.587,1,0.03,0.956,0.861,0.118,0.574,155.234,428040,4
tlinh,ghệ iu dấu của em ơi,27fqy8VruqYZlKiK1qfwEd,61,2023,indie-pop,0.584,0.462,8,-11.718,1,0.0518,0.602,0.0208,0.172,0.276,105.076,205996,4
The Antlers,Rolled Together,3x1YAmyJ0O72XNryQQMLBX,28,2011,indie-pop,0.142,0.404,9,-10.006,1,0.0352,0.619,0.773,0.112,0.0814,59.391,277730,4
Miniature Tigers,Boomerang,4HYnjrfDAxMeCIojLNOJqa,26,2012,indie-pop,0.648,0.601,11,-5.034,1,0.0354,0.112,0.0,0.395,0.628,120.048,228107,4
Sir Chloe,Hooves,3ywsOYMTPzAOgS9q0rI1Pg,55,2023,indie-pop,0.51,0.824,11,-6.322,1,0.0701,0.0303,0.0094,0.0813,0.786,159.946,163026,4
CASTLEBEAT,Falling Forward,52kmTBQrvxNzsLNKwbO94i,38,2016,indie-pop,0.448,0.741,4,-9.035,1,0.032,0.00176,0.706,0.301,0.445,142.004,208364,4
JUDAH.,Irresponsible,4ag9fLWCLsiZgj1GvK52GE,43,2021,indie-pop,0.642,0.712,2,-7.511,1,0.0967,0.417,0.0,0.0708,0.731,131.948,208568,4
NoMBe,Summer's Gone,0prDgONnOYjucz3LY4o5Te,60,2018,indie-pop,0.599,0.585,9,-10.076,1,0.0554,0.108,0.000982,0.121,0.177,145.933,213699,4
San Cisco,About You,3X6XaY2O87lhQxTN4r0IB3,46,2015,indie-pop,0.679,0.574,6,-7.21,0,0.0345,0.484,2.63e-05,0.262,0.593,106.921,207620,4
Beach House,New Year,1YV3dVis0GURVM6pgLAQcG,40,2012,indie-pop,0.454,0.762,10,-5.762,1,0.0298,0.084,0.000715,0.136,0.19,108.944,325760,4
