artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Body,I Did Not Want to Love You So,1PQpS9MFgQtJw7sdix0UYu,7,2017,industrial,0.191,0.192,3,-13.214,1,0.0358,0.118,0.77,0.125,0.0652,110.758,272024,3
OOMPH!,Du spielst Gott,4YhCSlN0oKLXoFE7FgGxZq,10,2004,industrial,0.481,0.971,1,-2.691,0,0.0727,0.000226,0.000146,0.408,0.231,146.038,256773,4
Fear Factory,New Breed - Spoetnik Mix,0GC3bIdoduHoJFlRc0pPkq,8,2003,industrial,0.729,0.698,4,-8.203,1,0.0708,0.0613,0.406,0.639,0.0931,100.896,232667,4
Psyclon Nine,Payback,3sGIsRixWfyvio3xqBpOIU,12,2017,industrial,0.442,0.97,7,-6.618,1,0.106,0.0038,0.863,0.0946,0.265,165.015,179748,4
Snake River Conspiracy,Lovesong,4seT68ahatRnkpnlkADLWy,38,2000,industrial,0.524,0.909,5,-3.25,1,0.0519,0.00669,0.00205,0.376,0.343,140.259,235560,4
(Hed) P.E.,White Collars (Remastered 2022),3qjPlrC5YvWhqe8YSgdkjF,9,2022,industrial,0.405,0.871,7,-9.072,1,0.134,0.132,0.0,0.24,0.634,97.039,202229,4
Static-X,Isolaytore,6jKWWzbmqaGuwN7p6xMY6i,19,2021,industrial,0.673,0.994,8,-3.358,0,0.0845,0.00999,0.000506,0.153,0.46,142.039,165520,4
Surgical Meth Machine,Rich People Problems,1oTwFKFl8ITyk73gtLcgfz,8,2016,industrial,0.489,0.98,9,-7.601,1,0.0714,0.00076,0.000164,0.528,0.285,139.995,186002,4
Dope,No Way Out - Live,2VkYLcDJJUyHcAiBEjvYo2,9,2015,industrial,0.143,0.985,6,-3.94,1,0.206,2.16e-05,0.0329,0.46,0.112,79.416,232540,3
Blaqk Audio,Muscle And Matter,6FkPNIf2VW0YUQpmQplCD5,16,2019,industrial,0.61,0.917,3,-5.063,1,0.0401,0.0218,5.93e-05,0.0919,0.887,100.014,242516,4
Rammstein,Sonne - Clawfinger T.K.O. Remix,0hJPbX7rzw8pPG1zY4MTVX,27,2020,industrial,0.473,0.967,11,-5.644,1,0.0625,0.000281,0.0145,0.171,0.329,159.995,348867,4
Lords Of Acid,Venus,0J3RtTlaevrJC9szwQK7hh,5,2017,industrial,0.469,0.918,9,-3.453,1,0.0475,0.00258,0.734,0.0737,0.049,186.04,298240,4
X-RX,Sadistortion,0SwO5riyvn9vdQriBvZz94,8,2012,industrial,0.791,0.909,6,-5.252,0,0.147,2.52e-05,0.907,0.0889,0.569,120.012,218880,4
Mindless Faith,13th Floor,2ibww2ngeOY3ijT5HvPnDT,4,2015,industrial,0.437,0.837,4,-6.583,0,0.0531,0.00126,0.838,0.177,0.207,145.065,345493,4
Filter,Your Bullets,5l0M45HwDWda8ovIpaymjf,10,2016,industrial,0.408,0.964,5,-3.974,1,0.0358,0.000104,5.86e-05,0.14,0.455,150.079,277760,3
The Body,Obsessed Luxury,5J33xt5aBSPrdwbi4kA9md,12,2022,industrial,0.344,0.963,0,-3.685,1,0.128,0.000193,0.943,0.368,0.175,61.677,194148,4
Revolting Cocks,"Beers, Steers & Queers (Drop Your Britches Mix)",5X4asi6Zu1wAl90CTlhx8d,8,2014,industrial,0.648,0.977,1,-8.302,1,0.0672,0.0326,0.000565,0.305,0.141,111.064,344637,4
Angelspit,Ambassador,3kK5wcSd8awTWd9zrNZQUw,5,2014,industrial,0.48,0.961,2,-2.9,1,0.224,0.0054,0.0,0.0746,0.3,129.881,227982,4
Drowning Pool,We Are The Devil,4PcN6t3oYHiCmCcWvXQmwJ,20,2016,industrial,0.423,0.933,8,-4.988,1,0.0997,9.17e-05,0.0331,0.366,0.391,156.849,245480,4
[:SITD:],Firmament,0vIxTrtuw1uArMwTQRLam3,8,2005,industrial,0.543,0.974,1,-5.703,1,0.0363,6.96e-05,0.255,0.44,0.591,132.021,397213,4
Einstürzende Neubauten,Feurio! - Turen offen,18V8QEXWjXNwR3qkeO98CH,9,2011,industrial,0.622,0.152,2,-5.366,1,0.0689,7.61e-05,0.0183,0.0524,0.312,128.563,411053,4
Razed In Black,Visions (Reprise),2Jum0qjPkudxSaAU2jODwm,2,2003,industrial,0.609,0.852,9,-9.412,1,0.0419,0.000264,0.767,0.183,0.367,141.979,331535,4
