artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Beths,I Want To Listen,5JrhMcZ4T2Uvj1oUoHxH8e,38,2022,k-pop,0.453,0.629,9,-10.874,1,0.0361,0.143,1.04e-05,0.267,0.657,81.917,132987,4
Kim Yeon Woo,내사랑 내곁에,7oG6pyDbYEY3U9dmdnJw3g,18,2011,k-pop,0.359,0.567,2,-5.75,1,0.0429,0.64,1.19e-06,0.932,0.31,132.602,278686,4
COOL,산책,3H5yUfv7v62b2XNbfI7Fi8,12,2002,k-pop,0.652,0.974,4,-3.393,1,0.0815,0.369,0.0,0.102,0.645,136.053,193360,4
EXO,Trauma,4vh7bEuYAU9TtBRXwcLtn9,44,2018,k-pop,0.801,0.756,11,-4.696,0,0.0448,0.12,0.0,0.0836,0.622,110.988,222010,4
San E,Body Language (feat. Bumkey),1phL3dVWvwuDcfoLzSKnD6,24,2013,k-pop,0.814,0.816,7,-3.126,1,0.154,0.443,0.0,0.493,0.863,136.016,216814,4
Urban Zakapa,Nearness is to love,0TDK7km9yrQfaOzCsh8Nap,41,2016,k-pop,0.598,0.631,7,-4.352,1,0.031,0.577,0.0,0.153,0.237,97.977,240953,3
Mariya Takeuchi,Plastic Love,7rU6Iebxzlvqy5t857bKFq,64,2008,k-pop,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64e-05,0.196,0.857,102.517,294493,4
Brown Eyes,언제나 그랬죠,4qWXVryfpaLsHuy3TZrw7U,26,2001,k-pop,0.574,0.643,11,-6.046,1,0.0282,0.54,0.0,0.335,0.645,94.018,237120,4
Sik-K,Me&Bae,0Ot1vHXgQBXb7jgUjsvru5,35,2020,k-pop,0.755,0.798,0,-3.412,1,0.116,0.107,0.0,0.0536,0.707,180.029,249613,4
015B,Hard to Start,5nMMXUI1ZkN6TWqL5E1UzX,35,2019,k-pop,0.862,0.467,0,-7.831,1,0.0653,0.642,0.0,0.089,0.904,133.012,207227,4
EST Gee,Sabotage (feat. Bryson Tiller),4V9WY0U4tsvH2va1kwG2XQ,43,2022,k-pop,0.699,0.688,1,-6.489,1,0.241,0.0166,0.0,0.282,0.733,76.484,167843,4
Suresh Wadkar,Aarti Sai Baba,3YE7OokwCrDRob6hwycz4y,36,2014,k-pop,0.78,0.536,5,-9.155,0,0.0453,0.0556,0.0,0.0706,0.642,99.968,192813,4
Peterpan,Tak Ada Yang Abadi,7HipRc040udCPp7ZkCJLBw,37,2008,k-pop,0.545,0.453,9,-6.838,0,0.0286,0.759,1.04e-05,0.0839,0.274,124.859,254680,3
PURPLE KISS,My Heart Skip a Beat,0fb1NtIwTxVERtEsVI85Hm,37,2020,k-pop,0.742,0.883,4,-3.373,0,0.0741,0.0283,0.0,0.254,0.82,115.95,197413,4
2KBABY,Overdue,6avD0UEtDUcd98cVfNFyyL,26,2023,k-pop,0.736,0.508,4,-7.922,0,0.134,0.344,0.0,0.149,0.458,140.034,151848,4
TAEYEON,Dear Me,2izlCxatn0nR7SyRyrkUW1,45,2020,k-pop,0.345,0.641,3,-4.174,1,0.0362,0.195,4.58e-05,0.233,0.326,159.631,222653,4
BIGBANG,We Belong Together,07Znwm8hDf9JoDkCc8kCEv,10,2007,k-pop,0.744,0.768,2,-6.557,0,0.135,0.367,0.0,0.818,0.701,139.917,239360,4
Eric Nam,Can't Help Myself (feat. LOCO),2orlgIY1OBWBDQgmkHZHct,38,2016,k-pop,0.698,0.874,9,-2.296,0,0.0299,0.0259,1.02e-06,0.475,0.795,122.945,189158,4
KAI,Say You Love Me,6eTTfUgRT21VXq2C2eJ9F3,62,2023,k-pop,0.59,0.542,7,-4.725,1,0.11,0.766,0.0,0.0871,0.0481,70.966,202080,4
(G)I-DLE,Oh my god - English Version,2EJbMzocEZ6VHnZKQ8pt8H,55,2020,k-pop,0.794,0.756,4,-3.528,0,0.0402,0.0361,0.000351,0.253,0.518,109.971,195880,4
Jay Park,Yacht (feat. Vic Mensa),4qyXiEXiOfSxqn3YrY0NKW,37,2018,k-pop,0.73,0.725,10,-4.14,0,0.323,0.172,0.0,0.0975,0.752,79.912,198893,4
Red Velvet,Carpool,2KqYLFNTX2HXzYH4bucBKa,38,2019,k-pop,0.711,0.823,0,-3.49,1,0.079,0.187,0.0,0.208,0.701,122.122,206757,4
Black Rose,Meda Butu,7BCIO7lvfVFus4ODf2xlRH,21,2002,k-pop,0.768,0.836,9,-7.0,1,0.0461,0.56,0.00346,0.311,0.643,130.03,184760,4
Bizum Gönül,Sosyete Olacağım,33WeAUrC2uC0ufFAzHDMgc,5,2001,k-pop,0.845,0.908,0,-7.161,1,0.0511,0.0765,0.000912,0.0316,0.868,124.96,199827,4
Baek Ji Young,눈물,5EVutglUzbaOveWJfDzIco,1,2000,k-pop,0.583,0.552,9,-8.761,0,0.0387,0.366,0.0,0.162,0.389,144.69,282854,4
