artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Love and Death,Down,6YeONqJkRKgNRLVVfCOtJq,34,2021,metal,0.451,0.887,8,-6.208,0,0.0695,0.000245,0.0231,0.203,0.436,92.954,240347,4
Memphis May Fire,You & Me,64I84KGKk8btuUSY39T4WK,39,2018,metal,0.541,0.797,10,-4.611,0,0.0313,0.000862,2.53e-06,0.081,0.245,125.048,254640,4
Dayseeker,Starving To Be Empty,74TVYtwhBJnt2XuaufvXcC,43,2019,metal,0.449,0.934,1,-4.041,1,0.115,0.00546,0.0,0.111,0.211,139.95,223013,4
A Day To Remember,Permanent,3voWwzddxFnII6f8pEensc,42,2021,metal,0.481,0.945,4,-3.432,0,0.077,0.0004,1.67e-06,0.335,0.628,129.974,222493,4
Our Last Night,when we were broken,2DA2R8axDHMeq1JSbbm10M,43,2021,metal,0.514,0.92,8,-4.235,1,0.076,0.000929,2.24e-06,0.149,0.248,145.009,170500,4
Metalocalypse: Dethklok,Fansong,5Lioq6dI8B9oIXqjb4YmO2,43,2007,metal,0.59,0.928,10,-6.739,0,0.0825,0.000163,0.817,0.346,0.325,103.021,172787,4
Kid Rock,Grandpa's Jam,5mDHBZzRuHF9kxewlbyFSB,30,2017,metal,0.668,0.954,10,-3.989,0,0.0602,0.0037,0.000624,0.0591,0.846,92.203,254151,4
From Ashes to New,Finally See,4KudM1XwC6yLxdxy3O5JOf,40,2018,metal,0.593,0.944,2,-4.281,0,0.0492,0.00353,0.000306,0.194,0.519,105.036,222075,4
Avenged Sevenfold,Roman Sky,06r4cRb2dnmCSyZ5MgEUGY,42,2016,metal,0.457,0.425,2,-8.807,0,0.0304,0.131,2.6e-05,0.0917,0.128,130.002,300361,4
King 810,Heavy Lies the Crown,7lUQLS59AxbAsq9HPH4Ofz,39,2016,metal,0.47,0.931,2,-8.066,1,0.121,0.0125,6.63e-05,0.827,0.036,83.095,139400,1
Skar,Misty Mountains,5nuQMwvUImKT65RlR6xoKZ,37,2018,metal,0.398,0.98,10,-4.807,1,0.117,0.00373,0.0,0.329,0.208,144.957,218897,4
Dance Gavin Dance,"Surprise! I'm From Cuba, Everyone Has One Brain",3zsAME3aA38bPMZtm0KOKZ,34,2007,metal,0.2,0.907,6,-4.541,0,0.0841,0.00027,0.000574,0.124,0.0431,105.902,294760,5
Disturbed,Who,63lvAK5I69QmwEl6BYCuRC,41,2015,metal,0.413,0.987,6,-2.99,1,0.121,0.000184,0.00108,0.112,0.523,191.93,286547,4
Kid Rock,I Am,2a7q6OqOg7tSVIgg0LbksG,23,2003,metal,0.616,0.692,9,-5.349,0,0.032,0.166,1.13e-06,0.0607,0.381,130.921,303733,4
Bring Me The Horizon,What You Need,0xZ2RmwcaiP0tvAll1Ndh5,55,2015,metal,0.511,0.952,1,-4.243,0,0.0754,1.37e-05,0.00201,0.135,0.557,147.999,252400,4
Fit For A King,Prophet,0Uwub07q1N89i3lwuKga1U,35,2020,metal,0.442,0.954,0,-4.765,1,0.0708,5.27e-05,3e-06,0.149,0.121,97.55,257385,4
The Exies,Baptize Me,7FlXi5hY2BMWb9vnhbTiXg,24,2004,metal,0.453,0.824,6,-4.652,1,0.0525,0.000258,0.000134,0.117,0.197,108.667,217989,4
Dream on Dreamer,Regrets,6F1ygTTUsT7eFuuhEh3UPF,38,2020,metal,0.528,0.594,11,-6.654,0,0.024,0.429,0.000592,0.107,0.22,99.99,261429,4
True Widow,Duelist,6FK0mNCgPa8XxeJ7CchOfW,31,2008,metal,0.432,0.501,9,-10.933,1,0.0331,0.0721,0.146,0.163,0.157,112.982,276373,4
Parkway Drive,The Greatest Fear,2ijbU93XOTRIqoOzPGPNiK,52,2022,metal,0.484,0.85,1,-3.428,0,0.0482,0.00013,0.00429,0.0423,0.123,106.012,328743,4
Scissorfight,"Blizzards, Buzzards, And Bastards",2UFYXSpEqBtfpRZXMGKVmV,34,2001,metal,0.554,0.881,2,-5.702,1,0.134,0.00836,0.576,0.292,0.248,102.346,235040,4
Kid Rock,Redneck Paradise,5NwCjzo8ACZh4ij7On6Gsb,35,2012,metal,0.727,0.854,2,-4.11,1,0.0342,0.0128,0.0,0.683,0.82,115.083,312027,4
Our Last Night,Bad Habits,70496eYBcnB5YB8cfO07g8,42,2021,metal,0.592,0.966,1,-3.002,0,0.0499,0.000286,2.23e-06,0.56,0.48,125.949,228810,4
Gama Bomb,Avenge Me!,1cSuPL3wc8uhTObWeaD3Nd,41,2015,metal,0.384,0.985,1,-3.712,1,0.0766,0.000131,0.813,0.417,0.384,199.969,144250,4
Dance Gavin Dance,Semi-Charmed Life,3a1gNXvc0OjJ42BZQSVWrq,41,2018,metal,0.609,0.953,7,-6.514,1,0.0659,0.0145,8.76e-06,0.142,0.551,110.032,224467,4
Breaking Benjamin,Fade Away,6PkquTvmXuL0BuHqC0nZEB,49,2009,metal,0.166,0.949,10,-3.439,0,0.198,0.000156,2.11e-05,0.192,0.307,172.816,196027,4
Evanescence,Part Of Me,4InVY9fQP95r5mMbrpZI62,41,2021,metal,0.527,0.902,3,-4.424,0,0.116,0.000592,0.014,0.0651,0.375,120.022,238971,4
Electric Wizard,Doom Mantia,1t1EtAkntXl3i9M8q3bkDL,24,2006,metal,0.17,0.57,4,-5.995,1,0.0374,0.000887,0.946,0.0807,0.247,123.983,529707,3
Blind Channel,FLATLINE,7eavNfBDdDIj3nkQb6yOxZ,56,2023,metal,0.431,0.962,6,-3.903,0,0.247,0.000109,0.000782,0.382,0.397,75.022,172068,1
A Skylit Drive,"I'm Not A Thief, I'm A Treasure Hunter",146UE7we0gOcTQ118xmR0A,42,2008,metal,0.217,0.926,4,-3.28,0,0.0623,0.000142,0.000987,0.416,0.351,84.142,198693,4
System Of A Down,Protect The Land,11ajcVj3qSyyMPUpTJUP3y,60,2020,metal,0.432,0.886,8,-3.991,1,0.0341,9.2e-05,4.74e-05,0.338,0.248,76.04,307645,4
