artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
John Tesh,O Holy Night,10oWHZF6B7YwGcHym9aMdf,2,2008,new-age,0.568,0.146,0,-16.153,1,0.063,0.965,0.898,0.112,0.301,164.954,274213,3
Mike Rowland,You Are Near,5PHkDr5uyTaReeqNZS4io5,15,2000,new-age,0.17,0.27,3,-16.013,1,0.0398,0.385,0.861,0.176,0.0375,112.623,375347,4
Chad Lawson,"Prelude in E Minor, Op. 28, No. 4 (Arr. By Chad Lawson for Piano)",3OALEjcGKRLLBez95KVsOy,10,2014,new-age,0.256,0.0361,4,-29.737,0,0.0361,0.993,0.896,0.0986,0.0383,73.656,173158,1
Laura Sullivan,Dreaming Underwater,7LuFb6GyuZFjNqu3ROEraP,15,2003,new-age,0.224,0.0689,0,-21.083,1,0.0521,0.987,0.873,0.144,0.038,173.929,251307,4
Yanni,If I Could Tell You,2Az3rgDFpLyH3qQkPetdwK,33,2020,new-age,0.313,0.208,5,-13.376,0,0.0388,0.988,0.881,0.148,0.113,113.125,380796,4
ØYSTEIN SEVÅG,After All,3MS7MqwIIAxoUaeLNTO7nJ,5,2005,new-age,0.709,0.265,11,-13.098,0,0.0268,0.677,0.905,0.166,0.438,88.057,265273,4
Kevin Kendle,Cirrocumulus,4AIBClPr2b0lMI4AQSWK4N,0,2000,new-age,0.531,0.237,9,-16.405,0,0.0393,0.974,0.868,0.124,0.152,120.059,401133,4
Oliver Shanti & Friends,Macao Kyoto,6tytp3DvcCceWqnY7WTPTN,22,2008,new-age,0.232,0.269,3,-12.337,0,0.0356,0.723,0.575,0.31,0.0563,107.27,285560,4
Paul Cardall,Farewell,2V8nc7uykdvIjX2Z9ewCwX,10,2002,new-age,0.362,0.103,10,-18.518,1,0.0437,0.983,0.903,0.0876,0.244,121.563,238081,4
John Tesh,"Jesus, Lover Of My Soul",6hJeqSUVBwh6rvdYYzxLen,0,2003,new-age,0.369,0.292,10,-13.292,1,0.0314,0.647,0.0,0.105,0.153,113.761,264187,4
Jim Brickman,Bedtime Blessings,4dnSkWaHqVzQKUdQSEUMok,14,2022,new-age,0.359,0.129,7,-16.516,1,0.0743,0.991,0.897,0.13,0.205,66.317,481237,4
John Fluker,Behold the Star,5h19yMOjMSZ46VVkcI5QS3,2,2022,new-age,0.354,0.247,11,-12.586,1,0.0308,0.913,0.926,0.112,0.0631,68.876,120705,4
David Arkenstone,What Child Is This,153iwK6a0j6XQyvuyr9A33,9,2003,new-age,0.537,0.151,4,-15.117,0,0.0293,0.965,0.0246,0.0798,0.113,84.974,243066,3
Paul Cardall,Beyond The Wall,0FqDi7tY8acbrRtU4Jb6TD,15,2021,new-age,0.252,0.101,7,-16.051,0,0.0356,0.976,0.908,0.113,0.04,130.921,208387,5
Stephen Rhodes,Junk Car Blues,0HVKx7y7SeG8qEn5LstnqZ,0,2002,new-age,0.776,0.236,7,-17.329,1,0.0406,0.268,0.0037,0.129,0.599,106.146,323880,4
Stanton Lanier,Awaken the Dawn,7vyxizL4NShCdbHhalLFCJ,35,2008,new-age,0.242,0.111,8,-17.18,1,0.0327,0.986,0.915,0.139,0.14,94.714,298307,4
Karunesh,Beyond Heaven - Remix,3ZCdQNo1rMITrDwRku9Hl8,10,2006,new-age,0.578,0.476,0,-12.183,1,0.0401,0.177,0.809,0.104,0.315,126.409,396280,4
Wayne Gratz,A Short Time Away,6kXyVyO6KaLHbSv2o4fhwV,1,2017,new-age,0.331,0.0879,0,-17.684,1,0.0896,0.994,0.915,0.097,0.0795,205.14,205504,3
William Ellwood,Transit of Mars,3LUWqEtEFoYSsxSEQRuCbD,3,2019,new-age,0.542,0.455,4,-9.742,0,0.029,0.681,0.929,0.125,0.264,111.926,294997,4
John Adorney,Dance of the Pauper King,5Mstl5t2mZpKnOO8vtDxHt,6,2016,new-age,0.642,0.482,9,-10.313,0,0.034,0.376,0.884,0.0992,0.817,114.999,315653,4
Emile Pandolfi,You'll Never Know,3R0eIZAaFkhimIbySMMKd6,10,2009,new-age,0.374,0.0691,5,-20.448,1,0.0415,0.949,0.955,0.161,0.163,73.882,231293,4
Frank Steiner Jr.,Luna,7FezMWbYL7uS7HHuyPnyXh,42,2004,new-age,0.61,0.185,6,-20.242,1,0.0328,0.816,0.93,0.094,0.252,149.943,244560,1
Lesiem,Vivere,3KkniN0T3CSgxY0glpJsaH,12,2001,new-age,0.352,0.538,1,-8.077,0,0.0363,0.0741,0.874,0.0826,0.0399,149.818,246240,4
Emile Pandolfi,The Rose,6vNGkHLj1XBHs9PbQ66TEc,9,2007,new-age,0.349,0.132,0,-15.348,1,0.0478,0.99,0.894,0.195,0.0748,134.085,285200,4
Sarah Modene,ÉLégie,6pbj8ANW4serTmipS7UQkQ,17,2008,new-age,0.266,0.0394,7,-28.068,0,0.0374,0.994,0.865,0.156,0.0683,134.203,219200,5
Deuter,Nine,5r7aPh11SWDRgieF0Bwv7q,28,2008,new-age,0.173,0.0172,2,-28.584,0,0.0428,0.986,0.951,0.0856,0.0866,75.434,402133,4
Steven Halpern,"Sleep Soundly, Pt. 3 - Remastered",7f6RomhYxfParjQ8wq0xWT,6,2014,new-age,0.155,0.0298,4,-26.184,1,0.0399,0.982,0.943,0.0715,0.0306,63.468,542720,3
Kevin Kern,Away in a Manger,0PhZNGFMblinIMpBonjZdR,14,2012,new-age,0.595,0.0899,7,-22.23,1,0.0651,0.995,0.967,0.13,0.548,92.277,134161,4
Silvard,Pantom of the Opera,6H1ABHCoI7M3OYuqyXuqWE,5,2007,new-age,0.464,0.303,0,-11.653,1,0.0351,0.834,0.933,0.0871,0.31,93.235,294227,4
Paul Cardall,Silverleaf Winds,57brurELltJz3TbQtownB6,16,2019,new-age,0.303,0.0286,7,-26.945,0,0.0442,0.992,0.925,0.208,0.0597,111.124,173080,4
Govi,Euphrates,0iASDY9Yk0u77K6lrRq8tt,20,2002,new-age,0.636,0.546,11,-9.054,0,0.0345,0.573,0.783,0.104,0.575,159.957,346987,3
Govi,Moon Over Water,73aR9VSabcbN1W3n6BWR8J,17,2002,new-age,0.712,0.329,6,-15.298,0,0.0435,0.866,0.862,0.116,0.356,110.02,184293,4
Steven Halpern,Cloud Chamber - Remastered,1ctkUyZZzWdMGHWqYamwti,0,2023,new-age,0.137,0.0996,0,-23.883,0,0.0702,0.992,0.866,0.117,0.035,173.691,76200,5
Jim Chappell,Robbys Reggae,2K2CWVLqNqhq3wu1oqnc6I,0,2014,new-age,0.728,0.0695,7,-19.546,1,0.0965,0.877,0.969,0.122,0.682,116.224,98944,4
Parijat,Unchained,0cvyQNNJljXVsvCSPh5xib,16,2017,new-age,0.103,0.0811,9,-23.629,0,0.0539,0.809,0.293,0.105,0.0344,74.201,209017,3
Chris Spheeris,Elektra,1DPLyaersp3zw0dXWpcbru,9,2009,new-age,0.656,0.425,2,-13.847,0,0.0263,0.139,0.792,0.0408,0.281,108.073,326907,4
George Skaroulis,The Dreaming Fields,0yvU2T6yOrKOrCBkb9t4Ps,4,2009,new-age,0.41,0.037,10,-21.043,1,0.044,0.98,0.914,0.112,0.188,73.279,276187,4
Jim Brickman,All The Pretty Little Horses,4DlXvA84ZAr2OaUMPqsSQx,32,2016,new-age,0.374,0.148,9,-15.766,0,0.0428,0.993,0.866,0.0946,0.204,138.958,216560,4
Gregorian,Let Down,4nm0RYCAbptErnuPolgvGt,9,2011,new-age,0.551,0.66,9,-9.898,1,0.0236,0.195,0.369,0.124,0.414,100.038,310693,4
