artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Three Tenors,"All I Ask of You (From ""Phantom of the Opera"") - Live",5AwYvaUujYItRBF3bkL8Rb,0,2019,opera,0.227,0.186,3,-19.812,1,0.0482,0.945,0.104,0.803,0.19,76.819,119840,4
Diablo Swing Orchestra,Interruption,1LvQVeavoT1Ob7YwnebvG6,22,2017,opera,0.351,0.827,0,-5.107,0,0.0628,0.00161,0.00261,0.1,0.311,107.502,321347,3
Teatro,Impossible Dream (The Quest),6yQm5YFjJdDZvMPoRWhmZn,9,2007,opera,0.408,0.395,0,-7.2,1,0.0264,0.592,7.83e-06,0.137,0.152,94.349,195267,3
Chi Xiaoqiu,Unicorn Purse: Aria C (Suo Lin Nang: Xuan Duan San),0GWoiaBpwkPh5YO7COpEBF,2,2003,opera,0.321,0.111,8,-15.271,1,0.0326,0.986,6.08e-06,0.033,0.459,95.656,308347,4
Giuseppe Verdi,"La Traviata: ""Lunge da lei""",5dCI8jxkjZ7Klf7hkMrnfx,10,2019,opera,0.381,0.149,0,-20.21,1,0.0431,0.981,0.000129,0.13,0.375,79.193,104893,4
Danny Wright,Gloria's Love,3PpUQJy6DvObieIUqzJdFt,1,2013,opera,0.359,0.0857,0,-22.501,1,0.039,0.978,0.869,0.0777,0.191,135.04,270737,4
Órla Fallon,In The Bleak Midwinter/Carolan’s Cap (Medley),4SKKKNU0KK1T9tyGpYDyPo,2,2010,opera,0.205,0.221,0,-9.567,1,0.0393,0.958,0.0,0.105,0.321,172.393,243480,4
Tomaso Albinoni,"Concerto Saint Marc, Op. 6 No. 11: I. Grave",7A7YfUMD3RRwvaqqyeESTu,14,2017,opera,0.28,0.106,10,-18.408,1,0.0408,0.781,0.927,0.189,0.186,111.653,145440,4
Mario Frangoulis,O Fortuna (feat. Novaya Opera Theatre of Moscow Orchestra & Choir),5QLbswDzA8caxcQTVtbiWL,3,2006,opera,0.354,0.473,2,-9.154,0,0.217,0.926,0.105,0.761,0.475,144.508,164120,3
Reinhard Keiser,Wir gingen alle in die Irre: Recitativo: Und viel andere Lasterungen (Tenor),1JFrRmofif2JMHXlvfOWRT,0,2010,opera,0.0,0.082,10,-21.567,0,0.0,0.892,0.0,0.147,0.0,0.0,10613,0
