artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Die Zipfelbuben,Morgen Kinder wird's was geben,5EH8erqwwQolDPXKuHkEOX,8,2022,party,0.555,0.909,11,-3.908,1,0.0409,0.0543,0.0,0.112,0.762,136.095,154500,3
Buddy,Der Sommer unseres Lebens - Franz Rapid Mix,4gAZTVByvpODQU3TOqkm3N,0,2015,party,0.65,0.925,0,-3.563,1,0.0282,0.002,0.0,0.295,0.779,125.976,232381,4
Little Apple Band,Handy Manny,3KJ8Rwd8AuW1upaeDGAaMW,0,2023,party,0.642,0.788,0,-6.158,1,0.0379,0.156,4.3e-05,0.0851,0.976,163.064,53969,4
Melanie Müller,Pablo der Torero,2BdODwZwYUZb7VnHwfDUfv,0,2021,party,0.569,0.892,10,-4.908,0,0.0921,0.0659,0.0,0.363,0.403,135.984,180000,4
Denise Gagne,Hagdalena,7ifxbA5Z6il6bt4kciyZZ7,0,2003,party,0.882,0.689,7,-8.694,1,0.0383,0.612,0.0,0.0854,0.954,130.019,138475,4
Wolfgang Petry,Ich hab' dich immer schon geliebt,7Ep8oTZxb7ejpCyq7Eg7bQ,11,2001,party,0.644,0.776,11,-6.559,1,0.0292,0.265,0.0,0.238,0.914,143.981,214093,4
Wolfgang Petry,Du hast ihre Augen,2tA9xpBECeqEFV42KuiQCS,3,2006,party,0.727,0.815,10,-5.995,1,0.0291,0.178,0.0,0.14,0.877,120.105,214307,4
Andreas Gabalier,Die Beichte - Live aus Berlin / 2015,4PGTc8xB9GRGjrncutP4zp,9,2016,party,0.32,0.796,8,-6.535,1,0.0681,0.0171,1.25e-06,0.953,0.507,150.824,297907,4
Denise Gagne,Kung Fu Koala,7pJJtIhWyZ8komB5zKoiaS,0,2003,party,0.798,0.633,2,-8.672,0,0.0372,0.388,1.2e-05,0.0853,0.687,119.885,70661,4
Höhner,Hey Kölle - Du bes e Jeföhl - live & akustisch,1v1hOBnhygbrzOhKSBxLJP,9,2017,party,0.718,0.819,0,-6.482,1,0.0508,0.51,0.0,0.987,0.807,114.434,245875,4
Buddy,Der Sommer unseres Lebens - DJ Brainstorm Mix,4D04ViKlnx3diWEIRxEUDa,0,2015,party,0.632,0.925,7,-5.197,1,0.0403,0.00105,0.17,0.269,0.9,127.966,206250,4
Jörg Bausch,Es tut so weh,5T1X6ikrLpJaku1JWU98lH,1,2006,party,0.732,0.933,8,-4.54,0,0.0315,0.316,1.4e-06,0.143,0.961,124.99,213587,4
Geilomat,Schakalaka Boom Boom,3wGQHABrEvvTZOAYXuV30w,9,2017,party,0.713,0.918,5,-6.298,1,0.0906,0.034,0.0,0.193,0.702,151.985,213553,4
Jack Hartmann,Itsy Bitsy Spider Rock,51tsDwHOdPmhJljfmzaaaT,0,2006,party,0.667,0.749,7,-5.907,1,0.0284,0.027,0.0,0.075,0.805,115.991,123560,4
The Magic Crayons,Grandpa Morris,5yXePjVgPpLvPWQ21HYmJz,8,2010,party,0.644,0.714,5,-8.323,0,0.271,0.576,0.0115,0.186,0.285,74.831,112250,5
Troglauer,Hexenschuss,6eaKXQ6B9KDVVjEGPyosXl,5,2016,party,0.458,0.782,2,-4.352,1,0.0371,0.000643,0.0,0.649,0.568,175.946,244907,4
DJ Düse,Voll wie Düse,55zQNdPehZm5WV3hcIv3xU,42,2018,party,0.65,0.969,0,-2.676,1,0.11,0.0264,0.0,0.327,0.686,134.016,198438,4
Klaus & Klaus,Ich Schau nur deine Augen an,0UKIW1YuX4pVFVOSEszyuG,2,2000,party,0.801,0.849,2,-7.014,1,0.178,0.302,0.0,0.133,0.952,119.974,171973,4
Kids Rock Kidz,The Fox (What Does the Fox Say?),1r6UjJBZMPtyCUAxZIIr3C,13,2014,party,0.633,0.694,11,-4.295,1,0.0311,0.0152,0.0,0.343,0.292,128.037,211707,4
Wolfgang Petry,"Morgen, Kinder - Tanzbar!",64jRehfwlhucP2jVvz5ekV,11,2014,party,0.677,0.747,6,-7.234,0,0.0242,0.0198,0.0,0.0882,0.922,128.007,163507,4
