artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Ilaiyaraaja,Varavelkkumo,6fFLj6oUVeACRlWKmeYbqj,5,2006,pop-film,0.71,0.514,2,-16.937,1,0.0649,0.28,0.0209,0.125,0.717,91.971,286068,4
Tulsi Kumar,Sab Mili Aarti Ho Utar,28U4rfnbNEZ0wiqZdVGe7f,2,2002,pop-film,0.598,0.346,6,-15.237,1,0.0387,0.336,0.0,0.213,0.891,73.681,451027,4
Lata Mangeshkar,"Tum Jo Mil Gaye Ho (From ""Hanste Zakhm"")",2fUpfW6NKGbpVO4oSgpX38,25,2018,pop-film,0.339,0.834,2,-8.847,1,0.239,0.769,0.000385,0.0452,0.432,115.13,489091,4
Sonu Nigam,Mathu Nannavalu,0nURYXS1tw5fOaC7RmcJBK,7,2008,pop-film,0.765,0.831,7,-7.716,1,0.0781,0.466,1.15e-06,0.129,0.812,100.014,307000,4
Javed Ali,Tu Hoor Pari,0wInJMQFjRa3jdubivr1gb,27,2012,pop-film,0.78,0.82,11,-4.862,1,0.072,0.645,4.88e-05,0.105,0.765,96.98,323408,4
Suresh Wadkar,Avo Padharo Re,15q5PWwMpQDXdHcxL1382n,13,2017,pop-film,0.327,0.686,6,-8.723,0,0.185,0.7,0.0,0.181,0.755,73.946,742051,4
Noor Jehan,"Abhi Dhoond Hi Rahi Thi (From ""Bewafa"")",4hlKz2IsRutRSwN6WZvTS7,13,2022,pop-film,0.591,0.656,11,-6.361,1,0.0273,0.943,0.00115,0.152,0.667,111.831,226600,4
Sunidhi Chauhan,Kaun Mera,6hxjmhCFETJLWAXklh9MOd,36,2013,pop-film,0.354,0.102,2,-16.895,1,0.0522,0.982,1.53e-05,0.0834,0.246,67.098,151394,5
Chinmayi,Kallallo Kala Varamai,2jaFghJPWZv5YyEIzQHUOu,30,2019,pop-film,0.505,0.613,10,-6.826,0,0.0401,0.597,0.00851,0.119,0.367,133.965,247089,4
Udit Narayan,Antharanga Aasegala,4sRkv3IjS4GBhBO80Y785G,8,2002,pop-film,0.711,0.417,0,-12.988,1,0.0742,0.36,0.00142,0.292,0.679,100.013,371000,4
Suresh Wadkar,Shri Gayatri Chalisa,7i1wv2olMBoYafHBEGg3m2,14,2008,pop-film,0.617,0.635,8,-7.262,1,0.034,0.603,0.0,0.0737,0.592,87.011,1311431,4
Udit Narayan,Aahista Aahista,3xJaxGv8vjhUTop0FnCMSn,32,2004,pop-film,0.431,0.187,0,-14.115,1,0.0383,0.919,1.8e-05,0.112,0.0488,114.815,408027,5
Javed Ali,Kanwar Ko Mat Samjho,1zUs6g7ciIUHVgyvwdNIdd,0,2000,pop-film,0.754,0.92,0,-10.183,1,0.0563,0.504,1.8e-05,0.351,0.759,102.015,318882,4
Saindhavi,Radhai Varum Vazhi,7bxtHTghquDVlHIVAuDtfz,0,2008,pop-film,0.416,0.534,4,-10.34,0,0.0657,0.73,1.47e-05,0.3,0.683,94.97,337978,4
Lata Mangeshkar,Dekha Ek Khwab - Remix,1moyQEi6Nj9m9mTViUWFXG,7,2002,pop-film,0.398,0.539,9,-14.566,1,0.204,0.431,0.00272,0.316,0.589,145.627,349701,3
Vishal Dadlani,Jee Le Zaraa (Remix By Mikey Mccleary),4ZQJxM2cK7jVFAuhjhLjHO,28,2012,pop-film,0.565,0.674,9,-6.775,0,0.0266,0.0495,0.000742,0.0921,0.519,135.996,235508,4
