artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Cold Blue,30 Degrees At Midnight - Original Mix,5Wmiha4C8yVw6LOifXTN5u,9,2009,progressive-house,0.616,0.924,6,-8.253,1,0.0418,0.0183,0.876,0.0966,0.329,135.023,312827,4
Lange,Out of the Sky - Chris Schweizer Remix,4W4CPMsAzCTdJ8oXA6Qewa,37,2021,progressive-house,0.612,0.968,0,-4.698,0,0.0914,0.00491,0.321,0.375,0.289,137.963,252178,4
Duke Dumont,Need U (100%) (feat. A*M*E) - Skreamix,6Uc6yEJR5Vdy0SB3kc7ise,22,2013,progressive-house,0.688,0.613,10,-7.471,0,0.0556,0.00322,0.505,0.0234,0.362,123.983,392832,4
R3HAB,Be Okay (with HRVY) - Clear Six Remix,3to41NSINoUt0r1FZlAqCN,25,2020,progressive-house,0.37,0.968,5,-3.576,0,0.0799,0.0659,5.14e-06,0.179,0.786,123.819,143831,4
Avenue One,Upstairs Terrace,0t5McVQCj8MkTIO2AR2P2U,31,2022,progressive-house,0.413,0.924,5,-7.612,1,0.0444,0.000154,0.812,0.115,0.0356,122.957,296337,4
Pryda,Stay With Me,7twthmMegoAskip42GJocW,33,2017,progressive-house,0.71,0.776,10,-7.315,0,0.0409,0.00576,0.555,0.116,0.243,125.989,441905,3
Sunnery James & Ryan Marciano,Triton - Dance Valley 2013 Anthem,55UkfSFKTIHJdiq9QDXN9h,11,2013,progressive-house,0.684,0.894,10,-4.997,0,0.084,0.000593,0.942,0.104,0.335,125.996,396191,4
Lucas & Steve,Up Till Dawn (On The Move) - Club Radio Mix,4hYgTSNY1COMszRt6iAC89,29,2017,progressive-house,0.622,0.763,3,-5.938,0,0.0531,0.047,0.000423,0.185,0.243,126.014,214281,4
DT8 Project,Hold Me Till The End - Ronski Speed Remix (Album Edit),2e1RPCE6ybzMwFnEsGQUC9,1,2007,progressive-house,0.573,0.864,9,-7.783,0,0.0493,0.000255,0.402,0.183,0.118,135.804,352840,4
Grum,Cybernetic,64hZ3DUo8p2EilXya6kqYS,24,2020,progressive-house,0.547,0.851,0,-6.311,1,0.0366,7.27e-05,0.648,0.0819,0.271,124.006,259396,4
MOTi,WKND (with Louis III),4ii9KrZtmbaBdWbbYkOLI7,35,2022,progressive-house,0.768,0.845,11,-4.297,0,0.0651,0.213,0.00234,0.0997,0.651,124.006,171290,4
Armin van Buuren,Strong Ones,3qUC7MQio9LNQkUxeDv1yz,34,2015,progressive-house,0.576,0.848,11,-5.347,1,0.0603,0.0118,0.0,0.246,0.704,127.94,188653,4
Sander van Doorn,Mant Array,6NYhmMLazOA9Hxfrpo4sYh,19,2017,progressive-house,0.698,0.933,10,-3.274,1,0.0566,0.00166,0.898,0.0661,0.481,126.017,240001,4
Lange,Live Forever - Mat Zo Dub,28tneiea6nfqWgrbzMQwwB,7,2010,progressive-house,0.553,0.945,10,-7.083,0,0.0489,0.00151,0.537,0.0657,0.521,133.821,337107,4
Yoel Lewis,Nepal [ANR062] - Original Mix,4rtO1TGBhhmGwqrUmJPxMP,24,2015,progressive-house,0.406,0.891,7,-11.238,1,0.0401,0.00134,0.971,0.389,0.0608,127.547,164723,4
Nicky Romero,Feet On The Ground,71qYFShXoloHX098oKWIaU,11,2015,progressive-house,0.614,0.849,2,-6.087,0,0.124,0.22,0.0,0.344,0.361,126.049,176720,4
Don Diablo,Everybody's Somebody,3n4EvkiVDIkj4ylqNX1zYp,35,2018,progressive-house,0.456,0.875,0,-3.389,0,0.0896,0.0413,1.57e-06,0.0537,0.457,160.086,198000,4
Jaytech,Headcase - Original Mix,789g8GNWH5IcKZ62xi3wCb,3,2008,progressive-house,0.752,0.438,11,-9.964,1,0.101,0.000717,0.876,0.0475,0.61,125.979,446214,4
Hardwell,Arcadia - Extended Mix,4u6ygQW07tzG62fPbJA5mZ,14,2014,progressive-house,0.649,0.915,6,-2.896,0,0.0321,0.000264,0.029,0.108,0.13,128.007,298125,4
Oliver Smith,Solina,2uVIxV2ZXvIC9JJb0GbWZK,19,2019,progressive-house,0.557,0.792,9,-6.146,1,0.0393,0.000808,0.355,0.0587,0.168,128.014,217559,4
Mike Williams,Feels Like Yesterday (feat. Robin Valo),6dzFe2IgWQ5nDrgbf6AHiR,31,2018,progressive-house,0.657,0.902,7,-4.387,0,0.0361,0.00166,1.87e-05,0.341,0.24,125.999,219069,4
Chuckie,"Makin' Papers (feat. Lupe Fiasco, Too $hort, Snow tha Product)",7eMueuut6na1feCvWsxUmG,15,2013,progressive-house,0.716,0.827,8,-3.877,1,0.188,0.0241,0.0,0.131,0.476,150.011,230917,4
Kaskade,Jesu Parvule (feat. Late Night Alumni),0UbnJc9GmsRbubkTlmhQhW,16,2018,progressive-house,0.884,0.742,5,-7.687,0,0.0795,0.00591,0.32,0.395,0.705,140.067,199987,4
Mark Knight,Nothing Matters - Noisia Remix,2IDT0MopeNw1nVCzxc9ZAM,24,2012,progressive-house,0.517,0.923,11,-4.486,0,0.168,0.000159,0.0135,0.215,0.0738,114.017,398024,5
Rank 1,Such is Life [ASOT 001] - Original Mix,3KrLcgO9sWuPqRGseu2eOT,3,2001,progressive-house,0.545,0.829,5,-11.695,0,0.0532,9.9e-05,0.811,0.0975,0.303,140.706,380578,4
Hiroyuki Oda,Transmigration [ASOT 227] - Original Mix,24H5rp6EOkBd19dIhieNCl,0,2005,progressive-house,0.39,0.973,1,-9.689,1,0.0422,1.3e-05,0.965,0.391,0.264,138.152,364797,4
eleven.five,When People Become Numbers,5CuqsrPwQXniZ4DzGTDtrt,23,2017,progressive-house,0.696,0.612,4,-9.022,1,0.0585,0.048,0.897,0.0962,0.162,114.018,410000,4
Breeze & Quadrat,Indra,2m4CG8f8hkYhEmMv4OcJjD,8,2012,progressive-house,0.835,0.503,9,-7.284,0,0.0747,0.00257,0.721,0.126,0.161,123.985,410323,4
Ilan Bluestone,Big Ben - Original Mix,30LI01I73s3PKZJOL6fnw5,20,2014,progressive-house,0.741,0.776,3,-5.171,0,0.128,0.0239,0.902,0.527,0.5,128.029,459545,4
The Thrillseekers,Synaesthesia - En-Motion 2004 Re-edit,62YoU3HL4XBINRp4lk709b,12,2009,progressive-house,0.646,0.956,7,-9.536,0,0.0315,0.000196,0.884,0.135,0.687,139.982,433487,4
Steerner,Blue,6VL2DDWD5RaI2xp9DPAOJP,28,2015,progressive-house,0.526,0.855,1,-5.916,1,0.0554,0.0208,0.675,0.0822,0.245,128.001,196660,4
System 7,Dance of the Deer,16OJRYXlRbg2bgabF7eJks,0,2004,progressive-house,0.692,0.91,10,-9.174,0,0.0545,0.00134,0.877,0.0648,0.599,130.0,474960,4
John Digweed,Voices(Pt 2) - Freelance Icebreakers Mix,1w7kiiWG00Bvx4nwKNtLBx,3,2000,progressive-house,0.695,0.581,8,-17.409,1,0.0819,0.00128,0.909,0.0955,0.109,131.999,521849,4
Robbie Rivera,In Too Deep - Dero & M.o.n.d.a.y Remix,3IzSyrjioiJbqNUCyRXSrH,0,2008,progressive-house,0.784,0.547,7,-3.891,1,0.0781,0.00838,0.383,0.0695,0.291,127.997,470640,4
Andrew Rayel,All Falls Down (FYH346),7Hs8RUlQUtbYD5wa3IuT00,19,2023,progressive-house,0.516,0.817,0,-5.161,1,0.0724,0.00448,0.0,0.693,0.161,128.039,93750,4
Armin van Buuren,This Is What It Feels Like - Maddix Remix,1KsoDDooUtrKCA3ve09nMY,29,2020,progressive-house,0.404,0.873,8,-4.987,1,0.046,0.000949,0.00135,0.278,0.216,140.074,231857,4
John O'Callaghan,Every Lesson Learned - Original Mix,7jwgBD2PjFgMYPrdCyKPCZ,10,2009,progressive-house,0.53,0.982,0,-7.674,1,0.0371,0.000356,0.785,0.175,0.33,139.991,339653,4
MAKJ,Too Far Gone (feat. Matthew Santos),49CtnfeIJn2czXYnMZyVQO,16,2017,progressive-house,0.605,0.916,9,-1.176,0,0.0807,0.0134,2.42e-06,0.125,0.297,115.041,162783,4
Judge Jules,Absolute Control,4aHl4qtsuhTbkBkegkS7ND,0,2006,progressive-house,0.5,0.802,8,-12.551,1,0.0331,0.000546,0.914,0.332,0.379,137.954,266200,4
Luttrell,Don't Forget To Breathe,4tHOLt2m7PhhcTtKz3oQLe,17,2017,progressive-house,0.618,0.805,7,-7.667,1,0.036,2e-05,0.852,0.115,0.0361,122.991,271220,4
Eli & Fur,Parfume - Dosem Remix - Edit,4nxAZSsAGMlVzsBXPHsB6t,33,2018,progressive-house,0.758,0.563,0,-9.483,1,0.0396,0.00461,0.864,0.108,0.223,123.002,265366,4
Kaskade,Chains (with Project 46),7IcfnHpe6bvwdUmBIFpKSU,30,2020,progressive-house,0.638,0.762,0,-5.317,1,0.0363,0.0159,0.107,0.103,0.169,126.997,223041,4
Brooks,Lynx,6pK3iM545Mqv3vI5Xmdnzq,40,2018,progressive-house,0.63,0.793,5,-6.624,1,0.0355,0.00138,0.938,0.118,0.337,128.014,208125,4
Rex Mundi,Perspective [Mix Cut] - Original Mix,6faFI4raZkdphZg6RGMfUx,3,2007,progressive-house,0.524,0.979,11,-7.174,0,0.0596,5.87e-05,0.484,0.516,0.0663,136.034,253627,4
Ferry Corsten,Mo Chara,3W2aEQGZtqyX3eTWvSj6Ub,27,2020,progressive-house,0.416,0.962,1,-6.307,0,0.039,0.000515,0.861,0.093,0.187,136.009,268828,4
Pako & Frederik,Organism,3mcS4k3m6NgB0EkMa7iGD4,0,2006,progressive-house,0.577,0.46,5,-17.682,0,0.0381,0.691,0.854,0.135,0.342,120.016,305467,4
Dezza,Xafilah - Roddy Reynaert Remix,2Su0ZHTAbbHQFZEkkyVg0L,0,2009,progressive-house,0.662,0.904,2,-6.984,1,0.0523,0.0278,0.934,0.0403,0.771,128.005,444137,4
Dimitri Vegas & Like Mike,Untz Untz - Coone Remix,1vnJSFjkU4AvvKt0a08xCF,40,2019,progressive-house,0.439,0.975,1,-4.688,1,0.207,0.0087,0.362,0.0468,0.0925,150.1,190071,4
Super8 & Tab,Live For Tonight - Scorz Remix,4RHFjle9srlZWXn7mjEpcj,31,2021,progressive-house,0.595,0.901,5,-5.5,1,0.0424,0.00321,0.00225,0.481,0.361,124.012,160650,4
Medway,Motivo - Medway's Breakbeat Remix,1K750sJAvRCVf58BUI30RY,0,2006,progressive-house,0.766,0.461,4,-13.315,1,0.0584,0.000632,0.894,0.0813,0.726,131.876,538802,4
Lane 8,Clarify - Tinlicker Remix,3ZGFCKDg4mMPOinnjJPO5h,30,2018,progressive-house,0.691,0.777,6,-8.735,1,0.0503,0.0963,0.669,0.0659,0.137,123.992,499476,4
Quintino,Make It Louder,1EGnZyqD5vuRYyORxQPYDN,40,2021,progressive-house,0.267,0.969,2,-5.697,1,0.0472,0.00023,0.225,0.324,0.0339,130.153,157885,4
Hypnotic Duo,Autumnal Logo - Cuddlecake & Bukaca Remix,6sHUd5tBneF8C64pNmK0lx,8,2011,progressive-house,0.792,0.533,10,-9.838,0,0.0975,9.52e-06,0.833,0.0988,0.463,127.018,440315,4
Mat Zo,Hurricane,3B7EhilQhz5r6TubJ7jyfw,16,2013,progressive-house,0.418,0.738,1,-7.292,1,0.042,0.00147,0.0475,0.11,0.231,129.924,315718,4
Borgeous,Zero Gravity (feat. Lights),3yOGd8VH4LzHjmCxpTQ9u1,20,2015,progressive-house,0.617,0.754,4,-6.405,0,0.0388,0.119,0.000157,0.0841,0.0385,130.009,313846,4
Matias Larrosa,Every Time You Move - Original Mix,451xkOEoU0qqBYB7PnLqWS,9,2010,progressive-house,0.794,0.688,1,-6.845,1,0.0605,0.0145,0.901,0.117,0.211,125.003,521385,4
Joel Armstrong,Serenity - Chillout Mix,5Bi3rVUCrEQfoIvDYPa0jw,0,2005,progressive-house,0.572,0.621,1,-9.083,0,0.0337,0.0132,0.9,0.328,0.0644,110.011,483273,4
Marco V,C:/del*.mp3 - Radio Edit,4y1js1CXLaYhvgaAoeDgLN,0,2003,progressive-house,0.596,0.677,7,-10.41,1,0.043,0.0197,0.827,0.109,0.392,139.984,167547,4
Thomas Bronzwaer,Close Horizon - Giuseppe Ottaviani Remix,6eMSQaByabR2U5W663Vt64,7,2005,progressive-house,0.568,0.915,6,-10.299,0,0.0779,0.000137,0.88,0.084,0.784,140.004,516429,4
Circulation,Topaz - Mix B,0SxOvnTA9NVg0Y4IhS9yfE,7,2001,progressive-house,0.624,0.574,6,-11.393,0,0.0315,0.112,0.799,0.133,0.199,130.035,563172,4
Jordin Post,Jupiter,57bJWt9jcma2vUAhvbAY75,37,2022,progressive-house,0.654,0.912,1,-6.78,0,0.0409,0.0174,0.779,0.167,0.078,119.993,229875,4
Markus Schulz,Remember This,5Lhin7S8YJsCBXzgItbx5W,29,2014,progressive-house,0.539,0.914,7,-6.63,0,0.046,0.00138,0.935,0.261,0.18,129.978,177231,4
