artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Sad Novelist,Подивись.,0lgaQZzRzBc4wV3P2AdwYh,35,2021,punk-rock,0.68,0.824,7,-7.577,1,0.247,0.201,0.0,0.258,0.405,149.824,177604,4
New Order,Jetstream - Radio Edit; 2015 Remaster,12bEqaMQnhHi5GZQwUHGJj,17,2005,punk-rock,0.628,0.927,0,-6.114,1,0.0288,0.00233,0.000886,0.266,0.948,120.043,225827,4
The Clan,Irish Rock Jigs,6HDLXgxrpjE4UU7gXs1SrM,15,2014,punk-rock,0.451,0.915,7,-3.84,1,0.0488,0.0237,0.191,0.356,0.614,148.002,242013,4
The All-American Rejects,Mona Lisa (When The World Comes Down) - Demo,1E4YUBtVN43cAN6uNHLaRA,19,2008,punk-rock,0.634,0.518,8,-8.454,1,0.027,0.773,0.0,0.107,0.457,135.95,163520,4
Magazine,Burst - Remastered 2007,0A39JjUf9DmIBTNWgSekxC,17,2007,punk-rock,0.297,0.573,5,-7.942,1,0.036,0.357,0.177,0.679,0.184,135.114,302027,4
Frank Turner,Substitute - Live,6DPHvDswlIwXvUY73FfSud,17,2020,punk-rock,0.538,0.691,9,-7.263,0,0.0582,0.282,0.0,0.942,0.638,92.092,218159,4
Hawk Nelson,What I'm Looking For,3DfGOF3WbVngpCQvzacDO6,15,2013,punk-rock,0.46,0.855,5,-5.467,1,0.0297,0.000456,0.0,0.0831,0.39,96.033,206707,4
House of Heroes,Baby's a Red,0pNpCDIA61uJQ6I7jStXUV,15,2008,punk-rock,0.499,0.809,2,-3.72,1,0.0417,0.0297,1.52e-06,0.22,0.464,140.014,218507,4
Gary Numan,The Gift,7IkUrMFqe4O6aSUbwldwno,27,2021,punk-rock,0.512,0.722,2,-6.185,1,0.0352,0.0343,0.0038,0.0878,0.289,160.023,367067,4
Falling Up,Exit Calypsan (Into The Ice Cave),3rONkeoKmcDZeSdtfCALWF,9,2006,punk-rock,0.394,0.931,4,-5.432,0,0.061,0.000198,0.00407,0.0986,0.57,193.01,290000,4
SadSvit,Сон,37MKudYdNB6OqTszN5vLA6,34,2021,punk-rock,0.515,0.72,5,-7.766,0,0.028,0.00161,0.021,0.257,0.4,140.108,157798,4
The Mighty Mighty Bosstones,Allow Them,6IEf97jWpdMUZDc0dhbnQA,13,2000,punk-rock,0.508,0.925,7,-3.987,1,0.0853,0.016,0.000206,0.131,0.76,181.675,207720,4
We Are Scientists,That's What Counts,4KiuIdXEdzcoGSnBQMlNAj,11,2008,punk-rock,0.518,0.795,9,-6.325,1,0.0374,0.00555,0.473,0.0945,0.346,129.996,259880,4
Los Saicos,Fugitivo de Alcatraz,518MeQ1aMAIsDCqjJoyvYp,20,2010,punk-rock,0.498,0.534,4,-10.4,0,0.0376,0.692,0.0158,0.36,0.779,117.709,172440,4
David Byrne,Horses,1RMhpTkbB6DIIOhS2PKZoM,10,2007,punk-rock,0.411,0.379,0,-19.331,1,0.456,0.839,0.649,0.109,0.0973,96.557,271267,4
Titus Andronicus,Lonely Boy,2Lhrbtk7n5akZqWDAU4ZYw,11,2015,punk-rock,0.374,0.837,2,-3.259,1,0.0546,0.243,2.58e-05,0.0629,0.581,124.102,321141,4
Girlpool,Your Heart,5vF56IBQUs9IwMsoWkQVJx,18,2017,punk-rock,0.554,0.534,9,-8.843,0,0.0238,0.329,0.0917,0.14,0.283,162.142,166558,4
Popcorn,Que Puedo Decir,6pMpdtB8SLYAAKVMz8nP4F,27,2003,punk-rock,0.501,0.761,2,-10.399,1,0.0331,0.000164,9.82e-06,0.105,0.554,95.084,260160,4
The Winking Owl,Chain of Emotions,6TD4IgWz4W3tyyh2MBUY7S,29,2017,punk-rock,0.456,0.904,2,-4.807,0,0.123,0.00205,1.45e-05,0.0904,0.353,160.027,247880,4
Lit,Lullaby,7DAtVSA1IEpSqhvU5VQdq5,10,2004,punk-rock,0.378,0.637,6,-3.638,1,0.0288,0.0943,2.02e-05,0.0976,0.347,148.208,255693,4
The Good The Bad and The Zugly,Staying with the Trouble,5IEwz8sv1mXpwDy6O15WGd,30,2020,punk-rock,0.353,0.933,5,-7.276,0,0.0437,0.000234,0.0,0.353,0.465,148.021,218589,4
LCD Soundsystem,american dream - electric lady sessions,44k17LF5A7uV9qSPTalyv7,29,2019,punk-rock,0.561,0.588,0,-8.901,1,0.0266,0.272,0.00312,0.294,0.285,102.72,363520,3
The Town Pants,Dundee Weaver,7BzgI0mZNSPZTF2imJNpDK,4,2001,punk-rock,0.61,0.86,9,-6.208,1,0.0374,0.0996,0.0,0.0578,0.968,146.328,115693,4
Последние Танки В Париже,Королева гашиша,7jajcXrbOhB3laR25InEkQ,18,2004,punk-rock,0.488,0.909,9,-5.359,0,0.118,0.00464,0.0,0.109,0.616,108.434,61813,4
Seventh Day Slumber,Found,01Pg94NUz5eElEuJQr6pGd,14,2017,punk-rock,0.445,0.754,10,-8.233,1,0.0343,0.00494,0.0386,0.072,0.255,150.075,212262,4
Crossfaith,Truth Of Insanity,3TpFRncJwJ36svkCtEMw2c,17,2020,punk-rock,0.241,0.991,6,-3.741,1,0.176,0.00119,5.24e-05,0.423,0.239,94.422,205000,4
Kaos Etíliko,Quise Verte,7c9qRChB2cfvE1LPNNocoB,38,2000,punk-rock,0.549,0.949,0,-3.071,1,0.0443,7.13e-05,5.94e-05,0.286,0.545,101.76,162667,3
Bloc Party,The Robot and the Psychonaut,7dayUuzNuY8kGehj3sqPrE,25,2022,punk-rock,0.555,0.809,7,-6.316,0,0.146,0.00327,0.0,0.135,0.461,151.024,245953,4
KID DAD,Wire & Guns,2WEb5bbedWsMF0Vkx1Hck4,14,2021,punk-rock,0.487,0.892,4,-6.584,0,0.0338,0.0031,0.00415,0.316,0.429,161.052,220355,4
The Mighty Mighty Bosstones,The Impression That I Get,4tUBXa7Um3l7nCvw6sctdJ,15,2015,punk-rock,0.555,0.951,4,-4.929,1,0.102,0.102,0.00517,0.201,0.668,90.3,193320,4
Larharyhmä,"Tummat silmät, ruskea tukka",7niRSlqeRB1nMGQRPBETSn,9,2000,punk-rock,0.443,0.948,9,-2.95,0,0.0628,0.0345,0.0,0.0514,0.751,170.028,150867,4
The Clash,I Fought the Law (Live at Shea Stadium) [Remastered],4cWISFYi9uIagOxSDRIjWR,22,2008,punk-rock,0.214,0.991,2,-3.181,1,0.168,0.0134,1.5e-06,0.982,0.46,161.98,203560,4
feeble little horse,hold,4sl0nklwxdzbYmUBSgBPpF,18,2021,punk-rock,0.321,0.797,4,-9.427,0,0.0477,0.0537,0.823,0.442,0.558,134.453,180309,4
The Living End,Read About It,0VFrzs6nWTV1e6cd7ZHaYv,9,2000,punk-rock,0.348,0.906,9,-3.954,0,0.115,0.000297,0.000706,0.103,0.429,151.652,194351,4
Elektricni Orgazam,Igra Rok En Rol Cela Jugoslavija,2wNIz02mVcXf52ES8KSaxH,30,2009,punk-rock,0.491,0.782,8,-7.067,1,0.0418,0.47,0.308,0.372,0.783,131.111,253413,4
Liquid Liquid,Scraper,6AJqOfsBIH90osgTf8onWn,19,2008,punk-rock,0.746,0.902,4,-9.793,1,0.0891,0.122,0.83,0.118,0.341,115.382,223480,4
The Aggrolites,What A Complex,5lSAqd1IeLU15J3Ot1eYwK,17,2009,punk-rock,0.751,0.643,5,-6.056,1,0.0397,0.147,5.7e-06,0.0424,0.766,80.985,239680,4
SadSvit,Ніч,6AO4EATlH8p6kiXQzPYGEP,45,2021,punk-rock,0.574,0.784,9,-6.688,1,0.0388,0.00182,0.26,0.283,0.23,165.96,135476,4
Otoboke Beaver,I checked your cellphone,5qzkYYg7WmIj9yJVIglD7n,27,2022,punk-rock,0.264,0.95,5,-1.684,1,0.509,0.321,0.0448,0.117,0.133,216.317,92400,3
Gramofocas,Sempre Que Eu Fico Feliz Eu Bebo,19BMNNjQ3Ou1H9xKtUTmo5,31,2004,punk-rock,0.374,0.917,4,-2.215,1,0.0519,0.000828,1.29e-06,0.108,0.705,140.187,125977,4
Asmereir,Trauma Depresiva,7ms0UXOuTabdp3zyBBTMPj,19,2002,punk-rock,0.246,0.944,9,-4.568,1,0.149,0.078,0.801,0.278,0.25,132.435,182013,4
Sublime,Greatest-Hits,495t6HwnVLwahdKSzRx0Pu,17,2005,punk-rock,0.607,0.598,7,-9.076,1,0.0806,0.0749,0.0382,0.104,0.504,102.449,173707,4
GOOSE,Rock - Radio Edit,2GW7BjeLDq400M13tgVplL,17,2023,punk-rock,0.552,0.62,11,-9.601,0,0.0403,0.0311,0.447,0.638,0.0653,126.928,157072,4
Ratones Paranoicos,Para Siempre Diego,6SGPq0dcHIeD1ybFHuZswe,42,2001,punk-rock,0.475,0.858,6,-3.451,0,0.0314,0.0683,0.0,0.386,0.692,131.631,277920,4
The Smiths,The Draize Train - 2008 Remaster,25M435iPTrMZLjq7JiKIuV,26,2011,punk-rock,0.607,0.98,4,-5.846,0,0.0587,0.000703,0.862,0.181,0.266,122.363,309129,4
The Psychedelic Furs,Sometimes,3E3y2WJS4QQFy9aYMVRQi3,4,2001,punk-rock,0.494,0.799,9,-9.704,1,0.0421,0.000944,0.0073,0.308,0.3,118.439,255000,3
Iggy Pop,Mask,2T86QuXzCf3nW01KvPwqn2,12,2001,punk-rock,0.44,0.98,0,-1.718,1,0.116,8.95e-06,0.000487,0.174,0.476,140.921,173960,3
The Dreadnoughts,Leonard Cohen,6nnOh3bassBjogelOsqS7m,19,2007,punk-rock,0.316,0.977,6,-3.315,0,0.0834,0.000194,0.00194,0.162,0.852,100.751,255773,4
Iggy Pop,"Gold - From The Original Motion Picture Soundtrack ""Gold""",04AJSn0D3BHwT8FQ9q5FVp,33,2017,punk-rock,0.582,0.538,9,-11.939,0,0.0276,0.208,0.164,0.0966,0.437,106.929,192853,4
