artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bad Brains,I And I Rasta,76jWA75URG4KsVaA7ufM8L,22,2006,punk,0.723,0.443,9,-13.483,0,0.052,0.00343,0.256,0.0843,0.76,129.804,205160,4
Falling Up,Contact,6UH8cs6VFdFlUcGYjTbWt6,22,2005,punk,0.414,0.824,1,-6.169,0,0.0384,0.317,0.0,0.14,0.23,160.188,240027,4
Arrows in Action,M.J.F.,4OCJNn7to3vHhScdnUQEsA,35,2017,punk,0.611,0.919,9,-4.209,1,0.0384,0.000823,0.0,0.289,0.531,138.098,181957,4
The Coathangers,Don't Touch My Shit,20xK4g47P82ogvQaELi9FY,24,2007,punk,0.54,0.904,2,-5.99,1,0.0821,0.00015,0.266,0.124,0.673,77.844,116213,4
Against The Current,that won't save us,6MlQJCjsxksoruwsgKfLMe,49,2021,punk,0.472,0.843,6,-5.904,1,0.0431,4.52e-05,1.75e-05,0.0804,0.37,155.059,200916,4
Billy Talent,Devil in a Midnight Mass,5ijUeMqvd48N5EoT8Pk3v0,0,2023,punk,0.461,0.931,2,-5.009,1,0.0839,0.000127,2.5e-06,0.258,0.541,178.005,171867,4
Street Dogs,Tobe's Got a Drinking Problem,1wfxVR7imSo86DlsRUMZpO,30,2006,punk,0.276,0.964,2,-3.474,1,0.0952,0.0136,0.0,0.0696,0.402,177.918,220027,4
The C.I.A.,Impersonator,2odisK3KJX3mtLtilbWVt1,31,2023,punk,0.724,0.737,11,-9.152,0,0.0801,0.00534,0.593,0.171,0.808,130.294,198973,4
Green Day,Drama Queen,01u7qKInOoy8IFudrraGOy,34,2012,punk,0.657,0.633,0,-5.508,1,0.0259,0.0491,0.0,0.103,0.347,109.008,187533,4
Tsunami Bomb,5150,2DG7h1mwPF6ypDuiD7xhtf,17,2004,punk,0.416,0.974,6,-2.716,0,0.0562,1.07e-05,0.0243,0.11,0.793,188.007,164787,4
Koffin Kats,V8 Nightmare,0GO9PMjA4J4cv9AYxqgY7t,30,2004,punk,0.283,0.976,7,-5.523,1,0.187,0.00356,3.92e-06,0.135,0.175,156.525,99933,3
Molchat Doma,Тишина,3Nh0TAiEo6CPSbmZuaxN5k,41,2017,punk,0.473,0.42,0,-11.014,1,0.0355,0.453,0.863,0.118,0.442,109.881,259631,4
Ryan Oakes,FUNERAL,6RcicUFcs5H3gLy4MCieJH,45,2022,punk,0.539,0.969,11,-1.988,1,0.0583,0.0189,0.000121,0.374,0.641,160.036,135000,4
Ryan Oakes,HEAVYWEIGHT,6bAx3WfHbtY4LjuS7tdCPK,49,2022,punk,0.522,0.9,2,-3.34,1,0.265,0.000605,0.0,0.386,0.409,163.131,169325,4
Madina Lake,Hey Superstar,4uQtV7mTVIdZ9VgsNxzZzM,19,2011,punk,0.357,0.971,7,-4.704,1,0.0789,0.00143,0.0,0.103,0.298,170.101,189320,4
LØLØ,hurt less,2FhzneTjsV0HR4lXNJTTyI,42,2021,punk,0.612,0.713,7,-2.887,1,0.0415,0.0297,0.0,0.222,0.729,133.992,165916,4
Green Day,Outsider,4LE1xYuDDjF8Mf6id5Wk2s,32,2002,punk,0.503,0.97,11,-3.362,0,0.0361,0.000185,0.0,0.352,0.869,95.115,136867,4
american poetry club,KMD (And You Are Ever So Dear in Our Hearts Because of It!),6syTTGh4xScpX59GOPeNDi,38,2018,punk,0.226,0.553,11,-11.461,0,0.0398,0.000681,0.00567,0.105,0.292,182.613,226500,3
Me First and the Gimme Gimmes,Ain't No Sunshine,2PQRBJvYNkMZTAZTBSfWgq,33,2003,punk,0.324,0.949,9,-5.496,0,0.065,0.000129,0.000749,0.386,0.645,126.71,104640,4
William Beckett,Stuck in Love (feat. Ryan Ross),0KZps5gQKMxWtYMLwcnpzd,30,2012,punk,0.56,0.865,9,-4.446,0,0.0653,0.0633,0.0,0.33,0.754,157.008,177627,4
Angels & Airwaves,Into The Night,2KximoxUZKkoFtZM5NKq0A,21,2015,punk,0.369,0.977,2,-4.008,1,0.24,0.000282,7.82e-05,0.0888,0.266,163.954,259995,4
Delta 5,Shadow,3WLxWQTE7bIYQ6ceZww7Mm,24,2006,punk,0.59,0.922,5,-8.277,0,0.222,0.0467,0.0181,0.867,0.697,85.367,160200,4
Patent Pending,Livin' La Vida Loca,7IjMP24M3D3vIFcKhrt2kJ,43,2017,punk,0.399,0.832,11,-4.604,1,0.0579,9.04e-05,0.0,0.373,0.819,177.991,222309,4
Billy Talent,Swallowed up by the Ocean,4AqahfcjCKzfZYgVQHs3hh,18,2012,punk,0.582,0.885,2,-4.725,0,0.0361,0.0059,0.0,0.17,0.181,112.035,302671,4
Anti-Flag,911 for Peace,4CrufimpcYAOqighojrziP,32,2002,punk,0.631,0.945,8,-4.497,1,0.0577,0.0104,0.00103,0.318,0.567,93.04,214600,4
MOD SUN,Delusional Confidence,6XxELW7Ldyt4j26r3BcuXP,40,2023,punk,0.508,0.456,4,-9.361,1,0.0325,0.771,0.0,0.162,0.293,134.976,222815,4
Zveri,Танцуй,0iOQWMVvNGFCWTpcXNxFyQ,37,2006,punk,0.67,0.763,7,-5.56,0,0.109,0.0258,0.0,0.0311,0.634,110.066,191347,4
Sir Reg,Drink Up Ya Sinners,3PYxwHBIbZXaSdgmWu4Njo,43,2010,punk,0.425,0.991,8,-2.042,1,0.127,0.00271,0.0013,0.323,0.694,184.041,165653,4
The Interrupters,Outrage,5t2OI5jm7ujn3QirMeBzhf,31,2018,punk,0.414,0.971,9,-3.563,1,0.123,0.00287,0.00356,0.347,0.582,157.93,111200,4
Green Day,"Jaded - Live at the Electric Factory, Philadelphia 11/14/97",1pyX0o2jrjdNKYWfZef94l,28,2023,punk,0.152,0.997,8,-4.438,1,0.443,0.00442,0.000174,0.691,0.353,166.932,146938,4
Me First and the Gimme Gimmes,Nothing Compares 2 U,5ZhuP7JcLo4ytzFK0xpQN7,38,2003,punk,0.414,0.604,0,-6.713,1,0.0677,0.00113,0.000567,0.0795,0.663,173.111,161533,4
Sum 41,Sick Of Everyone,1lQmSh729NT4nWjfwoYFzq,36,2011,punk,0.374,0.975,2,-4.809,1,0.288,0.000424,0.000536,0.361,0.145,177.99,185040,4
blink-182,Parking Lot,64uZdV31gETtp8Pmg1KvWj,40,2017,punk,0.445,0.947,2,-2.513,1,0.124,0.00389,0.0,0.189,0.768,184.988,166227,4
Masaki Suda,美しい生き物,3t46ulIN8TXM4LKrx7URtV,45,2023,punk,0.527,0.539,9,-6.053,1,0.0254,0.0223,8.4e-06,0.0669,0.465,89.914,328213,4
Green Day,"Are We the Waiting - Live at Milton Keynes National Bowl, Milton Keynes, England, 6/18/05",4UU2LPhmd3X5LgcJOzzh1W,32,2005,punk,0.404,0.837,9,-3.944,1,0.0372,0.0159,0.0,0.539,0.535,110.563,169240,4
This Way To The Egress,6 Count Swing,1hrTbdDgxlNDXm7EdfqYT1,26,2013,punk,0.464,0.638,9,-5.43,0,0.0433,0.563,0.0,0.577,0.552,97.179,220864,4
Sleater-Kinney,Surface Envy,7p2T6ivlXN6n79DBfg8Lrv,24,2015,punk,0.424,0.971,9,-4.191,1,0.0593,0.000305,0.0336,0.167,0.618,136.179,186547,4
The Garden,Who Am I Going To Share All Of This Wine With?,2JoSSnUIv4Gwn2UmzuO0mh,39,2018,punk,0.401,0.934,0,-4.532,1,0.111,0.000634,3.99e-05,0.117,0.498,170.966,209000,4
Flogging Molly,The Croppy Boy '98,2CWkqpWpKmWmbCWdSFYacr,41,2022,punk,0.474,0.821,11,-4.42,0,0.0407,0.00116,0.0,0.201,0.493,99.147,189520,1
Bad Religion,To Another Abyss,4Am38rTBjlpzITIhHzdjOr,28,2004,punk,0.45,0.96,10,-2.603,1,0.0441,0.000457,2.43e-05,0.361,0.602,174.875,247640,4
3 Inches Of Blood,The Phantom of the Crimson Cloak,6RBAekSEdk1gXkXNx17NVU,18,2004,punk,0.441,0.938,0,-2.89,1,0.041,1.59e-05,0.0584,0.117,0.393,96.583,191493,4
WANIMA,いいから,6D4zWoCHkdvHhBHwp1Rdy6,32,2015,punk,0.565,0.934,2,-2.834,0,0.0574,0.000496,0.0,0.0705,0.825,87.536,196573,4
Scrum,Under The Scotsman's Kilt,7BRbep9wocbmX5NR4XdoWL,22,2012,punk,0.608,0.776,7,-4.616,1,0.0347,0.0349,3.62e-05,0.188,0.687,130.019,193440,4
Gogol Bordello,Sun On My Side,38HA5fKonyUsxqpphtPv9x,21,2010,punk,0.641,0.433,6,-6.617,0,0.0326,0.487,0.000188,0.12,0.678,83.932,264773,4
Kino,Пачка сигарет,53kxsvJn2jL6Cs17yK6Tok,43,2017,punk,0.584,0.803,2,-9.208,1,0.0277,0.0993,0.00881,0.537,0.63,174.888,268120,4
jxdn,Angels & Demons,6qedDVYANvC80nEYLA5rTG,0,2023,punk,0.554,0.8,8,-3.936,1,0.0395,0.119,0.0,0.629,0.463,115.056,160120,4
Streetlight Manifesto,Toe to Toe,4dBD086ylvQIRSQQvOoZSk,38,2013,punk,0.546,0.511,7,-6.447,1,0.0558,0.122,9.27e-06,0.27,0.417,170.056,262307,4
Electroforez,Зло,1qGPbG1mOhZaCWr3VyGCwD,46,2021,punk,0.63,0.759,9,-6.789,0,0.0279,0.00127,0.0232,0.638,0.429,124.992,223811,4
The Cure,Underneath The Stars,0PKVjYlKw7z3IvKAoxrYTR,46,2008,punk,0.498,0.779,9,-5.008,1,0.0356,0.097,0.362,0.184,0.317,129.974,376587,4
Streetlight Manifesto,"Day in, Day Out",7aXtTsdqPmc2AKldnkDpj9,28,2006,punk,0.378,0.912,2,-3.751,1,0.207,0.00146,0.0,0.24,0.548,142.748,202480,4
Green Day,Worry Rock,1o46UN1W4t6calpR4OL5ku,37,2023,punk,0.342,0.975,4,-3.458,1,0.0635,0.000615,0.0,0.126,0.779,145.059,146787,4
The Garden,Grass,6jDzP1tCy1MaHh2NFLaZoX,33,2013,punk,0.255,0.977,9,-5.679,0,0.155,0.0317,0.148,0.23,0.203,99.602,83960,4
Anberlin,The Undeveloped Story,3fCFYjXTupLPMCgkDya6KO,24,2003,punk,0.452,0.95,10,-3.689,1,0.0599,0.000192,0.000154,0.0471,0.674,164.647,207880,4
Utro,Души Стареют Быстрее Тел,4G3BtihkFsXMx88KHnIsgM,34,2010,punk,0.256,0.457,6,-11.896,1,0.0339,0.414,0.9,0.0958,0.115,170.167,150231,4
David Byrne,Here - Live,2LcQIG1rVBPqpcC9i4fIFH,29,2019,punk,0.435,0.587,9,-7.815,1,0.0318,0.0551,0.0133,0.8,0.209,109.983,258827,4
Ryan Oakes,THE AMERICAN DREAM,3FSxSPFLwvVUMjTjFo9Von,38,2022,punk,0.481,0.925,2,-3.207,1,0.0561,0.000642,0.000626,0.176,0.599,163.932,182622,4
Loveless,Someone Else,2t52LXtpJ6mfoUNg0cbn3w,54,2021,punk,0.44,0.872,7,-4.9,0,0.0792,0.0102,0.0,0.13,0.389,159.854,176655,4
Forth Wanderers,Selfish,4Ubv15YM60WOnQzONOH4Pu,26,2014,punk,0.52,0.827,2,-2.347,1,0.0272,0.42,0.000308,0.136,0.538,105.013,209346,3
Ratboys,Down the River,6VNqxH6zF7nTsE8KdfyQCE,33,2021,punk,0.667,0.564,3,-7.941,1,0.0278,0.656,0.000517,0.117,0.87,138.003,153920,4
Au Pairs,It's Obvious - Single A-Side,61taEvx4srt1n6JHBWzfHW,27,2006,punk,0.76,0.693,7,-7.24,1,0.0487,0.00063,0.000533,0.0789,0.831,140.418,344093,4
The Weight of Atlas,All The Things She Said,4xI7vrP9ypjd11NnMhl62p,39,2021,punk,0.462,0.902,1,-3.987,1,0.0607,0.000939,0.000601,0.179,0.294,174.104,240345,4
All Your Sisters,Tension,4DTy8AAQpHp1fQjo4O2iAx,27,2014,punk,0.553,0.657,4,-10.343,0,0.0371,3.2e-06,0.839,0.167,0.0352,125.023,224893,4
Pardoner,Came Down Different,0lCLHqAq59xSx4Y5X21F0f,34,2021,punk,0.216,0.84,1,-6.038,1,0.0769,0.000103,0.513,0.273,0.334,157.433,206676,4
Bowling For Soup,No Hablo Inglés,4k0w8TI2MiIe5CuGeQG6VQ,29,2009,punk,0.606,0.799,9,-3.663,1,0.0468,0.00194,1.14e-06,0.217,0.904,136.039,210333,4
Tiger Army,Through The Darkness,04wmRk6OTKydthiFXR8D0E,31,2004,punk,0.507,0.928,6,-4.042,0,0.0425,0.00182,0.000349,0.121,0.939,89.969,185227,4
Dirt,Hiroshima,79TOzQZQGXFw5m4CoRRCo6,26,2011,punk,0.44,0.763,0,-9.179,1,0.0793,0.0258,0.0214,0.51,0.515,162.264,96800,4
The Cure,The Exploding Boy,72MBbRFInDYQ8IJKkTZZYj,31,2005,punk,0.319,0.881,10,-3.421,1,0.0568,0.00647,0.0,0.0973,0.547,141.369,174693,4
