artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Tommy Roe,Sing Along With Me,333fBWrLeVkYf7uf3LwSLo,3,2001,rock-n-roll,0.619,0.679,1,-6.371,0,0.0388,0.0676,0.0,0.0866,0.935,117.351,168413,4
Los Sleepers,No Te Puedo Soltar,2ehGgqZ02ccZDIEpA7fe7J,0,2015,rock-n-roll,0.698,0.606,0,-14.922,1,0.185,0.255,0.161,0.487,0.706,155.995,249840,4
Johnny Preston,Cradle Of Love,70DlP1QUULGvnGIMs0s9nm,9,2019,rock-n-roll,0.607,0.481,6,-11.659,0,0.0931,0.727,4.37e-06,0.192,0.775,85.411,145293,4
Elvis Presley,For The Good Times - Version 5,4eDNZ0SagifC7AUzYlaJBB,16,2022,rock-n-roll,0.457,0.184,5,-21.793,1,0.0462,0.887,0.117,0.146,0.42,106.516,201840,4
The Maharajas,Weekend Sparks,4k5vWL8S9FTDnJM3Fjuru1,0,2006,rock-n-roll,0.232,0.905,9,-2.35,1,0.0637,8.37e-05,0.000179,0.0613,0.615,136.497,190413,4
Los Apson,Las quinceañeras,5JTjQF23nc4kS1oECSEuag,3,2020,rock-n-roll,0.581,0.688,9,-6.634,1,0.0406,0.446,0.0,0.1,0.964,162.744,124032,4
Rafael Vázquez,Enamorado De Ti,4ENv8Bkyx5lBdFl4yNtriY,0,2010,rock-n-roll,0.534,0.34,5,-10.162,1,0.0333,0.833,0.0,0.22,0.501,112.19,167671,3
Alberto Vazquez,Dorada Luna,4oBf631CAYIWte9JKUAPrK,15,2023,rock-n-roll,0.302,0.246,5,-13.981,0,0.04,0.451,1.61e-06,0.311,0.192,126.526,198711,3
Roberto Jordan,Indio Tracalero (Indian Giver),1gmdCgAxZcuuzj8M4YYGGj,3,2001,rock-n-roll,0.691,0.767,11,-9.843,1,0.037,0.631,0.0,0.196,0.875,126.336,159200,4
Ramon Marquez,Moliendo Café,1mRo2DqYRkchxYHMg6ng2u,26,2008,rock-n-roll,0.775,0.658,9,-7.975,0,0.0598,0.736,0.128,0.0715,0.7,142.235,187861,4
The Chiffons,"Dream, Dream, Dream",0FXETVmQZ3CwswcXqo2BGY,16,2019,rock-n-roll,0.553,0.648,11,-8.432,1,0.0433,0.81,0.00675,0.13,0.886,129.282,165413,4
Marco Antonio Muñiz,Medley - Álvaro Carrillo,7F0lhiyiLKFDLOnhLRMzsQ,16,2014,rock-n-roll,0.38,0.736,5,-4.199,0,0.073,0.656,0.0,0.928,0.293,97.461,438213,4
Johnny Laboriel,Bote de Bananas,3L7COtw1VtOrSJDdKKZIc0,4,2013,rock-n-roll,0.535,0.719,0,-4.947,1,0.0396,0.781,0.0,0.304,0.58,134.736,165642,4
Elvis Presley,Miracle of the Rosary - Take 1,4MznSeCCfAJFvkQ0g6aHvi,10,2021,rock-n-roll,0.292,0.228,11,-15.24,1,0.0525,0.895,0.0123,0.111,0.397,175.002,136960,4
Chuck Willis,Stop and Think,1aSKVssCfMs3AM0XLMfxKM,3,2005,rock-n-roll,0.592,0.402,3,-10.174,1,0.0305,0.894,0.00289,0.139,0.593,115.193,170320,3
Los Teen Tops,Problemas,3wt9sSMcqwqCzwIfO1GU3Y,14,2008,rock-n-roll,0.686,0.429,5,-8.295,1,0.0965,0.405,0.0,0.0785,0.752,110.092,143647,3
Los Pasteles Verdes,En Mi Viejo San Juan,3gKTA5lr6bR7F2PlewC8RQ,23,2015,rock-n-roll,0.584,0.458,9,-9.448,1,0.0343,0.345,7.95e-05,0.211,0.566,95.109,223428,4
Enrique Linares,Italianita,6VvYfPoWJizTz6DoylNoym,8,2011,rock-n-roll,0.418,0.467,6,-9.256,1,0.0281,0.365,2.99e-05,0.176,0.696,82.303,146173,4
The Spencer Davis Group,Gimme Some Lovin',5T44mpl5IVTMKvcfBo8D5A,11,2019,rock-n-roll,0.501,0.752,7,-7.242,1,0.0352,0.115,0.205,0.387,0.583,147.515,176067,4
Johnny Burnette & The Rock 'N' Roll Trio,Please Don't Leave Me,19qreUBa09I8nSgFZjI6oZ,13,2004,rock-n-roll,0.603,0.822,0,-7.678,1,0.0389,0.705,0.00059,0.372,0.928,94.706,135800,4
Frankie Ford,Adeste Fidelis,1ZsTVxTOdjjhYy6W0QCDSq,0,2006,rock-n-roll,0.226,0.363,0,-5.706,1,0.0322,0.933,0.0,0.292,0.297,88.452,210533,4
