artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
The Movement,Redwoodz (with Iya Terra),4RePwNKkOAqL2sz1IEiyws,43,2019,rock,0.698,0.766,11,-5.937,0,0.0348,0.0399,1.95e-05,0.291,0.416,143.935,233333,4
Fleetwood Mac,Say You Love Me - 2002 Remaster,2sNQ6OwgdsIwdhGRa3LXlI,30,2002,rock,0.716,0.8,9,-6.581,1,0.0297,0.0159,0.0155,0.0742,0.931,128.767,243467,4
Rehab,Walk Away,75Jp4v7yJeZFvCQyuMlXFo,34,2005,rock,0.758,0.729,7,-6.635,1,0.174,0.328,0.0,0.176,0.532,89.973,219587,4
Iya Terra,Give Thanks (feat. Stick Figure),38kPL6TNtdNp871jAsVW1r,56,2017,rock,0.746,0.675,0,-7.891,1,0.0361,0.583,0.000155,0.107,0.652,139.979,216477,4
Mundy,Galway Girl,6YSwWeCnDXEbQ7M2SA0GF8,50,2011,rock,0.272,0.95,4,-8.478,1,0.13,0.00399,0.0892,0.968,0.238,92.976,240453,4
Rebelution,2020 Vision (feat. Kabaka Pyramid),2rIPa2SPXybqxFySqQ4MIN,40,2021,rock,0.776,0.706,3,-6.978,0,0.14,0.00746,1.49e-06,0.0897,0.839,150.956,203474,4
Everlast,Folsom Prison Blues,2CJYv37IEbvbACWgI8IeHx,38,2013,rock,0.517,0.885,1,-4.082,0,0.0379,0.000161,3.9e-05,0.37,0.685,100.62,207435,4
The Kooks,Ooh La,6xqCTPxYnRf8X0p6N5Vw2T,43,2006,rock,0.543,0.873,10,-5.159,0,0.0803,0.0165,9.45e-05,0.15,0.786,150.891,208973,4
Bitty McLean,The real thing,46PucNRuGWY4BjIZhGOqjf,43,2009,rock,0.692,0.615,4,-9.243,0,0.0618,0.0129,0.000217,0.127,0.521,81.427,238253,4
Fort Minor,High Road (feat. John Legend),2YdrFOfNZeKdQOUYw9duoA,48,2005,rock,0.743,0.897,9,-4.525,0,0.0649,0.32,3.43e-06,0.0455,0.92,99.985,196520,4
Colbie Caillat,Bubbly,1rmkUpbBC4ptSjqx2LeKZ1,1,2023,rock,0.685,0.514,9,-6.315,1,0.0384,0.619,0.0,0.11,0.25,127.911,198360,4
Jon Pardi,Borrowed Time,3kPWlLtHjP0jO18AaPQzsz,43,2015,rock,0.647,0.58,8,-7.647,1,0.0316,0.123,0.0,0.151,0.199,85.083,195680,4
Matchbox Twenty,Disease,4OepLJ2fUvHRmVB8XklIe8,46,2013,rock,0.541,0.833,8,-4.647,0,0.0583,0.0187,0.0,0.143,0.84,115.052,219360,4
Rojo,Eres Todopoderoso (Bonus Track),7r6AD8tFiPl4tHq20znjwg,47,2007,rock,0.599,0.831,11,-5.973,0,0.03,0.0949,0.0222,0.0826,0.615,129.973,254977,4
We Lost The Sea,Nuclear City,5uCLvxaJVHAn82wiHpCEpq,43,2012,rock,0.505,0.0839,1,-19.878,0,0.0331,0.98,0.777,0.125,0.0511,72.463,133640,4
Stephen Marley,The Traffic Jam,7AWy7RVEKP34N3VCMdokSU,42,2007,rock,0.799,0.634,1,-7.136,0,0.371,0.448,0.0,0.0706,0.723,94.884,220613,4
