artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Zhanna Bichevskaya,Rus' svjataja zovjot,6YWWLKlnjdyxQYjjI993wi,0,2007,romance,0.47,0.552,10,-6.469,1,0.0274,0.668,0.0,0.102,0.587,119.222,193686,4
Rashid Beibutov,Xəzər Şəfəqləri,0n7ipVQta9debNhWeCa2fJ,0,2001,romance,0.439,0.32,10,-10.913,0,0.045,0.991,0.00617,0.374,0.694,91.16,170107,4
Vadim Kozin,Зачем было влюбляться,7ogaDcnnub8bkiVzQIPLDX,0,2014,romance,0.521,0.216,7,-10.953,0,0.0644,0.994,4.19e-06,0.187,0.612,92.201,126245,3
Vadim Kozin,Ja vas ljubil,7evXhzHCou8Ejaf0Z6PgxI,0,2015,romance,0.527,0.178,0,-13.122,0,0.0985,0.981,2.66e-05,0.148,0.317,66.944,165253,3
Gruppa Express,Шумел камыш,5qiumiWYzPNPj8nzszMzLM,3,2020,romance,0.535,0.487,3,-5.777,0,0.0272,0.795,0.0,0.115,0.414,134.011,252090,3
Nikolay Nikitskiy,Priznaysja mne,4F2INSqNdoEHXxrb4HsUV3,0,2002,romance,0.517,0.344,11,-9.691,0,0.0394,0.846,8.86e-06,0.297,0.555,124.404,170814,4
Zhanna Bichevskaya,Letjat utki,3xdurxJIlTZMdDm39yXWNo,0,2007,romance,0.262,0.0372,7,-15.571,1,0.0483,0.944,0.000812,0.47,0.226,83.364,266765,1
Maya Kristalinskaya,Val's o val'se,0Q1LedvpVqYA9WfuIwzlCu,1,2001,romance,0.297,0.418,9,-6.856,0,0.0323,0.975,6.53e-06,0.153,0.295,100.155,213537,3
Vika Tsyganova,Крым,2M9ZsVCCcxyy3w3uwCoNlw,0,2017,romance,0.693,0.675,11,-6.518,0,0.0336,0.244,0.0,0.533,0.571,124.946,222662,4
Nikolay Erdenko,Ja v lesu,1DBkGLobhfXKfQTOQGtmvj,0,2005,romance,0.175,0.367,0,-12.453,1,0.0447,0.946,0.0306,0.23,0.199,54.064,197548,3
Vadim Kozin,Зачем было влюбляться!,481zVTOLVnOhL4PphpYwJ8,0,2014,romance,0.535,0.376,7,-7.734,0,0.0438,0.994,1.3e-05,0.268,0.624,135.588,124620,4
Tatiana and Sergey Nikitin,Blue color,2jnwIZFTdiQ7Yh0PT5ywjc,1,2012,romance,0.68,0.026,9,-25.801,1,0.0618,0.969,0.163,0.117,0.526,120.599,157205,4
Georgi Vinogradov,На полянке,0U1tvJTKR1PHucnIcnDU7O,0,2021,romance,0.506,0.167,9,-13.409,0,0.0723,0.892,0.000668,0.194,0.597,134.886,190920,4
Maya Kristalinskaya,Ogljanis',0hx0OuVEQhbz2zo7aHagI5,0,2001,romance,0.422,0.43,2,-8.136,0,0.0337,0.85,0.0,0.345,0.645,97.186,154405,4
Павел Михайлов,Тебя здесь нет,6qhXU9inwgnidEyWc2by0C,1,2021,romance,0.424,0.211,4,-14.871,0,0.0358,0.981,0.035,0.16,0.522,124.443,180933,4
Кето Джапаридзе,Роследнее Письмо - Remastered,0st5c29IDfRSjkJsnmVTGT,0,2013,romance,0.293,0.239,4,-14.107,0,0.0555,0.993,0.777,0.499,0.196,79.624,189100,3
Сергей Зыков,Твои следы,6S9MdDD9WGs0yoh2yupMX1,0,2020,romance,0.256,0.525,1,-7.369,1,0.0471,0.943,4.32e-06,0.544,0.27,84.51,250067,5
Ivan Rebroff,Wdol Po Piterskoj,3dHdkqWU0irLY8BMp1TyEo,0,2015,romance,0.161,0.5,10,-10.52,1,0.0352,0.595,0.013,0.172,0.313,178.492,196907,3
Vika Tsyganova,"Калина красная - Live at Crocus City Hall, Moscow, 2018",5RIncksHYWJHbI7xRFfuc6,0,2021,romance,0.605,0.507,10,-11.24,0,0.0311,0.393,1.52e-06,0.744,0.364,95.103,294312,4
Nikolay Kopylov,"О, если б мог выразить в звуке...(If I Could Express in A Sound...)",0nIHu4Ay7xrgwqPDhWTrri,0,2008,romance,0.38,0.352,6,-8.775,0,0.0428,0.989,0.0561,0.0893,0.17,80.357,105120,5
Rashid Beibutov,Azərbaycan - Canlı Ses,2b97AkL6COKIu8djxGY7iI,0,2001,romance,0.341,0.763,10,-11.931,1,0.388,0.91,0.215,0.919,0.402,81.485,270400,4
Иван Петров,"Boris Godunov, Act IV Scene 2: ""Tsarevich skorey!""",4cCD0bV8NXVA52wFWfJ7dN,0,2003,romance,0.205,0.115,8,-22.21,1,0.0423,0.985,0.494,0.322,0.0917,140.523,46500,3
Feodor Chaliapin,"Glory to thee, o God (sung in russian)",220klqeYWqTUu9uIhOTM6o,0,2006,romance,0.295,0.29,5,-13.13,1,0.0319,0.964,0.514,0.196,0.235,139.355,259533,1
Lyudmila Zykina,Жди меня,6ButSuYHBx7EOaTSyF6q0c,0,2014,romance,0.355,0.34,10,-8.923,0,0.0378,0.988,0.0,0.108,0.125,88.876,178514,4
Boris Shtokolov,"Слушайте, если хотите (feat. Сергей Яковлев)",1qvhjpaeW6tWLnvp6nc3ol,0,2017,romance,0.401,0.217,7,-13.255,1,0.0442,0.986,3.75e-05,0.0965,0.21,133.794,156280,4
Gelena Velikanova,Molchanie,04q00HhZgv3QsUSMUCCrtB,0,2005,romance,0.691,0.249,9,-12.434,1,0.144,0.98,0.00172,0.138,0.844,110.26,62724,4
Pyotr Leshchenko,Ne pokiday,4O6jzdeh7HBxnWPrMQvs5T,0,2001,romance,0.538,0.229,7,-13.258,0,0.0946,0.964,0.000387,0.136,0.343,116.333,209310,3
Klavdiya Shulzhenko,"Я спешу, извините меня",21svzECgkiM6pomLC3qPw2,0,2006,romance,0.511,0.237,8,-17.658,0,0.0816,0.978,4.06e-05,0.71,0.44,112.542,165160,4
Сергей Захаров,Тайна,7BQurVj44dACIS1kcein6l,0,2006,romance,0.459,0.819,7,-3.99,0,0.0582,0.0773,0.0,0.0434,0.882,115.639,134533,4
Boris Shtokolov,Вечерний звон,35fXLEkCzyQJg0DET8wvhh,0,2006,romance,0.226,0.421,6,-12.479,1,0.0854,0.926,0.364,0.348,0.0726,97.329,327493,3
Alexander Vertinsky,Жёлтый ангел,7Ksz4510MczzfGE2NyTkvo,2,2022,romance,0.509,0.022,0,-19.266,0,0.0694,0.995,0.0185,0.18,0.24,75.888,334705,4
Vika Tsyganova,Золотые Георгины,3blSBAdouEKlLs5swIEbtb,0,2013,romance,0.653,0.716,0,-4.827,0,0.0337,0.44,0.0,0.0701,0.8,104.935,244093,4
Nikolay Erdenko,The Merchant Went on the Market,7i9l4VASCiYNd6lmdlwuzL,0,2021,romance,0.672,0.534,4,-14.0,0,0.069,0.715,0.0,0.161,0.742,110.516,158307,4
Rashid Beibutov,Bizim Şəhər,6AHK3U9ou5m6bgVM6V3YDs,0,2001,romance,0.359,0.407,5,-13.274,0,0.0351,0.916,0.0,0.196,0.541,152.504,301293,4
Georgi Vinogradov,Марш трудовых резервов,1sE5sJiVOVPkHiSZJGcyhP,0,2014,romance,0.646,0.424,7,-13.548,1,0.0482,0.97,0.0,0.576,0.88,127.169,137763,4
Georgi Vinogradov,Ленинские горы - 2022 Remastered,4ojnIQi8Ho2JjToLgBHa2k,0,2022,romance,0.489,0.0696,7,-14.788,1,0.0608,0.986,0.0,0.301,0.555,81.674,146667,1
Maya Kristalinskaya,Листья Кленов - 2022 Remastered,2jUWOlMEGFUyjJHO8eTRpQ,0,2022,romance,0.626,0.372,3,-13.093,1,0.0797,0.932,0.00041,0.267,0.935,90.853,108120,4
Sergei Lemeshev,Дуня-тонкопряха,1FaAGntnYgX126ABuT8sL5,0,2000,romance,0.597,0.195,9,-18.32,0,0.0749,0.97,0.527,0.103,0.739,113.737,112813,4
