artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Tommy Olivencia,Primero Fui Yo,7cg3MNhx6lsGkkZ1UkG0ed,31,2013,salsa,0.765,0.722,0,-5.74,1,0.0311,0.343,6.96e-05,0.0437,0.964,97.389,292507,4
El Gran Combo De Puerto Rico,Un Verano En Nueva York,2Gw1Wkdoqvj00oYXHtNvq8,22,2022,salsa,0.547,0.895,7,-3.405,0,0.0518,0.342,4.79e-06,0.309,0.93,106.006,293291,4
Combinacion De La Habana,Hola,0d0AszIAw1c036YHoErEQQ,30,2020,salsa,0.568,0.951,0,-6.503,0,0.0658,0.0732,0.0,0.0869,0.748,200.019,202717,4
Willie Colón,El Entierro,5m1LVP99isVxF9VTdCWZHP,16,2010,salsa,0.655,0.628,5,-9.644,0,0.0415,0.768,0.000294,0.0606,0.906,98.473,325000,4
Eddie Santiago,Que Duro Me Pegó Tu Amor,7hdOsOGs4xrMYVJ83XXmzg,8,2019,salsa,0.838,0.844,1,-3.729,1,0.0451,0.653,1.98e-06,0.12,0.965,100.023,277173,4
"José Alberto ""El Canario""",Discúlpeme Señora - En Vivo,7mBvCqykB8AVsSLqyMKIM3,20,2012,salsa,0.672,0.718,10,-5.338,1,0.0373,0.642,0.0,0.0769,0.932,102.93,299933,4
El Gran Combo De Puerto Rico,Viva Puente,0KVst2kUtJFEaCvJ5el8Oh,16,2001,salsa,0.724,0.834,9,-2.584,0,0.0567,0.408,9.96e-05,0.0378,0.968,102.159,318160,4
David Kada,A Lo Loco,26vGr2Ua7rwWtzSnXUP3V1,7,2021,salsa,0.864,0.774,0,-6.265,0,0.0444,0.771,0.000109,0.106,0.965,92.027,256444,4
Tito Nieves,De Mi Enamórate - Live Version,6U5U7lmwo7oP4eQ8ro3V7q,37,2013,salsa,0.494,0.87,5,-3.743,1,0.0932,0.34,4.02e-06,0.954,0.357,97.883,270253,4
Hansel Y Raul,Bailala Pe'Gaita,5zUiwTnFjbmThXSatG1yeB,11,2002,salsa,0.749,0.748,8,-5.199,1,0.034,0.182,1.33e-06,0.0428,0.965,90.423,243066,4
Pochy Y Su Cocoband,Pa' Gozá,7vU00Wte7AfvE0aKkXSZfY,7,2007,salsa,0.628,0.787,9,-7.168,1,0.0614,0.43,0.000386,0.0679,0.791,138.218,213907,4
Oscar D'León,Llorarás - En Vivo Desde Nueva York/2000,5dpPRESiL9p8Pp9Bn2JMyf,3,2005,salsa,0.678,0.82,0,-6.916,1,0.0355,0.632,0.000663,0.334,0.931,97.428,220600,4
Willie Colón,Buscando Guayaba,3fwSntgt6xyDL90GaMtj6B,9,2008,salsa,0.731,0.687,2,-4.964,0,0.0388,0.797,0.000826,0.0723,0.889,148.21,345600,4
Angel Canales,Quantanamo,0MHM7hdI7AMis6NO4T9Sfz,8,2006,salsa,0.574,0.625,0,-8.216,1,0.0427,0.405,9.64e-05,0.0589,0.965,149.739,412733,4
Mimi Ibarra,Traicionero ( Version Hecha En Puerto Rico),6Mx8PL6rURCB5uSpid2jWD,12,2011,salsa,0.709,0.782,4,-5.154,0,0.0705,0.192,0.0,0.0613,0.817,175.607,253640,4
Rey Ruiz,Prometiste Volver,3Ko4NSbCTQlxOfooGjbSXA,21,2022,salsa,0.728,0.889,7,-3.881,1,0.0317,0.257,1.66e-06,0.329,0.723,96.982,261920,4
Don Perignon Y La Puertorriqueña,Afinque Total,5HVfjEe7pRDu99LCvLSqBh,14,2011,salsa,0.707,0.894,0,-3.395,0,0.147,0.386,0.0,0.0597,0.95,189.885,261320,4
Willy Chirino,Verano,76huX3zGxJPrtdJYFgFFit,16,2022,salsa,0.68,0.921,0,-5.711,1,0.0361,0.0169,0.00833,0.1,0.907,111.991,243219,4
Plenealo,Ella Es Mi Fiesta,3OOOQZShoR4X3idpA0JVRu,6,2023,salsa,0.731,0.884,1,-4.856,0,0.128,0.265,0.0,0.275,0.753,126.0,263314,4
Calambuco,Metele,58ohmbmuoOXWbEX972Epbd,11,2006,salsa,0.865,0.842,0,-3.58,1,0.0498,0.661,0.00273,0.0553,0.872,105.023,152764,4
Africando,Apollo - Live,75RFtRiy0gxiyN4fj8Fq6M,4,2001,salsa,0.578,0.954,0,-3.775,1,0.0532,0.621,0.000251,0.772,0.762,104.668,376027,4
Danny Rivera,Salve,6gtZHHGaqDOKYDQWofGptj,2,2000,salsa,0.554,0.472,6,-13.039,0,0.0574,0.373,0.0,0.0478,0.944,104.987,214027,4
The New York Sextet,El Chichon,6vzZncQxHEgPoR1Ogjil4v,2,2005,salsa,0.737,0.894,7,-7.891,1,0.0409,0.417,2.88e-05,0.0872,0.58,97.143,206173,4
Bailatino,Conoci Tu Falsedad,5tPUsiFbQZ6vitnLrwC0By,10,2003,salsa,0.734,0.738,7,-8.049,0,0.0486,0.749,0.0394,0.0707,0.869,93.195,404062,4
Plenealo,Medley a los Gigantes,4Z9cOh6NM0GLd3M7XuPuXH,0,2002,salsa,0.577,0.8,7,-5.4,1,0.0561,0.289,5.22e-05,0.118,0.849,126.721,444733,4
El Niño y la Verdad,Las Manzanas,5axHFH4Wd7t1Lujz9dT42c,20,2018,salsa,0.833,0.906,8,-2.985,1,0.0478,0.559,4.68e-05,0.0507,0.876,107.006,345200,4
Bobby Cruz,Siempre Lo Mismo,0nMvKUk1SbKgNAttNcuzKa,7,2004,salsa,0.771,0.783,7,-5.795,1,0.0363,0.187,1.82e-05,0.0572,0.769,98.892,255453,4
"Pete ""El Conde"" Rodriguez",Catalina La O,666cw7TVcDXCW8Y6z4AOrz,0,2014,salsa,0.742,0.734,10,-4.771,0,0.0335,0.709,0.00599,0.0756,0.889,147.059,313187,4
Miguel Ángel,Ahora y Siempre,4Nvu550OxdbkiUQM6XbdQG,0,2002,salsa,0.525,0.344,10,-8.547,1,0.0352,0.666,1.5e-05,0.268,0.501,107.947,163867,4
Pete Perignon,Mi Salsa Mi Bandera,5A6wFDPi4dpkOWNfiSChSC,3,2019,salsa,0.767,0.844,5,-4.748,1,0.0408,0.245,0.0,0.112,0.97,95.697,335645,4
Celia Cruz,La Sopa - Re-Mix Version,4N805s2xqOEcTU3KvlZN9a,4,2002,salsa,0.777,0.92,10,-4.643,0,0.155,0.148,0.0,0.0589,0.866,128.13,219827,4
Tito Gomez,Planificando - Remastered,17dUsmirRjbHXNH1D7ejHE,0,2018,salsa,0.545,0.249,2,-10.784,0,0.0354,0.647,0.389,0.265,0.72,108.13,128747,4
Nelson Arrieta,"Medley: Me Muero De Ganas, Atracción Fatal, Si Fuera Tú Bailo Conmigo, Mi Tamborera (En Vivo)",1z7HG08ZkfT58P3EvXsxaT,19,2022,salsa,0.527,0.834,7,-5.396,1,0.082,0.241,5.9e-06,0.729,0.673,92.973,1233957,4
Elio Revé Y Su Charangón,El Teléfono,4e7TfjinOVt58MtTfabKyC,11,2008,salsa,0.651,0.86,0,-8.138,1,0.0897,0.698,0.000289,0.387,0.961,104.006,285493,4
Maykel Blanco Y Su Salsa Mayor,Brujería,02Ux5pghtufDBgdtHMwV8L,15,2006,salsa,0.722,0.86,7,-5.968,0,0.0462,0.162,0.0,0.0995,0.764,92.56,275693,4
Tromboranga,Te Provoca,5aMX4797S5dTh59YeVv5xR,13,2013,salsa,0.77,0.607,7,-8.818,1,0.234,0.378,7.12e-06,0.0596,0.934,171.108,379386,4
Porfi Baloa,Tragico,7CyeVksNBlwPSaILEz5OBe,22,2012,salsa,0.797,0.866,11,-3.708,0,0.0556,0.433,0.0,0.142,0.963,109.887,209587,4
Orquesta Mulenze,Contra Viento y Marea,0JJlPOw414sB524bGbpNZ4,6,2011,salsa,0.506,0.718,8,-6.294,1,0.0354,0.468,0.000508,0.0429,0.915,95.647,286947,4
