artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Nei Lopes,Vou Te Buscar,3IWaUypMdrttuM7vz2fuGL,1,2003,samba,0.806,0.594,9,-9.843,0,0.279,0.227,0.0,0.0875,0.818,122.555,167800,4
Mestre Marcal,A Festa Do Divino,3mv2ovHnh2Q2i4CtL2ZjvS,1,2014,samba,0.668,0.588,10,-7.899,0,0.144,0.0578,0.0,0.418,0.645,130.799,189067,4
Carmen Miranda,As Cinco Estaçoes Doano,1W6pO2YyVnEyGKlLGJirVf,0,2006,samba,0.442,0.55,0,-11.434,1,0.184,0.994,0.888,0.208,0.825,76.743,190920,4
Bezerra Da Silva,Se Não Fosse a Ajuda da Rapaziada,1UDdJyrtkDsKx9920HSAiE,5,2005,samba,0.558,0.815,9,-6.006,1,0.135,0.602,0.0,0.214,0.885,85.648,174933,4
Jorge Ben Jor,"Martin Cerere - Rio Grande do Sul na Festa do Preto Forro - Rio Carnaval dos Carnavais - Mangueira, Minha Querida Madrinha - Olha o Samba No Pe, Carmen Miranda Chegou",6mABsCT2AoOTPuJMJFXxDb,3,2010,samba,0.551,0.781,11,-9.087,0,0.188,0.15,0.0,0.121,0.384,133.935,247547,4
Zeca Pagodinho,Quem é Ela? - Ao Vivo No Rio De Janeiro / 2006,3TqvpjOKjzr2K7DBvuRTfb,27,2006,samba,0.497,0.782,5,-8.972,1,0.202,0.68,0.0,0.813,0.915,115.141,220493,4
Sambô,Ela te tapeou - Ao Vivo,4yOOhF3W8ZN7LGifZrZILf,7,2012,samba,0.753,0.773,2,-9.139,1,0.0525,0.116,0.0,0.386,0.369,105.985,247275,4
Santanu Sahoo,Bindi Bali Bindi Bali,45SvQ3hgZsuXtd1nKhEenE,0,2008,samba,0.426,0.974,5,1.524,0,0.0719,0.408,0.0,0.187,0.784,81.396,355560,4
Guilherme Lacerda,Batalhando,2jBOxZ6LxovEk1rfPBkcH8,0,2017,samba,0.505,0.616,4,-5.051,0,0.169,0.502,0.0,0.0681,0.676,101.782,195000,4
Marcos Sacramento,Sacramentos,54ma7NbowlyvNdgyBRMV10,1,2007,samba,0.447,0.351,7,-13.687,1,0.0457,0.616,2.02e-05,0.133,0.286,96.646,242240,4
