artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Pena Branca E Xavantinho,Casa de Barro,62MmSZlOjkNVi6fl4qKSHm,5,2003,sertanejo,0.421,0.442,9,-4.931,1,0.033,0.894,0.0,0.33,0.346,173.169,179200,4
Os Parada Dura,Lei do Retorno - Ao Vivo,5qxkvd4ynUoOeqegCE37mC,6,2008,sertanejo,0.628,0.378,11,-7.385,1,0.0281,0.618,0.0,0.73,0.678,117.891,185840,4
Gusttavo Lima,Cor de Ouro,4mOrOejE51R7n1F0fw3HB2,44,2009,sertanejo,0.68,0.779,11,-5.041,1,0.0352,0.306,0.0,0.971,0.617,140.105,171787,4
Bruno & Marrone,Você Me Vira a Cabeça (Me Tira do Sério) - Ao Vivo,5Tx5iqo0y7EEAA4U5WsAa8,43,2014,sertanejo,0.735,0.716,5,-5.426,0,0.0299,0.436,0.0,0.924,0.426,108.99,194680,4
Luan Santana,Multiplica - Ao Vivo,6GpYWL34dfc54GUdlp9A5p,30,2013,sertanejo,0.373,0.849,6,-5.201,1,0.0735,0.447,0.0,0.865,0.488,96.0,185027,4
Chico Rey & Paraná,Senhorita,4Db0JtsgMrjmvuWHM5HSJM,28,2010,sertanejo,0.675,0.4,7,-5.106,1,0.0306,0.272,0.0,0.102,0.431,110.094,192067,4
Milionário & José Rico,Homem,65z6od53mCcaMeN08FLTyo,25,2015,sertanejo,0.618,0.371,9,-6.262,1,0.0289,0.676,6.12e-06,0.141,0.642,105.52,231133,3
Fred Liel,Numa Dessas Luas,55rJ7YYKlinPW9jUulrDvz,6,2015,sertanejo,0.561,0.5,0,-5.464,1,0.0288,0.343,0.0,0.0848,0.244,103.859,187813,3
Gustavo Mioto,Fuga - Ao Vivo,3ibd4N53rKngebqXFhFM1a,47,2023,sertanejo,0.567,0.817,9,-3.991,0,0.177,0.275,0.0,0.933,0.598,180.112,189417,4
Daniel & Samuel,Lágrimas,505iC1rwlu7mNasBsANjCw,25,2015,sertanejo,0.498,0.65,5,-6.06,1,0.0338,0.283,0.0,0.254,0.479,143.613,276373,4
Henrique & Diego,Ciumento Eu (feat. Matheus & Kauan) - Ao Vivo,3LFG5DqNQRK0yL6WNMw99P,31,2017,sertanejo,0.483,0.904,8,-3.794,1,0.0656,0.118,0.0,0.953,0.819,163.901,217573,4
Gilberto e Gilmar,Música da Saudade - Ao Vivo,5Xc2EekaD0Rk8tfh8fj6ZR,5,2014,sertanejo,0.355,0.659,0,-2.476,1,0.0306,0.564,0.0,0.791,0.472,110.519,100920,4
Papas Da Língua,Só Se For Agora,2j6QQApFo1nNqFWGchgibo,8,2008,sertanejo,0.714,0.915,9,-5.391,1,0.0285,0.0363,0.0,0.143,0.978,126.99,185213,4
Zé Neto & Cristiano,Derreter a Aliança - Ao Vivo,5LrxVF7fpZZdbB7zy6MnIg,51,2018,sertanejo,0.682,0.904,11,-3.679,1,0.0779,0.53,0.0,0.206,0.775,132.89,189669,4
Moreno E Moreninho,O Presépio de Santos Reis,4fervYtCwhn0LgaZmC3cBD,21,2015,sertanejo,0.529,0.545,4,-8.328,1,0.0597,0.27,0.000138,0.0651,0.714,161.42,213613,4
Israel & Rodolffo,Perdão No Escuro - Ao Vivo,4uhFjsUTIJXruEVx2OSgpL,45,2022,sertanejo,0.555,0.663,4,-5.272,1,0.0382,0.353,1.55e-05,0.376,0.548,88.856,162816,4
Trio Parada Dura,Brilhante,3WQDUSOUJFwgqyN5ZKx9Az,1,2001,sertanejo,0.412,0.28,0,-14.864,1,0.032,0.0536,0.0,0.12,0.396,174.043,210094,3
Léo & Raphael,Velho Barreiro,3B3HBXhdVYEHHolhI9rTQs,29,2015,sertanejo,0.671,0.806,7,-4.836,1,0.211,0.255,0.0,0.343,0.743,104.99,193750,4
