artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Susan Egan,A Quiet Thing,4UXijUelhgQcgUglR5CDRp,0,2015,show-tunes,0.477,0.174,7,-14.124,1,0.041,0.945,0.000266,0.109,0.162,48.886,140720,4
Jessica Keenan Wynn,Yo Girl,2zmuNa0k9apz1QQGk3ClQb,51,2014,show-tunes,0.692,0.426,1,-8.706,1,0.155,0.706,0.0,0.593,0.6,104.303,106373,3
Brian Stokes Mitchell,Elk Tour Suite Pt. 6,6Q2zSPR8D5C46ZCbgJGZ6H,25,2021,show-tunes,0.49,0.392,7,-12.44,1,0.179,0.15,7.34e-06,0.0831,0.219,79.82,136400,3
Linda Eder,We're All Alone,0okhCB11aw1Ite0Irn7piy,2,2002,show-tunes,0.499,0.31,10,-8.986,1,0.0296,0.703,1.08e-06,0.126,0.145,65.999,225467,4
Andrew Lloyd Webber,Potiphar,2bdIT6bN8Ym6ITpQwyOi4D,12,2007,show-tunes,0.544,0.455,4,-11.163,1,0.182,0.578,4.27e-05,0.127,0.234,126.896,282840,4
Serkan Kaya,Kara Gözlüm,66tn8uFk3eBMxzvkL2GzT5,40,2017,show-tunes,0.676,0.789,6,-4.053,1,0.0396,0.345,0.0,0.0902,0.618,132.805,207627,4
Leslie Grace,Cómo Duele el Silencio (feat. Luis Coronel) - Banda Version,1qclsFzzplrtjZMXFrDaDM,23,2015,show-tunes,0.646,0.653,11,-3.44,1,0.0325,0.68,0.0,0.0988,0.93,129.933,185702,4
Caroline O'Connor,Get Happy,796ovZUOrw9DUpbK281Thp,0,2009,show-tunes,0.373,0.00144,3,-5.737,0,0.056,0.761,0.0,0.112,0.972,170.774,310200,4
Alan Menken,Uwolnienie dżina,0e4gzRyzbs8i3XTcVdP225,2,2019,show-tunes,0.0817,0.113,5,-17.016,1,0.0407,0.734,0.907,0.0706,0.0358,83.799,336830,3
Andrew Lloyd Webber,Human Sacrifice,76OqPKtTwaQrEEOMvBfUq4,3,2013,show-tunes,0.454,0.323,11,-11.417,0,0.0461,0.668,6.9e-05,0.13,0.382,109.576,300853,4
Linda Eder,Anthem,5C9FQchBWPRdHdMmczk9dI,8,2003,show-tunes,0.238,0.225,9,-9.558,1,0.0359,0.791,0.00566,0.0643,0.0875,123.216,193733,3
Stephen Sondheim,"""If You Ask Me to Write a Love Song...""",6WAqBAvQai3gjxuFIObvGc,0,2010,show-tunes,0.677,0.335,9,-23.05,0,0.387,0.952,0.0,0.337,0.906,101.727,25573,3
Alan Menken,Kryjówka Aladyna,3zUEnP0VnORQGuxZUMXbnA,6,2019,show-tunes,0.17,0.0722,0,-22.991,1,0.0416,0.905,0.705,0.104,0.0608,115.062,115136,5
Krystina Alabado,The Story of The Phantom,4mOzutLEORL2uc3lXUigQz,46,2021,show-tunes,0.803,0.442,1,-8.825,0,0.179,0.281,0.0,0.0997,0.205,125.767,313360,4
Caissie Levy,I Hate the Bus,0bohjGsI4TwAtWA5riZ8ob,13,2021,show-tunes,0.643,0.18,0,-9.987,1,0.0602,0.838,0.0,0.0856,0.331,33.493,115267,4
Stephen Sondheim,Careful My Toe - Instrumental Version,40OCE1d6jZehqN8RwQI3ml,3,2015,show-tunes,0.559,0.0831,1,-21.124,0,0.103,0.921,0.911,0.115,0.397,114.293,71907,4
Lea Salonga,"I Dreamed a Dream (From ""Les misérables"") [Live]",5ud1fd8CoBHEQjba3UfzCJ,30,2019,show-tunes,0.314,0.313,3,-9.988,1,0.0397,0.858,0.000641,0.154,0.0399,119.948,311823,4
Original Cast of Amélie,World's Best Friend,1hEwuTau7eFnQRyohXCNBz,20,2017,show-tunes,0.434,0.274,11,-9.961,1,0.0588,0.936,2.12e-06,0.195,0.206,172.213,200120,3
Cheyenne Jackson,1976: Opening Montage / Safe / The One I Love,2ZfRIFrGFpArWw9bdFJNTU,4,2018,show-tunes,0.43,0.571,8,-8.563,1,0.0461,0.58,0.000168,0.156,0.173,125.979,569000,4
Alan Menken,Storm And The Aftermath,7MoKVrDFJl4KTdM8Y3OPRQ,6,2004,show-tunes,0.227,0.209,0,-17.91,1,0.0441,0.558,0.651,0.157,0.0529,103.014,186627,3
Barlow & Bear,Worker Bee,1C0UimnSshlEMOMm8MBY4c,35,2021,show-tunes,0.69,0.27,0,-9.575,0,0.0399,0.745,0.0,0.0955,0.485,103.921,51061,4
Maricel,Até Depois da Vida (Para Dias de Sol),7g72T0C7GFl7iRC71ZuuXV,0,2020,show-tunes,0.692,0.428,9,-12.573,0,0.0295,0.305,2.02e-06,0.0963,0.388,89.998,271668,4
