artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Paul Simon,"Diamonds on the Soles of Her Shoes - Live at Webster Hall, New York City - June 2011",10IQkyeBKLFqlL99sucaMa,16,2012,singer-songwriter,0.465,0.814,0,-9.415,1,0.0468,0.145,0.00709,0.96,0.725,123.288,445320,4
Cheer Chen,蜉蝣,0tI1trr7PoaGYOki4qzgNI,24,2011,singer-songwriter,0.424,0.271,7,-8.458,1,0.0341,0.935,0.0,0.0989,0.488,81.825,248947,3
Natalie Merchant,The Land of Nod,5qy8KXDdfC7TrCwE4fBemw,9,2010,singer-songwriter,0.262,0.14,4,-14.242,1,0.0344,0.957,0.334,0.0993,0.254,111.96,244640,3
Royal Wood,A Mirror Without,3drhelbwOkUUbeoMl8Gy99,26,2007,singer-songwriter,0.609,0.781,2,-7.711,0,0.0262,0.362,0.00218,0.0923,0.746,104.124,278840,4
Van Morrison,The Beauty of the Days Gone By,3DwdoIxtOx10NVyzjKH76v,18,2002,singer-songwriter,0.397,0.386,0,-6.807,1,0.0271,0.71,0.00469,0.0983,0.5,137.796,350067,3
Ashley Kutcher,Lust,1xU2jczcvFrM6uWLHN7vxM,42,2020,singer-songwriter,0.501,0.501,0,-8.6,1,0.0545,0.0482,0.0,0.253,0.437,119.221,210000,4
Eliza Gilkyson,Walk Away From Love,3Hx2zdcurvAkna58hKwuT7,3,2000,singer-songwriter,0.626,0.412,2,-13.198,1,0.0247,0.273,0.000728,0.0949,0.426,106.455,288373,4
Todd Snider,Forty Five Miles,0HQ4sqqzpqBMZGeCZBtT0d,6,2000,singer-songwriter,0.607,0.534,4,-10.734,0,0.0429,0.0138,0.459,0.119,0.666,133.0,172493,4
Shawn Colvin,Round Of Blues,23pVTlEhcGqYXQ0rv0cW3W,7,2012,singer-songwriter,0.679,0.646,6,-7.742,1,0.0261,0.111,9.82e-06,0.0669,0.832,132.905,284880,4
Silence Wang,不分手的恋爱,6HAvpiHPdERcboPrkexhIX,42,2010,singer-songwriter,0.5,0.652,11,-9.726,0,0.209,0.41,9.53e-06,0.119,0.459,84.652,205659,4
Bruce Springsteen,The Ghost of Tom Joad - Electric Version,6HlYrk5AuljlJpzYgr8zh1,35,2014,singer-songwriter,0.317,0.643,4,-6.869,0,0.0296,0.000618,0.000479,0.073,0.151,169.811,449107,4
Sufjan Stevens,Wordsworth's Ridge (for Fran Fike),4mvkc4hBjl8NgYuuYob1kX,15,2004,singer-songwriter,0.476,0.344,11,-11.089,1,0.0278,0.71,0.0234,0.11,0.295,123.031,294613,4
Leonard Cohen,"Chelsea Hotel - Live Nov 17, 2008; Royal Albert Hall, London, England",6E6y0BbIFzUcgC8HqGYy6Q,23,2010,singer-songwriter,0.437,0.287,8,-14.117,1,0.0465,0.845,0.000275,0.691,0.202,137.728,211507,3
梁博,日落大道 (Live),2OPr9LTXNhDwDBB0inqVtk,30,2021,singer-songwriter,0.462,0.209,0,-11.703,1,0.0335,0.929,0.00309,0.0901,0.185,124.689,354041,4
Lauren Spencer Smith,All I Want,4mWSZ39aJGfEMMLTw3DnBg,60,2020,singer-songwriter,0.495,0.246,10,-9.302,0,0.0317,0.914,0.0,0.108,0.228,75.056,184854,3
Sam Baker,Orphan,1D0EiPBStmwLJbXfwOdgEj,10,2007,singer-songwriter,0.621,0.549,3,-6.202,1,0.0384,0.21,0.0,0.269,0.809,153.875,199120,4
Lisa Hannigan,Paper House,5vb1ZuuUdjS4ZUUNNoHSKN,11,2011,singer-songwriter,0.496,0.452,1,-9.533,1,0.0305,0.78,0.0877,0.13,0.194,95.365,256920,4
Neil Diamond,Act Like A Man,6kwFfIEDPFTfJLSGFdu3lw,10,2008,singer-songwriter,0.514,0.248,0,-13.297,1,0.0308,0.854,0.000123,0.105,0.285,100.527,244133,3
Harry Chapin,Everybody's Lonely,6BHSFOoyDDv3A7szbUTmM5,13,2015,singer-songwriter,0.663,0.314,4,-15.409,1,0.0284,0.497,0.0,0.07,0.46,110.565,246027,4
Bruce Cockburn,Anything Anytime Anywhere,3zGVuy991EA70TpytmDT8j,5,2002,singer-songwriter,0.41,0.466,9,-8.496,1,0.0251,0.0417,0.00288,0.117,0.384,78.241,214760,4
Bob Dylan,Black Rider,2PqGXNc6kQp4iDRpi6SF5U,32,2020,singer-songwriter,0.421,0.115,2,-19.775,0,0.28,0.9,5.58e-05,0.11,0.0696,80.937,252893,4
Karen Elson,Gold Dust Woman,314R0pPxUPz7wNCwZAa6e0,14,2012,singer-songwriter,0.65,0.611,7,-9.974,1,0.0299,0.0226,0.0196,0.0999,0.39,117.95,342333,4
Rahmania Astrini,nobody but you,0c16VSncpcvshuckI2tqt9,38,2023,singer-songwriter,0.627,0.273,9,-10.177,0,0.0394,0.901,3.44e-06,0.0997,0.121,129.878,209538,4
The Tallest Man On Earth,Tears Are In Your Eyes,0ncmKS7QC4FIviZKZnIpXn,37,2022,singer-songwriter,0.409,0.313,6,-11.308,1,0.0306,0.942,0.0831,0.109,0.204,106.245,247462,4
Rosanne Cash,The World Unseen,2Z3L4sj4NEIQOfsB5WEQ94,14,2006,singer-songwriter,0.68,0.283,9,-9.853,1,0.0311,0.852,0.00601,0.0911,0.189,117.207,313120,4
Cat Power,Wanderer/Exit,5fIvwjEYW68eu14CV77sQZ,21,2018,singer-songwriter,0.331,0.0568,7,-16.32,1,0.0356,0.983,0.000469,0.11,0.0659,100.556,139505,4
David Tao,Catherine,4t8SCE6TVYA9d0QfdkOeRa,22,2005,singer-songwriter,0.562,0.0847,7,-15.542,1,0.0315,0.903,0.0,0.135,0.408,97.991,210267,4
The Sadies,Choosing to Fly,5HwigmGIaQLUHCyZ0CJWF5,13,2010,singer-songwriter,0.422,0.827,9,-8.184,1,0.0384,0.922,0.218,0.113,0.962,113.479,136933,4
Todd Snider,Mr. Bojangles,7AUwAjo7Nk0uEbd1G3VeHn,16,2012,singer-songwriter,0.567,0.419,7,-8.983,1,0.032,0.204,0.000252,0.0879,0.395,82.243,280067,1
Serena Ryder,Better Now,1ruX5XHZeeumg39dmh2XvI,35,2021,singer-songwriter,0.717,0.58,8,-5.374,1,0.0285,0.724,2.57e-06,0.107,0.627,94.029,173213,4
John Prine,Hello in There (Live),5uhGKOGv3TF9DahBOFHZ4x,10,2011,singer-songwriter,0.541,0.38,0,-12.466,1,0.103,0.713,0.000246,0.185,0.346,78.27,282267,4
Li Jian,心升明月,08tElNkXYziXlebZiHhLRc,18,2011,singer-songwriter,0.618,0.339,11,-11.276,0,0.0261,0.765,0.000724,0.129,0.0997,98.96,318960,4
Jewel,Bad As It Gets,2grSlGaNZID8Fo41gEyOqA,6,2010,singer-songwriter,0.557,0.502,0,-4.835,0,0.0375,0.17,1.3e-05,0.155,0.209,144.254,232640,4
Gerry,Feeling Whitney,7aCorEJwtH7CwG723kd6xF,27,2021,singer-songwriter,0.425,0.29,0,-8.266,1,0.0316,0.773,0.0,0.126,0.224,160.061,238373,4
