artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
NOFX,What's the Matter with Parents Today? - Live,4LgCCGTaX37zLcjOKzfW5k,19,2007,ska,0.323,0.82,0,-9.239,1,0.116,0.00753,0.0,0.901,0.298,99.754,147600,4
Lasse Stefanz,Dom spelar vår sång (They're Playin' Our Song),0CGF2Ij2SjU3swkleeHqSx,8,2003,ska,0.631,0.659,2,-9.628,1,0.0326,0.0149,0.00107,0.0402,0.965,190.082,205987,4
Russkaja,Last Christmas,0ETDjSsFNZtMd7jjk6GsIE,21,2023,ska,0.536,0.971,0,-4.158,1,0.193,0.0618,0.000138,0.613,0.5,159.947,190377,4
Skabidean,Iruñerria Jamaica Clash,3EEgc8KhFoQVtCAXw20XjS,14,2018,ska,0.815,0.581,0,-6.461,1,0.0485,0.478,1.48e-05,0.12,0.965,140.017,164220,4
El Natty Combo,Cinco,4D67AVNdClfZqEiwOsKtKP,43,2023,ska,0.672,0.721,10,-4.588,0,0.0667,0.0338,4.41e-06,0.0934,0.792,137.994,208212,4
Millington,Gone,1XnNN0shpJKOAPPjrhkOzM,15,2020,ska,0.479,0.874,11,-4.352,0,0.0621,0.000888,2.14e-05,0.348,0.569,171.874,184000,4
La Resistencia,Malavida,7G2y5uyU8hAicyp3vSihqT,6,2009,ska,0.381,0.925,11,-6.459,0,0.0504,0.0287,0.000374,0.0657,0.963,121.158,176275,4
Wisecräcker,Manifest Gegen Die Kapitalistische Gesamtscheisse,6c650Q3lEuSFxIby2S1fy6,12,2023,ska,0.505,0.899,11,-4.28,0,0.0623,0.0673,1.09e-06,0.261,0.734,181.16,191743,4
Star Fucking Hipsters,S.F.H. Theme,3udiT2lox4d40xU6v9qWHF,7,2009,ska,0.406,0.9,8,-5.792,1,0.19,0.00505,0.858,0.107,0.213,132.914,158853,4
The Flatliners,Open Hearts and Bloody Grins,3cuXcHP6K2cjQfm1WzD2hA,14,2015,ska,0.616,0.992,7,-2.406,1,0.213,0.000619,0.0,0.0917,0.508,107.032,189947,4
Fishbone,Deep Shit Backstroke,6wPNT1jJQ74D65o177RlD4,8,2011,ska,0.5,0.93,1,-5.056,1,0.0776,0.000939,1.92e-05,0.101,0.76,170.035,204305,4
Sick Of It All,The Land Increases,0TKfEefEkSTf7SnVzMWWOu,6,2003,ska,0.45,0.957,3,-3.6,1,0.0511,0.000221,0.563,0.0478,0.397,149.683,97507,4
Derrick Harriott,Long Time,0XKG9AW1N6EDz8l99apZNw,2,2023,ska,0.546,0.435,5,-11.606,1,0.0368,0.568,0.000279,0.245,0.863,78.801,167203,4
CHEWIE,I Rarely Relate,6W5hmOZuo6gl2FnMVBogbU,7,2009,ska,0.425,0.821,1,-3.437,1,0.0611,0.0553,0.0,0.0519,0.738,172.799,231213,4
Unwritten Law,Blame It on Me - Live Acoustic,3LcpcWnWNL6wWJS22ozF9n,14,2002,ska,0.511,0.969,10,-5.6,0,0.11,0.148,0.000101,0.931,0.339,100.395,180907,4
Pour Habit,Suiticide,6klnzFWmePXsG3YNTdHJEg,10,2009,ska,0.247,0.982,1,-2.2,1,0.0565,0.000342,0.000559,0.251,0.534,90.702,177120,4
Lasse Stefanz,Årets skiftningar,7BjyfDr5O9d0st5iH436DI,14,2015,ska,0.665,0.829,9,-4.434,1,0.0299,0.286,1.54e-06,0.204,0.593,120.06,173267,4
Russkaja,Do Utra,0MMsC9fB5uNn3YLyJU2Fv2,16,2008,ska,0.368,0.939,11,-1.669,0,0.158,0.0769,5.3e-05,0.0879,0.901,173.438,200733,4
88 Fingers Louie,November's Big Mistake,5T4g7ExLYfEdvxoY2qMy0G,8,2017,ska,0.319,0.98,7,-3.069,1,0.0716,0.000478,1.51e-06,0.304,0.693,145.579,205826,4
Nonpalidece,¿Para donde corres?,01MVnLPc5bCapFHeABz4p9,28,2010,ska,0.596,0.78,7,-6.636,1,0.102,0.151,2.42e-05,0.719,0.676,154.05,297813,4
Mafia Rusa,Juan Gabriel and Cocaine,4FcRkH1XqU7lzCBEr4eHYc,14,2015,ska,0.372,0.955,10,-2.956,0,0.151,0.015,0.154,0.363,0.544,91.868,186059,4
The JB Conspiracy,Be Aware,6u9DDXb6O9gBKgom3TmKHs,8,2007,ska,0.369,0.92,10,-4.46,0,0.0689,0.000327,1.46e-05,0.193,0.942,193.227,197574,4
Nonpalidece,Los Caminos,0gZBYAvkAE7WJjfTrIQZbK,35,2021,ska,0.778,0.521,5,-7.172,1,0.109,0.296,4.37e-06,0.0752,0.889,133.973,219970,4
The Briggs,Panic!,2s9ccv814TG8ZIH2LVnzVq,11,2012,ska,0.58,0.891,0,-4.445,1,0.058,0.00148,1.64e-06,0.0955,0.299,150.055,282813,4
Coquettish,Falling Down,5MjEXjwjhMKMQTd2TXsTA7,7,2022,ska,0.538,0.93,0,-12.968,1,0.0462,0.000311,0.121,0.232,0.893,113.027,157784,4
Pennywise,Something New,1nVeadLoBMq7f1HAcqwYHE,20,2018,ska,0.547,0.957,7,-3.365,1,0.0632,0.0035,0.00717,0.42,0.628,93.071,133680,4
Operation No One Knows,BackYard Ska Scene,4rPdgrJzKNccSiN4eft0cj,7,2013,ska,0.552,0.966,2,-2.614,1,0.0553,0.000751,0.171,0.244,0.724,101.215,205547,4
Catbite,Scratch Me Up - punk version,1BDtWsflNkm8qFl75q1TC1,13,2022,ska,0.304,0.969,5,-6.097,0,0.0864,3.98e-05,0.00975,0.338,0.454,97.695,148257,4
Chencha Berrinches,Baila,4PLyV8Dcpunn47uDsFX1jy,10,2001,ska,0.599,0.836,8,-6.054,1,0.0655,0.0251,0.00179,0.153,0.929,117.41,171338,4
Reagan Youth,(It's A) Monsters' Holiday,4vfUaDbEkbErKeXtAwpEvx,12,2019,ska,0.44,0.966,7,-2.517,1,0.0465,0.0321,0.000329,0.409,0.736,157.621,142778,4
MxPx,Far Away - Live,7iiIHxjarMYIZhV0tQjq6I,8,2015,ska,0.196,0.955,6,-6.479,1,0.0621,1.96e-05,0.0781,0.834,0.412,150.034,196960,4
The Specials,Racquel,6mjdDmH4qCXm0h7PT2fHBQ,10,2000,ska,0.313,0.757,0,-8.872,1,0.0613,0.19,0.0,0.321,0.505,180.08,119200,4
Have Nots,Regression,4ttmQhFvp9Kaf6kOBOvMng,8,2009,ska,0.486,0.941,0,-5.487,1,0.0662,7.65e-06,0.809,0.195,0.721,118.973,101387,4
Byron Lee & The Dragonaires,Rugged Cross,3PFk10gPTil6a8l74gm1mP,5,2004,ska,0.703,0.602,10,-8.089,1,0.0333,0.0176,0.648,0.0683,0.851,87.924,217067,4
Catbite,Already Gone,0TU8xwVl7ZquWrsfSpD7cP,10,2019,ska,0.587,0.588,0,-6.22,1,0.036,0.38,0.259,0.12,0.64,153.19,202788,4
The Loved Ones,Candy Cane,4xCkJEvjjJFxBGK0iZrPUx,11,2005,ska,0.306,0.841,11,-5.857,1,0.083,0.00413,1.29e-05,0.12,0.828,178.358,195547,4
Los Cafres,Esclavo,760amZp34Hu7t5cH9QB3BB,29,2020,ska,0.685,0.697,11,-6.279,0,0.0496,0.124,7.28e-06,0.113,0.788,144.083,256811,4
The Valkyrians,Borstal Breakout,6uQxTtOah3vDFHRpGDRJfF,13,2011,ska,0.515,0.654,9,-4.126,0,0.0295,0.000263,0.00128,0.26,0.209,91.422,134507,4
Rantanplan,E,76owXCPDaZVFNDmxEG4lV6,14,2019,ska,0.606,0.784,0,-4.409,1,0.0563,0.028,0.0,0.299,0.792,165.905,199120,4
The Bouncing Souls,Punx in Las Vegas,53GOcipMjRej6d1WeurXgl,8,2005,ska,0.287,0.99,4,-3.651,1,0.0799,0.000636,0.00127,0.737,0.337,100.563,181000,4
Pama International,Dub As You Are,754cyGri2ZLZBglTZ6roSk,4,2023,ska,0.782,0.458,5,-14.987,0,0.0654,0.0141,0.864,0.373,0.38,88.985,214000,4
Star Fucking Hipsters,Never Rest In Peace,0TjOeNXqIP0XTP8l1oZmo1,8,2009,ska,0.327,0.937,1,-6.236,1,0.215,0.00576,0.00741,0.327,0.323,141.283,277253,4
NOFX,The Death of John Smith,1URDsB0gDCRJ3KptiJQO19,15,2010,ska,0.308,0.972,9,-5.254,0,0.208,0.00291,9.42e-06,0.336,0.598,164.807,230347,4
Hub City Stompers,Keepers,5xd91hBKstUcQNgmEdWx6b,6,2018,ska,0.48,0.868,11,-4.987,1,0.0445,0.00339,0.0302,0.115,0.887,185.119,173373,4
No Comply,Thetha Nami,4nwFiUqtwA0fl2wt9AynJ1,0,2023,ska,0.512,0.521,2,-11.695,1,0.243,0.0101,0.0,0.244,0.508,86.99,233550,4
The Pietasters,Biblical Sense,4hODdwWZga3mA7vlGYW8sd,11,2008,ska,0.8,0.683,7,-7.896,1,0.0652,0.534,0.502,0.0344,0.835,147.948,210027,4
Derrick & Patsy,Oh Shirley (with The Baba Brooks Band),4qUqU6DesQX9EfKkoz9qP9,0,2023,ska,0.761,0.537,11,-8.065,1,0.102,0.766,0.122,0.188,0.962,127.026,147515,4
The Casualties,Up the Punx,4u7BMC8f6F3EqeJT7hLH2h,6,2000,ska,0.24,0.974,9,-5.506,0,0.195,0.0161,0.0259,0.0876,0.301,151.143,232618,4
The Aquabats!,B.F.F.!,5qhRfntOiaCdSOvolpuQxX,15,2011,ska,0.769,0.787,7,-5.395,1,0.0497,0.0281,0.0,0.112,0.831,98.99,200107,4
Bomb the Music Industry!,Funcoland vs. the Southern Electorate,7F2vRTOtQuujn8XimeVfdN,12,2005,ska,0.322,0.982,7,-1.817,1,0.121,0.294,0.0,0.746,0.0891,119.63,50320,4
Kapanga,Fortunata - En Vivo,4PQw1iOLxuktADhxIkLB4D,10,2014,ska,0.444,0.833,4,-5.402,0,0.0469,0.0271,0.0318,0.925,0.77,104.422,251987,4
The Paranoias,I Won't,4U6XswUYhYxWsPuuGbWTW5,3,2014,ska,0.598,0.525,11,-12.05,0,0.0443,0.00255,0.246,0.13,0.558,107.698,177413,4
No Use For A Name,6 Degrees from Misty,4b2VjlPfWTOPcyfuuXDrXP,10,2001,ska,0.379,0.92,0,-6.417,1,0.143,0.0137,1.21e-05,0.203,0.161,99.145,214267,4
The Aquabats!,Adventure Today! (Demo Version),2lBobIN9RVi5IHlM7ATlRw,9,2018,ska,0.525,0.966,1,-4.027,0,0.0574,0.00539,0.000197,0.147,0.722,100.321,178013,4
