artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Massage Tribe,Healing With Diligence - Tibetan Bowl Tones for Reiki,1Nj7LOpGy3vk2WuFlJ1nSr,24,2011,sleep,0.197,0.0448,0,-25.27,1,0.0407,0.96,0.609,0.0964,0.0324,77.846,143840,1
Sleep Fruits Music,"Heavy Nature Storm with White Noise, Pt. 99",6JMgNM7tHnb6E2BvFIB99K,20,2022,sleep,0.168,1.0,3,-25.902,0,0.0579,0.77,0.441,0.925,1e-05,58.509,63030,4
Traditional,Las Amarillas (Arr. S. Hatfield for Choir) [Live],2PvEOnDZVGcOYP3fttKP7p,6,2013,sleep,0.437,0.214,2,-25.327,0,0.445,0.985,0.36,0.751,0.447,52.915,172840,4
Musica Relajante,Sun Eclipse,2JuK7bIn9EAf0KOHL7LRuj,31,2017,sleep,0.32,0.042,5,-23.171,1,0.0535,0.936,0.621,0.341,0.0394,108.164,112778,4
Sound Ideas,Burglar Alarm Going off with Sirens,3Tz9LJfSdo4RQynKRg7IVB,18,2014,sleep,0.0954,0.432,2,-23.332,1,0.0612,0.995,0.699,0.0829,0.0219,196.545,30140,4
Nawang Khechog,Becoming More Peaceful,1M3fasihnUgvhjvN5goGQJ,14,2008,sleep,0.156,0.0432,3,-32.964,1,0.0337,0.967,0.902,0.111,0.0682,96.754,314133,4
Pro Sound Effects Library,Heavy Downpour,1sqlZZrTOTviu43bxH6VGE,10,2010,sleep,0.0,0.728,4,-18.644,1,0.0,0.983,0.964,0.957,0.0,0.0,419000,0
Spa Music Relaxation,Cloud Surfing,715GpKy0yNwYMulZWhlMYa,0,2002,sleep,0.0616,0.00232,4,-39.945,1,0.0412,0.968,0.976,0.0756,0.0356,65.936,136421,3
Nature Sounds,Rain At Your Window,0zJOuIyto9H5FDGHcAfKxB,26,2012,sleep,0.275,0.954,11,-17.402,0,0.0455,0.0262,0.863,0.856,0.0392,92.221,383321,5
Ocean Waves For Sleep,Waves: Evening Sleep,1pmPDpfHbpJr8XEmspGmnU,28,2015,sleep,0.0642,0.308,1,-17.238,1,0.194,0.00312,0.0,0.604,0.0136,77.757,197112,3
Robbins Island Music Group,Sounds for Separation Anxiety (Music for Pets 101),6o0trV4coTopFlixEJwfv0,13,2014,sleep,0.538,0.0498,10,-26.357,1,0.0354,0.86,0.926,0.0885,0.0454,149.971,336000,3
Music For Absolute Sleep,Lite Sleep Machine,1p9NMk0Q4VEB27QIhhRrzf,9,2011,sleep,0.268,0.614,2,-17.675,0,0.0815,0.973,0.958,0.24,0.0547,112.242,123717,1
Meditation Music Zone,Deepest Relaxation – Underwater Sounds,0cIxQ4UPpL0Gjir1vkydOv,28,2020,sleep,0.27,0.231,10,-26.265,0,0.0743,0.89,0.877,0.0888,0.314,68.62,219462,3
