artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Woody Guthrie,Columbus Stockade Blues,4iQXnRpVx4L0WbhbcdJT9s,3,2001,songwriter,0.641,0.368,1,-11.023,1,0.0387,0.922,0.00443,0.127,0.588,123.99,145987,4
John Mellencamp,In Our Lives,5gS01br9fQxwJRP56wIhbx,8,2001,songwriter,0.589,0.889,9,-3.141,1,0.03,0.00755,7.33e-05,0.0767,0.845,113.061,243267,4
Morten Abel,Music Is Communicating,2duQxpkSO6eGoUBfuFp9Lo,9,2001,songwriter,0.59,0.68,0,-8.897,1,0.0386,0.00708,4.37e-06,0.0504,0.799,90.012,221520,4
Leonard Cohen,Why Don't You Try - Live,3mSmRIpgrEPPKadtot3EAN,13,2001,songwriter,0.558,0.333,9,-12.787,1,0.134,0.804,2.54e-06,0.338,0.383,77.25,222907,4
Suzanne Vega,Songs In Red and Gray,2vxOBmgVT3MHvS9zyDJH5t,15,2001,songwriter,0.601,0.483,1,-12.456,0,0.0314,0.825,0.00562,0.105,0.39,99.923,257107,4
Bruce Springsteen,"My Hometown - Live at Madison Square Garden, New York, NY - June/July 2000",3RlzHhDD8okJio8CT0MHSn,20,2001,songwriter,0.542,0.479,9,-8.117,1,0.0309,0.316,0.000379,0.659,0.353,111.955,308627,4
Hayden,Bass Song,3MjmzaI11q6IxfHXGA2FUL,11,2001,songwriter,0.622,0.15,6,-13.727,0,0.0345,0.646,0.00406,0.169,0.101,115.774,267773,4
Záviš,Hurá,7tNjn2y9ajJT0rsSbpzbG5,14,2001,songwriter,0.655,0.452,2,-6.744,1,0.0716,0.469,0.0,0.271,0.96,113.014,127333,4
Efrat Ben Zur,גם הים נסוג,4QBTVVs5WOytN5FxQX5Xze,20,2001,songwriter,0.406,0.492,5,-5.273,1,0.031,0.000937,0.0019,0.112,0.2,61.858,200707,4
Laura Nyro,Will You Still Love Me Tomorrow,7bYPmLgLTa26n8Q7IcZjC0,9,2001,songwriter,0.378,0.221,11,-12.285,1,0.0345,0.815,0.1,0.111,0.17,96.62,361773,4
Luka Bloom,Love Is a Place I Dream Of,1joPd8YJRQx1fJHEqet2XD,12,2001,songwriter,0.244,0.0446,2,-21.46,0,0.0356,0.801,0.00476,0.109,0.0788,198.889,205453,3
