artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Omar Apollo,Killing Me,5BhK8Mho223YLPQOLfzWNP,64,2022,soul,0.861,0.27,6,-9.515,0,0.0616,0.301,0.00288,0.124,0.608,84.004,165320,4
Seal,I'll Be Around,1tyfOCwo5lJlVTikglVKo5,37,2012,soul,0.758,0.799,11,-5.786,1,0.0296,0.0409,2.09e-06,0.0776,0.796,113.392,195720,4
VÉRITÉ,i would leave you,1MX5dfQiKGG31VSKaZjtep,39,2023,soul,0.447,0.211,1,-11.17,1,0.0333,0.811,0.00318,0.108,0.156,112.418,194187,5
GASHI,No No No,73fmW1b06uvxQu97TasHcJ,35,2017,soul,0.697,0.683,8,-3.484,1,0.0359,0.022,0.0,0.266,0.178,109.95,231498,4
Biig Piig,Lavender,5bftrb8CIRhhCt5ufD7JUi,48,2021,soul,0.795,0.329,10,-14.475,0,0.0297,0.769,0.117,0.111,0.214,102.484,191493,4
RIZ LA VIE,She Said,22UNTgcr9Jr3uZzZvBXy7A,41,2020,soul,0.643,0.315,0,-10.77,1,0.306,0.897,4.5e-06,0.113,0.126,76.264,213450,4
Olivia Dean,What Am I Gonna Do On Sundays?,0WttB2xYS66VopJmwD1UzF,49,2020,soul,0.526,0.484,10,-8.817,1,0.0414,0.266,1.45e-06,0.104,0.177,135.537,209213,4
Sam Cooke,I Lost Everything,58mGCDy33V1l8bBbETsclH,10,2000,soul,0.401,0.143,9,-13.725,1,0.0324,0.896,1.7e-05,0.104,0.264,155.207,203400,3
Surfaces,Sunny Side Up,6amgTQrn3KDLFxTG2AhWUA,48,2020,soul,0.849,0.493,2,-8.044,1,0.0532,0.428,0.0,0.0808,0.511,124.948,171133,4
The Altons,Over and Over,7b5gPymzpcoFv2KdpgVsqA,50,2020,soul,0.612,0.271,6,-7.209,1,0.0267,0.815,1.45e-05,0.182,0.253,115.156,226135,3
Brandy,Top of the World (feat. Mase),2A4yCeDs3m1zbRYoTYVQqy,19,2005,soul,0.839,0.621,1,-5.739,1,0.132,0.00301,0.0314,0.105,0.855,98.015,281507,4
Neako,The Dawn,3CJZ2tvjWAQBsTV8b11aqC,43,2011,soul,0.657,0.834,9,-6.686,0,0.0696,0.294,0.102,0.122,0.145,100.265,124680,4
Charlie Wilson,Our Anniversary,6kRjN2xFkoLkdh7SlPMWZv,21,2013,soul,0.708,0.635,5,-6.232,1,0.0323,0.08,0.0,0.133,0.573,110.994,233653,3
Ari Lennox,Up Late,4ZSQS1o7qYAXJa5I37lk5x,50,2019,soul,0.7,0.399,3,-6.558,0,0.0461,0.308,0.0128,0.119,0.348,79.551,266934,3
New Edition,Come Home with Me,1yT7OqcKdyHmb3Wr1lQAeR,16,2005,soul,0.83,0.472,0,-7.245,0,0.108,0.127,0.0,0.0724,0.504,123.985,247013,4
Vory,Do Not Disturb ft. NAV and Yung Bleu,2pY5ZVUFscLWhOonrR4knh,41,2022,soul,0.677,0.539,1,-8.143,1,0.194,0.0317,0.0,0.099,0.718,160.311,207046,3
Janita,Angel Eyes,2492O53Xfn92cPbV29iEnW,10,2001,soul,0.581,0.456,5,-8.005,0,0.0318,0.0533,0.000149,0.0913,0.379,79.773,306800,4
Ginuwine,Want U To Be,5Kn3phMdmcm2rv3YE8J5FZ,18,2005,soul,0.717,0.605,1,-7.865,1,0.176,0.0632,0.0,0.331,0.427,91.968,260893,4
Choker,Rocket,2sjYlOS4LeF11IMBAB4kC8,36,2018,soul,0.566,0.389,1,-9.054,0,0.0367,0.723,0.000304,0.222,0.26,119.983,392441,4
Kenny Lattimore,Ain't No Way,0coyFHgg57sUSN3FJmcwHk,18,2008,soul,0.576,0.35,10,-9.046,1,0.0308,0.512,1.38e-06,0.0922,0.115,127.327,305880,3
Keith Sweat,High As The Sun,3E3en51itE9NkwxAszPoRP,13,2011,soul,0.376,0.706,0,-6.238,0,0.0493,0.0401,0.0,0.105,0.542,105.346,271693,4
Aaron Neville,Who Dat?,41ThiKbrNkOqkesgVl6lIC,10,2010,soul,0.872,0.752,11,-8.083,0,0.215,0.189,0.0689,0.161,0.777,111.752,125853,4
