artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Seinabo Sey,Blessed,4EL02W94lT5v7cAJw7i59s,37,2022,swedish,0.483,0.404,7,-11.487,1,0.13,0.73,2.03e-05,0.0878,0.311,117.745,191605,4
Bobo Stenson,Rowan,7cpLPuyngl9ryoGNLWzFbQ,9,2005,swedish,0.365,0.0186,8,-27.38,1,0.0507,0.961,0.877,0.0882,0.0682,145.836,362067,4
Jessica Andersson,Jag drömmer om en jul hemma,4CBwW8S4mpxfACERxpozlq,5,2002,swedish,0.519,0.259,9,-8.47,1,0.0283,0.633,0.0,0.169,0.256,119.806,181853,4
ABBA,Little Things,1vLPyotXnRlM2EJIHK16LW,52,2021,swedish,0.647,0.165,10,-16.328,1,0.0315,0.894,0.00187,0.116,0.59,75.978,188320,4
Lisa Ekdahl,Since You've Been Gone,4tCklUaQUMToQ1VfVGsNWY,3,2001,swedish,0.605,0.249,0,-14.158,1,0.0303,0.898,1.88e-06,0.0896,0.359,95.939,208240,3
Zero Horizon,How Could I Forget,0cwennxGl9hIau6vyh2jlS,24,2021,swedish,0.379,0.96,1,-5.797,0,0.112,0.00188,3.74e-05,0.147,0.285,160.086,266250,4
Lars Danielsson,Yes to You,59f6KRHixp6XhO0e8LgjmU,29,2021,swedish,0.56,0.113,7,-18.923,1,0.0353,0.926,0.882,0.117,0.14,107.329,215743,3
Henning Mankell,"Ein Kurt-Wallander-Krimi, Folge 3: Hunde von Riga, Teil 31.3 & Ein Kurt-Wallander-Krimi, Folge 3: Hunde von Riga, Teil 32.1 - Hunde von Riga",6cw5oNifdY4EdDnMWQryyP,6,2000,swedish,0.645,0.157,4,-24.018,1,0.961,0.472,0.0,0.438,0.437,89.718,215463,3
Ooyy,Maverick,0O0ltk8VkiO8o5mMZQCKSt,30,2021,swedish,0.457,0.773,5,-7.273,1,0.0436,0.0315,0.0399,0.126,0.36,148.01,185676,4
Per Myrberg,Så länge skutan kan gå,0A19QHy1Y6yiAt3o60Y6Ez,11,2003,swedish,0.475,0.347,2,-10.388,1,0.0402,0.785,0.0,0.109,0.0968,134.75,190107,3
Rhys,Starfish (feat. FELIX SANDMAN),0bHv6PVOI7SDQMddrRRQgK,27,2018,swedish,0.601,0.64,4,-6.368,1,0.0358,0.0295,4.3e-06,0.145,0.465,99.986,203400,4
kent,Järnspöken,3YXUMVKfRy4mwPEAslWg1p,32,2005,swedish,0.325,0.103,8,-16.756,1,0.035,0.895,0.00296,0.0914,0.184,168.539,228507,4
