artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lucio Demare,Humildad,1BevnTbWC6xgIyq2EkMuBc,0,2018,tango,0.488,0.0899,7,-20.021,1,0.0383,0.995,0.925,0.111,0.307,59.335,176090,4
Floreal Ruiz,Tu Recuerdo Y Nada Más,7GSsgZTvKyvLXorjNKbq1w,0,2006,tango,0.484,0.417,10,-8.959,1,0.0389,0.87,0.0,0.308,0.549,59.587,129600,4
Orquesta Típica Misteriosa Buenos Aires,Invierno - Una noche en la milonga,5NcMrM42PdbiiFmIwdYeUU,19,2013,tango,0.428,0.403,9,-3.548,1,0.0296,0.807,0.095,0.147,0.532,126.455,198520,4
Sandra Luna,Cuando Llora Mi Guitarra,1wxawt7KhcgYxCbmNdjSRu,24,2021,tango,0.558,0.65,5,-4.119,0,0.0626,0.853,1.18e-05,0.124,0.755,156.41,205527,3
Omar Mollo,Qué Tango Hay Que Cantar,4PMwhTGX1ug1ISIYp3xj5F,6,2015,tango,0.4,0.443,9,-7.293,0,0.0807,0.567,0.0,0.0716,0.253,88.228,204394,4
Francisco Rotundo,As De Cartón,22wjoeMgsXK3cCZWSRWi4t,0,2006,tango,0.522,0.43,2,-5.714,1,0.0416,0.957,8.97e-05,0.171,0.662,120.888,186427,3
Aníbal Troilo,Nocturna,5U5U2WpzXVgyba5TANapZS,7,2014,tango,0.409,0.494,9,-10.324,1,0.0396,0.816,0.884,0.13,0.676,120.421,163293,4
Juan D'Arienzo y su Orquesta Típica,La Payanca,0uX0zShbdXuWKy3eLdxCbE,0,2005,tango,0.732,0.328,4,-7.084,0,0.0424,0.851,0.0848,0.0988,0.722,130.481,175627,4
Quadro Nuevo,Avant de mourir,77qOScvTvle0Q88nTkghKG,0,2007,tango,0.371,0.182,9,-11.71,1,0.0353,0.896,0.885,0.0895,0.57,207.378,253760,4
Alfredo De Angelis,Ilusión Azul,1qFyuDP0vgILZvc93rxHEL,3,2015,tango,0.494,0.496,0,-9.002,1,0.0772,0.909,0.365,0.098,0.924,105.67,159720,1
Astor Piazzolla,Tristango,7Bq7r1P3WPmgA3evoHQPBl,0,2003,tango,0.342,0.422,5,-8.309,1,0.0347,0.473,0.0329,0.105,0.261,94.897,419587,4
Francisco Canaro,A media luz,5VLz8lTPGIVicwlIm7SE2Y,0,2010,tango,0.58,0.182,2,-19.74,1,0.0541,0.991,0.845,0.237,0.788,125.553,189010,4
Miguel Calo,Pimienta,4XaROAOBk2Pp2GaJZyjPC9,0,2017,tango,0.812,0.079,2,-16.129,1,0.146,0.995,0.913,0.193,0.722,121.802,193120,4
Ada Falcón,Tus Besos Fueron Mios - Remastered,235erOZusi6Hdpe6BmiG1e,0,2021,tango,0.729,0.397,9,-6.543,1,0.533,0.97,0.0,0.0749,0.639,105.289,157920,3
Aníbal Troilo Y Su Orquesta Típica,Cimarrón de Ausencia,4VYOFOkyzLqAgcXziW1JmP,0,2004,tango,0.508,0.424,2,-7.155,0,0.0703,0.991,0.00614,0.233,0.706,99.324,176054,4
Olavi Virta,Vihreät niityt,7MP78GRiMvpH0aJQo3iBDt,11,2020,tango,0.317,0.109,10,-14.938,0,0.0357,0.96,1.77e-05,0.116,0.176,89.344,178000,3
Carlos Di Sarli,Con Alma y Vida,5tFVUdKPEELbVrPOaxX7CA,0,2012,tango,0.396,0.586,5,-7.077,0,0.0433,0.894,0.0907,0.372,0.835,123.37,136562,3
Osvaldo Fresedo,Llamada De Amor Porteño,2eSjGsOnoFfOOcKgX4ZwiE,2,2005,tango,0.629,0.315,7,-6.116,0,0.0381,0.967,0.00103,0.248,0.542,134.17,143573,4
Roberto Firpo,Yo Te Bendigo,0ebRvxY5kEkF6XEqrPaekw,0,2013,tango,0.414,0.35,11,-14.888,0,0.0391,0.987,0.914,0.113,0.636,110.786,157704,4
