artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Delerium,Innocente - Lost Witness Remix,5zKmatb4X5lYp34fq2ddHr,6,2001,trance,0.561,0.872,9,-5.396,0,0.0326,0.001,0.497,0.22,0.275,140.0,513693,4
Guyver,Serious Sound - Mix Cut,5ItXp18caYcVNUSDtbuhoi,16,2006,trance,0.514,0.987,4,-9.564,0,0.0613,0.000573,0.83,0.0702,0.206,144.987,200560,4
Cerf,Our Little Secret,5R7t4qdahOoVo3K9kT2VLS,24,2012,trance,0.461,0.906,2,-5.248,0,0.047,0.00287,0.0175,0.32,0.228,180.021,180534,4
Jak Aggas,Playing With Fire,0234WwTgIGgN4qfBZ1WO2f,20,2019,trance,0.424,0.998,7,-6.806,0,0.0975,9.8e-05,0.873,0.124,0.0494,139.989,228000,4
Luminary,Amsterdam [ABGT221] - Smith & Pledger Update,3b5C12I3iLyviNyAeqPVP3,13,2017,trance,0.63,0.76,11,-8.487,1,0.0475,0.00352,0.000836,0.841,0.177,128.046,337506,4
Shakta,Answers - Remastered 2022,7G5LiDQSBvBV3jLwK2IDgX,0,2001,trance,0.647,0.738,0,-10.661,1,0.0465,0.0218,0.743,0.123,0.288,142.967,346933,4
DJ Sakin & Friends,Little Paradise - Global Cee Mix,44mWJ2fO8IhLICCBtQ4wtE,0,2001,trance,0.681,0.606,9,-6.796,0,0.0469,0.000302,0.872,0.384,0.0655,141.021,427476,4
Fail Emotions,Intro,1wwNO8p1wgImjcGeGI1zUI,13,2010,trance,0.285,0.933,1,-4.668,1,0.0436,0.00053,0.612,0.19,0.0377,91.742,211773,4
Dan Sieg,Gloom - Jallen Remix,2eAI4B0WjSU7oHclueJkQH,13,2015,trance,0.665,0.796,8,-9.368,0,0.0403,6.89e-05,0.929,0.104,0.166,125.999,459000,4
DJ Energy,End Of Time,7Gq8j5Myx7zjVzKn6Z787z,16,2015,trance,0.725,0.74,9,-9.637,1,0.0494,0.0125,0.827,0.0954,0.138,134.994,245111,4
Paul Oakenfold,Touch Me - Paul Oakenfold 'Stateside' Radio Edit,3CUBuqGUwpbvDAVzCBRUAv,13,2015,trance,0.597,0.725,4,-5.202,0,0.0348,0.000978,0.492,0.114,0.306,127.946,195000,4
Nadia Ali,Try - Thomas Gold Remix,3ZM9Yw8zRJ9Ye6ysPXVVEd,6,2005,trance,0.678,0.743,2,-7.843,0,0.0357,0.0141,0.552,0.125,0.165,127.978,455419,4
Rio Addicts,The Distance [Mix Cut] - Original Mix,7uHKSUzMMYOmzNMyYF2mKJ,4,2007,trance,0.673,0.79,5,-10.981,0,0.0425,0.11,0.91,0.0787,0.582,130.008,321213,4
Janeiro,Aura,3ErApWHkgaWI17hh5NvuIc,8,2013,trance,0.584,0.473,8,-11.09,1,0.0321,0.0327,0.679,0.13,0.0459,136.048,437647,4
1200 Micrograms,DMT - Original Mix,4ymwVkFk2V9N1fsmRYBtJa,25,2002,trance,0.683,0.913,1,-7.317,1,0.0533,3.98e-05,0.816,0.141,0.26,144.989,348000,4
Electric Universe,Mind Of God,3N6Kfn6vkWHAfeiCLFBVqY,7,2006,trance,0.623,0.94,11,-7.296,0,0.0534,9.92e-05,0.685,0.116,0.404,145.988,405646,4
Taucher,"The More You Work, The Better You Get",1Dy4w0Kh2zYNOImZFh70PQ,0,2003,trance,0.734,0.724,4,-12.495,0,0.0671,0.086,0.895,0.178,0.117,129.993,590899,4
Liquid Soul,Levitate,6pajswZBm4tge2Q5jOI5N3,41,2019,trance,0.766,0.936,8,-6.926,0,0.0875,0.000202,0.842,0.354,0.0389,140.005,156000,4
Armin van Buuren,Typically Dutch - VIP Mix,1Ca31YxIYwcQZHRHtw19fa,37,2022,trance,0.622,0.924,10,-3.682,0,0.0935,0.00519,0.544,0.331,0.208,112.469,216842,3
